,ROK US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-06-21,27.0625
2021-06-22,27.504
2021-06-23,27.5603
2021-06-24,27.5339
2021-06-25,27.5457
2021-06-26,27.5457
2021-06-27,27.5457
2021-06-28,27.3277
2021-06-29,27.3586
2021-06-30,24.593
2021-07-01,24.5342
2021-07-02,24.5285
2021-07-03,24.5285
2021-07-04,24.5285
2021-07-05,24.5285
2021-07-06,24.428
2021-07-07,25.0781
2021-07-08,24.7139
2021-07-09,25.0161
2021-07-10,25.0161
2021-07-11,25.0161
2021-07-12,25.1557
2021-07-13,25.0348
2021-07-14,25.0716
2021-07-15,25.23
2021-07-16,25.2382
2021-07-17,25.2382
2021-07-18,25.2382
2021-07-19,24.9385
2021-07-20,25.4015
2021-07-21,25.5951
2021-07-22,25.5314
2021-07-23,25.6735
2021-07-24,25.6735
2021-07-25,25.6735
2021-07-26,25.5559
2021-07-27,25.1926
2021-07-28,25.6571
2021-07-29,26.1167
2021-07-30,26.3297
2021-07-31,26.3297
2021-08-01,26.3297
2021-08-02,26.3207
2021-08-03,26.6269
2021-08-04,26.6971
2021-08-05,26.8432
2021-08-06,26.8938
2021-08-07,26.8938
2021-08-08,26.8938
2021-08-09,26.8693
2021-08-10,27.2269
2021-08-11,27.0644
2021-08-12,27.1273
2021-08-13,27.0734
2021-08-14,27.0734
2021-08-15,27.0734
2021-08-16,27.3093
2021-08-17,26.8056
2021-08-18,26.7518
2021-08-19,26.8995
2021-08-20,26.9526
2021-08-21,26.9526
2021-08-22,26.9526
2021-08-23,26.9142
2021-08-24,27.0669
2021-08-25,27.3052
2021-08-26,27.3395
2021-08-27,27.4922
2021-08-28,27.4922
2021-08-29,27.4922
2021-08-30,27.7485
2021-08-31,27.8016
2021-09-01,27.6032
2021-09-02,27.9395
2021-09-03,27.6832
2021-09-04,27.6832
2021-09-05,27.6832
2021-09-06,27.6832
2021-09-07,27.231
2021-09-08,27.2546
2021-09-09,26.9509
2021-09-10,26.8742
2021-09-11,26.8742
2021-09-12,26.8742
2021-09-13,27.013
2021-09-14,26.8105
2021-09-15,27.1665
2021-09-16,27.1126
2021-09-17,26.6669
2021-09-18,26.6669
2021-09-19,26.6669
2021-09-20,25.9256
2021-09-21,25.7379
2021-09-22,25.8824
2021-09-23,26.0628
2021-09-24,25.9338
2021-09-25,25.9338
2021-09-26,25.9338
2021-09-27,25.955
2021-09-28,25.4579
2021-09-29,25.5493
2021-09-30,27.0783
2021-10-01,27.1459
2021-10-02,27.1459
2021-10-03,27.1459
2021-10-04,26.9721
2021-10-05,27.4317
2021-10-06,27.4218
2021-10-07,27.9679
2021-10-08,27.6788
2021-10-09,27.6788
2021-10-10,27.6788
2021-10-11,27.4613
2021-10-12,27.4012
2021-10-13,27.5585
2021-10-14,28.4078
2021-10-15,28.7389
2021-10-16,28.7389
2021-10-17,28.7389
2021-10-18,28.8039
2021-10-19,28.8987
2021-10-20,29.1672
2021-10-21,29.0272
2021-10-22,28.9119
2021-10-23,28.9119
2021-10-24,28.9119
2021-10-25,28.8608
2021-10-26,28.8517
2021-10-27,28.6985
2021-10-28,29.1104
2021-10-29,29.1672
2021-10-30,29.1672
2021-10-31,29.1672
2021-11-01,29.2076
2021-11-02,31.1449
2021-11-03,30.8064
2021-11-04,31.0197
2021-11-05,30.7825
2021-11-06,30.7825
2021-11-07,30.7825
2021-11-08,30.4917
2021-11-09,30.4944
2021-11-10,30.3166
2021-11-11,30.0021
2021-11-12,30.3989
2021-11-13,30.3989
2021-11-14,30.3989
2021-11-15,30.4467
2021-11-16,30.9004
2021-11-17,31.014
2021-11-18,31.2462
2021-11-19,31.5261
2021-11-20,31.5261
2021-11-21,31.5261
2021-11-22,31.4504
2021-11-23,31.3442
2021-11-24,31.2602
2021-11-25,31.2602
2021-11-26,30.7876
2021-11-27,30.7876
2021-11-28,30.7876
2021-11-29,30.9012
2021-11-30,30.5405
2021-12-01,30.1955
2021-12-02,31.1548
2021-12-03,31.3038
2021-12-04,31.3038
2021-12-05,31.3038
2021-12-06,31.2585
2021-12-07,31.7394
2021-12-08,31.5492
2021-12-09,31.3944
2021-12-10,31.7295
2021-12-11,31.7295
2021-12-12,31.7295
2021-12-13,31.7608
2021-12-14,31.0692
2021-12-15,31.788
2021-12-16,31.5838
2021-12-17,30.9983
2021-12-18,30.9983
2021-12-19,30.9983
2021-12-20,30.5727
2021-12-21,30.8296
2021-12-22,30.725
2021-12-23,30.8709
2021-12-24,30.8709
2021-12-25,30.8709
2021-12-26,30.8709
2021-12-27,31.5454
2021-12-28,31.5479
2021-12-29,31.6072
2021-12-30,31.4243
2021-12-31,31.0811
2022-01-01,31.0811
2022-01-02,31.0811
2022-01-03,30.3398
2022-01-04,30.6173
2022-01-05,30.1543
2022-01-06,29.9728
2022-01-07,29.3896
2022-01-08,29.3896
2022-01-09,29.3896
2022-01-10,29.5727
2022-01-11,29.9639
2022-01-12,29.972
2022-01-13,29.5615
2022-01-14,29.1614
2022-01-15,29.1614
2022-01-16,29.1614
2022-01-17,29.1614
2022-01-18,28.5524
2022-01-19,28.4016
2022-01-20,28.2499
2022-01-21,28.2902
2022-01-22,28.2902
2022-01-23,28.2902
2022-01-24,28.091
2022-01-25,27.2723
2022-01-26,26.9828
2022-01-27,26.1271
2022-01-28,25.9349
2022-01-29,25.9349
2022-01-30,25.9349
2022-01-31,26.3081
2022-02-01,26.3792
2022-02-02,26.7225
2022-02-03,25.9446
2022-02-04,25.6182
2022-02-05,25.6182
2022-02-06,25.6182
2022-02-07,25.5851
2022-02-08,25.6465
2022-02-09,26.0827
2022-02-10,25.3475
2022-02-11,24.6213
2022-02-12,24.6213
2022-02-13,24.6213
2022-02-14,24.6237
2022-02-15,24.9412
2022-02-16,24.9985
2022-02-17,24.4694
2022-02-18,24.3183
2022-02-19,24.3183
2022-02-20,24.3183
2022-02-21,24.3183
2022-02-22,24.265
2022-02-23,23.7213
2022-02-24,24.4371
2022-02-25,24.6972
2022-02-26,24.6972
2022-02-27,24.6972
2022-02-28,24.4791
2022-03-01,24.1188
2022-03-02,24.6536
2022-03-03,24.7925
2022-03-04,24.6794
2022-03-05,24.6794
2022-03-06,24.6794
2022-03-07,24.3143
2022-03-08,25.0349
2022-03-09,24.8394
2022-03-10,24.1535
2022-03-11,23.7059
2022-03-12,23.7059
2022-03-13,23.7059
2022-03-14,23.6526
2022-03-15,24.0299
2022-03-16,24.6326
2022-03-17,24.8362
2022-03-18,25.2264
2022-03-19,25.2264
2022-03-20,25.2264
2022-03-21,24.9905
2022-03-22,25.0906
2022-03-23,24.7909
2022-03-24,25.1593
2022-03-25,25.497
2022-03-26,25.497
2022-03-27,25.497
2022-03-28,25.5826
2022-03-29,25.9583
2022-03-30,25.6214
2022-03-31,37.009
2022-04-01,37.5281
2022-04-02,37.5281
2022-04-03,37.5281
2022-04-04,37.142
2022-04-05,36.9006
2022-04-06,36.0992
2022-04-07,35.9616
2022-04-08,35.7703
2022-04-09,35.7703
2022-04-10,35.7703
2022-04-11,35.3819
2022-04-12,35.0122
2022-04-13,35.4939
2022-04-14,34.8664
2022-04-15,34.8664
2022-04-16,34.8664
2022-04-17,34.8664
2022-04-18,34.8442
2022-04-19,35.9453
2022-04-20,36.1354
2022-04-21,36.0444
2022-04-22,34.7346
2022-04-23,34.7346
2022-04-24,34.7346
2022-04-25,34.8255
2022-04-26,33.7641
2022-04-27,34.2983
2022-04-28,35.0635
2022-04-29,33.8178
2022-04-30,33.8178
2022-05-01,33.8178
2022-05-02,33.511
2022-05-03,29.2911
2022-05-04,30.2959
2022-05-05,29.3727
2022-05-06,29.3809
2022-05-07,29.3809
2022-05-08,29.3809
2022-05-09,28.0633
2022-05-10,28.2851
2022-05-11,27.5708
2022-05-12,28.1345
2022-05-13,28.1333
2022-05-14,28.1333
2022-05-15,28.1333
2022-05-16,27.9665
2022-05-17,28.1824
2022-05-18,27.1507
2022-05-19,27.5381
2022-05-20,27.6303
2022-05-21,27.6303
2022-05-22,27.6303
2022-05-23,27.998
2022-05-24,27.4751
2022-05-25,27.551
2022-05-26,28.2407
2022-05-27,28.9736
2022-05-28,28.9736
2022-05-29,28.9736
2022-05-30,28.9736
2022-05-31,29.228
2022-06-01,29.6727
2022-06-02,30.0403
2022-06-03,29.8197
2022-06-04,29.8197
2022-06-05,29.8197
2022-06-06,29.4218
2022-06-07,29.7054
2022-06-08,29.4229
2022-06-09,29.2397
