,AVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-07-07,21.9254
2021-07-08,21.7864
2021-07-09,21.8809
2021-07-10,21.8809
2021-07-11,21.8809
2021-07-12,21.8893
2021-07-13,21.6751
2021-07-14,21.7252
2021-07-15,21.9393
2021-07-16,22.0117
2021-07-17,22.0117
2021-07-18,22.0117
2021-07-19,21.9838
2021-07-20,22.1618
2021-07-21,21.9838
2021-07-22,21.9171
2021-07-23,22.0617
2021-07-24,22.0617
2021-07-25,22.0617
2021-07-26,22.1034
2021-07-27,22.0979
2021-07-28,22.1924
2021-07-29,22.109
2021-07-30,21.9644
2021-07-31,21.9644
2021-08-01,21.9644
2021-08-02,22.0005
2021-08-03,22.3565
2021-08-04,22.0083
2021-08-05,22.109
2021-08-06,21.9804
2021-08-07,21.9804
2021-08-08,21.9804
2021-08-09,21.9049
2021-08-10,21.8322
2021-08-11,21.8462
2021-08-12,21.7651
2021-08-13,21.7232
2021-08-14,21.7232
2021-08-15,21.7232
2021-08-16,21.8658
2021-08-17,22.0698
2021-08-18,21.7819
2021-08-19,21.7484
2021-08-20,21.9496
2021-08-21,21.9496
2021-08-22,21.9496
2021-08-23,21.8071
2021-08-24,21.7568
2021-08-25,21.6953
2021-08-26,21.5611
2021-08-27,21.6338
2021-08-28,21.6338
2021-08-29,21.6338
2021-08-30,21.6813
2021-08-31,21.7512
2021-09-01,21.849
2021-09-02,21.9664
2021-09-03,21.9161
2021-09-04,21.9161
2021-09-05,21.9161
2021-09-06,21.9161
2021-09-07,21.8853
2021-09-08,22.0307
2021-09-09,21.8853
2021-09-10,21.5723
2021-09-11,21.5723
2021-09-12,21.5723
2021-09-13,21.494
2021-09-14,21.4045
2021-09-15,21.3682
2021-09-16,21.2033
2021-09-17,21.2117
2021-09-18,21.2117
2021-09-19,21.2117
2021-09-20,21.1334
2021-09-21,21.0188
2021-09-22,21.0439
2021-09-23,20.9713
2021-09-24,21.0076
2021-09-25,21.0076
2021-09-26,21.0076
2021-09-27,21.0747
2021-09-28,21.0104
2021-09-29,21.1809
2021-09-30,21.3276
2021-10-01,21.2821
2021-10-02,21.2821
2021-10-03,21.2821
2021-10-04,21.5494
2021-10-05,21.7457
2021-10-06,21.9561
2021-10-07,21.7826
2021-10-08,21.6831
2021-10-09,21.6831
2021-10-10,21.6831
2021-10-11,21.1996
2021-10-12,21.2934
2021-10-13,21.4072
2021-10-14,21.7201
2021-10-15,21.8168
2021-10-16,21.8168
2021-10-17,21.8168
2021-10-18,21.5068
2021-10-19,21.3475
2021-10-20,21.4812
2021-10-21,21.4385
2021-10-22,21.4328
2021-10-23,21.4328
2021-10-24,21.4328
2021-10-25,21.5693
2021-10-26,21.5352
2021-10-27,21.7343
2021-10-28,21.7172
2021-10-29,21.5238
2021-10-30,21.5238
2021-10-31,21.5238
2021-11-01,21.7656
2021-11-02,21.6177
2021-11-03,21.9165
2021-11-04,21.6767
2021-11-05,21.8414
2021-11-06,21.8414
2021-11-07,21.8414
2021-11-08,21.7056
2021-11-09,21.798
2021-11-10,21.9829
2021-11-11,21.9107
2021-11-12,21.824
2021-11-13,21.824
2021-11-14,21.824
2021-11-15,21.9136
2021-11-16,21.8414
2021-11-17,21.7316
2021-11-18,21.46
2021-11-19,21.4138
2021-11-20,21.4138
2021-11-21,21.4138
2021-11-22,21.6218
2021-11-23,21.59
2021-11-24,21.6016
2021-11-25,21.6016
2021-11-26,21.4224
2021-11-27,21.4224
2021-11-28,21.4224
2021-11-29,21.5207
2021-11-30,21.3271
2021-12-01,21.4398
2021-12-02,21.4947
2021-12-03,21.5496
2021-12-04,21.5496
2021-12-05,21.5496
2021-12-06,21.85
2021-12-07,21.7865
2021-12-08,21.8905
2021-12-09,21.8442
2021-12-10,22.0003
2021-12-11,22.0003
2021-12-12,22.0003
2021-12-13,22.1707
2021-12-14,22.0552
2021-12-15,22.2343
2021-12-16,22.399
2021-12-17,22.0609
2021-12-18,22.0609
2021-12-19,22.0609
2021-12-20,21.9714
2021-12-21,21.8702
2021-12-22,22.1129
2021-12-23,22.1332
2021-12-24,22.1332
2021-12-25,22.1332
2021-12-26,22.1332
2021-12-27,22.1389
2021-12-28,22.1361
2021-12-29,22.2978
2021-12-30,22.4394
2021-12-31,24.4833
2022-01-01,24.4833
2022-01-02,24.4833
2022-01-03,24.4182
2022-01-04,24.5639
2022-01-05,24.5236
2022-01-06,24.5329
2022-01-07,24.6352
2022-01-08,24.6352
2022-01-09,24.6352
2022-01-10,24.6259
2022-01-11,24.4833
2022-01-12,24.5422
2022-01-13,24.7035
