,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-03-06,21.6911
2021-03-07,21.6911
2021-03-08,22.7201
2021-03-09,22.568
2021-03-10,23.0452
2021-03-11,23.1555
2021-03-12,23.7312
2021-03-13,23.7312
2021-03-14,23.7312
2021-03-15,23.6536
2021-03-16,23.4777
2021-03-17,23.8744
2021-03-18,23.9221
2021-03-19,24.1965
2021-03-20,24.1965
2021-03-21,24.1965
2021-03-22,23.6686
2021-03-23,23.0601
2021-03-24,23.6447
2021-03-25,24.6439
2021-03-26,26.6034
2021-03-27,26.6034
2021-03-28,26.6034
2021-03-29,26.4392
2021-03-30,26.9289
2021-03-31,26.8931
2021-04-01,12.5128
2021-04-02,12.5128
2021-04-03,12.5128
2021-04-04,12.5128
2021-04-05,12.6008
2021-04-06,12.5072
2021-04-07,12.503
2021-04-08,12.4737
2021-04-09,12.5701
2021-04-10,12.5701
2021-04-11,12.5701
2021-04-12,12.6036
2021-04-13,12.2893
2021-04-14,12.3983
2021-04-15,12.3759
2021-04-16,12.4597
2021-04-17,12.4597
2021-04-18,12.4597
2021-04-19,12.4514
2021-04-20,12.3186
2021-04-21,12.5547
2021-04-22,11.9834
2021-04-23,12.2264
2021-04-24,12.2264
2021-04-25,12.2264
2021-04-26,12.6134
2021-04-27,12.626
2021-04-28,12.7503
2021-04-29,12.8663
2021-04-30,12.8453
2021-05-01,12.8453
2021-05-02,12.8453
2021-05-03,13.3259
2021-05-04,13.8791
2021-05-05,14.3219
2021-05-06,14.7215
2021-05-07,15.1504
2021-05-08,15.1504
2021-05-09,15.1504
2021-05-10,15.5052
2021-05-11,15.6002
2021-05-12,14.802
2021-05-13,15.4759
2021-05-14,15.7154
2021-05-15,15.7154
2021-05-16,15.7154
2021-05-17,16.2492
2021-05-18,15.8499
2021-05-19,15.5781
2021-05-20,15.5221
2021-05-21,15.6622
2021-05-22,15.6622
2021-05-23,15.6622
2021-05-24,15.8345
2021-05-25,15.3708
2021-05-26,15.4829
2021-05-27,15.5109
2021-05-28,15.7196
2021-05-29,15.7196
2021-05-30,15.7196
2021-05-31,15.7196
2021-06-01,16.8685
2021-06-02,16.0685
2021-06-03,16.3543
2021-06-04,16.5939
2021-06-05,16.5939
2021-06-06,16.5939
2021-06-07,16.3963
2021-06-08,16.7634
2021-06-09,16.4257
2021-06-10,16.2478
2021-06-11,16.287
2021-06-12,16.287
2021-06-13,16.287
2021-06-14,15.7435
2021-06-15,15.6328
2021-06-16,15.3554
2021-06-17,14.6983
2021-06-18,14.3859
2021-06-19,14.3859
2021-06-20,14.3859
2021-06-21,14.7838
2021-06-22,14.7585
2021-06-23,14.7992
2021-06-24,15.0668
2021-06-25,14.9
2021-06-26,14.9
2021-06-27,14.9
2021-06-28,14.6787
2021-06-29,14.6114
2021-06-30,14.7936
2021-07-01,14.8944
2021-07-02,8.0074
2021-07-03,8.0074
2021-07-04,8.0074
2021-07-05,8.0074
2021-07-06,7.7064
2021-07-07,7.9444
2021-07-08,7.7936
2021-07-09,8.0566
2021-07-10,8.0566
2021-07-11,8.0566
2021-07-12,8.1014
2021-07-13,7.9149
2021-07-14,7.8982
2021-07-15,7.924
2021-07-16,7.6677
2021-07-17,7.6677
2021-07-18,7.6677
2021-07-19,7.5161
2021-07-20,7.6283
2021-07-21,7.7329
2021-07-22,7.8049
2021-07-23,7.8413
