,PFE US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-02-16,27.0564
2021-02-17,27.1918
2021-02-18,26.9684
2021-02-19,26.8871
2021-02-20,26.8871
2021-02-21,26.8871
2021-02-22,26.7652
2021-02-23,26.5282
2021-02-24,26.4199
2021-02-25,26.5465
2021-02-26,26.3223
2021-02-27,26.3223
2021-02-28,26.3223
2021-03-01,26.4582
2021-03-02,26.3359
2021-03-03,26.9338
2021-03-04,26.8047
2021-03-05,26.9338
2021-03-06,26.9338
2021-03-07,26.9338
2021-03-08,26.9066
2021-03-09,26.9746
2021-03-10,27.3007
2021-03-11,27.1512
2021-03-12,27.3098
2021-03-13,27.3098
2021-03-14,27.3098
2021-03-15,27.6292
2021-03-16,27.9146
2021-03-17,27.8874
2021-03-18,27.8738
2021-03-19,27.7107
2021-03-20,27.7107
2021-03-21,27.7107
2021-03-22,28.0301
2021-03-23,27.5952
2021-03-24,27.7651
2021-03-25,27.8058
2021-03-26,28.2
2021-03-27,28.2
2021-03-28,28.2
2021-03-29,28.4514
2021-03-30,28.1048
2021-03-31,28.1864
2021-04-01,23.1895
2021-04-02,23.1895
2021-04-03,23.1895
2021-04-04,23.1895
2021-04-05,23.1782
2021-04-06,23.0481
2021-04-07,22.969
2021-04-08,22.9972
2021-04-09,23.3591
2021-04-10,23.3591
2021-04-11,23.3591
2021-04-12,23.5683
2021-04-13,23.6758
2021-04-14,23.6814
2021-04-15,23.9246
2021-04-16,24.4731
2021-04-17,24.4731
2021-04-18,24.4731
2021-04-19,24.6766
2021-04-20,24.7332
2021-04-21,25.0159
2021-04-22,24.5126
2021-04-23,24.524
2021-04-24,24.524
2021-04-25,24.524
2021-04-26,24.5353
2021-04-27,24.4052
2021-04-28,24.6088
2021-04-29,24.49
2021-04-30,24.5183
2021-05-01,24.5183
2021-05-02,24.5183
2021-05-03,25.1855
2021-05-04,25.2534
2021-05-05,25.2647
2021-05-06,24.8236
2021-05-07,25.0442
2021-05-08,25.0442
2021-05-09,25.0442
2021-05-10,25.2025
2021-05-11,24.9141
2021-05-12,25.1064
2021-05-13,25.4176
2021-05-14,25.3722
2021-05-15,25.3722
2021-05-16,25.3722
2021-05-17,25.4233
2021-05-18,25.3892
2021-05-19,25.2644
2021-05-20,25.4289
2021-05-21,25.3325
2021-05-22,25.3325
2021-05-23,25.3325
2021-05-24,25.253
2021-05-25,24.9807
2021-05-26,24.748
2021-05-27,24.5948
2021-05-28,24.6402
2021-05-29,24.6402
2021-05-30,24.6402
2021-05-31,24.6402
2021-06-01,24.5097
2021-06-02,24.6743
2021-06-03,24.7764
2021-06-04,24.8785
2021-06-05,24.8785
2021-06-06,24.8785
2021-06-07,24.7877
2021-06-08,24.7083
2021-06-09,25.253
2021-06-10,25.7467
2021-06-11,25.446
2021-06-12,25.446
2021-06-13,25.446
2021-06-14,25.1509
2021-06-15,25.1282
2021-06-16,24.9636
2021-06-17,25.0658
2021-06-18,24.6856
2021-06-19,24.6856
2021-06-20,24.6856
2021-06-21,25.0317
2021-06-22,25.1395
2021-06-23,24.8218
2021-06-24,24.9012
2021-06-25,24.7821
2021-06-26,24.7821
2021-06-27,24.7821
2021-06-28,24.8615
2021-06-29,24.8502
2021-06-30,24.8842
2021-07-01,25.1112
2021-07-02,17.9276
2021-07-03,17.9276
2021-07-04,17.9276
2021-07-05,17.9276
2021-07-06,17.7437
2021-07-07,17.7688
2021-07-08,17.727
2021-07-09,17.8774
2021-07-10,17.8774
2021-07-11,17.8774
2021-07-12,17.9401
2021-07-13,17.8941
2021-07-14,18.0195
2021-07-15,18.078
2021-07-16,18.1866
2021-07-17,18.1866
2021-07-18,18.1866
2021-07-19,18.103
2021-07-20,18.479
2021-07-21,18.4665
2021-07-22,18.6545
2021-07-23,18.7422
2021-07-24,18.7422
2021-07-25,18.7422
2021-07-26,18.7965
2021-07-27,18.9177
2021-07-28,19.4817
2021-07-29,19.2059
2021-07-30,19.2143
2021-07-31,19.2143
2021-08-01,19.2143
2021-08-02,19.6947
2021-08-03,20.4133
2021-08-04,20.2086
2021-08-05,20.1543
2021-08-06,20.1584
2021-08-07,20.1584
2021-08-08,20.1584
2021-08-09,20.5386
2021-08-10,21.4619
2021-08-11,20.6765
2021-08-12,21.0967
2021-08-13,21.6156
2021-08-14,21.6156
2021-08-15,21.6156
2021-08-16,21.7955
2021-08-17,22.4274
2021-08-18,21.9629
2021-08-19,21.7495
2021-08-20,21.716
2021-08-21,21.716
2021-08-22,21.716
2021-08-23,22.2223
2021-08-24,21.5737
2021-08-25,21.2097
2021-08-26,21.1553
2021-08-27,20.8289
2021-08-28,20.8289
2021-08-29,20.8289
2021-08-30,20.8959
2021-08-31,20.6071
2021-09-01,20.5946
2021-09-02,20.9293
2021-09-03,20.9293
2021-09-04,20.9293
2021-09-05,20.9293
2021-09-06,20.9293
2021-09-07,20.8917
2021-09-08,20.7913
2021-09-09,20.5904
2021-09-10,20.4063
2021-09-11,20.4063
2021-09-12,20.4063
2021-09-13,19.9837
2021-09-14,20.0381
2021-09-15,20.0632
2021-09-16,19.9376
2021-09-17,19.6949
2021-09-18,19.6949
2021-09-19,19.6949
2021-09-20,19.8247
2021-09-21,19.7075
2021-09-22,19.7201
2021-09-23,19.8205
2021-09-24,19.7159
2021-09-25,19.7159
2021-09-26,19.7159
2021-09-27,19.561
2021-09-28,19.3393
2021-09-29,19.5443
2021-09-30,19.3267
2021-10-01,14.689
2021-10-02,14.689
2021-10-03,14.689
2021-10-04,14.5218
2021-10-05,14.489
2021-10-06,14.3906
2021-10-07,14.6267
2021-10-08,14.5316
2021-10-09,14.5316
2021-10-10,14.5316
2021-10-11,14.4037
2021-10-12,14.3349
2021-10-13,14.1939
2021-10-14,14.2759
2021-10-15,14.2168
2021-10-16,14.2168
2021-10-17,14.2168
2021-10-18,14.1611
2021-10-19,14.4136
2021-10-20,14.6464
2021-10-21,14.6661
2021-10-22,14.7645
2021-10-23,14.7645
2021-10-24,14.7645
2021-10-25,14.7612
2021-10-26,14.8956
2021-10-27,14.7022
2021-10-28,14.771
2021-10-29,14.9546
2021-10-30,14.9546
2021-10-31,14.9546
2021-11-01,14.9219
2021-11-02,15.5154
2021-11-03,15.3088
2021-11-04,14.9907
2021-11-05,16.5516
2021-11-06,16.5516
2021-11-07,16.5516
2021-11-08,16.4598
2021-11-09,16.122
2021-11-10,16.686
2021-11-11,17.0664
2021-11-12,16.9368
2021-11-13,16.9368
2021-11-14,16.9368
2021-11-15,16.9106
2021-11-16,16.8942
2021-11-17,17.3111
2021-11-18,17.4883
2021-11-19,17.2881
2021-11-20,17.2881
2021-11-21,17.2881
2021-11-22,17.4194
2021-11-23,17.38
2021-11-24,17.3176
2021-11-25,17.3176
2021-11-26,18.3386
2021-11-27,18.3386
2021-11-28,18.3386
2021-11-29,17.8133
2021-11-30,18.2499
2021-12-01,18.5618
2021-12-02,18.0234
2021-12-03,18.4272
2021-12-04,18.4272
2021-12-05,18.4272
2021-12-06,17.5113
2021-12-07,17.5901
2021-12-08,17.485
2021-12-09,17.7083
2021-12-10,17.9381
2021-12-11,17.9381
2021-12-12,17.9381
2021-12-13,18.7325
2021-12-14,18.8441
2021-12-15,19.9143
2021-12-16,20.7186
2021-12-17,20.1375
2021-12-18,20.1375
2021-12-19,20.1375
2021-12-20,20.6431
2021-12-21,19.9635
2021-12-22,20.1605
2021-12-23,19.8847
2021-12-24,19.8847
2021-12-25,19.8847
2021-12-26,19.8847
2021-12-27,20.0456
2021-12-28,19.655
2021-12-29,19.5138
2021-12-30,19.783
2021-12-31,17.6004
2022-01-01,17.6004
2022-01-02,17.6004
2022-01-03,16.9072
2022-01-04,16.2948
2022-01-05,16.6126
2022-01-06,16.3844
2022-01-07,16.6385
2022-01-08,16.6385
2022-01-09,16.6385
2022-01-10,16.7887
2022-01-11,16.9187
2022-01-12,16.9072
2022-01-13,16.5866
2022-01-14,16.4161
2022-01-15,16.4161
2022-01-16,16.4161
2022-01-17,16.4161
2022-01-18,16.1735
2022-01-19,16.0089
2022-01-20,16.1562
2022-01-21,15.7923
2022-01-22,15.7923
2022-01-23,15.7923
2022-01-24,15.4312
2022-01-25,15.7201
2022-01-26,15.8558
2022-01-27,15.9598
2022-01-28,16.2371
2022-01-29,16.2371
2022-01-30,16.2371
2022-01-31,15.7634
2022-02-01,15.8731
2022-02-02,16.1013
2022-02-03,15.9627
