,MMM US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-08-02,16.5712
2021-08-03,16.8342
2021-08-04,16.572
2021-08-05,16.5922
2021-08-06,16.6169
2021-08-07,16.6169
2021-08-08,16.6169
2021-08-09,16.5645
2021-08-10,16.7009
2021-08-11,16.8747
2021-08-12,16.8642
2021-08-13,16.8005
2021-08-14,16.8005
2021-08-15,16.8005
2021-08-16,16.9309
2021-08-17,16.7233
2021-08-18,16.4956
2021-08-19,16.4094
2021-08-20,16.3195
2021-08-21,16.3195
2021-08-22,16.3195
2021-08-23,16.3584
2021-08-24,16.3637
2021-08-25,16.333
2021-08-26,16.4064
2021-08-27,16.3862
2021-08-28,16.3862
2021-08-29,16.3862
2021-08-30,16.4701
2021-08-31,16.3629
2021-09-01,16.2655
2021-09-02,16.3742
2021-09-03,16.3367
2021-09-04,16.3367
2021-09-05,16.3367
2021-09-06,16.3367
2021-09-07,15.6766
2021-09-08,15.8497
2021-09-09,15.6894
2021-09-10,15.5995
2021-09-11,15.5995
2021-09-12,15.5995
2021-09-13,15.6504
2021-09-14,15.4399
2021-09-15,15.5725
2021-09-16,15.4579
2021-09-17,15.3702
2021-09-18,15.3702
2021-09-19,15.3702
2021-09-20,15.2983
2021-09-21,15.1402
2021-09-22,15.2466
2021-09-23,15.3732
2021-09-24,15.3365
2021-09-25,15.3365
2021-09-26,15.3365
2021-09-27,15.3927
2021-09-28,15.2623
2021-09-29,15.3245
2021-09-30,15.1077
2021-10-01,15.2036
2021-10-02,15.2036
2021-10-03,15.2036
2021-10-04,15.1549
2021-10-05,15.2949
2021-10-06,15.3345
2021-10-07,15.2889
2021-10-08,15.2242
2021-10-09,15.2242
2021-10-10,15.2242
2021-10-11,15.1732
2021-10-12,15.1161
2021-10-13,15.2409
2021-10-14,15.4807
2021-10-15,15.604
2021-10-16,15.604
2021-10-17,15.604
2021-10-18,15.5872
2021-10-19,15.6321
2021-10-20,15.6405
2021-10-21,15.6177
2021-10-22,15.5172
2021-10-23,15.5172
2021-10-24,15.5172
2021-10-25,15.639
2021-10-26,15.5636
2021-10-27,15.2664
2021-10-28,15.39
2021-10-29,15.2998
2021-10-30,15.2998
2021-10-31,15.2998
2021-11-01,15.368
2021-11-02,15.5492
2021-11-03,15.5689
2021-11-04,15.4461
2021-11-05,15.5363
2021-11-06,15.5363
2021-11-07,15.5363
2021-11-08,15.5166
2021-11-09,15.5006
2021-11-10,15.5833
2021-11-11,15.4157
2021-11-12,15.6773
2021-11-13,15.6773
2021-11-14,15.6773
2021-11-15,15.6507
2021-11-16,15.6553
2021-11-17,15.653
2021-11-18,15.3066
2021-11-19,15.3415
2021-11-20,15.3415
2021-11-21,15.3415
2021-11-22,15.3741
2021-11-23,15.3589
2021-11-24,15.2202
2021-11-25,15.2202
2021-11-26,15.0602
2021-11-27,15.0602
2021-11-28,15.0602
2021-11-29,15.1141
2021-11-30,14.6448
2021-12-01,14.6971
2021-12-02,14.6615
2021-12-03,14.8381
2021-12-04,14.8381
2021-12-05,14.8381
2021-12-06,15.1876
2021-12-07,15.1383
2021-12-08,15.0997
2021-12-09,15.0921
2021-12-10,15.18
2021-12-11,15.18
2021-12-12,15.18
2021-12-13,14.989
2021-12-14,14.9996
2021-12-15,15.0799
2021-12-16,15.2717
2021-12-17,15.0019
2021-12-18,15.0019
2021-12-19,15.0019
2021-12-20,14.8419
2021-12-21,14.8631
2021-12-22,14.8419
2021-12-23,15.0185
2021-12-24,15.0185
2021-12-25,15.0185
2021-12-26,15.0185
2021-12-27,15.1497
2021-12-28,15.2209
2021-12-29,15.2793
2021-12-30,15.2209
2021-12-31,15.6195
2022-01-01,15.6195
2022-01-02,15.6195
2022-01-03,15.628
2022-01-04,15.8212
2022-01-05,15.7638
2022-01-06,15.6482
2022-01-07,15.7995
2022-01-08,15.7995
2022-01-09,15.7995
2022-01-10,15.6024
2022-01-11,15.7242
2022-01-12,15.7584
2022-01-13,15.8825
2022-01-14,15.7056
2022-01-15,15.7056
2022-01-16,15.7056
2022-01-17,15.7056
2022-01-18,15.6699
2022-01-19,15.6854
2022-01-20,15.3044
2022-01-21,15.233
2022-01-22,15.233
2022-01-23,15.233
2022-01-24,15.2447
2022-01-25,15.3184
2022-01-26,14.9731
2022-01-27,15.0398
2022-01-28,14.4919
2022-01-29,14.4919
2022-01-30,14.4919
2022-01-31,14.7185
2022-02-01,14.8279
2022-02-02,14.7682
2022-02-03,14.592
2022-02-04,14.308
2022-02-05,14.308
2022-02-06,14.308
2022-02-07,14.3422
2022-02-08,14.4384
2022-02-09,14.5173
2022-02-10,14.215
2022-02-11,14.1995
2022-02-12,14.1995
2022-02-13,14.1995
2022-02-14,14.0809
2022-02-15,14.029
2022-02-16,13.8965
2022-02-17,13.3548
2022-02-18,13.2757
2022-02-19,13.2757
2022-02-20,13.2757
2022-02-21,13.2757
2022-02-22,13.2083
2022-02-23,13.0246
2022-02-24,12.9719
2022-02-25,13.4997
2022-02-26,13.4997
2022-02-27,13.4997
2022-02-28,13.3555
2022-03-01,13.0533
2022-03-02,13.2447
2022-03-03,13.3284
2022-03-04,13.2067
2022-03-05,13.2067
2022-03-06,13.2067
2022-03-07,12.9394
2022-03-08,13.1037
2022-03-09,13.1967
2022-03-10,12.9897
2022-03-11,12.7596
2022-03-12,12.7596
2022-03-13,12.7596
2022-03-14,12.9549
2022-03-15,13.0192
2022-03-16,13.1122
2022-03-17,13.2811
2022-03-18,13.33
2022-03-19,13.33
2022-03-20,13.33
2022-03-21,13.3501
2022-03-22,13.4555
2022-03-23,13.2417
2022-03-24,13.3421
2022-03-25,13.4565
2022-03-26,13.4565
2022-03-27,13.4565
2022-03-28,13.38
2022-03-29,13.5816
2022-03-30,13.5314
2022-03-31,14.1106
2022-04-01,14.1764
2022-04-02,14.1764
2022-04-03,14.1764
2022-04-04,14.1634
2022-04-05,14.1123
2022-04-06,14.2258
2022-04-07,14.1975
2022-04-08,14.1861
2022-04-09,14.1861
2022-04-10,14.1861
2022-04-11,14.2112
2022-04-12,14.0863
2022-04-13,14.0928
2022-04-14,13.989
2022-04-15,13.989
2022-04-16,13.989
2022-04-17,13.989
2022-04-18,13.8916
2022-04-19,14.2096
2022-04-20,14.2494
2022-04-21,14.3451
2022-04-22,14.1342
2022-04-23,14.1342
2022-04-24,14.1342
2022-04-25,14.0879
2022-04-26,13.7303
2022-04-27,13.7295
2022-04-28,13.9671
2022-04-29,13.7303
2022-04-30,13.7303
2022-05-01,13.7303
2022-05-02,13.8674
2022-05-03,14.0434
2022-05-04,14.5422
2022-05-05,14.1553
2022-05-06,14.161
2022-05-07,14.161
2022-05-08,14.161
2022-05-09,14.3921
2022-05-10,14.1277
2022-05-11,13.9079
2022-05-12,14.1658
2022-05-13,14.1423
2022-05-14,14.1423
2022-05-15,14.1423
2022-05-16,14.2396
2022-05-17,14.3889
2022-05-18,14.1123
2022-05-19,13.9525
2022-05-20,13.6987
2022-05-21,13.6987
2022-05-22,13.6987
2022-05-23,13.7433
2022-05-24,13.8544
2022-05-25,13.8576
2022-05-26,13.959
2022-05-27,14.1593
2022-05-28,14.1593
2022-05-29,14.1593
2022-05-30,14.1593
2022-05-31,14.1415
2022-06-01,13.9087
2022-06-02,14.0515
2022-06-03,13.8722
2022-06-04,13.8722
2022-06-05,13.8722
2022-06-06,13.8917
2022-06-07,13.9452
2022-06-08,13.8276
2022-06-09,13.727
2022-06-10,13.1974
2022-06-11,13.1974
2022-06-12,13.1974
2022-06-13,13.0936
2022-06-14,13.0027
2022-06-15,12.9281
2022-06-16,12.6532
2022-06-17,12.5639
2022-06-18,12.5639
2022-06-19,12.5639
2022-06-20,12.5639
2022-06-21,12.5777
2022-06-22,12.6094
2022-06-23,12.5891
2022-06-24,12.9281
2022-06-25,12.9281
2022-06-26,12.9281
2022-06-27,12.804
2022-06-28,12.6037
2022-06-29,12.5583
2022-06-30,17.0413
2022-07-01,16.9397
2022-07-02,16.9397
2022-07-03,16.9397
2022-07-04,16.9397
2022-07-05,17.0192
2022-07-06,17.0888
2022-07-07,17.112
2022-07-08,16.9651
2022-07-09,16.9651
2022-07-10,16.9651
2022-07-11,16.9971
2022-07-12,17.1285
2022-07-13,16.9265
2022-07-14,16.9199
2022-07-15,17.1208
2022-07-16,17.1208
2022-07-17,17.1208
2022-07-18,16.9861
2022-07-19,17.3416
2022-07-20,17.4387
2022-07-21,17.5425
2022-07-22,17.5612
2022-07-23,17.5612
2022-07-24,17.5612
2022-07-25,17.5612
2022-07-26,18.2931
2022-07-27,18.0992
2022-07-28,18.266
2022-07-29,18.5831
2022-07-30,18.5831
2022-07-31,18.5831
2022-08-01,18.5964
2022-08-02,18.4185
2022-08-03,18.6108
2022-08-04,19.1224
2022-08-05,19.0439
2022-08-06,19.0439
2022-08-07,19.0439
2022-08-08,19.1621
2022-08-09,19.0914
2022-08-10,19.2616
2022-08-11,19.2925
2022-08-12,19.5776
2022-08-13,19.5776
2022-08-14,19.5776
2022-08-15,19.4881
2022-08-16,19.3588
2022-08-17,19.0461
2022-08-18,18.9632
2022-08-19,18.7997
2022-08-20,18.7997
2022-08-21,18.7997
2022-08-22,18.4008
2022-08-23,18.4185
2022-08-24,18.34
2022-08-25,18.5301
2022-08-26,17.0252
2022-08-27,17.0252
2022-08-28,17.0252
2022-08-29,16.7268
2022-08-30,16.5522
2022-08-31,16.4959
2022-09-01,16.2476
2022-09-02,15.8202
2022-09-03,15.8202
2022-09-04,15.8202
2022-09-05,15.8202
2022-09-06,15.2779
2022-09-07,15.7021
2022-09-08,15.5646
2022-09-09,15.9759
2022-09-10,15.9759
2022-09-11,15.9759
2022-09-12,16.0994
2022-09-13,15.6935
2022-09-14,15.3777
2022-09-15,15.2585
2022-09-16,15.2789
2022-09-17,15.2789
2022-09-18,15.2789
2022-09-19,15.2822
2022-09-20,15.2693
2022-09-21,15.0856
2022-09-22,15.0137
2022-09-23,14.8902
2022-09-24,14.8902
2022-09-25,14.8902
2022-09-26,14.8913
2022-09-27,14.8279
2022-09-28,15.0287
2022-09-29,14.8161
2022-09-30,9.8601
2022-10-01,9.8601
2022-10-02,9.8601
2022-10-03,10.0602
2022-10-04,10.2369
2022-10-05,10.2037
2022-10-06,9.9057
2022-10-07,9.6408
2022-10-08,9.6408
2022-10-09,9.6408
2022-10-10,9.71
2022-10-11,9.7379
2022-10-12,9.746
2022-10-13,10.1368
2022-10-14,10.0904
2022-10-15,10.0904
2022-10-16,10.0904
2022-10-17,10.1073
2022-10-18,10.2611
2022-10-19,10.1324
2022-10-20,10.0521
2022-10-21,10.3244
