,SC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-08-10,13.667
2021-08-11,13.6884
2021-08-12,13.7074
2021-08-13,13.6827
2021-08-14,13.6827
2021-08-15,13.6827
2021-08-16,13.6357
2021-08-17,13.6464
2021-08-18,13.6381
2021-08-19,13.6151
2021-08-20,13.6217
2021-08-21,13.6217
2021-08-22,13.6217
2021-08-23,13.6266
2021-08-24,13.653
2021-08-25,13.6497
2021-08-26,13.6481
2021-08-27,13.6588
2021-08-28,13.6588
2021-08-29,13.6588
2021-08-30,13.6555
2021-08-31,13.6613
2021-09-01,13.6085
2021-09-02,13.6225
2021-09-03,13.6201
2021-09-04,13.6201
2021-09-05,13.6201
2021-09-06,13.6201
2021-09-07,13.6267
2021-09-08,13.6341
2021-09-09,13.6332
2021-09-10,13.6341
2021-09-11,13.6341
2021-09-12,13.6341
2021-09-13,13.6431
2021-09-14,13.6365
2021-09-15,13.6357
2021-09-16,13.6349
2021-09-17,13.6349
2021-09-18,13.6349
2021-09-19,13.6349
2021-09-20,13.6349
2021-09-21,13.6357
2021-09-22,13.6374
2021-09-23,13.6431
2021-09-24,13.644
2021-09-25,13.644
2021-09-26,13.644
2021-09-27,13.6448
2021-09-28,13.6423
2021-09-29,13.6464
2021-09-30,12.2249
2021-10-01,12.2173
2021-10-02,12.2173
2021-10-03,12.2173
2021-10-04,12.2158
2021-10-05,12.2249
2021-10-06,12.2196
2021-10-07,12.2211
2021-10-08,12.2211
2021-10-09,12.2211
2021-10-10,12.2211
2021-10-11,12.2173
2021-10-12,12.2173
2021-10-13,12.2218
2021-10-14,12.2234
2021-10-15,12.2196
2021-10-16,12.2196
2021-10-17,12.2196
2021-10-18,12.2538
2021-10-19,12.2218
2021-10-20,12.2333
2021-10-21,12.2249
2021-10-22,12.2211
2021-10-23,12.2211
2021-10-24,12.2211
2021-10-25,12.2287
2021-10-26,12.2256
2021-10-27,12.2259
2021-10-28,12.229
2021-10-29,12.2252
2021-10-30,12.2252
2021-10-31,12.2252
2021-11-01,12.2236
2021-11-02,12.2267
2021-11-03,12.2213
2021-11-04,12.2221
2021-11-05,12.2274
2021-11-06,12.2274
2021-11-07,12.2274
2021-11-08,12.2252
2021-11-09,12.2328
2021-11-10,12.235
2021-11-11,12.2358
2021-11-12,12.2328
2021-11-13,12.2328
2021-11-14,12.2328
2021-11-15,12.2373
2021-11-16,12.2449
2021-11-17,12.2472
2021-11-18,12.2297
2021-11-19,12.2419
2021-11-20,12.2419
2021-11-21,12.2419
2021-11-22,12.2564
2021-11-23,12.2746
2021-11-24,12.2761
2021-11-25,12.2761
2021-11-26,12.2457
2021-11-27,12.2457
2021-11-28,12.2457
2021-11-29,12.235
2021-11-30,12.229
2021-12-01,12.2373
2021-12-02,12.2328
2021-12-03,12.2784
2021-12-04,12.2784
2021-12-05,12.2784
2021-12-06,12.2503
2021-12-07,12.2838
2021-12-08,12.2609
2021-12-09,12.2586
2021-12-10,12.2777
2021-12-11,12.2777
2021-12-12,12.2777
2021-12-13,12.2274
2021-12-14,12.2282
2021-12-15,12.2564
2021-12-16,12.2396
2021-12-17,12.2252
2021-12-18,12.2252
2021-12-19,12.2252
2021-12-20,12.2419
2021-12-21,12.2457
2021-12-22,12.2617
2021-12-23,12.2663
2021-12-24,12.2663
2021-12-25,12.2663
2021-12-26,12.2663
2021-12-27,12.2632
2021-12-28,12.2693
2021-12-29,12.2921
2021-12-30,12.2739
2021-12-31,12.2495
2022-01-01,12.2495
2022-01-02,12.2495
2022-01-03,12.2487
2022-01-04,12.2465
2022-01-05,12.2206
2022-01-06,12.248
2022-01-07,12.2358
2022-01-08,12.2358
2022-01-09,12.2358
2022-01-10,12.2274
2022-01-11,12.2221
2022-01-12,12.2259
2022-01-13,12.2213
2022-01-14,12.2221
2022-01-15,12.2221
2022-01-16,12.2221
2022-01-17,12.2221
2022-01-18,12.2137
2022-01-19,12.2153
2022-01-20,12.2122
2022-01-21,12.2115
2022-01-22,12.2115
2022-01-23,12.2115
2022-01-24,12.2229
2022-01-25,12.2153
2022-01-26,12.2183
2022-01-27,12.2168
2022-01-28,12.2175
2022-01-29,12.2175
2022-01-30,12.2175
2022-01-31,12.2175
2022-02-01,12.2175
2022-02-02,12.2175
2022-02-03,12.2175
2022-02-04,12.2175
2022-02-05,12.2175
2022-02-06,12.2175
2022-02-07,12.2175
2022-02-08,12.2175
2022-02-09,12.2175
2022-02-10,12.2175
2022-02-11,12.2175
2022-02-12,12.2175
2022-02-13,12.2175
2022-02-14,12.2175
2022-02-15,12.2175
2022-02-16,12.2175
2022-02-17,12.2175
2022-02-18,12.2175
2022-02-19,12.2175
2022-02-20,12.2175
2022-02-21,12.2175
2022-02-22,12.2175
2022-02-23,12.2175
2022-02-24,12.2175
2022-02-25,12.2175
2022-02-26,12.2175
2022-02-27,12.2175
2022-02-28,12.2175
2022-03-01,12.2175
2022-03-02,12.2175
2022-03-03,12.2175
2022-03-04,12.2175
2022-03-05,12.2175
2022-03-06,12.2175
2022-03-07,12.2175
2022-03-08,12.2175
2022-03-09,12.2175
2022-03-10,12.2175
2022-03-11,12.2175
2022-03-12,12.2175
2022-03-13,12.2175
2022-03-14,12.2175
2022-03-15,12.2175
2022-03-16,12.2175
2022-03-17,12.2175
2022-03-18,12.2175
2022-03-19,12.2175
2022-03-20,12.2175
2022-03-21,12.2175
2022-03-22,12.2175
2022-03-23,12.2175
2022-03-24,12.2175
2022-03-25,12.2175
2022-03-26,12.2175
2022-03-27,12.2175
2022-03-28,12.2175
2022-03-29,12.2175
2022-03-30,12.2175
2022-03-31,12.2175
2022-04-01,12.2175
2022-04-02,12.2175
2022-04-03,12.2175
2022-04-04,12.2175
2022-04-05,12.2175
2022-04-06,12.2175
2022-04-07,12.2175
2022-04-08,12.2175
2022-04-09,12.2175
2022-04-10,12.2175
2022-04-11,12.2175
2022-04-12,12.2175
2022-04-13,12.2175
2022-04-14,12.2175
2022-04-15,12.2175
2022-04-16,12.2175
2022-04-17,12.2175
2022-04-18,12.2175
2022-04-19,12.2175
2022-04-20,12.2175
2022-04-21,12.2175
2022-04-22,12.2175
2022-04-23,12.2175
2022-04-24,12.2175
2022-04-25,12.2175
2022-04-26,12.2175
2022-04-27,12.2175
2022-04-28,12.2175
2022-04-29,12.2175
2022-04-30,12.2175
2022-05-01,12.2175
2022-05-02,12.2175
2022-05-03,12.2175
2022-05-04,12.2175
2022-05-05,12.2175
