,CC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-10-23,14.7105
2021-10-24,14.7105
2021-10-25,14.7846
2021-10-26,14.6364
2021-10-27,14.3277
2021-10-28,14.4697
2021-10-29,14.3493
2021-10-30,14.3493
2021-10-31,14.3493
2021-11-01,14.5623
2021-11-02,14.8062
2021-11-03,15.0069
2021-11-04,14.8124
2021-11-05,15.6168
2021-11-06,15.6168
2021-11-07,15.6168
2021-11-08,15.364
2021-11-09,15.3153
2021-11-10,15.233
2021-11-11,15.5651
2021-11-12,15.7996
2021-11-13,15.7996
2021-11-14,15.7996
2021-11-15,15.7813
2021-11-16,15.7661
2021-11-17,15.5711
2021-11-18,15.4158
2021-11-19,15.3701
2021-11-20,15.3701
2021-11-21,15.3701
2021-11-22,15.5468
2021-11-23,15.7874
2021-11-24,15.6046
2021-11-25,15.6046
2021-11-26,15.096
2021-11-27,15.096
2021-11-28,15.096
2021-11-29,15.1538
2021-11-30,14.7457
2021-12-01,14.7457
2021-12-02,14.7822
2021-12-03,14.6086
2021-12-04,14.6086
2021-12-05,14.6086
2021-12-06,14.968
2021-12-07,15.431
2021-12-08,15.4919
2021-12-09,15.6991
2021-12-10,15.629
2021-12-11,15.629
2021-12-12,15.629
2021-12-13,15.2848
2021-12-14,15.3884
2021-12-15,15.629
2021-12-16,15.6717
2021-12-17,15.5742
2021-12-18,15.5742
2021-12-19,15.5742
2021-12-20,15.2483
2021-12-21,15.4341
2021-12-22,15.498
2021-12-23,15.361
2021-12-24,15.361
2021-12-25,15.361
2021-12-26,15.361
2021-12-27,15.6168
2021-12-28,15.7813
2021-12-29,15.8148
2021-12-30,15.8057
2021-12-31,11.8783
2022-01-01,11.8783
2022-01-02,11.8783
2022-01-03,11.9847
2022-01-04,12.3764
2022-01-05,12.2748
2022-01-06,12.3933
2022-01-07,12.4755
2022-01-08,12.4755
2022-01-09,12.4755
2022-01-10,12.2434
2022-01-11,12.3643
2022-01-12,12.461
2022-01-13,12.4852
2022-01-14,12.5069
2022-01-15,12.5069
2022-01-16,12.5069
2022-01-17,12.5069
2022-01-18,12.3788
2022-01-19,12.357
2022-01-20,12.0645
2022-01-21,11.871
2022-01-22,11.871
2022-01-23,11.871
2022-01-24,11.6824
2022-01-25,11.7477
2022-01-26,11.6486
2022-01-27,11.6389
2022-01-28,11.6147
2022-01-29,11.6147
2022-01-30,11.6147
2022-01-31,11.6728
2022-02-01,11.8807
2022-02-02,11.9387
2022-02-03,11.8662
2022-02-04,11.7381
2022-02-05,11.7381
2022-02-06,11.7381
2022-02-07,11.6704
2022-02-08,12.1177
2022-02-09,12.4779
2022-02-10,12.3401
2022-02-11,10.8866
2022-02-12,10.8866
2022-02-13,10.8866
2022-02-14,10.832
2022-02-15,11.1287
2022-02-16,11.1738
2022-02-17,10.775
2022-02-18,10.7038
2022-02-19,10.7038
2022-02-20,10.7038
2022-02-21,10.7038
2022-02-22,10.5566
2022-02-23,10.4474
2022-02-24,10.1791
2022-02-25,10.5756
2022-02-26,10.5756
2022-02-27,10.5756
2022-02-28,10.3168
2022-03-01,9.9322
2022-03-02,10.1767
2022-03-03,10.0889
2022-03-04,9.7541
2022-03-05,9.7541
2022-03-06,9.7541
2022-03-07,9.2532
2022-03-08,9.3909
2022-03-09,9.8111
2022-03-10,9.9084
2022-03-11,10.0224
2022-03-12,10.0224
2022-03-13,10.0224
2022-03-14,10.2805
2022-03-15,10.3018
2022-03-16,10.5807
2022-03-17,10.6587
2022-03-18,10.8761
2022-03-19,10.8761
2022-03-20,10.8761
2022-03-21,10.8383
2022-03-22,10.9825
2022-03-23,10.9849
2022-03-24,11.3323
2022-03-25,11.3347
2022-03-26,11.3347
2022-03-27,11.3347
2022-03-28,11.2425
2022-03-29,11.3701
2022-03-30,11.3819
2022-03-31,9.3265
2022-04-01,9.4746
2022-04-02,9.4746
2022-04-03,9.4746
2022-04-04,9.486
2022-04-05,9.5411
2022-04-06,9.4139
2022-04-07,9.3531
2022-04-08,9.4822
2022-04-09,9.4822
2022-04-10,9.4822
2022-04-11,9.5088
2022-04-12,9.5221
2022-04-13,9.6987
2022-04-14,9.767
2022-04-15,9.767
2022-04-16,9.767
2022-04-17,9.767
2022-04-18,9.7518
2022-04-19,10.0613
2022-04-20,10.1183
2022-04-21,10.0177
2022-04-22,9.7537
2022-04-23,9.7537
2022-04-24,9.7537
2022-04-25,9.6702
2022-04-26,9.4765
2022-04-27,9.5468
2022-04-28,9.6645
2022-04-29,9.6284
2022-04-30,9.6284
2022-05-01,9.6284
2022-05-02,9.6341
2022-05-03,10.5593
2022-05-04,11.0411
2022-05-05,10.7409
2022-05-06,10.7724
2022-05-07,10.7724
2022-05-08,10.7724
2022-05-09,10.5593
2022-05-10,10.3166
2022-05-11,10.4685
2022-05-12,10.3759
2022-05-13,10.5927
2022-05-14,10.5927
2022-05-15,10.5927
2022-05-16,10.8595
2022-05-17,11.2839
2022-05-18,11.0115
2022-05-19,11.0078
2022-05-20,10.9096
2022-05-21,10.9096
2022-05-22,10.9096
2022-05-23,11.0115
2022-05-24,10.917
2022-05-25,10.9948
2022-05-26,11.3487
2022-05-27,11.5007
2022-05-28,11.5007
2022-05-29,11.5007
2022-05-30,11.5007
2022-05-31,11.3339
2022-06-01,11.4173
2022-06-02,11.6007
2022-06-03,11.434
2022-06-04,11.434
2022-06-05,11.434
2022-06-06,11.5822
2022-06-07,11.6489
2022-06-08,11.4099
2022-06-09,11.156
2022-06-10,10.8929
2022-06-11,10.8929
2022-06-12,10.8929
2022-06-13,10.4797
2022-06-14,10.0868
2022-06-15,9.9478
2022-06-16,9.2141
2022-06-17,9.2029
2022-06-18,9.2029
2022-06-19,9.2029
2022-06-20,9.2029
2022-06-21,9.1751
2022-06-22,9.0918
2022-06-23,8.7953
2022-06-24,9.1974
2022-06-25,9.1974
2022-06-26,9.1974
2022-06-27,9.1585
2022-06-28,9.2289
2022-06-29,9.227
2022-06-30,7.6196
2022-07-01,7.5337
2022-07-02,7.5337
2022-07-03,7.5337
2022-07-04,7.5337
2022-07-05,7.3183
2022-07-06,7.3386
2022-07-07,7.5244
2022-07-08,7.4978
2022-07-09,7.4978
2022-07-10,7.4978
2022-07-11,7.4744
2022-07-12,7.5696
2022-07-13,7.5618
2022-07-14,7.4619
2022-07-15,7.54
2022-07-16,7.54
2022-07-17,7.54
2022-07-18,7.5977
2022-07-19,7.9084
2022-07-20,7.8959
2022-07-21,7.9287
2022-07-22,7.86
2022-07-23,7.86
2022-07-24,7.86
2022-07-25,7.9583
2022-07-26,7.9318
2022-07-27,7.963
2022-07-28,8.0691
2022-07-29,8.1806
2022-07-30,8.1806
2022-07-31,8.1806
2022-08-01,8.0918
2022-08-02,8.0373
2022-08-03,7.989
2022-08-04,8.0669
2022-08-05,7.9937
2022-08-06,7.9937
2022-08-07,7.9937
2022-08-08,7.9797
2022-08-09,7.9859
2022-08-10,8.1323
2022-08-11,8.2289
2022-08-12,8.3317
2022-08-13,8.3317
2022-08-14,8.3317
2022-08-15,8.2881
2022-08-16,8.4454
2022-08-17,8.3146
2022-08-18,8.4143
2022-08-19,8.3457
2022-08-20,8.3457
2022-08-21,8.3457
2022-08-22,8.1962
2022-08-23,8.3224
2022-08-24,8.2787
2022-08-25,8.4314
2022-08-26,8.1915
2022-08-27,8.1915
2022-08-28,8.1915
2022-08-29,8.1323
2022-08-30,7.9766
2022-08-31,7.8753
2022-09-01,7.8255
2022-09-02,7.799
2022-09-03,7.799
2022-09-04,7.799
2022-09-05,7.799
2022-09-06,7.7507
2022-09-07,7.9688
2022-09-08,8.0233
2022-09-09,8.1868
2022-09-10,8.1868
2022-09-11,8.1868
2022-09-12,8.3255
2022-09-13,8.056
2022-09-14,7.908
2022-09-15,7.8878
2022-09-16,7.5264
2022-09-17,7.5264
2022-09-18,7.5264
2022-09-19,7.6728
2022-09-20,7.408
2022-09-21,7.0046
2022-09-22,6.7725
2022-09-23,6.5513
2022-09-24,6.5513
2022-09-25,6.5513
2022-09-26,6.3504
2022-09-27,6.3753
2022-09-28,6.4376
2022-09-29,6.3894
2022-09-30,6.5367
2022-10-01,6.5367
2022-10-02,6.5367
2022-10-03,6.7527
2022-10-04,6.9545
2022-10-05,7.0507
2022-10-06,6.8962
2022-10-07,6.8079
2022-10-08,6.8079
2022-10-09,6.8079
2022-10-10,6.8915
2022-10-11,6.8332
2022-10-12,6.8221
2022-10-13,6.9719
2022-10-14,6.8111
2022-10-15,6.8111
2022-10-16,6.8111
2022-10-17,7.1106
2022-10-18,7.2478
2022-10-19,7.1863
2022-10-20,7.1579
2022-10-21,7.303
2022-10-22,7.303
2022-10-23,7.303
