,OSK US Equity
,CURRENT_EV_TO_T12M_EBIT
2023-02-02,20.9636
2023-02-03,20.9053
2023-02-04,20.9053
2023-02-05,20.9053
2023-02-06,20.6383
2023-02-07,20.5781
2023-02-08,20.3341
2023-02-09,20.1219
2023-02-10,18.1855
2023-02-11,18.1855
2023-02-12,18.1855
2023-02-13,18.4915
2023-02-14,18.5905
2023-02-15,18.5304
2023-02-16,18.4031
2023-02-17,18.3341
2023-02-18,18.3341
2023-02-19,18.3341
2023-02-20,18.3341
2023-02-21,17.9896
2023-02-22,18.1063
2023-02-23,18.0515
2023-02-24,17.9683
2023-02-25,17.9683
2023-02-26,17.9683
2023-02-27,17.8746
2023-02-28,17.9966
2023-03-01,18.2072
2023-03-02,18.2638
2023-03-03,18.5752
2023-03-04,18.5752
2023-03-05,18.5752
2023-03-06,18.2921
2023-03-07,17.8816
2023-03-08,17.8516
2023-03-09,17.5614
