,LLY US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-12-05,38.6159
2021-12-06,38.7274
2021-12-07,38.546
2021-12-08,38.4285
2021-12-09,38.2173
2021-12-10,38.4017
2021-12-11,38.4017
2021-12-12,38.4017
2021-12-13,39.0546
2021-12-14,39.181
2021-12-15,43.033
2021-12-16,43.5922
2021-12-17,41.864
2021-12-18,41.864
2021-12-19,41.864
2021-12-20,41.278
2021-12-21,41.4862
2021-12-22,41.7272
2021-12-23,42.7087
2021-12-24,42.7087
2021-12-25,42.7087
2021-12-26,42.7087
2021-12-27,43.4985
2021-12-28,43.204
2021-12-29,43.4999
2021-12-30,43.3259
2021-12-31,43.6334
2022-01-01,43.6334
2022-01-02,43.6334
2022-01-03,42.9577
2022-01-04,42.2174
2022-01-05,41.2904
2022-01-06,41.0918
2022-01-07,41.1174
2022-01-08,41.1174
2022-01-09,41.1174
2022-01-10,41.2092
2022-01-11,41.5417
2022-01-12,40.5787
2022-01-13,39.6382
2022-01-14,38.8031
2022-01-15,38.8031
2022-01-16,38.8031
2022-01-17,38.8031
2022-01-18,39.247
2022-01-19,38.943
2022-01-20,38.6541
2022-01-21,38.6436
2022-01-22,38.6436
2022-01-23,38.6436
2022-01-24,38.2463
2022-01-25,38.1019
2022-01-26,37.8611
2022-01-27,37.6896
2022-01-28,38.9505
2022-01-29,38.9505
2022-01-30,38.9505
2022-01-31,38.9942
2022-02-01,39.4291
2022-02-02,39.8128
2022-02-03,38.9069
2022-02-04,38.5247
2022-02-05,38.5247
2022-02-06,38.5247
2022-02-07,38.7173
2022-02-08,38.1696
2022-02-09,38.6752
2022-02-10,38.1289
2022-02-11,37.5421
2022-02-12,37.5421
2022-02-13,37.5421
2022-02-14,37.3841
2022-02-15,38.7609
2022-02-16,39.0228
2022-02-17,38.3291
2022-02-18,38.2298
2022-02-19,38.2298
2022-02-20,38.2298
2022-02-21,38.2298
2022-02-22,38.0522
2022-02-23,37.7697
2022-02-24,38.4843
2022-02-25,39.6483
2022-02-26,39.6483
2022-02-27,39.6483
2022-02-28,39.5134
2022-03-01,39.446
2022-03-02,40.1456
2022-03-03,40.8153
2022-03-04,41.449
2022-03-05,41.449
2022-03-06,41.449
2022-03-07,41.2647
2022-03-08,41.0085
2022-03-09,41.437
2022-03-10,41.9209
2022-03-11,41.9628
2022-03-12,41.9628
2022-03-13,41.9628
2022-03-14,42.3673
2022-03-15,43.335
2022-03-16,43.4819
2022-03-17,44.8406
2022-03-18,45.1597
2022-03-19,45.1597
2022-03-20,45.1597
2022-03-21,45.4593
2022-03-22,44.7672
2022-03-23,44.6429
2022-03-24,45.1672
2022-03-25,45.3665
