,EBAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-08-01,16.7189
2021-08-02,16.8177
2021-08-03,16.6718
2021-08-04,16.6695
2021-08-05,16.5001
2021-08-06,16.079
2021-08-07,16.079
2021-08-08,16.079
2021-08-09,16.0461
2021-08-10,16.5072
2021-08-11,16.6742
2021-08-12,16.1365
2021-08-13,17.288
2021-08-14,17.288
2021-08-15,17.288
2021-08-16,17.5641
2021-08-17,17.0232
2021-08-18,17.0209
2021-08-19,17.0209
2021-08-20,17.1399
2021-08-21,17.1399
2021-08-22,17.1399
2021-08-23,17.104
2021-08-24,17.0232
2021-08-25,17.3195
2021-08-26,17.6517
2021-08-27,17.8245
2021-08-28,17.8245
2021-08-29,17.8245
2021-08-30,18.0804
2021-08-31,17.8986
2021-09-01,17.7661
2021-09-02,17.8425
2021-09-03,17.8514
2021-09-04,17.8514
2021-09-05,17.8514
2021-09-06,17.8514
2021-09-07,17.4429
2021-09-08,17.2678
2021-09-09,17.0591
2021-09-10,16.9603
2021-09-11,16.9603
2021-09-12,16.9603
2021-09-13,16.985
2021-09-14,16.6977
2021-09-15,17.2813
2021-09-16,17.4407
2021-09-17,17.3082
2021-09-18,17.3082
2021-09-19,17.3082
2021-09-20,17.0299
2021-09-21,16.8615
2021-09-22,17.1062
2021-09-23,17.1736
2021-09-24,17.0568
2021-09-25,17.0568
2021-09-26,17.0568
2021-09-27,17.2095
2021-09-28,16.6685
2021-09-29,16.3789
2021-09-30,16.8624
2021-10-01,16.9162
2021-10-02,16.9162
2021-10-03,16.9162
2021-10-04,16.593
2021-10-05,16.9297
2021-10-06,17.2821
2021-10-07,17.8725
2021-10-08,18.07
2021-10-09,18.07
2021-10-10,18.07
2021-10-11,17.9465
2021-10-12,17.9847
2021-10-13,18.0363
2021-10-14,17.9869
2021-10-15,18.0363
2021-10-16,18.0363
2021-10-17,18.0363
2021-10-18,17.8904
2021-10-19,17.9959
2021-10-20,18.2765
2021-10-21,18.3304
2021-10-22,19.3135
2021-10-23,19.3135
2021-10-24,19.3135
2021-10-25,19.309
2021-10-26,18.8444
2021-10-27,18.6558
2021-10-28,16.876
2021-10-29,17.8077
2021-10-30,17.8077
2021-10-31,17.8077
2021-11-01,17.7169
2021-11-02,17.4143
2021-11-03,17.5331
2021-11-04,17.7126
2021-11-05,17.5591
2021-11-06,17.5591
2021-11-07,17.5591
2021-11-08,17.1678
2021-11-09,17.2111
2021-11-10,17.0533
2021-11-11,17.0684
2021-11-12,17.2003
2021-11-13,17.2003
2021-11-14,17.2003
2021-11-15,17.2651
2021-11-16,17.6283
2021-11-17,17.0857
2021-11-18,17.3753
2021-11-19,17.3559
2021-11-20,17.3559
2021-11-21,17.3559
2021-11-22,17.1268
2021-11-23,16.7117
2021-11-24,16.9301
2021-11-25,16.9301
2021-11-26,16.889
2021-11-27,16.889
2021-11-28,16.889
2021-11-29,16.474
2021-11-30,15.806
2021-12-01,15.6655
2021-12-02,15.8103
2021-12-03,15.7174
2021-12-04,15.7174
2021-12-05,15.7174
2021-12-06,15.5055
2021-12-07,15.7563
2021-12-08,15.7412
2021-12-09,15.6201
2021-12-10,15.6828
2021-12-11,15.6828
2021-12-12,15.6828
2021-12-13,15.6396
2021-12-14,15.458
2021-12-15,15.4061
2021-12-16,15.0667
2021-12-17,15.0646
2021-12-18,15.0646
2021-12-19,15.0646
2021-12-20,15.0127
2021-12-21,14.9954
2021-12-22,15.0451
2021-12-23,15.2505
2021-12-24,15.2505
2021-12-25,15.2505
2021-12-26,15.2505
2021-12-27,15.4169
2021-12-28,15.5077
2021-12-29,15.5899
2021-12-30,15.659
2021-12-31,14.555
2022-01-01,14.555
2022-01-02,14.555
2022-01-03,14.6192
2022-01-04,14.2637
2022-01-05,14.1245
2022-01-06,14.6214
2022-01-07,14.5164
2022-01-08,14.5164
2022-01-09,14.5164
2022-01-10,14.1417
2022-01-11,14.54
2022-01-12,14.0881
2022-01-13,13.8654
2022-01-14,13.9018
2022-01-15,13.9018
2022-01-16,13.9018
2022-01-17,13.9018
2022-01-18,13.5077
2022-01-19,13.6534
2022-01-20,13.315
2022-01-21,13.0644
2022-01-22,13.0644
2022-01-23,13.0644
2022-01-24,13.0901
2022-01-25,12.7731
2022-01-26,12.6725
2022-01-27,12.4562
2022-01-28,12.6361
2022-01-29,12.6361
2022-01-30,12.6361
2022-01-31,13.1779
2022-02-01,13.2657
2022-02-02,12.8502
2022-02-03,12.5611
2022-02-04,13.0109
2022-02-05,13.0109
2022-02-06,13.0109
2022-02-07,12.8845
2022-02-08,13.1051
2022-02-09,13.2936
2022-02-10,12.9081
2022-02-11,12.816
2022-02-12,12.816
2022-02-13,12.816
2022-02-14,12.7731
2022-02-15,13.1479
2022-02-16,12.6596
2022-02-17,12.2549
2022-02-18,12.1906
2022-02-19,12.1906
2022-02-20,12.1906
2022-02-21,12.1906
2022-02-22,12.1242
2022-02-23,12.0043
2022-02-24,11.4566
2022-02-25,11.2877
2022-02-26,11.2877
2022-02-27,11.2877
2022-02-28,11.2857
2022-03-01,11.2375
2022-03-02,11.3862
2022-03-03,11.2516
2022-03-04,11.5008
2022-03-05,11.5008
2022-03-06,11.5008
2022-03-07,11.338
2022-03-08,11.0285
2022-03-09,10.9782
2022-03-10,10.8375
2022-03-11,10.3752
2022-03-12,10.3752
2022-03-13,10.3752
2022-03-14,10.7832
2022-03-15,11.1551
2022-03-16,11.3219
2022-03-17,11.5028
2022-03-18,11.5732
2022-03-19,11.5732
2022-03-20,11.5732
2022-03-21,11.4325
2022-03-22,11.5189
2022-03-23,11.4887
2022-03-24,11.8164
2022-03-25,11.8546
2022-03-26,11.8546
2022-03-27,11.8546
2022-03-28,12.1279
2022-03-29,12.4154
2022-03-30,12.2445
2022-03-31,12.9571
2022-04-01,13.0524
2022-04-02,13.0524
2022-04-03,13.0524
2022-04-04,12.8448
2022-04-05,12.7749
2022-04-06,12.292
2022-04-07,12.3471
2022-04-08,12.4848
2022-04-09,12.4848
2022-04-10,12.4848
2022-04-11,12.4551
2022-04-12,12.3174
2022-04-13,12.5038
2022-04-14,12.2984
2022-04-15,12.2984
2022-04-16,12.2984
2022-04-17,12.2984
2022-04-18,12.3852
2022-04-19,12.5144
2022-04-20,12.4488
2022-04-21,12.4297
2022-04-22,11.7028
2022-04-23,11.7028
2022-04-24,11.7028
2022-04-25,11.7969
2022-04-26,11.6885
2022-04-27,11.4758
2022-04-28,11.8255
2022-04-29,11.4472
2022-04-30,11.4472
2022-05-01,11.4472
2022-05-02,11.6987
2022-05-03,11.7621
2022-05-04,11.9584
2022-05-05,10.5248
2022-05-06,10.6802
2022-05-07,10.6802
2022-05-08,10.6802
2022-05-09,10.771
2022-05-10,10.6358
2022-05-11,10.2302
2022-05-12,10.1454
2022-05-13,10.2443
2022-05-14,10.2443
2022-05-15,10.2443
2022-05-16,9.9294
2022-05-17,10.2988
2022-05-18,9.8992
2022-05-19,9.8346
2022-05-20,9.772
2022-05-21,9.772
2022-05-22,9.772
2022-05-23,9.9496
2022-05-24,9.7458
2022-05-25,9.8729
2022-05-26,10.208
2022-05-27,10.6822
