,BFH US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-03-09,6.9497
2022-03-10,6.8454
2022-03-11,6.8617
2022-03-12,6.8617
2022-03-13,6.8617
2022-03-14,6.8789
2022-03-15,6.9971
2022-03-16,7.1856
2022-03-17,7.177
2022-03-18,7.1995
2022-03-19,7.1995
2022-03-20,7.1995
2022-03-21,7.0531
2022-03-22,7.1263
2022-03-23,6.9923
2022-03-24,7.0134
2022-03-25,7.0641
2022-03-26,7.0641
2022-03-27,7.0641
2022-03-28,6.9
2022-03-29,7.0167
2022-03-30,6.9373
2022-03-31,6.7884
2022-04-01,6.8215
2022-04-02,6.8215
2022-04-03,6.8215
2022-04-04,6.772
2022-04-05,6.7241
2022-04-06,6.6079
2022-04-07,6.5682
2022-04-08,6.6125
2022-04-09,6.6125
2022-04-10,6.6125
2022-04-11,6.6227
2022-04-12,6.6421
2022-04-13,6.7134
2022-04-14,6.7251
2022-04-15,6.7251
2022-04-16,6.7251
2022-04-17,6.7251
2022-04-18,6.8216
2022-04-19,6.9272
2022-04-20,6.9349
2022-04-21,6.8856
2022-04-22,6.7485
2022-04-23,6.7485
2022-04-24,6.7485
2022-04-25,6.7993
2022-04-26,6.6865
2022-04-27,6.6504
2022-04-28,6.813
2022-04-29,6.7099
2022-04-30,6.7099
2022-05-01,6.7099
2022-05-02,6.7271
2022-05-03,6.7459
2022-05-04,6.845
2022-05-05,6.7216
2022-05-06,6.6688
2022-05-07,6.6688
2022-05-08,6.6688
2022-05-09,6.5657
2022-05-10,6.494
2022-05-11,6.4148
2022-05-12,6.3762
2022-05-13,6.5174
2022-05-14,6.5174
2022-05-15,6.5174
2022-05-16,6.4559
2022-05-17,6.5494
2022-05-18,6.4036
2022-05-19,6.3625
2022-05-20,6.3732
2022-05-21,6.3732
2022-05-22,6.3732
2022-05-23,6.4605
2022-05-24,6.3808
2022-05-25,6.5032
2022-05-26,6.5768
2022-05-27,6.7003
2022-05-28,6.7003
2022-05-29,6.7003
2022-05-30,6.7003
2022-05-31,6.7251
2022-06-01,6.6977
2022-06-02,6.751
2022-06-03,6.684
2022-06-04,6.684
2022-06-05,6.684
2022-06-06,6.7262
2022-06-07,6.7531
2022-06-08,6.6825
2022-06-09,6.5758
2022-06-10,6.3173
2022-06-11,6.3173
2022-06-12,6.3173
2022-06-13,6.1436
2022-06-14,6.1446
2022-06-15,6.2416
2022-06-16,6.0938
2022-06-17,6.1649
2022-06-18,6.1649
2022-06-19,6.1649
2022-06-20,6.1649
2022-06-21,6.1263
2022-06-22,6.0501
2022-06-23,5.9805
2022-06-24,5.9348
2022-06-25,5.9348
2022-06-26,5.9348
2022-06-27,5.9871
2022-06-28,5.9348
2022-06-29,5.8627
2022-06-30,9.6117
2022-07-01,9.6047
2022-07-02,9.6047
2022-07-03,9.6047
2022-07-04,9.6047
2022-07-05,9.6039
2022-07-06,9.5985
2022-07-07,9.6799
2022-07-08,9.7163
2022-07-09,9.7163
2022-07-10,9.7163
2022-07-11,9.7404
2022-07-12,9.8854
2022-07-13,9.852
2022-07-14,9.7621
2022-07-15,9.8706
2022-07-16,9.8706
2022-07-17,9.8706
2022-07-18,9.9637
2022-07-19,10.1792
2022-07-20,10.2777
2022-07-21,10.2583
2022-07-22,10.1614
2022-07-23,10.1614
2022-07-24,10.1614
2022-07-25,10.1435
2022-07-26,9.9706
2022-07-27,10.0342
2022-07-28,9.8613
2022-07-29,9.8094
2022-07-30,9.8094
2022-07-31,9.8094
2022-08-01,9.79
2022-08-02,9.7055
2022-08-03,9.8272
2022-08-04,9.7943
2022-08-05,9.7174
2022-08-06,9.7174
2022-08-07,9.7174
2022-08-08,9.7586
2022-08-09,9.6949
2022-08-10,10.1475
2022-08-11,10.1592
2022-08-12,10.1716
2022-08-13,10.1716
2022-08-14,10.1716
2022-08-15,10.1934
2022-08-16,10.2081
2022-08-17,10.1654
2022-08-18,10.2066
2022-08-19,10.0552
2022-08-20,10.0552
2022-08-21,10.0552
2022-08-22,9.889
2022-08-23,9.8983
2022-08-24,9.9022
2022-08-25,9.9643
2022-08-26,9.7756
2022-08-27,9.7756
2022-08-28,9.7756
2022-08-29,9.7291
2022-08-30,9.7392
2022-08-31,9.7221
2022-09-01,9.7104
2022-09-02,9.6926
2022-09-03,9.6926
2022-09-04,9.6926
2022-09-05,9.6926
2022-09-06,9.5683
2022-09-07,9.5878
2022-09-08,9.6786
