,CORT US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-04-18,15.952
2022-04-19,15.9037
2022-04-20,15.7346
2022-04-21,15.5575
2022-04-22,15.1952
2022-04-23,15.1952
2022-04-24,15.1952
2022-04-25,15.5991
2022-04-26,14.9129
2022-04-27,14.6303
2022-04-28,14.38
2022-04-29,14.59
2022-04-30,14.59
2022-05-01,14.59
2022-05-02,15.0259
2022-05-03,14.9694
2022-05-04,15.1631
2022-05-05,14.4367
2022-05-06,12.7252
2022-05-07,12.7252
2022-05-08,12.7252
2022-05-09,12.1762
2022-05-10,11.9744
2022-05-11,11.2155
2022-05-12,12.2569
2022-05-13,12.5153
2022-05-14,12.5153
2022-05-15,12.5153
2022-05-16,12.596
2022-05-17,13.0078
2022-05-18,12.9432
2022-05-19,13.5729
2022-05-20,13.7101
2022-05-21,13.7101
2022-05-22,13.7101
2022-05-23,13.4114
2022-05-24,13.3711
2022-05-25,13.3226
2022-05-26,13.4599
2022-05-27,14.1784
2022-05-28,14.1784
2022-05-29,14.1784
2022-05-30,14.1784
2022-05-31,14.0492
2022-06-01,13.9685
2022-06-02,14.1784
2022-06-03,14.469
2022-06-04,14.469
2022-06-05,14.469
2022-06-06,14.5175
2022-06-07,14.5175
2022-06-08,14.6547
2022-06-09,14.6386
2022-06-10,14.5094
2022-06-11,14.5094
2022-06-12,14.5094
2022-06-13,13.8312
2022-06-14,14.2591
2022-06-15,14.2591
2022-06-16,13.6859
2022-06-17,13.9362
2022-06-18,13.9362
2022-06-19,13.9362
2022-06-20,13.9362
2022-06-21,15.0099
2022-06-22,15.2602
2022-06-23,15.9949
2022-06-24,16.4389
2022-06-25,16.4389
2022-06-26,16.4389
2022-06-27,17.4884
2022-06-28,16.9071
2022-06-29,17.1978
2022-06-30,16.3767
2022-07-01,17.722
2022-07-02,17.722
2022-07-03,17.722
2022-07-04,17.722
2022-07-05,17.9571
2022-07-06,18.3461
2022-07-07,19.0755
2022-07-08,19.5051
2022-07-09,19.5051
2022-07-10,19.5051
2022-07-11,18.103
2022-07-12,18.3704
2022-07-13,18.7594
2022-07-14,19.2863
2022-07-15,19.1809
2022-07-16,19.1809
2022-07-17,19.1809
2022-07-18,18.8972
2022-07-19,19.6591
2022-07-20,19.5456
2022-07-21,19.651
2022-07-22,18.9134
2022-07-23,18.9134
2022-07-24,18.9134
2022-07-25,18.6379
2022-07-26,18.8324
2022-07-27,20.656
2022-07-28,20.7046
2022-07-29,20.3318
2022-07-30,20.3318
2022-07-31,20.3318
2022-08-01,19.2538
2022-08-02,19.7969
2022-08-03,20.3723
2022-08-04,20.2489
2022-08-05,20.5512
2022-08-06,20.5512
2022-08-07,20.5512
2022-08-08,20.2653
2022-08-09,20.0692
2022-08-10,19.7669
2022-08-11,19.9548
2022-08-12,20.3143
2022-08-13,20.3143
2022-08-14,20.3143
2022-08-15,20.0365
2022-08-16,19.0316
2022-08-17,19.1705
2022-08-18,19.5382
2022-08-19,19.7097
2022-08-20,19.7097
2022-08-21,19.7097
2022-08-22,19.2849
2022-08-23,19.2195
2022-08-24,19.2604
2022-08-25,19.6934
2022-08-26,18.9336
2022-08-27,18.9336
2022-08-28,18.9336
2022-08-29,18.3127
2022-08-30,18.4597
2022-08-31,18.1983
2022-09-01,18.329
2022-09-02,18.0431
2022-09-03,18.0431
2022-09-04,18.0431
2022-09-05,18.0431
2022-09-06,17.9695
2022-09-07,18.615
2022-09-08,18.4679
2022-09-09,18.3372
2022-09-10,18.3372
