,TTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-11-06,22.7667
2020-11-07,22.7667
2020-11-08,22.7667
2020-11-09,22.1451
2020-11-10,22.5855
2020-11-11,22.6509
2020-11-12,22.5427
2020-11-13,22.8422
2020-11-14,22.8422
2020-11-15,22.8422
2020-11-16,23.2398
2020-11-17,23.3631
2020-11-18,23.0712
2020-11-19,23.1744
2020-11-20,23.4613
2020-11-21,23.4613
2020-11-22,23.4613
2020-11-23,23.791
2020-11-24,24.0653
2020-11-25,23.6374
2020-11-26,23.6374
2020-11-27,23.8614
2020-11-28,23.8614
2020-11-29,23.8614
2020-11-30,23.7507
2020-12-01,23.7205
2020-12-02,23.3153
2020-12-03,23.4059
2020-12-04,23.7482
2020-12-05,23.7482
2020-12-06,23.7482
2020-12-07,23.6299
2020-12-08,23.7406
2020-12-09,23.8262
2020-12-10,23.7406
2020-12-11,23.9545
2020-12-12,23.9545
2020-12-13,23.9545
2020-12-14,23.9621
2020-12-15,24.2163
2020-12-16,24.1408
2020-12-17,24.41
2020-12-18,24.8535
2020-12-19,24.8535
2020-12-20,24.8535
2020-12-21,24.6894
2020-12-22,24.7096
2020-12-23,24.596
2020-12-24,24.6263
2020-12-25,24.6263
2020-12-26,24.6263
2020-12-27,24.6263
2020-12-28,24.6718
2020-12-29,24.6869
2020-12-30,24.7374
2020-12-31,24.8636
2021-01-01,24.8636
2021-01-02,24.8636
2021-01-03,24.8636
2021-01-04,24.5001
2021-01-05,24.6364
2021-01-06,25.8077
2021-01-07,26.6509
2021-01-08,26.1536
2021-01-09,26.1536
2021-01-10,26.1536
2021-01-11,26.0122
2021-01-12,26.0476
2021-01-13,26.194
2021-01-14,26.2091
2021-01-15,25.5023
2021-01-16,25.5023
2021-01-17,25.5023
2021-01-18,25.5023
2021-01-19,25.7345
2021-01-20,26.2722
2021-01-21,26.2949
2021-01-22,26.459
2021-01-23,26.459
2021-01-24,26.459
2021-01-25,26.1258
2021-01-26,25.8355
2021-01-27,25.0858
2021-01-28,25.1464
2021-01-29,22.0074
2021-01-30,22.0074
2021-01-31,22.0074
2021-02-01,22.1993
2021-02-02,22.3596
2021-02-03,22.4567
2021-02-04,22.5365
2021-02-05,22.9761
2021-02-06,22.9761
2021-02-07,22.9761
2021-02-08,23.3863
2021-02-09,23.3931
2021-02-10,23.4022
2021-02-11,23.5087
2021-02-12,23.8101
2021-02-13,23.8101
2021-02-14,23.8101
2021-02-15,23.8101
2021-02-16,23.7149
2021-02-17,23.2571
2021-02-18,23.1008
2021-02-19,23.2594
2021-02-20,23.2594
2021-02-21,23.2594
2021-02-22,23.3886
2021-02-23,23.6922
2021-02-24,23.7761
2021-02-25,23.6356
2021-02-26,23.5631
2021-02-27,23.5631
2021-02-28,23.5631
2021-03-01,24.0072
2021-03-02,23.7194
2021-03-03,23.4339
2021-03-04,22.5453
2021-03-05,22.9562
2021-03-06,22.9562
2021-03-07,22.9562
2021-03-08,22.8456
2021-03-09,22.744
2021-03-10,23.6358
2021-03-11,23.3423
2021-03-12,23.6854
2021-03-13,23.6854
2021-03-14,23.6854
2021-03-15,24.2318
2021-03-16,24.0602
2021-03-17,24.0376
2021-03-18,24.374
2021-03-19,23.9722
2021-03-20,23.9722
2021-03-21,23.9722
2021-03-22,23.8661
2021-03-23,23.4597
2021-03-24,23.7035
2021-03-25,24.0738
2021-03-26,24.2837
2021-03-27,24.2837
2021-03-28,24.2837
2021-03-29,24.1008
2021-03-30,24.216
2021-03-31,24.0128
2021-04-01,24.514
2021-04-02,24.514
2021-04-03,24.514
2021-04-04,24.514
2021-04-05,24.5095
2021-04-06,24.6811
2021-04-07,24.3876
2021-04-08,24.4327
2021-04-09,24.7149
2021-04-10,24.7149
2021-04-11,24.7149
2021-04-12,24.7465
2021-04-13,24.4666
2021-04-14,24.4485
2021-04-15,25.1597
2021-04-16,26.1937
2021-04-17,26.1937
2021-04-18,26.1937
2021-04-19,26.2298
2021-04-20,26.3246
2021-04-21,26.8574
2021-04-22,26.6723
2021-04-23,26.9951
2021-04-24,26.9951
2021-04-25,26.9951
2021-04-26,26.8823
2021-04-27,26.8213
2021-04-28,26.6249
2021-04-29,27.02
2021-04-30,23.709
2021-05-01,23.709
2021-05-02,23.709
2021-05-03,23.79
2021-05-04,23.962
2021-05-05,24.0086
2021-05-06,23.9337
2021-05-07,24.0956
2021-05-08,24.0956
2021-05-09,24.0956
2021-05-10,23.9904
2021-05-11,23.5045
2021-05-12,22.8527
2021-05-13,23.3162
2021-05-14,23.3992
2021-05-15,23.3992
2021-05-16,23.3992
2021-05-17,23.2312
2021-05-18,22.8769
2021-05-19,22.7616
2021-05-20,22.7575
2021-05-21,22.8749
2021-05-22,22.8749
2021-05-23,22.8749
2021-05-24,22.7778
2021-05-25,22.9883
2021-05-26,22.9336
2021-05-27,22.9923
2021-05-28,22.9984
2021-05-29,22.9984
2021-05-30,22.9984
2021-05-31,22.9984
2021-06-01,23.1867
2021-06-02,22.7575
2021-06-03,21.8952
2021-06-04,21.708
2021-06-05,21.708
2021-06-06,21.708
2021-06-07,21.6355
2021-06-08,22.0121
2021-06-09,21.8973
2021-06-10,21.8832
2021-06-11,21.7744
2021-06-12,21.7744
2021-06-13,21.7744
2021-06-14,21.708
2021-06-15,21.7986
2021-06-16,21.4784
2021-06-17,21.5428
2021-06-18,21.5327
2021-06-19,21.5327
2021-06-20,21.5327
2021-06-21,21.9657
2021-06-22,22.0886
2021-06-23,22.1248
2021-06-24,22.1973
2021-06-25,22.4753
2021-06-26,22.4753
2021-06-27,22.4753
2021-06-28,22.437
2021-06-29,22.5095
2021-06-30,22.6384
2021-07-01,22.7955
2021-07-02,22.9143
2021-07-03,22.9143
2021-07-04,22.9143
2021-07-05,22.9143
2021-07-06,22.7149
2021-07-07,23.0512
2021-07-08,22.8418
2021-07-09,23.2526
2021-07-10,23.2526
2021-07-11,23.2526
2021-07-12,23.2204
2021-07-13,22.7814
2021-07-14,22.9707
2021-07-15,22.9546
2021-07-16,22.866
2021-07-17,22.866
2021-07-18,22.866
2021-07-19,22.6626
2021-07-20,23.0593
2021-07-21,22.9485
2021-07-22,22.6626
2021-07-23,23.1419
2021-07-24,23.1419
2021-07-25,23.1419
2021-07-26,23.0593
