,KRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-07-23,8.3591
2022-07-24,8.3591
2022-07-25,8.5009
2022-07-26,8.4064
2022-07-27,8.4206
2022-07-28,8.4253
2022-07-29,8.5434
2022-07-30,8.5434
2022-07-31,8.5434
2022-08-01,8.6238
2022-08-02,8.5529
2022-08-03,8.5346
2022-08-04,8.0383
2022-08-05,7.9438
2022-08-06,7.9438
2022-08-07,7.9438
2022-08-08,7.5467
2022-08-09,7.438
2022-08-10,7.3908
2022-08-11,7.5326
2022-08-12,7.6413
2022-08-13,7.6413
2022-08-14,7.6413
2022-08-15,7.646
2022-08-16,7.5798
2022-08-17,7.3955
2022-08-18,7.4522
2022-08-19,7.3057
2022-08-20,7.3057
2022-08-21,7.3057
2022-08-22,7.1686
2022-08-23,7.1497
2022-08-24,7.041
2022-08-25,7.1166
2022-08-26,6.8992
2022-08-27,6.8992
2022-08-28,6.8992
2022-08-29,6.8708
2022-08-30,6.7243
2022-08-31,6.3273
2022-09-01,6.3982
2022-09-02,6.2753
2022-09-03,6.2753
2022-09-04,6.2753
2022-09-05,6.2753
2022-09-06,6.2186
2022-09-07,6.3084
2022-09-08,6.1808
2022-09-09,6.2706
2022-09-10,6.2706
2022-09-11,6.2706
2022-09-12,6.3415
2022-09-13,6.0957
2022-09-14,5.7932
2022-09-15,5.8168
2022-09-16,5.8215
2022-09-17,5.8215
2022-09-18,5.8215
2022-09-19,5.8593
2022-09-20,5.6939
2022-09-21,5.5852
2022-09-22,5.5899
2022-09-23,5.434
2022-09-24,5.434
2022-09-25,5.434
2022-09-26,5.2874
2022-09-27,4.6635
2022-09-28,4.6683
2022-09-29,4.5217
2022-09-30,5.4102
2022-10-01,5.4102
2022-10-02,5.4102
2022-10-03,5.6006
2022-10-04,5.6822
2022-10-05,5.4646
2022-10-06,5.0241
2022-10-07,5.0241
2022-10-08,5.0241
2022-10-09,5.0241
2022-10-10,5.1437
2022-10-11,5.1709
2022-10-12,5.1546
2022-10-13,5.2199
2022-10-14,5.1437
2022-10-15,5.1437
2022-10-16,5.1437
