,BSIG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-11-09,8.6915
2020-11-10,8.7537
2020-11-11,9.1709
2020-11-12,9.1306
2020-11-13,9.2807
2020-11-14,9.2807
2020-11-15,9.2807
2020-11-16,9.4563
2020-11-17,9.6503
2020-11-18,9.4966
2020-11-19,9.4893
2020-11-20,9.482
2020-11-21,9.482
2020-11-22,9.482
2020-11-23,9.5332
2020-11-24,9.5771
2020-11-25,9.4344
2020-11-26,9.4344
2020-11-27,9.4929
2020-11-28,9.4929
2020-11-29,9.4929
2020-11-30,9.2917
2020-12-01,9.3063
2020-12-02,9.3429
2020-12-03,9.8369
2020-12-04,9.9138
2020-12-05,9.9138
2020-12-06,9.9138
2020-12-07,9.8955
2020-12-08,9.9577
2020-12-09,9.9321
2020-12-10,9.9467
2020-12-11,9.8589
2020-12-12,9.8589
2020-12-13,9.8589
2020-12-14,9.5734
2020-12-15,9.6503
2020-12-16,9.6466
2020-12-17,9.6722
2020-12-18,9.6979
2020-12-19,9.6979
2020-12-20,9.6979
2020-12-21,9.6759
2020-12-22,9.7271
2020-12-23,9.7015
2020-12-24,9.7674
2020-12-25,9.7674
2020-12-26,9.7674
2020-12-27,9.7674
2020-12-28,9.7601
2020-12-29,9.7601
2020-12-30,9.8223
2020-12-31,9.9508
2021-01-01,9.9508
2021-01-02,9.9508
2021-01-03,9.9508
2021-01-04,9.7293
2021-01-05,9.6555
2021-01-06,10.0616
2021-01-07,10.117
2021-01-08,10.2554
2021-01-09,10.2554
2021-01-10,10.2554
2021-01-11,10.6015
2021-01-12,10.7446
2021-01-13,10.7815
2021-01-14,10.8461
2021-01-15,10.8
2021-01-16,10.8
2021-01-17,10.8
2021-01-18,10.8
2021-01-19,10.8554
2021-01-20,10.9246
2021-01-21,10.6246
2021-01-22,10.6523
2021-01-23,10.6523
2021-01-24,10.6523
2021-01-25,10.5877
2021-01-26,10.5046
2021-01-27,9.5955
2021-01-28,9.9139
2021-01-29,9.5124
2021-01-30,9.5124
2021-01-31,9.5124
2021-02-01,9.8631
2021-02-02,10.2277
2021-02-03,10.3062
2021-02-04,10.3754
2021-02-05,10.4492
2021-02-06,10.4492
2021-02-07,10.4492
2021-02-08,10.1447
2021-02-09,10.08
2021-02-10,9.9831
2021-02-11,10.1908
2021-02-12,10.2093
2021-02-13,10.2093
2021-02-14,10.2093
2021-02-15,10.2093
2021-02-16,10.5
2021-02-17,10.3616
2021-02-18,9.9877
2021-02-19,9.9047
2021-02-20,9.9047
2021-02-21,9.9047
2021-02-22,9.8401
2021-02-23,9.7616
2021-02-24,9.9601
2021-02-25,9.5816
2021-02-26,9.4063
2021-02-27,9.4063
2021-02-28,9.4063
2021-03-01,9.8601
2021-03-02,9.7729
2021-03-03,9.7225
2021-03-04,9.6078
2021-03-05,9.9013
2021-03-06,9.9013
2021-03-07,9.9013
2021-03-08,9.8601
2021-03-09,9.9702
2021-03-10,10.3417
2021-03-11,10.4013
2021-03-12,10.305
2021-03-13,10.305
2021-03-14,10.305
2021-03-15,10.2683
2021-03-16,10.0986
2021-03-17,10.2591
2021-03-18,9.9702
2021-03-19,10.1582
2021-03-20,10.1582
2021-03-21,10.1582
2021-03-22,10.1353
2021-03-23,9.7087
2021-03-24,9.6628
2021-03-25,9.9243
2021-03-26,10.039
2021-03-27,10.039
2021-03-28,10.039
2021-03-29,9.75
2021-03-30,9.8417
2021-03-31,9.8369
2021-04-01,10.0717
2021-04-02,10.0717
2021-04-03,10.0717
2021-04-04,10.0717
2021-04-05,10.1118
2021-04-06,9.8713
2021-04-07,9.8312
2021-04-08,11.0796
2021-04-09,11.2972
2021-04-10,11.2972
2021-04-11,11.2972
2021-04-12,11.5549
2021-04-13,11.4518
2021-04-14,11.5835
2021-04-15,11.8183
2021-04-16,11.4175
2021-04-17,11.4175
2021-04-18,11.4175
2021-04-19,11.4919
2021-04-20,11.2228
2021-04-21,11.406
2021-04-22,11.3201
2021-04-23,11.532
2021-04-24,11.532
2021-04-25,11.532
2021-04-26,11.5549
2021-04-27,11.5778
2021-04-28,11.4347
2021-04-29,11.4404
2021-04-30,11.0567
2021-05-01,11.0567
2021-05-02,11.0567
2021-05-03,11.2268
2021-05-04,11.1237
2021-05-05,11.1123
2021-05-06,11.3813
2021-05-07,11.2897
2021-05-08,11.2897
2021-05-09,11.2897
2021-05-10,11.1867
2021-05-11,11.1066
2021-05-12,10.7574
2021-05-13,11.0322
2021-05-14,11.3756
2021-05-15,11.3756
2021-05-16,11.3756
2021-05-17,11.284
2021-05-18,11.2725
2021-05-19,11.078
2021-05-20,11.1524
2021-05-21,11.0665
2021-05-22,11.0665
2021-05-23,11.0665
2021-05-24,11.1524
2021-05-25,10.8776
2021-05-26,10.9978
2021-05-27,11.0436
2021-05-28,10.912
2021-05-29,10.912
2021-05-30,10.912
2021-05-31,10.912
2021-06-01,11.1066
2021-06-02,10.9635
2021-06-03,10.9062
2021-06-04,10.9177
2021-06-05,10.9177
2021-06-06,10.9177
2021-06-07,10.8719
2021-06-08,10.9062
2021-06-09,10.9062
2021-06-10,10.9291
2021-06-11,11.1752
2021-06-12,11.1752
2021-06-13,11.1752
2021-06-14,10.9291
2021-06-15,11.1695
2021-06-16,11.4328
2021-06-17,11.2783
2021-06-18,11.1466
2021-06-19,11.1466
2021-06-20,11.1466
2021-06-21,11.8334
2021-06-22,11.7877
2021-06-23,11.8163
2021-06-24,11.7991
2021-06-25,11.8621
2021-06-26,11.8621
2021-06-27,11.8621
2021-06-28,11.6846
2021-06-29,11.6675
2021-06-30,8.1771
2021-07-01,8.4555
2021-07-02,8.5411
2021-07-03,8.5411
2021-07-04,8.5411
2021-07-05,8.5411
2021-07-06,8.4769
2021-07-07,8.5786
2021-07-08,8.3109
2021-07-09,8.5679
2021-07-10,8.5679
2021-07-11,8.5679
2021-07-12,8.5947
2021-07-13,8.3966
2021-07-14,8.2199
2021-07-15,8.2092
2021-07-16,8.3323
2021-07-17,8.3323
2021-07-18,8.3323
2021-07-19,7.9951
2021-07-20,8.1021
2021-07-21,8.418
2021-07-22,8.3163
2021-07-23,8.4394
2021-07-24,8.4394
2021-07-25,8.4394
2021-07-26,8.5893
2021-07-27,8.6268
2021-07-28,8.7231
2021-07-29,8.8677
2021-07-30,9.0122
2021-07-31,9.0122
2021-08-01,9.0122
2021-08-02,9.0497
2021-08-03,9.1782
2021-08-04,9.4084
2021-08-05,9.6493
2021-08-06,9.7671
2021-08-07,9.7671
2021-08-08,9.7671
2021-08-09,9.9449
2021-08-10,9.8913
2021-08-11,9.9127
2021-08-12,9.9716
2021-08-13,9.9502
2021-08-14,9.9502
2021-08-15,9.9502
2021-08-16,10.0841
2021-08-17,9.8645
2021-08-18,9.6396
2021-08-19,9.6449
2021-08-20,9.7199
2021-08-21,9.7199
2021-08-22,9.7199
2021-08-23,9.7628
2021-08-24,10.0199
2021-08-25,10.2716
2021-08-26,10.2341
2021-08-27,10.4215
2021-08-28,10.4215
2021-08-29,10.4215
2021-08-30,10.2287
2021-08-31,10.1966
2021-09-01,10.1912
2021-09-02,10.2769
2021-09-03,10.3091
2021-09-04,10.3091
2021-09-05,10.3091
2021-09-06,10.3091
2021-09-07,10.1752
2021-09-08,10.0466
2021-09-09,10.0091
2021-09-10,9.9074
2021-09-11,9.9074
2021-09-12,9.9074
2021-09-13,10.0948
2021-09-14,9.8806
2021-09-15,10.0091
2021-09-16,9.9127
2021-09-17,9.8431
2021-09-18,9.8431
2021-09-19,9.8431
2021-09-20,9.6342
2021-09-21,9.6931
2021-09-22,9.8752
2021-09-23,10.0948
2021-09-24,9.9234
2021-09-25,9.9234
2021-09-26,9.9234
2021-09-27,9.9877
2021-09-28,9.6449
2021-09-29,9.5807
2021-09-30,8.1294
2021-10-01,8.1238
2021-10-02,8.1238
2021-10-03,8.1238
2021-10-04,8.0235
2021-10-05,8.1294
2021-10-06,8.3357
2021-10-07,8.3747
2021-10-08,8.397
2021-10-09,8.397
2021-10-10,8.397
2021-10-11,8.2297
2021-10-12,8.1684
2021-10-13,8.1127
2021-10-14,8.4527
2021-10-15,8.4806
2021-10-16,8.4806
2021-10-17,8.4806
2021-10-18,8.3468
2021-10-19,8.4081
2021-10-20,8.4806
2021-10-21,8.5754
2021-10-22,8.6033
2021-10-23,8.6033
2021-10-24,8.6033
2021-10-25,8.659
2021-10-26,8.6423
2021-10-27,8.4806
2021-10-28,9.6458
2021-10-29,10.2758
2021-10-30,10.2758
2021-10-31,10.2758
2021-11-01,10.1866
2021-11-02,10.4932
2021-11-03,10.3594
2021-11-04,10.3148
2021-11-05,10.5397
2021-11-06,10.5397
2021-11-07,10.5397
2021-11-08,10.5061
2021-11-09,10.551
2021-11-10,10.5397
2021-11-11,10.7303
2021-11-12,10.8088
2021-11-13,10.8088
2021-11-14,10.8088
2021-11-15,10.7303
2021-11-16,10.6575
2021-11-17,10.6014
2021-11-18,10.635
2021-11-19,10.5902
2021-11-20,10.5902
2021-11-21,10.5902
2021-11-22,10.5285
2021-11-23,10.6014
2021-11-24,10.635
2021-11-25,10.635
2021-11-26,10.4613
2021-11-27,10.4613
2021-11-28,10.4613
2021-11-29,10.6238
2021-11-30,10.394
2021-12-01,10.5117
2021-12-02,10.4893
2021-12-03,8.8807
2021-12-04,8.8807
2021-12-05,8.8807
2021-12-06,9.3347
2021-12-07,9.6485
2021-12-08,10.2539
2021-12-09,10.551
2021-12-10,10.0073
2021-12-11,10.0073
2021-12-12,10.0073
2021-12-13,9.5645
2021-12-14,8.9255
2021-12-15,8.7629
2021-12-16,8.393
2021-12-17,8.3089
2021-12-18,8.3089
2021-12-19,8.3089
2021-12-20,7.4906
2021-12-21,7.7316
2021-12-22,7.8157
2021-12-23,7.9446
2021-12-24,7.9446
2021-12-25,7.9446
2021-12-26,7.9446
2021-12-27,8.1464
2021-12-28,8.0175
2021-12-29,7.9334
2021-12-30,8.0903
2021-12-31,13.5228
2022-01-01,13.5228
2022-01-02,13.5228
2022-01-03,13.4179
2022-01-04,13.3845
2022-01-05,12.903
2022-01-06,12.8839
