,UPS US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-05-20,21.6954
2021-05-21,21.5047
2021-05-22,21.5047
2021-05-23,21.5047
2021-05-24,21.6484
2021-05-25,21.4696
2021-05-26,21.6834
2021-05-27,21.5904
2021-05-28,21.7562
2021-05-29,21.7562
2021-05-30,21.7562
2021-05-31,21.7562
2021-06-01,21.6355
2021-06-02,21.5083
2021-06-03,21.5148
2021-06-04,21.3904
2021-06-05,21.3904
2021-06-06,21.3904
2021-06-07,21.6014
2021-06-08,21.3102
2021-06-09,20.5086
2021-06-10,20.7058
2021-06-11,20.7058
2021-06-12,20.7058
2021-06-13,20.7058
2021-06-14,20.5114
2021-06-15,20.6265
2021-06-16,20.4496
2021-06-17,20.2312
2021-06-18,20.2054
2021-06-19,20.2054
2021-06-20,20.2054
2021-06-21,20.7168
2021-06-22,20.9085
2021-06-23,20.7813
2021-06-24,20.973
2021-06-25,20.9278
2021-06-26,20.9278
2021-06-27,20.9278
2021-06-28,20.8928
2021-06-29,21.1121
2021-06-30,18.8021
2021-07-01,18.9888
2021-07-02,19.0975
2021-07-03,19.0975
2021-07-04,19.0975
2021-07-05,19.0975
2021-07-06,19.0776
2021-07-07,19.324
2021-07-08,19.1423
2021-07-09,19.2958
2021-07-10,19.2958
2021-07-11,19.2958
2021-07-12,19.2468
2021-07-13,19.0759
2021-07-14,19.0975
2021-07-15,19.2078
2021-07-16,19.0178
2021-07-17,19.0178
2021-07-18,19.0178
2021-07-19,19.0875
2021-07-20,19.1746
2021-07-21,19.1738
2021-07-22,19.2385
2021-07-23,19.1066
2021-07-24,19.1066
2021-07-25,19.1066
2021-07-26,18.9589
2021-07-27,17.7419
2021-07-28,17.4805
2021-07-29,17.4615
2021-07-30,17.4241
2021-07-31,17.4241
2021-08-01,17.4241
2021-08-02,17.4722
2021-08-03,17.6556
2021-08-04,17.3768
2021-08-05,17.3461
2021-08-06,17.5364
2021-08-07,17.5364
2021-08-08,17.5364
2021-08-09,17.4019
2021-08-10,17.3712
2021-08-11,17.5198
2021-08-12,17.6227
2021-08-13,17.6509
2021-08-14,17.6509
2021-08-15,17.6509
2021-08-16,17.9074
2021-08-17,17.9647
2021-08-18,17.719
2021-08-19,17.6576
2021-08-20,17.5895
2021-08-21,17.5895
2021-08-22,17.5895
2021-08-23,17.5696
2021-08-24,17.592
2021-08-25,17.5588
2021-08-26,17.5164
2021-08-27,17.5945
2021-08-28,17.5945
2021-08-29,17.5945
2021-08-30,17.6534
2021-08-31,17.7879
2021-09-01,17.8518
2021-09-02,18.0004
2021-09-03,17.9298
2021-09-04,17.9298
2021-09-05,17.9298
2021-09-06,17.9298
2021-09-07,17.7821
2021-09-08,17.6999
2021-09-09,17.2383
2021-09-10,17.5911
2021-09-11,17.5911
2021-09-12,17.5911
2021-09-13,17.6849
2021-09-14,17.4044
2021-09-15,17.5986
2021-09-16,17.5671
2021-09-17,17.323
2021-09-18,17.323
2021-09-19,17.323
2021-09-20,17.2699
2021-09-21,17.2981
2021-09-22,16.9304
2021-09-23,17.0541
2021-09-24,17.1562
2021-09-25,17.1562
2021-09-26,17.1562
2021-09-27,17.0582
2021-09-28,17.0516
2021-09-29,16.8839
2021-09-30,15.7532
2021-10-01,15.705
2021-10-02,15.705
2021-10-03,15.705
2021-10-04,15.4625
2021-10-05,15.5612
2021-10-06,15.6426
2021-10-07,15.7137
2021-10-08,15.863
2021-10-09,15.863
2021-10-10,15.863
2021-10-11,15.7248
2021-10-12,15.7445
2021-10-13,15.9081
2021-10-14,16.4896
2021-10-15,16.6737
2021-10-16,16.6737
2021-10-17,16.6737
2021-10-18,16.6453
2021-10-19,16.6769
2021-10-20,16.7938
2021-10-21,17.1233
2021-10-22,17.4685
2021-10-23,17.4685
2021-10-24,17.4685
2021-10-25,17.4757
2021-10-26,18.5952
2021-10-27,18.1322
2021-10-28,18.2658
2021-10-29,18.2318
2021-10-30,18.2318
2021-10-31,18.2318
2021-11-01,18.0287
2021-11-02,17.8897
2021-11-03,18.1741
2021-11-04,18.0311
2021-11-05,17.7811
2021-11-06,17.7811
2021-11-07,17.7811
2021-11-08,17.8662
2021-11-09,17.9183
2021-11-10,18.0507
2021-11-11,18.1808
2021-11-12,18.1729
2021-11-13,18.1729
2021-11-14,18.1729
2021-11-15,18.0413
2021-11-16,18.0689
2021-11-17,17.7519
2021-11-18,17.722
2021-11-19,17.8008
2021-11-20,17.8008
2021-11-21,17.8008
2021-11-22,17.9908
2021-11-23,18.0641
2021-11-24,17.8008
2021-11-25,17.8008
2021-11-26,17.5509
2021-11-27,17.5509
2021-11-28,17.5509
2021-11-29,17.4989
2021-11-30,17.0045
2021-12-01,16.6718
2021-12-02,17.1252
2021-12-03,17.1906
2021-12-04,17.1906
2021-12-05,17.1906
2021-12-06,17.2955
2021-12-07,17.558
2021-12-08,17.5052
2021-12-09,17.6486
2021-12-10,17.8513
2021-12-11,17.8513
2021-12-12,17.8513
2021-12-13,17.6305
2021-12-14,17.4279
2021-12-15,17.5879
2021-12-16,17.7614
2021-12-17,17.6526
2021-12-18,17.6526
2021-12-19,17.6526
2021-12-20,17.3246
2021-12-21,17.6928
2021-12-22,17.7984
2021-12-23,18.0941
2021-12-24,18.0941
2021-12-25,18.0941
2021-12-26,18.0941
2021-12-27,18.3243
2021-12-28,18.2904
2021-12-29,18.2841
2021-12-30,18.2289
2021-12-31,15.6268
2022-01-01,15.6268
2022-01-02,15.6268
2022-01-03,15.5701
2022-01-04,15.8259
2022-01-05,15.6416
2022-01-06,15.782
2022-01-07,15.8846
2022-01-08,15.8846
2022-01-09,15.8846
2022-01-10,15.4506
2022-01-11,15.4196
2022-01-12,15.4162
2022-01-13,15.3656
2022-01-14,15.1004
2022-01-15,15.1004
2022-01-16,15.1004
2022-01-17,15.1004
2022-01-18,15.0362
2022-01-19,14.9127
2022-01-20,14.8135
2022-01-21,14.7906
2022-01-22,14.7906
2022-01-23,14.7906
2022-01-24,14.9377
2022-01-25,14.7899
2022-01-26,14.5915
2022-01-27,14.31
2022-01-28,14.5409
2022-01-29,14.5409
2022-01-30,14.5409
2022-01-31,14.8081
2022-02-01,16.7302
2022-02-02,16.8261
2022-02-03,16.5953
2022-02-04,16.3321
2022-02-05,16.3321
2022-02-06,16.3321
2022-02-07,16.3503
2022-02-08,16.3597
2022-02-09,16.3509
2022-02-10,16.0547
2022-02-11,15.5694
2022-02-12,15.5694
2022-02-13,15.5694
2022-02-14,15.6032
2022-02-15,15.8239
2022-02-16,15.6922
