,PRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-02-16,13.3172
2022-02-17,12.9797
2022-02-18,12.8945
2022-02-19,12.8945
2022-02-20,12.8945
2022-02-21,12.8945
2022-02-22,12.8128
2022-02-23,12.5373
2022-02-24,12.4841
2022-02-25,12.5701
2022-02-26,12.5701
2022-02-27,12.5701
2022-02-28,12.5074
2022-03-01,12.1087
2022-03-02,12.3949
2022-03-03,12.3014
2022-03-04,12.1254
2022-03-05,12.1254
2022-03-06,12.1254
2022-03-07,11.8632
2022-03-08,12.0522
2022-03-09,12.3246
2022-03-10,12.2283
2022-03-11,12.1957
2022-03-12,12.1957
2022-03-13,12.1957
2022-03-14,12.2362
2022-03-15,12.1689
2022-03-16,12.5549
2022-03-17,12.644
2022-03-18,12.7012
2022-03-19,12.7012
2022-03-20,12.7012
2022-03-21,12.6759
2022-03-22,12.7686
2022-03-23,12.5991
2022-03-24,12.7092
2022-03-25,12.8773
2022-03-26,12.8773
2022-03-27,12.8773
2022-03-28,12.7903
2022-03-29,13.0142
2022-03-30,12.9688
2022-03-31,12.5719
2022-04-01,12.7642
2022-04-02,12.7642
2022-04-03,12.7642
2022-04-04,12.4139
2022-04-05,12.3265
2022-04-06,12.3552
2022-04-07,12.316
2022-04-08,12.3957
2022-04-09,12.3957
2022-04-10,12.3957
2022-04-11,12.4349
2022-04-12,12.3139
2022-04-13,12.4076
2022-04-14,12.3747
2022-04-15,12.3747
2022-04-16,12.3747
2022-04-17,12.3747
2022-04-18,12.3237
2022-04-19,12.5712
2022-04-20,12.8383
2022-04-21,12.7956
2022-04-22,12.3733
2022-04-23,12.3733
2022-04-24,12.3733
2022-04-25,12.3677
2022-04-26,12.1083
2022-04-27,12.079
2022-04-28,12.2908
2022-04-29,12.0643
2022-04-30,12.0643
2022-05-01,12.0643
2022-05-02,12.1482
2022-05-03,12.1867
2022-05-04,12.4321
2022-05-05,12.0741
2022-05-06,10.9848
2022-05-07,10.9848
2022-05-08,10.9848
2022-05-09,11.1128
2022-05-10,11.214
2022-05-11,11.13
2022-05-12,11.1541
2022-05-13,11.5911
2022-05-14,11.5911
2022-05-15,11.5911
2022-05-16,11.5501
2022-05-17,11.768
2022-05-18,11.6322
2022-05-19,11.3606
2022-05-20,11.3704
2022-05-21,11.3704
2022-05-22,11.3704
2022-05-23,11.4846
2022-05-24,11.3892
2022-05-25,11.4825
2022-05-26,11.7088
2022-05-27,11.8098
2022-05-28,11.8098
2022-05-29,11.8098
2022-05-30,11.8098
2022-05-31,11.7799
2022-06-01,11.665
2022-06-02,11.8342
2022-06-03,11.6879
2022-06-04,11.6879
2022-06-05,11.6879
2022-06-06,11.7882
2022-06-07,11.9045
2022-06-08,11.7353
2022-06-09,11.5814
2022-06-10,11.3182
2022-06-11,11.3182
2022-06-12,11.3182
2022-06-13,10.9637
2022-06-14,11.0055
2022-06-15,11.1719
2022-06-16,10.7304
2022-06-17,10.9059
2022-06-18,10.9059
2022-06-19,10.9059
2022-06-20,10.9059
2022-06-21,11.0988
2022-06-22,11.1002
2022-06-23,11.1343
2022-06-24,11.4317
2022-06-25,11.4317
2022-06-26,11.4317
2022-06-27,11.4498
2022-06-28,11.3544
2022-06-29,11.2889
2022-06-30,11.4429
2022-07-01,11.5839
2022-07-02,11.5839
2022-07-03,11.5839
2022-07-04,11.5839
2022-07-05,11.5381
2022-07-06,11.5289
2022-07-07,11.6107
2022-07-08,11.5874
2022-07-09,11.5874
2022-07-10,11.5874
2022-07-11,11.4873
2022-07-12,11.4796
2022-07-13,11.3526
2022-07-14,11.2067
2022-07-15,11.3921
2022-07-16,11.3921
2022-07-17,11.3921
2022-07-18,11.383
2022-07-19,11.5606
2022-07-20,11.7024
2022-07-21,11.7257
2022-07-22,11.6594
2022-07-23,11.6594
2022-07-24,11.6594
2022-07-25,11.7524
2022-07-26,11.7821
2022-07-27,11.9224
2022-07-28,12.0049
2022-07-29,12.0775
2022-07-30,12.0775
2022-07-31,12.0775
2022-08-01,12.062
2022-08-02,11.8632
2022-08-03,12.1706
2022-08-04,11.9915
2022-08-05,12.0712
2022-08-06,12.0712
2022-08-07,12.0712
2022-08-08,12.1036
2022-08-09,11.7353
2022-08-10,12.1131
2022-08-11,12.0806
2022-08-12,12.2875
2022-08-13,12.2875
2022-08-14,12.2875
2022-08-15,12.2054
2022-08-16,12.3553
2022-08-17,12.2529
2022-08-18,12.2807
2022-08-19,12.1097
2022-08-20,12.1097
2022-08-21,12.1097
2022-08-22,11.9279
2022-08-23,11.8791
2022-08-24,11.8811
2022-08-25,12.0561
2022-08-26,11.6607
2022-08-27,11.6607
2022-08-28,11.6607
2022-08-29,11.5867
2022-08-30,11.6152
2022-08-31,11.601
2022-09-01,11.4334
2022-09-02,11.3534
2022-09-03,11.3534
2022-09-04,11.3534
2022-09-05,11.3534
2022-09-06,11.3385
2022-09-07,11.3798
2022-09-08,11.4775
2022-09-09,11.7054
2022-09-10,11.7054
2022-09-11,11.7054
2022-09-12,11.8601
2022-09-13,11.6607
2022-09-14,11.6105
2022-09-15,11.7475
2022-09-16,11.7027
2022-09-17,11.7027
2022-09-18,11.7027
2022-09-19,11.8933
2022-09-20,11.835
2022-09-21,11.8994
2022-09-22,11.7448
2022-09-23,11.4199
2022-09-24,11.4199
2022-09-25,11.4199
2022-09-26,11.3025
2022-09-27,11.2761
2022-09-28,11.4606
2022-09-29,11.4273
2022-09-30,12.7692
2022-10-01,12.7692
2022-10-02,12.7692
2022-10-03,13.0534
2022-10-04,13.4905
2022-10-05,13.3568
2022-10-06,13.3338
2022-10-07,13.1184
2022-10-08,13.1184
2022-10-09,13.1184
2022-10-10,13.2269
2022-10-11,13.2643
2022-10-12,13.1635
2022-10-13,13.6005
2022-10-14,13.4217
2022-10-15,13.4217
2022-10-16,13.4217
2022-10-17,13.5898
2022-10-18,13.8297
2022-10-19,13.7235
2022-10-20,13.463
2022-10-21,13.6639
2022-10-22,13.6639
2022-10-23,13.6639
2022-10-24,13.7816
2022-10-25,14.0069
2022-10-26,13.8809
2022-10-27,13.8878
2022-10-28,14.2652
2022-10-29,14.2652
2022-10-30,14.2652
2022-10-31,14.3928
2022-11-01,14.444
2022-11-02,14.1918
2022-11-03,14.0627
2022-11-04,14.2858
2022-11-05,14.2858
2022-11-06,14.2858
2022-11-07,14.282
2022-11-08,14.2262
2022-11-09,13.7781
2022-11-10,13.7435
2022-11-11,13.8331
2022-11-12,13.8331
2022-11-13,13.8331
2022-11-14,13.7691
2022-11-15,13.8955
2022-11-16,13.739
2022-11-17,13.7119
2022-11-18,14.1146
2022-11-19,14.1146
2022-11-20,14.1146
2022-11-21,14.1605
2022-11-22,14.3336
2022-11-23,14.2327
2022-11-24,14.2327
2022-11-25,14.3193
2022-11-26,14.3193
2022-11-27,14.3193
2022-11-28,14.232
2022-11-29,14.3193
2022-11-30,14.5549
2022-12-01,14.4714
2022-12-02,14.3825
2022-12-03,14.3825
2022-12-04,14.3825
2022-12-05,13.9362
2022-12-06,14.0619
2022-12-07,13.952
2022-12-08,13.9896
2022-12-09,13.8722
2022-12-10,13.8722
2022-12-11,13.8722
2022-12-12,13.9663
2022-12-13,13.9399
2022-12-14,13.9798
2022-12-15,13.8632
2022-12-16,13.6968
2022-12-17,13.6968
2022-12-18,13.6968
2022-12-19,13.6193
2022-12-20,13.8474
2022-12-21,14.0566
2022-12-22,13.8263
2022-12-23,13.9956
2022-12-24,13.9956
2022-12-25,13.9956
2022-12-26,13.9956
2022-12-27,13.958
2022-12-28,13.8346
2022-12-29,14.016
2022-12-30,11.2205
2022-12-31,11.2205
2023-01-01,11.2205
2023-01-02,11.2205
2023-01-03,11.2272
2023-01-04,11.2617
2023-01-05,11.266
2023-01-06,11.5025
2023-01-07,11.5025
2023-01-08,11.5025
2023-01-09,11.4018
2023-01-10,11.514
2023-01-11,11.5838
2023-01-12,11.6214
2023-01-13,11.7693
2023-01-14,11.7693
2023-01-15,11.7693
2023-01-16,11.7693
2023-01-17,11.8227
2023-01-18,11.6765
2023-01-19,11.591
2023-01-20,11.8506
2023-01-21,11.8506
2023-01-22,11.8506
2023-01-23,11.8512
2023-01-24,11.9634
2023-01-25,12.0895
2023-01-26,12.2066
2023-01-27,12.2308
2023-01-28,12.2308
2023-01-29,12.2308
2023-01-30,12.2927
2023-01-31,12.4291
2023-02-01,12.4789
2023-02-02,12.5977
2023-02-03,12.605
2023-02-04,12.605
2023-02-05,12.605
2023-02-06,12.5401
2023-02-07,12.7148
2023-02-08,12.9022
2023-02-09,12.7129
2023-02-10,12.8082
2023-02-11,12.8082
2023-02-12,12.8082
2023-02-13,12.9301
2023-02-14,12.8797
2023-02-15,12.9725
2023-02-16,12.9598
2023-02-17,12.9695
2023-02-18,12.9695
2023-02-19,12.9695
2023-02-20,12.9695
2023-02-21,12.7087
2023-02-22,12.7063
2023-02-23,12.7063
2023-02-24,13.6123
2023-02-25,13.6123
2023-02-26,13.6123
2023-02-27,13.8537
2023-02-28,14.1803
2023-03-01,14.1315
2023-03-02,13.8623
2023-03-03,13.955
2023-03-04,13.955
2023-03-05,13.955
2023-03-06,13.6184
2023-03-07,13.5051
2023-03-08,13.3275
2023-03-09,13.0004
2023-03-10,12.7679
2023-03-11,12.7679
2023-03-12,12.7679
2023-03-13,12.3921
2023-03-14,12.6752
2023-03-15,12.2488
2023-03-16,12.5053
2023-03-17,12.1428
2023-03-18,12.1428
2023-03-19,12.1428
2023-03-20,12.4572
2023-03-21,12.6559
2023-03-22,12.3656
2023-03-23,12.3764
2023-03-24,12.4035
2023-03-25,12.4035
2023-03-26,12.4035
2023-03-27,12.527
2023-03-28,12.5812
2023-03-29,12.7234
2023-03-30,12.7968
2023-03-31,12.6189
2023-04-01,12.6189
2023-04-02,12.6189
2023-04-03,12.5638
2023-04-04,12.3781
2023-04-05,12.4139
2023-04-06,12.3582
2023-04-07,12.3582
2023-04-08,12.3582
2023-04-09,12.3582
2023-04-10,12.6072
2023-04-11,12.613
2023-04-12,12.6253
