,USNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-02-02,8.1908
2021-02-03,8.2194
2021-02-04,8.5079
2021-02-05,8.3911
2021-02-06,8.3911
2021-02-07,8.3911
2021-02-08,8.5091
2021-02-09,8.7439
2021-02-10,10.0992
2021-02-11,9.4782
2021-02-12,9.1528
2021-02-13,9.1528
2021-02-14,9.1528
2021-02-15,9.1528
2021-02-16,9.3101
2021-02-17,9.2803
2021-02-18,9.1432
2021-02-19,9.2541
2021-02-20,9.2541
2021-02-21,9.2541
2021-02-22,9.2565
2021-02-23,9.421
2021-02-24,9.533
2021-02-25,9.8489
2021-02-26,9.924
2021-02-27,9.924
2021-02-28,9.924
2021-03-01,10.1219
2021-03-02,10.0617
2021-03-03,10.2201
2021-03-04,10.1858
2021-03-05,10.3335
2021-03-06,10.3335
2021-03-07,10.3335
2021-03-08,10.2508
2021-03-09,9.803
2021-03-10,9.608
2021-03-11,10.0747
2021-03-12,10.239
2021-03-13,10.239
2021-03-14,10.239
2021-03-15,10.2579
2021-03-16,10.1019
2021-03-17,10.1374
2021-03-18,9.9897
2021-03-19,10.3039
2021-03-20,10.3039
2021-03-21,10.3039
2021-03-22,10.044
2021-03-23,9.8113
2021-03-24,9.445
2021-03-25,9.6258
2021-03-26,9.9164
2021-03-27,9.9164
2021-03-28,9.9164
2021-03-29,9.8054
2021-03-30,9.7347
2021-03-31,9.7593
2021-04-01,9.8433
2021-04-02,9.8433
2021-04-03,9.8433
2021-04-04,9.8433
2021-04-05,9.8682
2021-04-06,9.8637
2021-04-07,9.9193
2021-04-08,9.8716
2021-04-09,9.925
2021-04-10,9.925
2021-04-11,9.925
2021-04-12,10.009
2021-04-13,9.9727
2021-04-14,10.0158
2021-04-15,10.101
2021-04-16,9.8115
2021-04-17,9.8115
2021-04-18,9.8115
2021-04-19,10.0135
2021-04-20,10.0374
2021-04-21,9.9568
2021-04-22,9.6333
2021-04-23,9.564
2021-04-24,9.564
2021-04-25,9.564
2021-04-26,9.5016
