,GOLF US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-03-27,23.4295
2021-03-28,23.4295
2021-03-29,23.0107
2021-03-30,23.0822
2021-03-31,13.7015
2021-04-01,13.9298
2021-04-02,13.9298
2021-04-03,13.9298
2021-04-04,13.9298
2021-04-05,14.0698
2021-04-06,14.3681
2021-04-07,14.3225
2021-04-08,14.3407
2021-04-09,14.3955
2021-04-10,14.3955
2021-04-11,14.3955
2021-04-12,14.5994
2021-04-13,14.502
2021-04-14,14.6116
2021-04-15,14.5173
2021-04-16,14.4119
2021-04-17,14.4119
2021-04-18,14.4119
2021-04-19,14.3269
2021-04-20,14.1874
2021-04-21,14.5333
2021-04-22,14.3937
2021-04-23,14.4483
2021-04-24,14.4483
2021-04-25,14.4483
2021-04-26,14.1722
2021-04-27,14.2389
2021-04-28,14.2329
2021-04-29,14.2602
2021-04-30,13.9598
2021-05-01,13.9598
2021-05-02,13.9598
2021-05-03,14.1965
2021-05-04,14.0751
2021-05-05,14.1418
2021-05-06,16.7634
2021-05-07,16.7998
2021-05-08,16.7998
2021-05-09,16.7998
2021-05-10,16.8271
2021-05-11,16.5753
2021-05-12,16.2931
2021-05-13,16.5298
2021-05-14,17.0911
2021-05-15,17.0911
2021-05-16,17.0911
2021-05-17,17.3581
2021-05-18,17.0122
2021-05-19,16.6602
2021-05-20,16.7027
2021-05-21,16.6572
2021-05-22,16.6572
2021-05-23,16.6572
2021-05-24,16.7088
2021-05-25,16.6693
2021-05-26,17.1214
2021-05-27,17.2823
2021-05-28,17.264
2021-05-29,17.264
2021-05-30,17.264
2021-05-31,17.264
2021-06-01,17.3824
2021-06-02,17.528
2021-06-03,17.0243
2021-06-04,16.7634
2021-06-05,16.7634
2021-06-06,16.7634
2021-06-07,16.818
2021-06-08,16.9181
2021-06-09,16.727
2021-06-10,16.4114
2021-06-11,16.4691
2021-06-12,16.4691
2021-06-13,16.4691
2021-06-14,16.2567
2021-06-15,16.196
2021-06-16,16.017
2021-06-17,15.662
2021-06-18,15.5163
2021-06-19,15.5163
2021-06-20,15.5163
2021-06-21,15.7621
2021-06-22,15.8865
2021-06-23,15.8471
2021-06-24,16.0018
2021-06-25,16.0868
2021-06-26,16.0868
2021-06-27,16.0868
2021-06-28,16.1202
2021-06-29,16.1475
2021-06-30,11.0915
2021-07-01,11.0915
2021-07-02,11.098
2021-07-03,11.098
2021-07-04,11.098
2021-07-05,11.098
2021-07-06,11.0806
2021-07-07,11.111
2021-07-08,11.1175
2021-07-09,11.2866
2021-07-10,11.2866
2021-07-11,11.2866
2021-07-12,11.2866
2021-07-13,11.2693
2021-07-14,11.2107
2021-07-15,11.0763
2021-07-16,10.892
2021-07-17,10.892
2021-07-18,10.892
2021-07-19,10.918
2021-07-20,11.2086
2021-07-21,11.3083
2021-07-22,11.1869
2021-07-23,11.4514
2021-07-24,11.4514
2021-07-25,11.4514
2021-07-26,11.5078
2021-07-27,11.3083
2021-07-28,11.4037
2021-07-29,11.4753
2021-07-30,11.4883
2021-07-31,11.4883
2021-08-01,11.4883
2021-08-02,11.6553
2021-08-03,11.9675
2021-08-04,11.9806
2021-08-05,11.8021
2021-08-06,12.1895
2021-08-07,12.1895
2021-08-08,12.1895
2021-08-09,12.1332
2021-08-10,12.038
2021-08-11,11.9298
2021-08-12,12.0402
2021-08-13,11.9212
2021-08-14,11.9212
2021-08-15,11.9212
2021-08-16,12.0272
2021-08-17,11.6463
2021-08-18,11.3564
2021-08-19,11.3023
2021-08-20,11.4754
2021-08-21,11.4754
2021-08-22,11.4754
2021-08-23,11.4646
2021-08-24,11.7004
2021-08-25,11.6334
2021-08-26,11.43
2021-08-27,11.5793
2021-08-28,11.5793
2021-08-29,11.5793
2021-08-30,11.4429
2021-08-31,11.1898
2021-09-01,11.179
2021-09-02,11.0491
2021-09-03,11.1854
2021-09-04,11.1854
2021-09-05,11.1854
2021-09-06,11.1854
2021-09-07,11.0837
2021-09-08,11.2049
2021-09-09,11.3304
2021-09-10,11.365
2021-09-11,11.365
2021-09-12,11.365
2021-09-13,11.3174
2021-09-14,11.2136
2021-09-15,11.5814
2021-09-16,11.6074
2021-09-17,11.3477
2021-09-18,11.3477
2021-09-19,11.3477
2021-09-20,11.1443
2021-09-21,11.0751
2021-09-22,11.1205
2021-09-23,11.3261
2021-09-24,11.4213
2021-09-25,11.4213
2021-09-26,11.4213
2021-09-27,11.1941
2021-09-28,10.9539
2021-09-29,10.8024
2021-09-30,11.2939
2021-10-01,11.6577
2021-10-02,11.6577
2021-10-03,11.6577
2021-10-04,11.9975
2021-10-05,11.9018
2021-10-06,11.55
2021-10-07,11.8419
2021-10-08,11.6313
2021-10-09,11.6313
2021-10-10,11.6313
2021-10-11,11.3561
2021-10-12,11.3729
2021-10-13,11.4638
2021-10-14,11.672
2021-10-15,11.5141
2021-10-16,11.5141
2021-10-17,11.5141
2021-10-18,11.6912
2021-10-19,11.6625
2021-10-20,11.7366
2021-10-21,12.0286
2021-10-22,12.1148
2021-10-23,12.1148
2021-10-24,12.1148
2021-10-25,12.1578
2021-10-26,12.086
2021-10-27,11.9089
2021-10-28,12.0238
2021-10-29,12.3086
2021-10-30,12.3086
2021-10-31,12.3086
2021-11-01,12.7848
2021-11-02,12.7011
2021-11-03,13.2108
2021-11-04,13.2644
2021-11-05,13.8104
2021-11-06,13.8104
2021-11-07,13.8104
2021-11-08,13.7723
2021-11-09,13.541
2021-11-10,13.4075
2021-11-11,13.2406
2021-11-12,13.2191
2021-11-13,13.2191
2021-11-14,13.2191
2021-11-15,13.3431
2021-11-16,13.5434
2021-11-17,13.5172
2021-11-18,13.5839
2021-11-19,13.5768
2021-11-20,13.5768
2021-11-21,13.5768
2021-11-22,13.6841
2021-11-23,13.4576
2021-11-24,13.51
2021-11-25,13.51
2021-11-26,13.1595
2021-11-27,13.1595
2021-11-28,13.1595
2021-11-29,13.2907
2021-11-30,13.0832
2021-12-01,12.7924
2021-12-02,13.1524
2021-12-03,12.8925
2021-12-04,12.8925
2021-12-05,12.8925
2021-12-06,13.2334
2021-12-07,13.4814
2021-12-08,13.4552
2021-12-09,13.2382
2021-12-10,13.2573
2021-12-11,13.2573
2021-12-12,13.2573
2021-12-13,13.0022
2021-12-14,12.8162
2021-12-15,12.9998
2021-12-16,12.5921
2021-12-17,12.3751
2021-12-18,12.3751
2021-12-19,12.3751
2021-12-20,12.07
2021-12-21,12.4395
2021-12-22,12.5015
2021-12-23,12.4419
2021-12-24,12.4419
2021-12-25,12.4419
2021-12-26,12.4419
2021-12-27,12.604
2021-12-28,12.6159
2021-12-29,12.7709
2021-12-30,12.7805
2021-12-31,15.5168
2022-01-01,15.5168
2022-01-02,15.5168
2022-01-03,15.3213
2022-01-04,15.327
2022-01-05,14.8905
2022-01-06,14.9132
2022-01-07,14.6043
2022-01-08,14.6043
2022-01-09,14.6043
2022-01-10,14.6808
2022-01-11,14.9387
2022-01-12,15.0407
2022-01-13,14.8112
2022-01-14,14.4399
2022-01-15,14.4399
2022-01-16,14.4399
2022-01-17,14.4399
2022-01-18,14.0517
2022-01-19,14.1084
2022-01-20,14.0857
2022-01-21,13.8221
2022-01-22,13.8221
2022-01-23,13.8221
2022-01-24,14.2132
2022-01-25,13.7853
2022-01-26,13.2015
2022-01-27,13.0598
2022-01-28,13.4282
2022-01-29,13.4282
2022-01-30,13.4282
2022-01-31,13.7088
2022-02-01,13.8221
2022-02-02,13.6266
2022-02-03,13.4509
2022-02-04,13.261
2022-02-05,13.261
2022-02-06,13.261
2022-02-07,13.2638
2022-02-08,13.414
2022-02-09,13.5756
2022-02-10,13.4962
2022-02-11,13.0003
2022-02-12,13.0003
2022-02-13,13.0003
2022-02-14,12.9974
2022-02-15,13.1051
2022-02-16,12.9323
2022-02-17,12.5724
2022-02-18,12.4817
2022-02-19,12.4817
2022-02-20,12.4817
2022-02-21,12.4817
2022-02-22,12.3938
2022-02-23,12.3541
2022-02-24,12.6999
2022-02-25,12.8671
2022-02-26,12.8671
2022-02-27,12.8671
2022-02-28,12.8869
2022-03-01,12.5954
2022-03-02,13.1192
2022-03-03,12.6874
2022-03-04,12.4896
2022-03-05,12.4896
2022-03-06,12.4896
2022-03-07,12.1608
2022-03-08,12.0689
2022-03-09,12.6094
2022-03-10,12.3085
2022-03-11,12.1859
2022-03-12,12.1859
2022-03-13,12.1859
2022-03-14,12.2556
2022-03-15,12.2138
2022-03-16,12.5509
2022-03-17,12.6428
2022-03-18,12.835
2022-03-19,12.835
2022-03-20,12.835
2022-03-21,12.6818
2022-03-22,12.6484
2022-03-23,12.1664
2022-03-24,11.8572
2022-03-25,11.9993
2022-03-26,11.9993
2022-03-27,11.9993
2022-03-28,11.8934
2022-03-29,12.3141
2022-03-30,12.0522
2022-03-31,13.2562
2022-04-01,13.4688
2022-04-02,13.4688
2022-04-03,13.4688
2022-04-04,13.7759
2022-04-05,13.5574
2022-04-06,13.4452
2022-04-07,13.3979
2022-04-08,13.5633
2022-04-09,13.5633
2022-04-10,13.5633
2022-04-11,13.4333
2022-04-12,13.4245
2022-04-13,13.646
2022-04-14,13.6397
2022-04-15,13.6397
2022-04-16,13.6397
2022-04-17,13.6397
2022-04-18,13.6072
2022-04-19,14.0353
2022-04-20,14.2213
2022-04-21,13.9408
2022-04-22,13.3563
2022-04-23,13.3563
2022-04-24,13.3563
2022-04-25,13.6249
2022-04-26,13.0758
2022-04-27,13.1821
2022-04-28,13.436
2022-04-29,13.3947
2022-04-30,13.3947
2022-05-01,13.3947
2022-05-02,13.87
2022-05-03,14.1445
2022-05-04,14.1121
2022-05-05,13.5872
2022-05-06,13.2778
2022-05-07,13.2778
2022-05-08,13.2778
2022-05-09,13.3544
2022-05-10,13.2631
2022-05-11,13.1216
2022-05-12,13.4664
2022-05-13,13.9054
2022-05-14,13.9054
2022-05-15,13.9054
2022-05-16,13.8023
2022-05-17,14.0292
2022-05-18,13.4487
2022-05-19,13.0421
2022-05-20,13.0597
2022-05-21,13.0597
2022-05-22,13.0597
2022-05-23,12.9979
2022-05-24,12.5618
2022-05-25,12.8122
2022-05-26,13.1275
2022-05-27,13.5135
2022-05-28,13.5135
2022-05-29,13.5135
2022-05-30,13.5135
2022-05-31,13.3603
2022-06-01,13.4575
2022-06-02,13.9084
2022-06-03,13.8583
2022-06-04,13.8583
2022-06-05,13.8583
2022-06-06,13.982
2022-06-07,13.9201
2022-06-08,14.0734
2022-06-09,14.2236
2022-06-10,13.8317
2022-06-11,13.8317
2022-06-12,13.8317
2022-06-13,13.3515
2022-06-14,13.596
2022-06-15,13.5489
2022-06-16,12.7032
2022-06-17,12.9448
2022-06-18,12.9448
2022-06-19,12.9448
2022-06-20,12.9448
2022-06-21,13.0686
2022-06-22,12.9684
2022-06-23,13.3308
2022-06-24,13.4605
2022-06-25,13.4605
2022-06-26,13.4605
2022-06-27,13.8288
2022-06-28,13.5666
2022-06-29,13.599
2022-06-30,14.8595
2022-07-01,14.8981
2022-07-02,14.8981
2022-07-03,14.8981
2022-07-04,14.8981
2022-07-05,15.0718
2022-07-06,15.2938
2022-07-07,15.8118
2022-07-08,15.8054
2022-07-09,15.8054
2022-07-10,15.8054
2022-07-11,15.7378
2022-07-12,15.7829
2022-07-13,15.9985
2022-07-14,16.0531
2022-07-15,16.5808
2022-07-16,16.5808
2022-07-17,16.5808
2022-07-18,16.3781
2022-07-19,16.5454
2022-07-20,16.391
2022-07-21,16.6001
2022-07-22,16.7385
2022-07-23,16.7385
2022-07-24,16.7385
2022-07-25,16.6033
2022-07-26,16.3717
2022-07-27,16.6355
2022-07-28,16.9347
2022-07-29,17.1278
2022-07-30,17.1278
2022-07-31,17.1278
2022-08-01,17.1792
2022-08-02,16.6516
2022-08-03,17.1213
2022-08-04,17.4045
2022-08-05,17.3348
2022-08-06,17.3348
2022-08-07,17.3348
2022-08-08,17.1794
2022-08-09,16.8561
2022-08-10,17.3601
2022-08-11,17.7279
2022-08-12,18.1876
2022-08-13,18.1876
2022-08-14,18.1876
2022-08-15,18.2478
2022-08-16,18.4095
2022-08-17,18.3239
2022-08-18,18.0924
2022-08-19,17.7215
2022-08-20,17.7215
2022-08-21,17.7215
2022-08-22,17.6518
2022-08-23,17.5091
2022-08-24,17.3031
2022-08-25,17.6772
2022-08-26,17.1097
2022-08-27,17.1097
2022-08-28,17.1097
2022-08-29,17.1636
2022-08-30,16.8878
2022-08-31,16.5549
2022-09-01,16.7198
2022-09-02,16.5549
2022-09-03,16.5549
2022-09-04,16.5549
2022-09-05,16.5549
2022-09-06,16.4408
2022-09-07,17.0178
2022-09-08,17.1636
2022-09-09,17.4014
2022-09-10,17.4014
2022-09-11,17.4014
2022-09-12,17.4077
2022-09-13,16.8719
2022-09-14,17.2111
2022-09-15,17.0146
2022-09-16,16.6754
2022-09-17,16.6754
2022-09-18,16.6754
2022-09-19,16.9861
2022-09-20,16.7293
2022-09-21,16.3869
2022-09-22,15.9177
2022-09-23,15.569
2022-09-24,15.569
2022-09-25,15.569
2022-09-26,15.699
2022-09-27,15.9146
2022-09-28,16.0192
2022-09-29,15.6388
2022-09-30,13.9565
2022-10-01,13.9565
2022-10-02,13.9565
2022-10-03,14.2664
2022-10-04,14.5332
2022-10-05,14.4443
2022-10-06,14.4185
2022-10-07,14.0311
2022-10-08,14.0311
2022-10-09,14.0311
2022-10-10,14.1229
2022-10-11,14.2291
2022-10-12,14.4988
2022-10-13,14.6394
2022-10-14,14.4873
2022-10-15,14.4873
2022-10-16,14.4873
2022-10-17,14.6078
2022-10-18,14.0913
2022-10-19,13.9536
2022-10-20,13.6494
2022-10-21,13.9134
2022-10-22,13.9134
2022-10-23,13.9134
2022-10-24,14.2004
2022-10-25,14.5562
2022-10-26,14.4471
2022-10-27,14.4242
2022-10-28,14.7972
2022-10-29,14.7972
2022-10-30,14.7972
2022-10-31,14.8403
2022-11-01,15.1473
2022-11-02,14.2807
2022-11-03,13.8373
2022-11-04,14.0242
2022-11-05,14.0242
2022-11-06,14.0242
2022-11-07,13.8203
2022-11-08,13.7779
2022-11-09,13.7581
2022-11-10,14.2337
2022-11-11,14.9131
2022-11-12,14.9131
2022-11-13,14.9131
2022-11-14,14.8423
2022-11-15,15.1254
2022-11-16,14.882
2022-11-17,14.7942
2022-11-18,14.3158
2022-11-19,14.3158
2022-11-20,14.3158
2022-11-21,14.1487
2022-11-22,14.0921
2022-11-23,14.1034
2022-11-24,14.1034
2022-11-25,13.9591
2022-11-26,13.9591
2022-11-27,13.9591
2022-11-28,13.9874
2022-11-29,14.0695
2022-11-30,14.3441
2022-12-01,14.6017
2022-12-02,14.7489
2022-12-03,14.7489
2022-12-04,14.7489
2022-12-05,14.6045
2022-12-06,14.6498
2022-12-07,14.9924
2022-12-08,15.1792
2022-12-09,15.0235
2022-12-10,15.0235
2022-12-11,15.0235
2022-12-12,14.9159
2022-12-13,14.882
2022-12-14,14.4092
2022-12-15,14.2676
2022-12-16,13.9619
2022-12-17,13.9619
2022-12-18,13.9619
2022-12-19,13.7014
2022-12-20,13.5146
2022-12-21,13.8232
2022-12-22,13.7609
2022-12-23,13.7298
2022-12-24,13.7298
2022-12-25,13.7298
2022-12-26,13.7298
2022-12-27,13.6901
2022-12-28,13.4806
2022-12-29,13.7043
2022-12-30,12.7713
2022-12-31,12.7713
2023-01-01,12.7713
2023-01-02,12.7713
2023-01-03,12.8511
2023-01-04,13.0955
2023-01-05,12.8935
2023-01-06,12.9883
2023-01-07,12.9883
2023-01-08,12.9883
2023-01-09,13.0681
2023-01-10,13.0905
2023-01-11,13.2152
2023-01-12,13.9434
2023-01-13,14.0556
2023-01-14,14.0556
2023-01-15,14.0556
2023-01-16,14.0556
2023-01-17,14.2227
2023-01-18,13.5968
2023-01-19,13.6167
2023-01-20,13.5668
2023-01-21,13.5668
2023-01-22,13.5668
2023-01-23,13.6192
2023-01-24,13.5843
2023-01-25,13.704
2023-01-26,13.6541
2023-01-27,13.8686
2023-01-28,13.8686
2023-01-29,13.8686
2023-01-30,13.8736
2023-01-31,13.891
2023-02-01,14.1379
2023-02-02,14.5269
2023-02-03,14.5918
2023-02-04,14.5918
2023-02-05,14.5918
2023-02-06,14.6915
2023-02-07,14.6167
2023-02-08,14.4845
2023-02-09,14.6192
2023-02-10,14.2975
2023-02-11,14.2975
2023-02-12,14.2975
2023-02-13,14.6092
2023-02-14,14.5918
2023-02-15,14.7838
2023-02-16,14.8087
2023-02-17,14.8062
2023-02-18,14.8062
2023-02-19,14.8062
2023-02-20,14.8062
2023-02-21,14.3648
2023-02-22,14.487
2023-02-23,14.6292
2023-02-24,14.4297
2023-02-25,14.4297
2023-02-26,14.4297
2023-02-27,14.3599
2023-02-28,14.2177
2023-03-01,14.6999
2023-03-02,14.8211
2023-03-03,14.5928
