,WDR US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-11-12,26.877
2022-11-13,26.877
2022-11-14,26.877
2022-11-15,26.877
2022-11-16,26.877
2022-11-17,26.877
2022-11-18,26.877
2022-11-19,26.877
2022-11-20,26.877
2022-11-21,26.877
2022-11-22,26.877
2022-11-23,26.877
2022-11-24,26.877
2022-11-25,26.877
2022-11-26,26.877
2022-11-27,26.877
2022-11-28,26.877
2022-11-29,26.877
2022-11-30,26.877
2022-12-01,26.877
2022-12-02,26.877
2022-12-03,26.877
2022-12-04,26.877
2022-12-05,26.877
2022-12-06,26.877
2022-12-07,26.877
2022-12-08,26.877
2022-12-09,26.877
2022-12-10,26.877
2022-12-11,26.877
2022-12-12,26.877
2022-12-13,26.877
2022-12-14,26.877
2022-12-15,26.877
2022-12-16,26.877
2022-12-17,26.877
2022-12-18,26.877
2022-12-19,26.877
2022-12-20,26.877
2022-12-21,26.877
2022-12-22,26.877
2022-12-23,26.877
2022-12-24,26.877
2022-12-25,26.877
2022-12-26,26.877
2022-12-27,26.877
2022-12-28,26.877
2022-12-29,26.877
2022-12-30,26.877
2022-12-31,26.877
2023-01-01,26.877
2023-01-02,26.877
2023-01-03,26.877
2023-01-04,26.877
2023-01-05,26.877
2023-01-06,26.877
2023-01-07,26.877
2023-01-08,26.877
2023-01-09,26.877
2023-01-10,26.877
2023-01-11,26.877
2023-01-12,26.877
2023-01-13,26.877
2023-01-14,26.877
2023-01-15,26.877
2023-01-16,26.877
2023-01-17,26.877
2023-01-18,26.877
2023-01-19,26.877
2023-01-20,26.877
2023-01-21,26.877
2023-01-22,26.877
2023-01-23,26.877
2023-01-24,26.877
2023-01-25,26.877
2023-01-26,26.877
2023-01-27,26.877
2023-01-28,26.877
2023-01-29,26.877
2023-01-30,26.877
2023-01-31,26.877
2023-02-01,26.877
2023-02-02,26.877
2023-02-03,26.877
2023-02-04,26.877
2023-02-05,26.877
2023-02-06,26.877
2023-02-07,26.877
2023-02-08,26.877
2023-02-09,26.877
2023-02-10,26.877
2023-02-11,26.877
2023-02-12,26.877
2023-02-13,26.877
2023-02-14,26.877
2023-02-15,26.877
2023-02-16,26.877
2023-02-17,26.877
2023-02-18,26.877
2023-02-19,26.877
2023-02-20,26.877
2023-02-21,26.877
2023-02-22,26.877
2023-02-23,26.877
2023-02-24,26.877
2023-02-25,26.877
2023-02-26,26.877
2023-02-27,26.877
2023-02-28,26.877
2023-03-01,26.877
2023-03-02,26.877
2023-03-03,26.877
2023-03-04,26.877
2023-03-05,26.877
2023-03-06,26.877
2023-03-07,26.877
2023-03-08,26.877
2023-03-09,26.877
2023-03-10,26.877
2023-03-11,26.877
2023-03-12,26.877
2023-03-13,26.877
2023-03-14,26.877
2023-03-15,26.877
2023-03-16,26.877
2023-03-17,26.877
2023-03-18,26.877
2023-03-19,26.877
2023-03-20,26.877
2023-03-21,26.877
2023-03-22,26.877
2023-03-23,26.877
2023-03-24,26.877
2023-03-25,26.877
2023-03-26,26.877
2023-03-27,26.877
2023-03-28,26.877
2023-03-29,26.877
2023-03-30,26.877
2023-03-31,26.877
2023-04-01,26.877
2023-04-02,26.877
2023-04-03,26.877
2023-04-04,26.877
2023-04-05,26.877
2023-04-06,26.877
2023-04-07,26.877
2023-04-08,26.877
2023-04-09,26.877
2023-04-10,26.877
2023-04-11,26.877
2023-04-12,26.877
2023-04-13,26.877
2023-04-14,26.877
2023-04-15,26.877
2023-04-16,26.877
2023-04-17,26.877
2023-04-18,26.877
2023-04-19,26.877
2023-04-20,26.877
2023-04-21,26.877
2023-04-22,26.877
