,VSH US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-04-14,4.4242
2022-04-15,4.4242
2022-04-16,4.4242
2022-04-17,4.4242
2022-04-18,4.4711
2022-04-19,4.5623
2022-04-20,4.6148
2022-04-21,4.6204
2022-04-22,4.5209
2022-04-23,4.5209
2022-04-24,4.5209
2022-04-25,4.5927
2022-04-26,4.4352
2022-04-27,4.4573
2022-04-28,4.6977
2022-04-29,4.5623
2022-04-30,4.5623
2022-05-01,4.5623
2022-05-02,4.6535
2022-05-03,4.7323
2022-05-04,4.8975
2022-05-05,4.669
2022-05-06,4.6497
2022-05-07,4.6497
2022-05-08,4.6497
2022-05-09,4.5919
2022-05-10,4.713
2022-05-11,4.6387
2022-05-12,4.647
2022-05-13,4.7901
2022-05-14,4.7901
2022-05-15,4.7901
2022-05-16,4.7598
2022-05-17,5.0599
2022-05-18,4.8727
2022-05-19,4.8396
2022-05-20,4.8039
2022-05-21,4.8039
2022-05-22,4.8039
2022-05-23,4.8589
2022-05-24,4.7873
2022-05-25,4.8286
2022-05-26,4.936
2022-05-27,5.0186
2022-05-28,5.0186
2022-05-29,5.0186
2022-05-30,5.0186
2022-05-31,5.0406
2022-06-01,5.0186
2022-06-02,5.1204
2022-06-03,5.0406
2022-06-04,5.0406
2022-06-05,5.0406
2022-06-06,5.0736
2022-06-07,5.0764
2022-06-08,4.9635
2022-06-09,4.8672
2022-06-10,4.7323
2022-06-11,4.7323
2022-06-12,4.7323
2022-06-13,4.5341
2022-06-14,4.5589
2022-06-15,4.6057
2022-06-16,4.2643
2022-06-17,4.3111
2022-06-18,4.3111
2022-06-19,4.3111
2022-06-20,4.3111
2022-06-21,4.3689
2022-06-22,4.3139
2022-06-23,4.2395
2022-06-24,4.3441
2022-06-25,4.3441
2022-06-26,4.3441
2022-06-27,4.4763
2022-06-28,4.4295
2022-06-29,4.3552
2022-06-30,4.3194
2022-07-01,4.0837
2022-07-02,4.0837
2022-07-03,4.0837
2022-07-04,4.0837
2022-07-05,4.0522
2022-07-06,4.0365
2022-07-07,4.1887
2022-07-08,4.3016
2022-07-09,4.3016
2022-07-10,4.3016
2022-07-11,4.3489
2022-07-12,4.3646
2022-07-13,4.4302
2022-07-14,4.425
2022-07-15,4.5825
2022-07-16,4.5825
2022-07-17,4.5825
2022-07-18,4.4486
2022-07-19,4.6376
2022-07-20,4.677
2022-07-21,4.7216
2022-07-22,4.5904
2022-07-23,4.5904
2022-07-24,4.5904
2022-07-25,4.5825
2022-07-26,4.5904
2022-07-27,4.7741
2022-07-28,4.8529
2022-07-29,4.9395
2022-07-30,4.9395
2022-07-31,4.9395
2022-08-01,4.9185
2022-08-02,4.916
2022-08-03,4.955
2022-08-04,5.0019
2022-08-05,4.903
2022-08-06,4.903
2022-08-07,4.903
2022-08-08,4.8562
2022-08-09,4.648
2022-08-10,4.877
2022-08-11,4.89
2022-08-12,5.0279
2022-08-13,5.0279
2022-08-14,5.0279
2022-08-15,5.0175
2022-08-16,4.9993
2022-08-17,4.955
2022-08-18,5.1138
2022-08-19,5.0643
2022-08-20,5.0643
2022-08-21,5.0643
2022-08-22,4.9108
2022-08-23,4.89
2022-08-24,4.8926
2022-08-25,4.9889
2022-08-26,4.7729
2022-08-27,4.7729
2022-08-28,4.7729
2022-08-29,4.739
2022-08-30,4.674
2022-08-31,4.635
2022-09-01,4.5543
2022-09-02,4.51
2022-09-03,4.51
2022-09-04,4.51
2022-09-05,4.51
2022-09-06,4.4059
2022-09-07,4.4658
2022-09-08,4.5231
2022-09-09,4.5959
2022-09-10,4.5959
2022-09-11,4.5959
2022-09-12,4.648
2022-09-13,4.471
2022-09-14,4.471
2022-09-15,4.3877
2022-09-16,4.3981
2022-09-17,4.3981
2022-09-18,4.3981
2022-09-19,4.4476
2022-09-20,4.3825
2022-09-21,4.3721
2022-09-22,4.3071
2022-09-23,4.2472
2022-09-24,4.2472
2022-09-25,4.2472
2022-09-26,4.2212
2022-09-27,4.2108
2022-09-28,4.3305
2022-09-29,4.2238
2022-09-30,3.6227
2022-10-01,3.6227
2022-10-02,3.6227
2022-10-03,3.7824
2022-10-04,3.9725
2022-10-05,4.0124
2022-10-06,4.0288
2022-10-07,3.8786
2022-10-08,3.8786
2022-10-09,3.8786
2022-10-10,3.7706
2022-10-11,3.7049
2022-10-12,3.6932
2022-10-13,3.8692
2022-10-14,3.7636
2022-10-15,3.7636
2022-10-16,3.7636
2022-10-17,3.881
2022-10-18,4.0124
2022-10-19,4.0195
2022-10-20,4.0148
2022-10-21,4.2284
2022-10-22,4.2284
2022-10-23,4.2284
2022-10-24,4.2425
2022-10-25,4.3082
2022-10-26,4.2847
2022-10-27,4.2448
2022-10-28,4.3974
2022-10-29,4.3974
2022-10-30,4.3974
2022-10-31,4.3552
2022-11-01,4.4725
2022-11-02,4.1119
2022-11-03,4.1259
2022-11-04,4.3518
2022-11-05,4.3518
2022-11-06,4.3518
2022-11-07,4.438
2022-11-08,4.4869
2022-11-09,4.3844
2022-11-10,4.5848
2022-11-11,4.615
2022-11-12,4.615
2022-11-13,4.615
