,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-12-28,53.5439
2020-12-29,52.9838
2020-12-30,53.3512
2020-12-31,41.5749
2021-01-01,41.5749
2021-01-02,41.5749
2021-01-03,41.5749
2021-01-04,40.8829
2021-01-05,41.1994
2021-01-06,42.5764
2021-01-07,42.7259
2021-01-08,42.5868
2021-01-09,42.5868
2021-01-10,42.5868
2021-01-11,43.2023
2021-01-12,44.3116
2021-01-13,43.4736
2021-01-14,43.1467
2021-01-15,42.173
2021-01-16,42.173
2021-01-17,42.173
2021-01-18,42.173
2021-01-19,41.2689
2021-01-20,41.4289
2021-01-21,42.1974
2021-01-22,41.9957
2021-01-23,41.9957
2021-01-24,41.9957
2021-01-25,41.8427
2021-01-26,41.947
2021-01-27,41.0081
2021-01-28,40.3648
2021-01-29,39.2973
2021-01-30,39.2973
2021-01-31,39.2973
2021-02-01,39.5789
2021-02-02,40.5456
2021-02-03,40.876
2021-02-04,41.568
2021-02-05,41.9992
2021-02-06,41.9992
2021-02-07,41.9992
2021-02-08,42.6703
2021-02-09,42.6981
2021-02-10,42.5069
2021-02-11,41.6097
2021-02-12,41.189
2021-02-13,41.189
2021-02-14,41.189
2021-02-15,41.189
2021-02-16,42.0931
2021-02-17,41.0568
2021-02-18,41.8167
2021-02-19,42.2743
2021-02-20,42.2743
2021-02-21,42.2743
2021-02-22,43.0434
2021-02-23,43.1408
2021-02-24,43.6489
2021-02-25,43.3287
2021-02-26,43.3148
2021-02-27,43.3148
2021-02-28,43.3148
2021-03-01,44.3449
2021-03-02,44.6515
2021-03-03,45.0308
2021-03-04,44.0947
2021-03-05,45.8904
2021-03-06,45.8904
2021-03-07,45.8904
2021-03-08,47.3242
2021-03-09,46.148
2021-03-10,46.7291
2021-03-11,46.1758
2021-03-12,46.5308
2021-03-13,46.5308
2021-03-14,46.5308
2021-03-15,47.0145
2021-03-16,46.4821
2021-03-17,46.5412
2021-03-18,47.0006
2021-03-19,47.4774
2021-03-20,47.4774
2021-03-21,47.4774
2021-03-22,46.7883
2021-03-23,46.5969
2021-03-24,46.6073
2021-03-25,47.3799
2021-03-26,47.9089
2021-03-27,47.9089
2021-03-28,47.9089
2021-03-29,47.4252
2021-03-30,47.5679
2021-03-31,36.9031
2021-04-01,37.1921
2021-04-02,37.1921
2021-04-03,37.1921
2021-04-04,37.1921
2021-04-05,37.3633
2021-04-06,37.4306
2021-04-07,37.2089
2021-04-08,36.9396
2021-04-09,37.2679
2021-04-10,37.2679
2021-04-11,37.2679
2021-04-12,37.5092
2021-04-13,37.0153
2021-04-14,37.4839
2021-04-15,37.7056
2021-04-16,38.1461
2021-04-17,38.1461
2021-04-18,38.1461
2021-04-19,37.9721
2021-04-20,37.93
2021-04-21,38.4884
2021-04-22,37.9764
2021-04-23,38.8101
2021-04-24,38.8101
2021-04-25,38.8101
2021-04-26,38.7765
2021-04-27,39.0431
2021-04-28,39.4726
2021-04-29,39.7674
2021-04-30,39.5512
2021-05-01,39.5512
2021-05-02,39.5512
2021-05-03,40.1912
2021-05-04,41.0362
2021-05-05,41.4264
2021-05-06,41.6313
2021-05-07,41.9345
2021-05-08,41.9345
2021-05-09,41.9345
2021-05-10,41.9738
2021-05-11,41.3113
2021-05-12,40.253
2021-05-13,41.2299
2021-05-14,41.5134
2021-05-15,41.5134
