,AZTA US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-01-27,695.4592
2022-01-28,721.4998
2022-01-29,721.4998
2022-01-30,721.4998
2022-01-31,769.4888
2022-02-01,781.021
2022-02-02,791.6232
2022-02-03,776.6499
2022-02-04,787.7171
2022-02-05,787.7171
2022-02-06,787.7171
2022-02-07,797.2963
2022-02-08,811.4326
2022-02-09,842.5286
2022-02-10,805.1403
2022-02-11,771.8444
2022-02-12,771.8444
2022-02-13,771.8444
2022-02-14,767.1011
2022-02-15,798.909
2022-02-16,803.8383
2022-02-17,796.5838
2022-02-18,787.8413
2022-02-19,787.8413
2022-02-20,787.8413
2022-02-21,787.8413
2022-02-22,767.2871
2022-02-23,753.0572
2022-02-24,787.6553
2022-02-25,808.3955
2022-02-26,808.3955
2022-02-27,808.3955
2022-02-28,799.095
2022-03-01,785.1442
2022-03-02,787.4693
2022-03-03,771.2863
2022-03-04,759.3816
2022-03-05,759.3816
2022-03-06,759.3816
2022-03-07,737.8043
2022-03-08,737.6183
2022-03-09,768.4962
2022-03-10,740.8735
2022-03-11,711.2977
2022-03-12,711.2977
2022-03-13,711.2977
2022-03-14,694.7428
2022-03-15,704.1363
2022-03-16,773.9835
2022-03-17,780.6799
2022-03-18,797.0489
2022-03-19,797.0489
2022-03-20,797.0489
2022-03-21,788.7714
2022-03-22,792.2126
2022-03-23,755.8474
2022-03-24,777.4247
2022-03-25,778.4478
2022-03-26,778.4478
2022-03-27,778.4478
2022-03-28,783.191
2022-03-29,808.6746
2022-03-30,784.5861
2022-03-31,784.5861
2022-04-01,784.5861
2022-04-02,784.5861
2022-04-03,784.5861
2022-04-04,784.5861
2022-04-05,784.5861
2022-04-06,784.5861
2022-04-07,784.5861
2022-04-08,784.5861
2022-04-09,784.5861
2022-04-10,784.5861
2022-04-11,784.5861
2022-04-12,784.5861
2022-04-13,784.5861
2022-04-14,784.5861
2022-04-15,784.5861
2022-04-16,784.5861
2022-04-17,784.5861
2022-04-18,784.5861
2022-04-19,784.5861
2022-04-20,784.5861
2022-04-21,784.5861
2022-04-22,784.5861
2022-04-23,784.5861
2022-04-24,784.5861
2022-04-25,784.5861
2022-04-26,784.5861
2022-04-27,784.5861
2022-04-28,784.5861
2022-04-29,784.5861
2022-04-30,784.5861
2022-05-01,784.5861
2022-05-02,784.5861
2022-05-03,784.5861
2022-05-04,784.5861
2022-05-05,784.5861
2022-05-06,784.5861
2022-05-07,784.5861
2022-05-08,784.5861
2022-05-09,784.5861
2022-05-10,784.5861
2022-05-11,784.5861
2022-05-12,784.5861
2022-05-13,784.5861
2022-05-14,784.5861
2022-05-15,784.5861
2022-05-16,784.5861
2022-05-17,784.5861
2022-05-18,784.5861
2022-05-19,784.5861
2022-05-20,784.5861
2022-05-21,784.5861
2022-05-22,784.5861
2022-05-23,784.5861
2022-05-24,784.5861
2022-05-25,784.5861
2022-05-26,784.5861
2022-05-27,784.5861
2022-05-28,784.5861
2022-05-29,784.5861
2022-05-30,784.5861
2022-05-31,784.5861
2022-06-01,784.5861
2022-06-02,784.5861
2022-06-03,784.5861
2022-06-04,784.5861
2022-06-05,784.5861
2022-06-06,784.5861
2022-06-07,784.5861
2022-06-08,784.5861
2022-06-09,784.5861
2022-06-10,784.5861
2022-06-11,784.5861
2022-06-12,784.5861
2022-06-13,784.5861
2022-06-14,784.5861
2022-06-15,784.5861
2022-06-16,784.5861
2022-06-17,784.5861
2022-06-18,784.5861
2022-06-19,784.5861
2022-06-20,784.5861
2022-06-21,784.5861
2022-06-22,784.5861
2022-06-23,784.5861
2022-06-24,784.5861
2022-06-25,784.5861
2022-06-26,784.5861
2022-06-27,784.5861
2022-06-28,784.5861
