,SIGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-07-29,16.3825
2020-07-30,15.7305
2020-07-31,15.5019
2020-08-01,15.5019
2020-08-02,15.5019
2020-08-03,15.6484
2020-08-04,15.6003
2020-08-05,15.6049
2020-08-06,15.7033
2020-08-07,16.0671
2020-08-08,16.0671
2020-08-09,16.0671
2020-08-10,15.9619
2020-08-11,16.1197
2020-08-12,15.9802
2020-08-13,15.8474
2020-08-14,15.7262
2020-08-15,15.7262
2020-08-16,15.7262
2020-08-17,15.6461
2020-08-18,16.0282
2020-08-19,15.8589
2020-08-20,15.8314
2020-08-21,16.0557
2020-08-22,16.0557
2020-08-23,16.0557
2020-08-24,16.1815
2020-08-25,16.376
2020-08-26,16.3074
2020-08-27,16.6071
2020-08-28,16.765
2020-08-29,16.765
2020-08-30,16.765
2020-08-31,16.7536
2020-09-01,16.8245
2020-09-02,17.0053
2020-09-03,16.8359
2020-09-04,16.6666
2020-09-05,16.6666
2020-09-06,16.6666
2020-09-07,16.6666
2020-09-08,16.4172
2020-09-09,16.4813
2020-09-10,15.9298
2020-09-11,15.6186
2020-09-12,15.6186
2020-09-13,15.6186
2020-09-14,15.4951
2020-09-15,15.209
2020-09-16,15.3349
2020-09-17,15.0946
2020-09-18,14.74
2020-09-19,14.74
2020-09-20,14.74
2020-09-21,14.4059
2020-09-22,14.4654
2020-09-23,14.1977
2020-09-24,14.4196
2020-09-25,14.3258
2020-09-26,14.3258
2020-09-27,14.3258
2020-09-28,14.5066
2020-09-29,14.6347
2020-09-30,13.7626
2020-10-01,13.8753
2020-10-02,13.9447
2020-10-03,13.9447
2020-10-04,13.9447
2020-10-05,14.2027
2020-10-06,14.0618
2020-10-07,14.2266
2020-10-08,14.2071
2020-10-09,14.2396
2020-10-10,14.2396
2020-10-11,14.2396
2020-10-12,14.6255
2020-10-13,14.0466
2020-10-14,13.9534
2020-10-15,14.051
2020-10-16,13.9816
2020-10-17,13.9816
2020-10-18,13.9816
2020-10-19,13.639
2020-10-20,13.7951
2020-10-21,14.3567
2020-10-22,14.7296
2020-10-23,14.812
2020-10-24,14.812
2020-10-25,14.812
2020-10-26,14.6689
2020-10-27,14.3155
2020-10-28,14.0575
2020-10-29,14.2939
2020-10-30,13.8904
2020-10-31,13.8904
2020-11-01,13.8904
2020-11-02,14.2223
2020-11-03,14.3806
2020-11-04,14.3004
2020-11-05,14.5346
2020-11-06,14.5867
2020-11-07,14.5867
2020-11-08,14.5867
2020-11-09,15.2678
2020-11-10,15.886
2020-11-11,15.7797
2020-11-12,15.3415
2020-11-13,15.7471
2020-11-14,15.7471
2020-11-15,15.7471
2020-11-16,16.3848
2020-11-17,16.2916
2020-11-18,16.1267
2020-11-19,15.9033
2020-11-20,16.0302
2020-11-21,16.0302
2020-11-22,16.0302
2020-11-23,16.1701
2020-11-24,16.6755
2020-11-25,16.5887
2020-11-26,16.5887
2020-11-27,16.4326
2020-11-28,16.4326
2020-11-29,16.4326
2020-11-30,16.0074
2020-12-01,16.3024
2020-12-02,16.5237
2020-12-03,16.4369
2020-12-04,16.7623
2020-12-05,16.7623
2020-12-06,16.7623
2020-12-07,16.5627
2020-12-08,16.8425
2020-12-09,16.8924
2020-12-10,16.9358
2020-12-11,16.862
2020-12-12,16.862
2020-12-13,16.862
2020-12-14,16.9423
2020-12-15,17.3826
2020-12-16,17.4585
2020-12-17,17.4585
2020-12-18,17.3522
2020-12-19,17.3522
2020-12-20,17.3522
2020-12-21,17.0659
2020-12-22,17.0117
2020-12-23,17.0703
2020-12-24,17.0985
2020-12-25,17.0985
2020-12-26,17.0985
2020-12-27,17.0985
2020-12-28,17.1592
2020-12-29,16.9488
2020-12-30,17.0963
2020-12-31,14.381
2021-01-01,14.381
2021-01-02,14.381
2021-01-03,14.381
2021-01-04,14.0296
2021-01-05,14.1192
2021-01-06,14.9045
2021-01-07,14.9726
2021-01-08,14.7915
2021-01-09,14.7915
2021-01-10,14.7915
2021-01-11,14.7557
2021-01-12,14.9708
2021-01-13,14.6983
2021-01-14,14.6248
2021-01-15,14.5477
2021-01-16,14.5477
2021-01-17,14.5477
2021-01-18,14.5477
2021-01-19,14.6517
2021-01-20,14.7324
2021-01-21,14.4742
2021-01-22,14.3756
2021-01-23,14.3756
2021-01-24,14.3756
2021-01-25,14.5907
2021-01-26,14.5118
2021-01-27,14.3684
2021-01-28,14.4282
2021-01-29,14.0351
2021-01-30,14.0351
2021-01-31,14.0351
2021-02-01,14.0315
2021-02-02,13.9992
2021-02-03,13.7875
2021-02-04,13.949
2021-02-05,13.9885
2021-02-06,13.9885
2021-02-07,13.9885
2021-02-08,14.1805
2021-02-09,14.2254
2021-02-10,14.29
2021-02-11,14.7117
2021-02-12,14.5269
2021-02-13,14.5269
2021-02-14,14.5269
2021-02-15,14.5269
2021-02-16,14.2201
2021-02-17,14.4479
2021-02-18,14.4013
2021-02-19,14.4246
2021-02-20,14.4246
2021-02-21,14.4246
2021-02-22,14.6435
2021-02-23,14.6004
2021-02-24,14.8498
2021-02-25,14.5825
2021-02-26,14.543
2021-02-27,14.543
2021-02-28,14.543
2021-03-01,14.9557
2021-03-02,14.6883
2021-03-03,14.7816
2021-03-04,14.6435
2021-03-05,15.1548
2021-03-06,15.1548
2021-03-07,15.1548
2021-03-08,15.7469
2021-03-09,15.6464
2021-03-10,15.9479
2021-03-11,16.0035
2021-03-12,16.0035
2021-03-13,16.0035
2021-03-14,16.0035
2021-03-15,16.2331
2021-03-16,16.1614
2021-03-17,16.2529
2021-03-18,15.9909
2021-03-19,15.6016
2021-03-20,15.6016
2021-03-21,15.6016
2021-03-22,15.3181
2021-03-23,15.2715
2021-03-24,15.3307
2021-03-25,15.5843
2021-03-26,15.7569
2021-03-27,15.7569
2021-03-28,15.7569
2021-03-29,15.5321
2021-03-30,15.5555
2021-03-31,11.2645
2021-04-01,11.3692
2021-04-02,11.3692
2021-04-03,11.3692
2021-04-04,11.3692
2021-04-05,11.4381
2021-04-06,11.5387
2021-04-07,11.5295
2021-04-08,11.5639
2021-04-09,11.6579
2021-04-10,11.6579
2021-04-11,11.6579
2021-04-12,11.7162
2021-04-13,11.6023
2021-04-14,11.7361
2021-04-15,11.7719
2021-04-16,11.9202
2021-04-17,11.9202
2021-04-18,11.9202
2021-04-19,11.8553
2021-04-20,11.7599
2021-04-21,11.9149
2021-04-22,11.7056
2021-04-23,11.8248
2021-04-24,11.8248
2021-04-25,11.8248
2021-04-26,11.8553
2021-04-27,11.805
2021-04-28,11.6407
2021-04-29,11.8526
2021-04-30,11.7415
2021-05-01,11.7415
2021-05-02,11.7415
2021-05-03,11.8779
2021-05-04,11.7177
2021-05-05,11.6528
2021-05-06,11.8501
2021-05-07,11.9124
2021-05-08,11.9124
2021-05-09,11.9124
2021-05-10,11.8223
2021-05-11,11.7177
2021-05-12,11.3918
2021-05-13,11.7402
2021-05-14,11.8024
2021-05-15,11.8024
2021-05-16,11.8024
2021-05-17,11.8144
2021-05-18,11.723
2021-05-19,11.6832
2021-05-20,11.7932
2021-05-21,11.9243
2021-05-22,11.9243
2021-05-23,11.9243
2021-05-24,11.8899
2021-05-25,11.6594
2021-05-26,11.6104
2021-05-27,11.6528
2021-05-28,11.6263
2021-05-29,11.6263
2021-05-30,11.6263
2021-05-31,11.6263
2021-06-01,11.7124
2021-06-02,11.7163
2021-06-03,11.7561
2021-06-04,11.7574
2021-06-05,11.7574
2021-06-06,11.7574
2021-06-07,11.6475
2021-06-08,11.7905
2021-06-09,11.5839
2021-06-10,11.6607
2021-06-11,11.87
2021-06-12,11.87
2021-06-13,11.87
2021-06-14,11.7865
2021-06-15,11.9296
2021-06-16,11.8779
2021-06-17,11.7587
2021-06-18,11.5203
2021-06-19,11.5203
2021-06-20,11.5203
2021-06-21,11.8567
2021-06-22,11.9402
2021-06-23,11.9773
2021-06-24,12.119
2021-06-25,12.2329
2021-06-26,12.2329
2021-06-27,12.2329
2021-06-28,12.2038
2021-06-29,12.3906
2021-06-30,9.9831
2021-07-01,10.0747
2021-07-02,9.9564
2021-07-03,9.9564
2021-07-04,9.9564
2021-07-05,9.9564
2021-07-06,9.7741
2021-07-07,9.8701
2021-07-08,9.6633
2021-07-09,9.8104
2021-07-10,9.8104
2021-07-11,9.8104
2021-07-12,9.7656
2021-07-13,9.6121
2021-07-14,9.5855
2021-07-15,9.6654
2021-07-16,9.707
2021-07-17,9.707
2021-07-18,9.707
2021-07-19,9.4469
2021-07-20,9.6675
2021-07-21,9.691
2021-07-22,9.5375
2021-07-23,9.6409
2021-07-24,9.6409
2021-07-25,9.6409
2021-07-26,9.6793
2021-07-27,9.7166
2021-07-28,9.7176
2021-07-29,9.8937
2021-07-30,10.0164
2021-07-31,10.0164
2021-08-01,10.0164
2021-08-02,9.9577
2021-08-03,9.9502
2021-08-04,9.8029
2021-08-05,9.9737
2021-08-06,10.1712
2021-08-07,10.1712
2021-08-08,10.1712
2021-08-09,10.2224
2021-08-10,10.2587
2021-08-11,10.3377
2021-08-12,10.2876
2021-08-13,10.2673
2021-08-14,10.2673
2021-08-15,10.2673
2021-08-16,10.3142
2021-08-17,10.3783
2021-08-18,10.2673
2021-08-19,10.342
2021-08-20,10.4253
2021-08-21,10.4253
2021-08-22,10.4253
2021-08-23,10.3879
2021-08-24,10.3377
2021-08-25,10.3089
2021-08-26,10.1851
2021-08-27,10.373
2021-08-28,10.373
2021-08-29,10.373
2021-08-30,10.3014
2021-08-31,10.2534
2021-09-01,10.3036
2021-09-02,10.2267
2021-09-03,10.232
2021-09-04,10.232
2021-09-05,10.232
2021-09-06,10.232
2021-09-07,10.0666
2021-09-08,10.1008
2021-09-09,10.0111
2021-09-10,9.9097
2021-09-11,9.9097
2021-09-12,9.9097
2021-09-13,9.8969
2021-09-14,9.7848
2021-09-15,9.7122
2021-09-16,9.63
2021-09-17,9.5926
2021-09-18,9.5926
2021-09-19,9.5926
2021-09-20,9.4251
2021-09-21,9.3994
2021-09-22,9.5531
2021-09-23,9.6738
2021-09-24,9.7698
2021-09-25,9.7698
2021-09-26,9.7698
2021-09-27,9.8136
2021-09-28,9.5275
2021-09-29,9.5574
2021-09-30,9.1947
2021-10-01,9.2474
2021-10-02,9.2474
2021-10-03,9.2474
2021-10-04,9.124
2021-10-05,9.3455
2021-10-06,9.4045
2021-10-07,9.5701
2021-10-08,9.4752
2021-10-09,9.4752
2021-10-10,9.4752
2021-10-11,9.2601
2021-10-12,9.3845
2021-10-13,9.3866
2021-10-14,9.4657
2021-10-15,9.5163
2021-10-16,9.5163
2021-10-17,9.5163
2021-10-18,9.3961
2021-10-19,9.3592
2021-10-20,9.4531
2021-10-21,9.51
2021-10-22,9.5174
2021-10-23,9.5174
2021-10-24,9.5174
2021-10-25,9.6524
2021-10-26,9.7146
2021-10-27,9.452
2021-10-28,9.3593
2021-10-29,9.4964
2021-10-30,9.4964
2021-10-31,9.4964
2021-11-01,9.45
2021-11-02,9.5913
2021-11-03,9.7253
2021-11-04,9.5818
2021-11-05,9.8224
2021-11-06,9.8224
2021-11-07,9.8224
2021-11-08,9.6894
2021-11-09,9.6483
2021-11-10,9.6399
2021-11-11,9.661
2021-11-12,9.6662
2021-11-13,9.6662
2021-11-14,9.6662
2021-11-15,9.6662
2021-11-16,9.6251
2021-11-17,9.5576
2021-11-18,9.5513
2021-11-19,9.4732
2021-11-20,9.4732
2021-11-21,9.4732
2021-11-22,9.7063
2021-11-23,9.8899
2021-11-24,9.8498
2021-11-25,9.8498
2021-11-26,9.4669
2021-11-27,9.4669
2021-11-28,9.4669
2021-11-29,9.3677
2021-11-30,9.1979
2021-12-01,9.1187
2021-12-02,9.4574
2021-12-03,9.3318
2021-12-04,9.3318
2021-12-05,9.3318
2021-12-06,9.5987
2021-12-07,9.7211
2021-12-08,9.7264
2021-12-09,9.8266
2021-12-10,9.8762
2021-12-11,9.8762
2021-12-12,9.8762
2021-12-13,9.912
2021-12-14,9.931
2021-12-15,10.007
2021-12-16,9.9722
2021-12-17,9.7918
2021-12-18,9.7918
2021-12-19,9.7918
2021-12-20,9.5449
2021-12-21,9.7401
2021-12-22,9.6567
2021-12-23,9.6251
2021-12-24,9.6251
2021-12-25,9.6251
2021-12-26,9.6251
2021-12-27,9.7496
