,LLY US Equity
,BEST_EPS_NXT_YR
2023-05-03,16.373
2023-05-04,16.379
2023-05-05,16.379
2023-05-06,16.379
2023-05-07,16.379
2023-05-08,16.38
2023-05-09,16.38
2023-05-10,16.38
2023-05-11,16.338
2023-05-12,16.468
2023-05-13,16.468
2023-05-14,16.476
2023-05-15,16.473
2023-05-16,16.473
2023-05-17,16.473
2023-05-18,16.473
2023-05-19,16.473
2023-05-20,16.473
2023-05-21,16.473
2023-05-22,16.473
2023-05-23,16.352
2023-05-24,16.343
2023-05-25,16.417
2023-05-26,16.417
2023-05-27,16.417
2023-05-28,16.417
2023-05-29,16.417
2023-05-30,16.417
2023-05-31,16.417
2023-06-01,16.441
2023-06-02,16.441
2023-06-03,16.441
2023-06-04,16.441
2023-06-05,16.441
2023-06-06,16.441
2023-06-07,16.441
2023-06-08,16.441
2023-06-09,16.441
2023-06-10,16.441
2023-06-11,16.441
2023-06-12,16.441
2023-06-13,16.447
2023-06-14,16.447
2023-06-15,16.447
2023-06-16,16.447
2023-06-17,16.447
2023-06-18,16.447
2023-06-19,16.529
2023-06-20,16.551
2023-06-21,16.544
2023-06-22,16.544
2023-06-23,16.544
2023-06-24,16.544
2023-06-25,16.544
2023-06-26,16.544
2023-06-27,16.563
2023-06-28,16.563
2023-06-29,16.563
2023-06-30,16.563
2023-07-01,16.563
2023-07-02,16.563
