,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity
2013-04-01,27.665,27.802,27.322,27.631,8677608.0
2013-04-02,27.802,27.802,26.807,27.39,12468854.0
2013-04-03,27.665,27.665,26.876,27.116,11579669.0
2013-04-04,27.665,27.665,26.876,27.116,11579669.0
2013-04-05,26.532,26.635,25.743,25.777,18904181.0
2013-04-06,26.532,26.635,25.743,25.777,18904181.0
2013-04-07,26.532,26.635,25.743,25.777,18904181.0
2013-04-08,25.674,26.223,25.537,26.086,7932949.0
2013-04-09,26.086,26.635,26.086,26.464,6982067.0
2013-04-10,26.807,27.15,26.704,27.082,10447801.0
2013-04-11,27.528,27.562,27.082,27.219,8099438.0
2013-04-12,27.253,27.39,26.704,26.841,7214062.0
2013-04-13,27.253,27.39,26.704,26.841,7214062.0
2013-04-14,27.253,27.39,26.704,26.841,7214062.0
2013-04-15,26.189,26.635,26.189,26.464,5015271.0
2013-04-16,26.018,26.361,25.606,26.052,10794584.0
2013-04-17,26.292,26.532,25.846,25.983,9134343.0
2013-04-18,25.983,26.944,25.812,26.841,9684132.0
2013-04-19,26.876,27.082,26.601,27.047,6701497.0
2013-04-20,26.876,27.082,26.601,27.047,6701497.0
2013-04-21,26.876,27.082,26.601,27.047,6701497.0
2013-04-22,27.185,27.39,26.841,27.288,3914079.0
2013-04-23,27.802,27.802,27.288,27.356,7910195.0
2013-04-24,27.596,27.905,27.493,27.837,5279705.0
2013-04-25,28.008,28.969,27.871,28.866,10114389.0
2013-04-26,29.21,29.999,29.038,29.278,12299520.0
2013-04-27,29.21,29.999,29.038,29.278,12299520.0
2013-04-28,29.21,29.999,29.038,29.278,12299520.0
2013-04-29,29.278,29.347,28.695,29.038,6193252.0
2013-04-30,29.004,29.45,27.905,27.94,15663360.0
2013-05-01,29.004,29.45,27.905,27.94,15663360.0
2013-05-02,28.832,28.901,27.528,27.665,15522734.0
2013-05-03,27.596,28.146,27.562,27.734,11753231.0
2013-05-04,27.596,28.146,27.562,27.734,11753231.0
2013-05-05,27.596,28.146,27.562,27.734,11753231.0
2013-05-06,28.352,28.592,28.043,28.455,12313892.0
2013-05-07,28.626,28.901,28.111,28.523,12236953.0
2013-05-08,28.832,29.141,28.763,28.832,7673040.0
2013-05-09,29.141,29.141,28.249,28.386,6116672.0
2013-05-10,28.66,28.66,28.42,28.626,5668456.0
2013-05-11,28.66,28.66,28.42,28.626,5668456.0
2013-05-12,28.66,28.66,28.42,28.626,5668456.0
2013-05-13,28.763,28.763,28.077,28.146,7762375.0
2013-05-14,28.146,28.523,27.802,27.905,7275263.0
2013-05-15,27.802,27.94,27.631,27.768,9117613.0
2013-05-16,27.562,28.146,27.322,27.871,9986187.0
2013-05-17,27.562,28.146,27.322,27.871,9986187.0
2013-05-18,27.562,28.146,27.322,27.871,9986187.0
2013-05-19,27.562,28.146,27.322,27.871,9986187.0
2013-05-20,28.283,28.695,28.077,28.146,19446364.0
2013-05-21,27.905,28.317,27.905,28.146,12381358.0
2013-05-22,28.18,28.695,28.008,28.111,9648995.0
2013-05-23,27.871,27.974,27.219,27.288,13706726.0
2013-05-24,27.288,27.596,27.013,27.425,6814248.0
2013-05-25,27.288,27.596,27.013,27.425,6814248.0
2013-05-26,27.288,27.596,27.013,27.425,6814248.0
2013-05-27,27.39,27.39,26.807,27.322,7047126.0
2013-05-28,27.322,27.699,27.082,27.596,7470355.0
2013-05-29,27.631,27.631,27.116,27.253,7289009.0
2013-05-30,27.082,27.356,26.979,27.185,9073965.0
2013-05-31,27.768,28.455,27.562,28.283,20546298.0
2013-06-01,27.768,28.455,27.562,28.283,20546298.0
2013-06-02,27.768,28.455,27.562,28.283,20546298.0
2013-06-03,28.283,28.763,28.008,28.386,10137167.0
2013-06-04,28.832,28.832,28.386,28.557,8416879.0
2013-06-05,28.181,28.39,27.693,27.937,11864997.0
2013-06-06,27.693,28.111,27.588,27.832,8841496.0
2013-06-07,28.111,28.111,27.344,27.483,10959946.0
2013-06-08,28.111,28.111,27.344,27.483,10959946.0
2013-06-09,28.111,28.111,27.344,27.483,10959946.0
2013-06-10,27.414,28.285,27.344,28.216,9705239.0
2013-06-11,28.32,28.599,27.553,27.727,8021526.0
2013-06-12,28.32,28.599,27.553,27.727,8021526.0
2013-06-13,27.414,27.483,26.855,27.169,15873494.0
2013-06-14,27.518,27.553,27.065,27.414,13060156.0
2013-06-15,27.518,27.553,27.065,27.414,13060156.0
2013-06-16,27.518,27.553,27.065,27.414,13060156.0
2013-06-17,27.344,27.832,27.03,27.169,7191699.0
2013-06-18,27.03,28.564,26.995,28.355,17353972.0
2013-06-19,28.39,28.774,27.727,28.041,9149977.0
2013-06-20,27.518,27.727,27.065,27.1,11514530.0
2013-06-21,26.542,26.576,25.774,26.053,22602702.0
2013-06-22,26.542,26.576,25.774,26.053,22602702.0
2013-06-23,26.542,26.576,25.774,26.053,22602702.0
2013-06-24,25.67,26.053,24.519,24.658,18048156.0
2013-06-25,24.658,24.728,23.368,24.24,26461426.0
2013-06-26,25.216,25.426,24.519,25.146,21734946.0
2013-06-27,25.914,25.984,25.181,25.216,15073151.0
2013-06-28,25.739,26.018,25.391,25.495,12425739.0
2013-06-29,25.739,26.018,25.391,25.495,12425739.0
2013-06-30,25.739,26.018,25.391,25.495,12425739.0
2013-07-01,25.739,26.018,25.391,25.495,12425739.0
2013-07-02,26.158,26.228,24.937,25.809,11778347.0
2013-07-03,25.914,25.914,24.763,24.972,8412613.0
2013-07-04,25.46,25.6,25.286,25.565,5811256.0
2013-07-05,25.67,26.123,25.6,25.984,5700751.0
2013-07-06,25.67,26.123,25.6,25.984,5700751.0
2013-07-07,25.67,26.123,25.6,25.984,5700751.0
2013-07-08,26.123,26.158,25.181,25.67,8532140.0
2013-07-09,25.391,25.984,25.112,25.391,11594606.0
2013-07-10,25.949,26.611,25.809,26.576,13455257.0
2013-07-11,26.681,27.797,26.681,27.658,17083867.0
2013-07-12,28.146,28.146,27.274,27.344,8608359.0
2013-07-13,28.146,28.146,27.274,27.344,8608359.0
2013-07-14,28.146,28.146,27.274,27.344,8608359.0
2013-07-15,27.693,27.727,27.065,27.274,6990366.0
2013-07-16,27.518,27.797,27.379,27.553,7670867.0
2013-07-17,28.041,28.041,26.855,27.518,7656348.0
2013-07-18,27.588,27.972,27.448,27.762,7521327.0
2013-07-19,28.216,28.251,27.832,28.181,8065627.0
2013-07-20,28.216,28.251,27.832,28.181,8065627.0
2013-07-21,28.216,28.251,27.832,28.181,8065627.0
2013-07-22,28.285,28.46,28.041,28.285,4548355.0
2013-07-23,28.53,29.541,28.46,29.436,15518471.0
2013-07-24,29.506,29.89,29.053,29.855,7930123.0
2013-07-25,29.506,29.576,29.157,29.262,8869235.0
2013-07-26,28.774,28.913,28.006,28.251,16465826.0
2013-07-27,28.774,28.913,28.006,28.251,16465826.0
2013-07-28,28.774,28.913,28.006,28.251,16465826.0
2013-07-29,28.251,28.599,28.041,28.39,11453951.0
2013-07-30,28.564,29.122,28.495,28.948,9552156.0
2013-07-31,29.018,29.82,28.948,29.262,9912731.0
2013-08-01,29.681,29.89,29.227,29.541,7782437.0
2013-08-02,29.855,30.099,29.646,29.82,6911963.0
2013-08-03,29.855,30.099,29.646,29.82,6911963.0
2013-08-04,29.855,30.099,29.646,29.82,6911963.0
2013-08-05,29.681,30.413,29.646,29.785,7005189.0
2013-08-06,29.646,30.204,29.332,29.681,5605097.0
2013-08-07,29.715,29.994,29.436,29.681,8183715.0
2013-08-08,30.064,30.204,29.402,29.89,6951309.0
2013-08-09,29.89,29.994,29.297,29.471,9999962.0
2013-08-10,29.89,29.994,29.297,29.471,9999962.0
2013-08-11,29.89,29.994,29.297,29.471,9999962.0
2013-08-12,29.227,30.204,29.227,29.96,5822585.0
2013-08-13,30.308,31.11,30.204,30.971,12641762.0
2013-08-14,30.308,31.11,30.204,30.971,12641762.0
2013-08-15,31.738,31.738,30.901,31.11,12698769.0
2013-08-16,30.797,31.25,30.587,31.076,6909509.0
2013-08-17,30.797,31.25,30.587,31.076,6909509.0
2013-08-18,30.797,31.25,30.587,31.076,6909509.0
2013-08-19,30.971,31.076,30.622,30.727,12090985.0
2013-08-20,30.727,30.971,29.646,29.855,9531342.0
2013-08-21,30.099,30.552,29.646,30.029,7704851.0
2013-08-22,29.646,30.343,29.436,30.169,5549392.0
2013-08-23,30.239,30.831,30.239,30.448,5674242.0
2013-08-24,30.239,30.831,30.239,30.448,5674242.0
2013-08-25,30.239,30.831,30.239,30.448,5674242.0
2013-08-26,30.308,30.622,30.099,30.308,7170082.0
2013-08-27,29.89,31.355,29.89,31.32,11763893.0
2013-08-28,30.552,31.18,30.552,30.727,12673636.0
2013-08-29,30.239,31.18,30.239,30.901,7483906.0
2013-08-30,30.692,31.39,30.657,31.11,6120027.0
2013-08-31,30.692,31.39,30.657,31.11,6120027.0
2013-09-01,30.692,31.39,30.657,31.11,6120027.0
2013-09-02,31.599,32.471,31.494,32.436,12556729.0
2013-09-03,32.122,33.168,32.087,32.366,10897066.0
2013-09-04,32.157,32.331,31.738,32.122,11069124.0
2013-09-05,32.436,32.959,32.192,32.296,15833822.0
2013-09-06,32.296,32.54,32.052,32.157,7102702.0
2013-09-07,32.296,32.54,32.052,32.157,7102702.0
2013-09-08,32.296,32.54,32.052,32.157,7102702.0
2013-09-09,31.948,32.645,31.948,32.366,6760171.0
2013-09-10,32.924,33.726,32.785,33.273,13732443.0
2013-09-11,33.552,33.831,33.308,33.587,16848242.0
2013-09-12,33.447,33.657,32.75,32.819,14170876.0
2013-09-13,32.75,32.75,32.052,32.261,14067395.0
2013-09-14,32.75,32.75,32.052,32.261,14067395.0
2013-09-15,32.75,32.75,32.052,32.261,14067395.0
2013-09-16,32.715,33.622,32.61,33.308,20617654.0
2013-09-17,33.133,33.447,32.959,33.238,13387697.0
2013-09-18,33.552,33.622,33.098,33.168,8306360.0
2013-09-19,34.04,34.11,33.726,33.97,11481983.0
2013-09-20,34.04,34.11,33.726,33.97,11481983.0
2013-09-21,34.04,34.11,33.726,33.97,11481983.0
2013-09-22,34.04,34.11,33.726,33.97,11481983.0
2013-09-23,33.97,34.738,33.517,33.552,8240362.0
2013-09-24,33.691,33.901,33.098,33.308,15102152.0
2013-09-25,33.098,34.18,33.098,33.901,15883527.0
2013-09-26,34.18,34.319,33.796,34.005,14763319.0
2013-09-27,33.657,34.215,33.657,34.005,10088043.0
2013-09-28,33.657,34.215,33.657,34.005,10088043.0
2013-09-29,33.657,34.215,33.657,34.005,10088043.0
2013-09-30,33.482,34.424,33.343,33.447,10865718.0
2013-10-01,33.482,34.424,33.343,33.447,10865718.0
2013-10-02,34.11,34.249,33.761,33.97,16661008.0
2013-10-03,34.528,35.331,34.389,35.296,16069181.0
2013-10-04,35.575,35.575,33.97,35.086,25034347.0
2013-10-05,35.575,35.575,33.97,35.086,25034347.0
2013-10-06,35.575,35.575,33.97,35.086,25034347.0
2013-10-07,34.877,35.226,34.424,34.842,12294845.0
2013-10-08,34.877,35.4,34.842,35.366,9883164.0
2013-10-09,35.226,35.366,34.703,35.156,7807172.0
2013-10-10,35.366,35.679,34.18,35.226,11392639.0
2013-10-11,35.924,36.342,35.645,35.854,9156400.0
2013-10-12,35.924,36.342,35.645,35.854,9156400.0
2013-10-13,35.924,36.342,35.645,35.854,9156400.0
2013-10-14,35.924,36.342,35.645,35.854,9156400.0
2013-10-15,35.889,37.319,35.889,37.284,16436573.0
2013-10-16,37.667,37.702,36.726,37.249,13070951.0
2013-10-17,37.912,38.086,36.935,37.04,10607852.0
2013-10-18,38.365,41.051,38.156,40.458,34265506.0
2013-10-19,38.365,41.051,38.156,40.458,34265506.0
2013-10-20,38.365,41.051,38.156,40.458,34265506.0
2013-10-21,41.051,42.201,40.911,41.643,25353952.0
2013-10-22,41.016,41.051,39.411,39.621,28596781.0
2013-10-23,39.76,40.911,39.69,39.795,19449067.0
2013-10-24,39.76,40.423,38.958,40.004,16944029.0
2013-10-25,39.865,40.353,39.342,40.004,10458078.0
2013-10-26,39.865,40.353,39.342,40.004,10458078.0
2013-10-27,39.865,40.353,39.342,40.004,10458078.0
2013-10-28,40.179,40.179,38.749,38.818,18453876.0
2013-10-29,39.202,39.202,37.423,37.563,16297888.0
2013-10-30,37.737,39.342,37.737,39.307,21061296.0
2013-10-31,38.993,39.062,38.365,38.435,10140544.0
2013-11-01,38.435,39.551,37.981,39.132,10238235.0
2013-11-02,38.435,39.551,37.981,39.132,10238235.0
2013-11-03,38.435,39.551,37.981,39.132,10238235.0
2013-11-04,39.621,39.83,38.225,38.574,8366393.0
2013-11-05,38.714,38.993,37.528,37.842,9840364.0
2013-11-06,37.667,38.47,37.598,38.295,11761522.0
2013-11-07,38.156,38.714,37.877,38.051,6641786.0
2013-11-08,37.667,38.016,37.214,37.912,8297260.0
2013-11-09,37.667,38.016,37.214,37.912,8297260.0
2013-11-10,37.667,38.016,37.214,37.912,8297260.0
2013-11-11,38.225,38.574,37.772,38.435,7235207.0
2013-11-12,38.714,39.062,37.563,38.156,6397086.0
2013-11-13,37.667,38.644,37.667,37.842,7336740.0
2013-11-14,38.365,38.783,37.877,38.644,6740027.0
2013-11-15,38.644,39.69,38.644,39.551,13478376.0
2013-11-16,38.644,39.69,38.644,39.551,13478376.0
2013-11-17,38.644,39.69,38.644,39.551,13478376.0
2013-11-18,40.841,41.085,40.074,40.737,14873178.0
2013-11-19,41.085,41.085,39.655,39.76,9787492.0
2013-11-20,39.795,39.83,39.237,39.446,9934774.0
2013-11-21,39.655,39.655,39.132,39.237,8015999.0
2013-11-22,39.655,39.969,39.342,39.446,5239577.0
2013-11-23,39.655,39.969,39.342,39.446,5239577.0
2013-11-24,39.655,39.969,39.342,39.446,5239577.0
2013-11-25,39.69,39.969,39.376,39.725,4168066.0
2013-11-26,39.969,40.388,39.655,39.795,9839921.0
2013-11-27,39.76,40.597,39.725,40.562,7659006.0
2013-11-28,40.737,41.155,40.632,40.737,10036708.0
2013-11-29,40.981,41.155,40.737,40.911,3981110.0
2013-11-30,40.981,41.155,40.737,40.911,3981110.0
2013-12-01,40.981,41.155,40.737,40.911,3981110.0
2013-12-02,40.911,41.539,40.632,41.504,6782488.0
2013-12-03,41.783,43.108,41.469,42.55,11093487.0
2013-12-04,42.55,43.527,41.888,42.132,8342854.0
2013-12-05,41.957,43.318,41.957,43.004,8011284.0
2013-12-06,43.387,43.527,42.934,43.178,6600982.0
2013-12-07,43.387,43.527,42.934,43.178,6600982.0
2013-12-08,43.387,43.527,42.934,43.178,6600982.0
2013-12-09,43.492,44.364,43.213,43.876,8313434.0
2013-12-10,44.399,44.538,43.108,43.457,7728357.0
2013-12-11,43.597,43.701,42.759,42.829,10838621.0
2013-12-12,42.411,43.736,42.306,43.457,8911938.0
2013-12-13,43.666,43.806,43.039,43.701,9208367.0
2013-12-14,43.666,43.806,43.039,43.701,9208367.0
2013-12-15,43.666,43.806,43.039,43.701,9208367.0
2013-12-16,43.876,44.503,43.527,44.434,10498444.0
2013-12-17,44.747,45.968,44.678,45.096,14478115.0
2013-12-18,44.922,45.34,44.015,44.224,11183430.0
2013-12-19,44.294,44.468,42.655,42.899,12477312.0
2013-12-20,42.446,42.725,41.574,42.341,11531741.0
2013-12-21,42.446,42.725,41.574,42.341,11531741.0
2013-12-22,42.446,42.725,41.574,42.341,11531741.0
2013-12-23,42.271,43.457,41.643,42.829,9576340.0
2013-12-24,43.248,43.736,43.108,43.562,4366031.0
2013-12-25,43.248,43.736,43.108,43.562,4366031.0
2013-12-26,43.248,43.736,43.108,43.562,4366031.0
2013-12-27,43.283,43.736,43.039,43.283,4044875.0
2013-12-28,43.283,43.736,43.039,43.283,4044875.0
2013-12-29,43.283,43.736,43.039,43.283,4044875.0
2013-12-30,43.283,43.945,43.283,43.666,5854782.0
2013-12-31,43.666,44.364,43.422,44.189,5010874.0
2014-01-01,43.666,44.364,43.422,44.189,5010874.0
2014-01-02,44.503,44.713,43.666,44.608,6050772.0
2014-01-03,43.771,44.852,43.666,44.224,7373371.0
2014-01-04,43.771,44.852,43.666,44.224,7373371.0
2014-01-05,43.771,44.852,43.666,44.224,7373371.0
2014-01-06,43.841,44.468,43.457,44.155,6816793.0
2014-01-07,45.027,46.352,44.713,45.689,13241505.0
2014-01-08,46.422,46.701,45.061,46.108,15026393.0
2014-01-09,46.212,46.84,45.34,45.968,12847226.0
2014-01-10,45.48,45.898,44.294,44.608,17705058.0
2014-01-11,45.48,45.898,44.294,44.608,17705058.0
2014-01-12,45.48,45.898,44.294,44.608,17705058.0
2014-01-13,44.643,44.957,44.085,44.294,9758801.0
2014-01-14,43.422,44.643,43.422,44.189,11242073.0
2014-01-15,44.782,44.817,43.945,44.573,6189658.0
2014-01-16,44.782,44.782,43.631,43.771,12325726.0
2014-01-17,43.597,45.445,43.492,45.306,18940775.0
2014-01-18,43.597,45.445,43.492,45.306,18940775.0
2014-01-19,43.597,45.445,43.492,45.306,18940775.0
2014-01-20,45.34,46.596,44.992,45.585,8967749.0
2014-01-21,46.038,46.073,44.503,44.992,10385961.0
2014-01-22,44.573,44.643,42.271,43.143,22501090.0
2014-01-23,41.783,42.794,40.806,41.888,28323659.0
2014-01-24,41.12,43.213,41.12,41.678,24410473.0
2014-01-25,41.12,43.213,41.12,41.678,24410473.0
2014-01-26,41.12,43.213,41.12,41.678,24410473.0
2014-01-27,40.004,41.922,39.062,41.818,24091399.0
2014-01-28,41.853,42.55,41.643,41.678,15868832.0
2014-01-29,41.853,41.992,40.597,40.737,13058574.0
2014-01-30,39.481,41.922,39.481,41.748,13407487.0
2014-01-31,39.481,41.922,39.481,41.748,13407487.0
2014-02-01,39.481,41.922,39.481,41.748,13407487.0
2014-02-02,39.481,41.922,39.481,41.748,13407487.0
2014-02-03,39.481,41.922,39.481,41.748,13407487.0
2014-02-04,40.458,41.574,40.248,41.19,18983980.0
2014-02-05,42.027,42.55,37.807,38.121,38937707.0
2014-02-06,40.806,42.55,40.109,42.271,38979131.0
2014-02-07,42.201,43.352,41.155,41.295,19173192.0
2014-02-08,42.201,43.352,41.155,41.295,19173192.0
2014-02-09,42.201,43.352,41.155,41.295,19173192.0
2014-02-10,41.713,41.713,40.144,40.597,19393745.0
2014-02-11,40.985,42.133,40.949,41.344,13479880.0
2014-02-12,42.133,42.671,41.523,42.636,15248296.0
2014-02-13,43.569,43.569,42.133,42.348,15269131.0
2014-02-14,43.605,43.605,42.528,42.707,11365099.0
2014-02-15,43.605,43.605,42.528,42.707,11365099.0
2014-02-16,43.605,43.605,42.528,42.707,11365099.0
2014-02-17,43.066,43.066,41.021,41.272,13087464.0
2014-02-18,41.164,42.025,41.056,41.882,10089879.0
2014-02-19,41.738,41.81,41.092,41.559,13627791.0
2014-02-20,41.415,42.133,41.2,41.487,9039745.0
2014-02-21,42.025,42.348,41.631,42.277,8963106.0
2014-02-22,42.025,42.348,41.631,42.277,8963106.0
2014-02-23,42.025,42.348,41.631,42.277,8963106.0
2014-02-24,42.528,42.815,42.169,42.6,11404909.0
2014-02-25,43.317,45.076,43.03,44.538,23994141.0
2014-02-26,44.538,45.794,44.43,45.758,19166650.0
2014-02-27,46.009,46.978,45.758,46.906,16893864.0
2014-02-28,48.306,48.808,45.901,46.583,14903221.0
2014-03-01,48.306,48.808,45.901,46.583,14903221.0
2014-03-02,48.306,48.808,45.901,46.583,14903221.0
2014-03-03,45.686,47.696,45.291,45.937,14149349.0
2014-03-04,46.081,46.978,46.081,46.512,7410554.0
2014-03-05,47.373,47.911,47.05,47.481,12296543.0
2014-03-06,47.552,47.911,47.229,47.552,5980600.0
2014-03-07,47.732,47.804,46.153,46.368,7001392.0
2014-03-08,47.732,47.804,46.153,46.368,7001392.0
2014-03-09,47.732,47.804,46.153,46.368,7001392.0
2014-03-10,45.291,45.794,45.076,45.22,8588243.0
2014-03-11,45.578,46.476,45.112,46.332,6325088.0
2014-03-12,46.081,46.296,45.399,46.009,7597443.0
2014-03-13,46.763,46.763,45.004,45.04,9151614.0
2014-03-14,44.502,44.789,43.138,43.82,17012577.0
2014-03-15,44.502,44.789,43.138,43.82,17012577.0
2014-03-16,44.502,44.789,43.138,43.82,17012577.0
2014-03-17,43.82,45.255,43.784,44.681,8845723.0
2014-03-18,44.394,44.681,43.569,44.071,10181177.0
2014-03-19,44.502,45.004,44.143,44.358,13506817.0
2014-03-20,43.282,43.892,42.6,42.707,11544419.0
2014-03-21,42.923,43.425,42.097,42.169,13085995.0
2014-03-22,42.923,43.425,42.097,42.169,13085995.0
2014-03-23,42.923,43.425,42.097,42.169,13085995.0
2014-03-24,42.994,43.533,41.774,43.497,14403463.0
2014-03-25,43.353,43.497,42.456,42.851,10173922.0
2014-03-26,43.389,43.569,42.169,42.277,8825605.0
2014-03-27,41.99,41.99,40.303,40.59,18078038.0
2014-03-28,41.236,41.415,40.303,41.2,20373625.0
2014-03-29,41.236,41.415,40.303,41.2,20373625.0
2014-03-30,41.236,41.415,40.303,41.2,20373625.0
2014-03-31,41.738,42.564,41.308,41.595,12653528.0
2014-04-01,42.851,45.901,42.851,45.578,23587317.0
2014-04-02,46.44,46.583,44.574,45.471,13661551.0
2014-04-03,45.901,46.153,44.932,45.973,11283949.0
2014-04-04,46.224,46.296,45.148,45.471,6837310.0
2014-04-05,46.224,46.296,45.148,45.471,6837310.0
2014-04-06,46.224,46.296,45.148,45.471,6837310.0
2014-04-07,44.43,44.574,43.138,43.246,13929260.0
2014-04-08,43.246,43.389,42.241,42.277,17275486.0
2014-04-09,43.066,43.784,42.779,43.712,17288220.0
2014-04-10,44.645,46.799,43.246,46.691,23598109.0
2014-04-11,46.081,46.26,45.004,45.148,19988568.0
2014-04-12,46.081,46.26,45.004,45.148,19988568.0
2014-04-13,46.081,46.26,45.004,45.148,19988568.0
2014-04-14,45.148,45.722,44.574,45.471,12156277.0
2014-04-15,45.435,45.794,43.533,43.999,13182573.0
2014-04-16,43.569,44.035,42.887,43.461,16888653.0
2014-04-17,43.856,44.286,43.461,43.856,11329044.0
2014-04-18,43.856,44.286,43.461,43.856,11329044.0
2014-04-19,43.856,44.286,43.461,43.856,11329044.0
2014-04-20,43.856,44.286,43.461,43.856,11329044.0
2014-04-21,43.856,44.286,43.461,43.856,11329044.0
2014-04-22,43.856,44.43,43.64,43.856,5639045.0
2014-04-23,44.968,45.184,44.394,44.932,14757904.0
2014-04-24,44.789,45.578,44.179,45.543,13517509.0
2014-04-25,45.543,45.543,43.892,44.107,33513734.0
2014-04-26,45.543,45.543,43.892,44.107,33513734.0
2014-04-27,45.543,45.543,43.892,44.107,33513734.0
2014-04-28,43.64,43.64,42.277,42.671,26025995.0
2014-04-29,42.277,42.456,40.805,41.559,29992276.0
2014-04-30,42.456,42.887,40.59,40.626,26739719.0
2014-05-01,42.456,42.887,40.59,40.626,26739719.0
2014-05-02,42.277,42.277,40.805,41.487,29915329.0
2014-05-03,42.277,42.277,40.805,41.487,29915329.0
2014-05-04,42.277,42.277,40.805,41.487,29915329.0
2014-05-05,41.918,42.205,40.805,40.985,19568876.0
2014-05-06,41.918,42.205,40.805,40.985,19568876.0
2014-05-07,40.662,40.913,39.334,39.549,31340411.0
2014-05-08,39.477,39.513,36.247,37.719,55901738.0
2014-05-09,39.477,39.944,38.867,39.908,43945093.0
2014-05-10,39.477,39.944,38.867,39.908,43945093.0
2014-05-11,39.477,39.944,38.867,39.908,43945093.0
2014-05-12,40.554,40.913,39.442,40.626,41242609.0
2014-05-13,41.344,41.379,40.339,40.446,14492416.0
2014-05-14,40.913,41.631,40.052,41.308,17778820.0
2014-05-15,41.667,41.667,40.554,40.913,10891793.0
2014-05-16,40.877,41.379,40.662,41.272,20006698.0
2014-05-17,40.877,41.379,40.662,41.272,20006698.0
2014-05-18,40.877,41.379,40.662,41.272,20006698.0
2014-05-19,41.631,41.631,40.769,41.056,8774879.0
2014-05-20,41.056,41.487,40.769,41.2,11128899.0
2014-05-21,41.272,41.81,41.128,41.451,12258691.0
2014-05-22,41.918,42.456,41.774,42.205,15062787.0
2014-05-23,42.492,42.743,42.241,42.528,9260612.0
2014-05-24,42.492,42.743,42.241,42.528,9260612.0
2014-05-25,42.492,42.743,42.241,42.528,9260612.0
2014-05-26,42.887,42.959,41.954,42.169,7404550.0
2014-05-27,41.918,42.348,41.667,41.81,9743513.0
2014-05-28,40.805,41.2,40.195,40.949,231022556.0
2014-05-29,40.841,40.949,39.8,40.123,29033559.0
2014-05-30,40.339,40.698,39.8,40.554,23381833.0
2014-05-31,40.339,40.698,39.8,40.554,23381833.0
2014-06-01,40.339,40.698,39.8,40.554,23381833.0
2014-06-02,40.339,40.698,39.8,40.554,23381833.0
2014-06-03,41.236,41.236,38.831,39.98,37835258.0
2014-06-04,39.836,40.267,39.477,39.908,14533483.0
2014-06-05,40.098,40.28,39.369,39.988,9915470.0
2014-06-06,40.243,40.644,39.587,39.624,12828754.0
2014-06-07,40.243,40.644,39.587,39.624,12828754.0
2014-06-08,40.243,40.644,39.587,39.624,12828754.0
2014-06-09,40.061,40.134,38.421,38.567,14404637.0
2014-06-10,38.53,38.53,37.546,37.801,28540967.0
2014-06-11,38.348,39.441,38.129,39.15,22277427.0
2014-06-12,39.004,39.952,38.822,39.15,16230104.0
2014-06-13,39.186,39.624,38.822,39.259,8121682.0
2014-06-14,39.186,39.624,38.822,39.259,8121682.0
2014-06-15,39.186,39.624,38.822,39.259,8121682.0
2014-06-16,39.66,39.66,38.931,39.259,10500585.0
2014-06-17,38.895,39.041,38.384,38.712,9185079.0
2014-06-18,38.931,39.004,38.311,38.421,10999756.0
2014-06-19,38.822,39.223,38.567,38.895,11786609.0
2014-06-20,39.405,40.316,39.15,39.806,19241436.0
2014-06-21,39.405,40.316,39.15,39.806,19241436.0
2014-06-22,39.405,40.316,39.15,39.806,19241436.0
2014-06-23,39.915,40.535,39.15,39.514,18516968.0
2014-06-24,39.697,40.316,39.15,39.988,18310989.0
2014-06-25,40.353,40.353,39.988,40.098,10525146.0
2014-06-26,40.462,41.847,40.171,41.702,29385000.0
2014-06-27,42.175,42.175,41.519,42.03,13397274.0
2014-06-28,42.175,42.175,41.519,42.03,13397274.0
2014-06-29,42.175,42.175,41.519,42.03,13397274.0
2014-06-30,42.175,43.014,41.847,42.686,18981924.0
2014-07-01,42.175,43.014,41.847,42.686,18981924.0
2014-07-02,43.451,44.034,43.415,43.962,25108303.0
2014-07-03,44.472,44.472,43.378,43.524,10666146.0
2014-07-04,43.706,44.946,43.706,44.581,17383367.0
2014-07-05,43.706,44.946,43.706,44.581,17383367.0
2014-07-06,43.706,44.946,43.706,44.581,17383367.0
2014-07-07,44.326,44.8,43.087,43.67,11306630.0
2014-07-08,43.597,43.597,42.649,42.977,11853873.0
2014-07-09,42.832,42.868,41.337,41.738,18093282.0
2014-07-10,42.066,42.139,41.519,41.629,7562581.0
2014-07-11,41.774,42.139,41.264,41.957,8666598.0
2014-07-12,41.774,42.139,41.264,41.957,8666598.0
2014-07-13,41.774,42.139,41.264,41.957,8666598.0
2014-07-14,41.92,41.92,41.337,41.592,8269831.0
2014-07-15,42.358,42.394,41.446,41.738,8339817.0
2014-07-16,41.483,41.702,40.972,41.155,12395120.0
2014-07-17,40.426,40.972,40.316,40.644,18953630.0
2014-07-18,39.369,40.243,39.259,39.551,28351651.0
2014-07-19,39.369,40.243,39.259,39.551,28351651.0
2014-07-20,39.369,40.243,39.259,39.551,28351651.0
2014-07-21,39.879,40.79,39.77,40.462,20953425.0
2014-07-22,40.389,41.301,40.28,41.155,18607051.0
2014-07-23,41.337,41.702,41.155,41.373,8603011.0
2014-07-24,41.629,41.702,40.972,41.556,9834900.0
2014-07-25,41.993,42.066,41.082,41.118,8563750.0
