,PSX US Equity
,BEST_PE_RATIO
2021-08-21,9.584
2021-08-22,9.584
2021-08-23,9.998
2021-08-24,10.308
2021-08-25,10.489
2021-08-26,10.271
2021-08-27,10.552
2021-08-28,10.552
2021-08-29,10.552
2021-08-30,10.401
2021-08-31,10.331
2021-09-01,10.058
2021-09-02,10.161
2021-09-03,10.117
2021-09-04,10.117
2021-09-05,10.117
2021-09-06,10.117
2021-09-07,9.99
2021-09-08,9.735
2021-09-09,9.699
2021-09-10,9.647
2021-09-11,9.647
2021-09-12,9.647
2021-09-13,9.774
2021-09-14,9.481
2021-09-15,9.209
2021-09-16,9.171
2021-09-17,8.807
2021-09-18,8.807
2021-09-19,8.807
2021-09-20,8.574
2021-09-21,8.583
2021-09-22,8.939
2021-09-23,9.153
2021-09-24,9.077
2021-09-25,9.077
2021-09-26,9.077
2021-09-27,9.489
2021-09-28,9.46
2021-09-29,9.333
2021-09-30,9.342
2021-10-01,9.681
2021-10-02,9.681
2021-10-03,9.681
2021-10-04,10.13
2021-10-05,10.854
2021-10-06,10.614
2021-10-07,10.737
2021-10-08,11.12
2021-10-09,11.12
2021-10-10,11.12
2021-10-11,11.108
2021-10-12,11.188
2021-10-13,10.583
2021-10-14,10.621
2021-10-15,10.499
2021-10-16,10.499
2021-10-17,10.499
2021-10-18,10.454
2021-10-19,10.701
2021-10-20,10.74
2021-10-21,10.664
2021-10-22,10.685
2021-10-23,10.685
2021-10-24,10.685
2021-10-25,10.793
2021-10-26,10.598
2021-10-27,9.971
2021-10-28,9.893
2021-10-29,8.96
2021-10-30,8.96
2021-10-31,8.96
2021-11-01,8.607
2021-11-02,8.542
2021-11-03,8.696
2021-11-04,8.469
2021-11-05,8.567
2021-11-06,8.567
2021-11-07,8.567
2021-11-08,8.591
2021-11-09,8.721
2021-11-10,8.54
2021-11-11,8.578
2021-11-12,8.534
2021-11-13,8.534
2021-11-14,8.534
2021-11-15,8.692
2021-11-16,8.581
2021-11-17,8.323
2021-11-18,8.215
2021-11-19,7.828
2021-11-20,7.828
2021-11-21,7.828
2021-11-22,8.115
2021-11-23,8.299
2021-11-24,8.304
2021-11-25,8.304
2021-11-26,7.784
2021-11-27,7.784
2021-11-28,7.784
2021-11-29,7.853
2021-11-30,7.775
2021-12-01,7.719
2021-12-02,8.281
2021-12-03,8.121
2021-12-04,8.121
2021-12-05,8.121
2021-12-06,8.245
2021-12-07,8.408
2021-12-08,7.965
2021-12-09,8.015
2021-12-10,8.092
2021-12-11,8.092
2021-12-12,8.092
2021-12-13,7.771
2021-12-14,8.281
2021-12-15,8.256
2021-12-16,8.308
2021-12-17,8.406
2021-12-18,8.406
2021-12-19,8.406
2021-12-20,8.129
2021-12-21,8.446
2021-12-22,8.385
2021-12-23,8.418
2021-12-24,8.418
2021-12-25,8.418
2021-12-26,8.418
2021-12-27,8.522
2021-12-28,8.656
2021-12-29,8.529
2021-12-30,8.482
2021-12-31,8.483
2022-01-01,8.483
2022-01-02,8.483
2022-01-03,8.849
2022-01-04,9.18
2022-01-05,9.151
2022-01-06,9.403
2022-01-07,9.576
2022-01-08,9.576
2022-01-09,9.576
2022-01-10,9.761
2022-01-11,9.7
2022-01-12,9.717
2022-01-13,9.502
2022-01-14,9.699
2022-01-15,9.699
2022-01-16,9.699
2022-01-17,9.699
2022-01-18,9.708
2022-01-19,9.795
2022-01-20,9.599
2022-01-21,9.368
2022-01-22,9.368
2022-01-23,9.368
2022-01-24,8.858
2022-01-25,9.193
2022-01-26,9.072
2022-01-27,9.154
2022-01-28,8.948
2022-01-29,8.948
2022-01-30,8.948
2022-01-31,9.194
2022-02-01,9.505
2022-02-02,9.51
2022-02-03,9.458
2022-02-04,9.633
2022-02-05,9.633
2022-02-06,9.633
2022-02-07,9.791
2022-02-08,9.631
2022-02-09,9.699
2022-02-10,9.701
2022-02-11,10.106
2022-02-12,10.106
2022-02-13,10.106
2022-02-14,9.815
2022-02-15,9.588
2022-02-16,9.575
2022-02-17,9.438
2022-02-18,9.323
2022-02-19,9.323
2022-02-20,9.323
2022-02-21,9.323
2022-02-22,9.217
2022-02-23,9.204
2022-02-24,9.149
2022-02-25,9.281
2022-02-26,9.281
2022-02-27,9.281
2022-02-28,9.232
2022-03-01,9.005
2022-03-02,9.24
2022-03-03,9.096
2022-03-04,9.239
2022-03-05,9.239
2022-03-06,9.239
2022-03-07,8.915
2022-03-08,9.1
2022-03-09,8.564
2022-03-10,8.765
2022-03-11,8.718
2022-03-12,8.718
2022-03-13,8.718
2022-03-14,8.753
2022-03-15,8.425
2022-03-16,8.555
2022-03-17,8.672
2022-03-18,8.808
2022-03-19,8.808
2022-03-20,8.808
2022-03-21,9.017
2022-03-22,8.923
2022-03-23,8.976
2022-03-24,9.072
2022-03-25,9.398
2022-03-26,9.398
2022-03-27,9.398
2022-03-28,9.224
2022-03-29,9.356
2022-03-30,9.754
2022-03-31,9.636
2022-04-01,9.588
2022-04-02,9.588
2022-04-03,9.588
2022-04-04,9.668
2022-04-05,9.583
2022-04-06,9.557
2022-04-07,9.267
2022-04-08,9.358
2022-04-09,9.358
2022-04-10,9.358
2022-04-11,9.163
2022-04-12,9.105
2022-04-13,9.225
2022-04-14,9.378
2022-04-15,9.378
2022-04-16,9.378
2022-04-17,9.378
2022-04-18,9.862
2022-04-19,10.133
2022-04-20,10.056
2022-04-21,9.726
2022-04-22,9.424
2022-04-23,9.424
2022-04-24,9.424
2022-04-25,9.131
2022-04-26,9.228
2022-04-27,9.346
2022-04-28,9.819
2022-04-29,9.768
2022-04-30,9.768
2022-05-01,9.768
2022-05-02,9.861
2022-05-03,9.961
2022-05-04,10.551
2022-05-05,10.37
2022-05-06,10.572
2022-05-07,10.572
2022-05-08,10.572
2022-05-09,9.817
2022-05-10,9.827
2022-05-11,10.006
2022-05-12,10.004
2022-05-13,10.379
2022-05-14,10.379
2022-05-15,10.379
2022-05-16,10.282
2022-05-17,10.267
2022-05-18,10.036
2022-05-19,10.016
2022-05-20,9.956
2022-05-21,9.956
2022-05-22,9.956
2022-05-23,9.95
2022-05-24,10.127
2022-05-25,10.369
2022-05-26,10.327
2022-05-27,10.646
2022-05-28,10.646
2022-05-29,10.646
2022-05-30,10.646
2022-05-31,10.191
2022-06-01,10.431
2022-06-02,10.412
2022-06-03,10.703
2022-06-04,10.703
2022-06-05,10.703
2022-06-06,10.863
2022-06-07,11.263
2022-06-08,11.297
2022-06-09,11.094
2022-06-10,10.893
2022-06-11,10.893
2022-06-12,10.893
2022-06-13,10.218
2022-06-14,10.354
2022-06-15,10.18
2022-06-16,9.596
2022-06-17,9.117
2022-06-18,9.117
2022-06-19,9.117
2022-06-20,9.117
2022-06-21,9.668
2022-06-22,9.117
2022-06-23,8.501
2022-06-24,8.482
2022-06-25,8.482
2022-06-26,8.482
2022-06-27,8.784
2022-06-28,8.95
2022-06-29,8.52
2022-06-30,8.259
2022-07-01,8.502
2022-07-02,8.502
2022-07-03,8.502
2022-07-04,8.502
2022-07-05,7.966
2022-07-06,8.127
2022-07-07,8.336
2022-07-08,8.237
2022-07-09,8.237
2022-07-10,8.237
2022-07-11,8.211
2022-07-12,8.086
2022-07-13,8.048
2022-07-14,7.936
2022-07-15,8.263
2022-07-16,8.263
2022-07-17,8.263
2022-07-18,8.354
2022-07-19,8.623
2022-07-20,8.768
2022-07-21,8.603
2022-07-22,8.534
2022-07-23,8.534
2022-07-24,8.534
2022-07-25,8.808
2022-07-26,8.678
2022-07-27,8.814
2022-07-28,8.781
2022-07-29,8.88
2022-07-30,8.88
2022-07-31,8.88
2022-08-01,8.405
2022-08-02,8.41
2022-08-03,8.215
2022-08-04,7.94
2022-08-05,8.047
2022-08-06,8.047
2022-08-07,8.047
2022-08-08,8.051
2022-08-09,8.544
2022-08-10,8.554
2022-08-11,8.824
2022-08-12,9.001
2022-08-13,9.001
2022-08-14,9.001
2022-08-15,8.917
2022-08-16,8.937
2022-08-17,9.087
2022-08-18,8.601
2022-08-19,8.505
2022-08-20,8.505
2022-08-21,8.505
2022-08-22,8.485
2022-08-23,8.79
2022-08-24,8.883
2022-08-25,9.021
2022-08-26,8.864
2022-08-27,8.864
2022-08-28,8.864
2022-08-29,8.963
2022-08-30,8.638
2022-08-31,8.64
2022-09-01,8.338
2022-09-02,8.543
2022-09-03,8.543
2022-09-04,8.543
2022-09-05,8.543
2022-09-06,8.379
2022-09-07,8.337
2022-09-08,8.299
2022-09-09,8.502
2022-09-10,8.502
2022-09-11,8.502
2022-09-12,8.506
2022-09-13,8.183
2022-09-14,8.168
2022-09-15,7.776
2022-09-16,7.668
2022-09-17,7.668
2022-09-18,7.668
2022-09-19,7.781
2022-09-20,7.904
2022-09-21,7.682
2022-09-22,7.776
2022-09-23,7.183
2022-09-24,7.183
2022-09-25,7.183
2022-09-26,7.01
2022-09-27,7.204
2022-09-28,7.694
2022-09-29,7.621
2022-09-30,7.63
2022-10-01,7.63
2022-10-02,7.63
2022-10-03,7.995
2022-10-04,8.538
2022-10-05,8.758
2022-10-06,8.706
2022-10-07,8.626
2022-10-08,8.626
2022-10-09,8.626
2022-10-10,8.496
2022-10-11,8.425
2022-10-12,8.667
2022-10-13,9.042
2022-10-14,8.766
2022-10-15,8.766
2022-10-16,8.766
2022-10-17,8.906
2022-10-18,9.187
2022-10-19,9.363
2022-10-20,9.343
2022-10-21,9.669
2022-10-22,9.669
2022-10-23,9.669
2022-10-24,9.665
2022-10-25,9.647
2022-10-26,9.844
2022-10-27,9.969
2022-10-28,10.031
2022-10-29,10.031
2022-10-30,10.031
2022-10-31,10.163
2022-11-01,10.464
2022-11-02,9.835
2022-11-03,9.824
2022-11-04,9.858
2022-11-05,9.858
2022-11-06,9.858
2022-11-07,9.958
2022-11-08,9.7
2022-11-09,9.591
2022-11-10,9.335
2022-11-11,9.842
2022-11-12,9.842
2022-11-13,9.842
2022-11-14,9.75
2022-11-15,9.825
2022-11-16,9.266
2022-11-17,9.442
2022-11-18,9.379
2022-11-19,9.379
2022-11-20,9.379
2022-11-21,9.001
2022-11-22,9.27
2022-11-23,9.14
2022-11-24,9.14
2022-11-25,9.145
2022-11-26,9.145
2022-11-27,9.145
2022-11-28,8.806
2022-11-29,8.9
2022-11-30,8.856
2022-12-01,8.824
2022-12-02,8.711
2022-12-03,8.711
2022-12-04,8.711
2022-12-05,8.491
2022-12-06,8.404
2022-12-07,8.399
2022-12-08,8.226
2022-12-09,8.128
2022-12-10,8.128
2022-12-11,8.128
2022-12-12,8.465
2022-12-13,8.5
2022-12-14,8.43
2022-12-15,8.445
2022-12-16,8.238
2022-12-17,8.238
2022-12-18,8.238
2022-12-19,8.247
