,MSM US Equity
,BEST_PE_RATIO
2021-04-15,12.687
2021-04-16,12.726
2021-04-17,12.726
2021-04-18,12.726
2021-04-19,12.711
2021-04-20,12.822
2021-04-21,12.945
2021-04-22,12.751
2021-04-23,12.97
2021-04-24,12.97
2021-04-25,12.97
2021-04-26,13.05
2021-04-27,13.185
2021-04-28,13.082
2021-04-29,13.156
2021-04-30,12.941
2021-05-01,12.941
2021-05-02,12.941
2021-05-03,13.232
2021-05-04,13.345
2021-05-05,13.312
2021-05-06,13.456
2021-05-07,13.447
2021-05-08,13.447
2021-05-09,13.447
2021-05-10,13.501
2021-05-11,13.464
2021-05-12,13.283
2021-05-13,13.677
2021-05-14,13.731
2021-05-15,13.731
2021-05-16,13.731
2021-05-17,13.701
2021-05-18,13.486
2021-05-19,13.497
2021-05-20,13.456
2021-05-21,13.579
2021-05-22,13.579
2021-05-23,13.579
2021-05-24,13.573
2021-05-25,13.467
2021-05-26,13.572
2021-05-27,13.644
2021-05-28,13.556
2021-05-29,13.556
2021-05-30,13.556
2021-05-31,13.556
2021-06-01,13.661
2021-06-02,13.489
2021-06-03,13.392
2021-06-04,13.31
2021-06-05,13.31
2021-06-06,13.31
2021-06-07,13.187
2021-06-08,13.329
2021-06-09,13.145
2021-06-10,13.173
2021-06-11,13.17
2021-06-12,13.17
2021-06-13,13.17
2021-06-14,13.142
2021-06-15,13.102
2021-06-16,12.947
2021-06-17,12.608
2021-06-18,12.548
2021-06-19,12.548
2021-06-20,12.548
2021-06-21,12.834
2021-06-22,12.676
2021-06-23,12.717
2021-06-24,12.732
2021-06-25,12.918
2021-06-26,12.918
2021-06-27,12.918
2021-06-28,12.676
2021-06-29,12.673
2021-06-30,12.885
2021-07-01,12.777
2021-07-02,12.78
2021-07-03,12.78
2021-07-04,12.78
2021-07-05,12.78
2021-07-06,12.929
2021-07-07,12.725
2021-07-08,12.427
2021-07-09,12.644
2021-07-10,12.644
2021-07-11,12.644
2021-07-12,12.556
2021-07-13,12.392
2021-07-14,12.413
2021-07-15,12.316
2021-07-16,12.082
2021-07-17,12.082
2021-07-18,12.082
2021-07-19,11.861
2021-07-20,12.176
2021-07-21,12.131
2021-07-22,11.963
2021-07-23,11.989
2021-07-24,11.989
2021-07-25,11.989
2021-07-26,12.093
2021-07-27,12.049
2021-07-28,12.286
2021-07-29,12.355
2021-07-30,12.366
2021-07-31,12.366
2021-08-01,12.366
2021-08-02,12.089
2021-08-03,12.233
2021-08-04,11.902
2021-08-05,11.889
2021-08-06,11.918
2021-08-07,11.918
2021-08-08,11.918
2021-08-09,11.809
2021-08-10,11.835
2021-08-11,12.007
2021-08-12,12.017
2021-08-13,11.885
2021-08-14,11.885
2021-08-15,11.885
2021-08-16,11.795
2021-08-17,11.792
2021-08-18,11.502
2021-08-19,11.567
2021-08-20,11.561
2021-08-21,11.561
2021-08-22,11.561
2021-08-23,11.653
2021-08-24,11.691
2021-08-25,11.738
2021-08-26,11.651
2021-08-27,11.837
2021-08-28,11.837
2021-08-29,11.837
2021-08-30,11.764
2021-08-31,11.678
2021-09-01,11.525
2021-09-02,11.616
2021-09-03,11.484
2021-09-04,11.484
2021-09-05,11.484
2021-09-06,11.484
2021-09-07,11.344
2021-09-08,11.337
2021-09-09,11.276
2021-09-10,11.104
2021-09-11,11.104
2021-09-12,11.104
2021-09-13,11.143
2021-09-14,11.086
2021-09-15,11.164
2021-09-16,11.024
2021-09-17,10.927
2021-09-18,10.927
2021-09-19,10.927
2021-09-20,10.95
2021-09-21,11.003
2021-09-22,11.097
2021-09-23,11.167
2021-09-24,11.165
2021-09-25,11.165
2021-09-26,11.165
2021-09-27,11.323
2021-09-28,11.221
2021-09-29,11.316
2021-09-30,11.121
2021-10-01,11.293
2021-10-02,11.293
2021-10-03,11.293
2021-10-04,11.409
2021-10-05,11.564
2021-10-06,11.751
2021-10-07,11.747
2021-10-08,11.835
2021-10-09,11.835
2021-10-10,11.835
2021-10-11,11.729
2021-10-12,11.75
2021-10-13,11.659
2021-10-14,11.958
2021-10-15,11.858
2021-10-16,11.858
2021-10-17,11.858
2021-10-18,11.948
2021-10-19,12.064
2021-10-20,11.714
2021-10-21,11.55
2021-10-22,11.486
2021-10-23,11.486
2021-10-24,11.486
2021-10-25,11.548
2021-10-26,11.479
2021-10-27,11.44
2021-10-28,11.708
2021-10-29,11.784
2021-10-30,11.784
2021-10-31,11.784
2021-11-01,11.892
2021-11-02,11.871
