,TMX US Equity
,BEST_PE_RATIO
2021-04-26,31.281
2021-04-27,31.358
2021-04-28,32.044
2021-04-29,32.556
2021-04-30,32.601
2021-05-01,32.601
2021-05-02,32.601
2021-05-03,32.883
2021-05-04,32.569
2021-05-05,32.434
2021-05-06,31.322
2021-05-07,31.613
2021-05-08,31.613
2021-05-09,31.613
2021-05-10,31.212
2021-05-11,30.316
2021-05-12,29.4
2021-05-13,29.861
2021-05-14,30.694
2021-05-15,30.694
2021-05-16,30.694
2021-05-17,30.827
2021-05-18,30.688
2021-05-19,30.795
2021-05-20,30.947
2021-05-21,30.909
2021-05-22,30.909
2021-05-23,30.909
2021-05-24,30.802
2021-05-25,30.53
2021-05-26,30.72
2021-05-27,31.124
2021-05-28,31.149
2021-05-29,31.149
2021-05-30,31.149
2021-05-31,31.149
2021-06-01,31.174
2021-06-02,30.827
2021-06-03,30.574
2021-06-04,30.966
2021-06-05,30.966
2021-06-06,30.966
2021-06-07,31.313
2021-06-08,31.881
2021-06-09,31.932
2021-06-10,31.951
2021-06-11,32.027
2021-06-12,32.027
2021-06-13,32.027
2021-06-14,31.85
2021-06-15,31.534
2021-06-16,31.503
2021-06-17,31.654
2021-06-18,31.086
2021-06-19,31.086
2021-06-20,31.086
2021-06-21,31.679
2021-06-22,31.566
2021-06-23,31.199
2021-06-24,31.187
2021-06-25,30.846
2021-06-26,30.846
2021-06-27,30.846
2021-06-28,30.316
2021-06-29,30.259
2021-06-30,30.12
2021-07-01,31.016
2021-07-02,31.111
2021-07-03,31.111
2021-07-04,31.111
2021-07-05,31.111
2021-07-06,31.187
2021-07-07,31.515
2021-07-08,31.067
2021-07-09,31.383
2021-07-10,31.383
2021-07-11,31.383
2021-07-12,31.654
2021-07-13,30.979
2021-07-14,31.035
2021-07-15,31.01
2021-07-16,31.471
2021-07-17,31.471
2021-07-18,31.471
2021-07-19,31.206
2021-07-20,32.437
2021-07-21,32.607
2021-07-22,32.879
2021-07-23,33.46
2021-07-24,33.46
2021-07-25,33.46
2021-07-26,33.479
2021-07-27,33.371
2021-07-28,33.087
2021-07-29,33.34
2021-07-30,33.144
2021-07-31,33.144
2021-08-01,33.144
2021-08-02,32.803
2021-08-03,32.563
2021-08-04,32.532
2021-08-05,28.675
2021-08-06,28.023
2021-08-07,28.023
2021-08-08,28.023
2021-08-09,26.965
2021-08-10,26.673
2021-08-11,26.363
2021-08-12,25.882
2021-08-13,25.62
2021-08-14,25.62
2021-08-15,25.62
2021-08-16,25.645
2021-08-17,26.064
2021-08-18,25.608
2021-08-19,25.462
2021-08-20,25.572
2021-08-21,25.572
2021-08-22,25.572
2021-08-23,25.383
2021-08-24,25.523
2021-08-25,25.341
2021-08-26,25.207
2021-08-27,25.505
2021-08-28,25.505
2021-08-29,25.505
2021-08-30,25.389
2021-08-31,25.322
2021-09-01,25.328
2021-09-02,25.643
2021-09-03,25.68
2021-09-04,25.68
2021-09-05,25.68
2021-09-06,25.68
2021-09-07,25.818
2021-09-08,27.073
2021-09-09,27.121
2021-09-10,27.539
2021-09-11,27.539
2021-09-12,27.539
2021-09-13,26.461
2021-09-14,26.642
2021-09-15,26.006
2021-09-16,26.394
2021-09-17,26.333
2021-09-18,26.333
2021-09-19,26.333
2021-09-20,26.782
2021-09-21,26.873
2021-09-22,26.6
2021-09-23,26.8
2021-09-24,26.976
2021-09-25,26.976
2021-09-26,26.976
2021-09-27,25.782
2021-09-28,25.479
2021-09-29,25.6
2021-09-30,25.255
2021-10-01,24.788
2021-10-02,24.788
2021-10-03,24.788
2021-10-04,24.339
2021-10-05,24.564
2021-10-06,24.364
2021-10-07,24.424
2021-10-08,24.206
2021-10-09,24.206
2021-10-10,24.206
2021-10-11,23.758
2021-10-12,24.291
2021-10-13,24.261
2021-10-14,24.485
2021-10-15,24.424
2021-10-16,24.424
2021-10-17,24.424
2021-10-18,24.8
2021-10-19,25.2
2021-10-20,24.976
2021-10-21,25.073
2021-10-22,25.224
2021-10-23,25.224
2021-10-24,25.224
2021-10-25,25.439
2021-10-26,25.083
2021-10-27,24.518
2021-10-28,24.571
2021-10-29,24.972
2021-10-30,24.972
2021-10-31,24.972
2021-11-01,25.225
2021-11-02,25.052
2021-11-03,25.0
2021-11-04,25.275
2021-11-05,24.78
2021-11-06,24.78
2021-11-07,24.78
2021-11-08,24.609
2021-11-09,24.573
2021-11-10,24.908
2021-11-11,24.862
2021-11-12,24.874
2021-11-13,24.874
2021-11-14,24.874
2021-11-15,24.63
2021-11-16,25.107
2021-11-17,24.868
2021-11-18,24.25
2021-11-19,24.127
2021-11-20,24.127
2021-11-21,24.127
2021-11-22,23.999
2021-11-23,24.133
2021-11-24,24.323
2021-11-25,24.323
2021-11-26,24.17
2021-11-27,24.17
2021-11-28,24.17
2021-11-29,23.705
2021-11-30,22.854
2021-12-01,22.235
2021-12-02,23.099
2021-12-03,22.817
2021-12-04,22.817
2021-12-05,22.817
2021-12-06,23.197
2021-12-07,23.258
2021-12-08,23.356
2021-12-09,23.056
2021-12-10,22.952
2021-12-11,22.952
2021-12-12,22.952
2021-12-13,22.909
2021-12-14,26.904
2021-12-15,25.716
2021-12-16,26.63
2021-12-17,26.819
2021-12-18,26.819
2021-12-19,26.819
2021-12-20,26.917
2021-12-21,27.471
2021-12-22,27.014
2021-12-23,27.026
2021-12-24,27.026
2021-12-25,27.026
2021-12-26,27.026
2021-12-27,27.471
2021-12-28,27.526
2021-12-29,27.489
2021-12-30,27.41
2021-12-31,27.562
2022-01-01,27.562
2022-01-02,27.562
2022-01-03,27.666
2022-01-04,27.319
2022-01-05,26.612
2022-01-06,26.399
2022-01-07,26.551
2022-01-08,26.551
2022-01-09,26.551
2022-01-10,26.435
2022-01-11,26.654
2022-01-12,26.868
2022-01-13,26.514
2022-01-14,26.039
2022-01-15,26.039
2022-01-16,26.039
2022-01-17,26.039
2022-01-18,25.631
2022-01-19,25.655
2022-01-20,26.252
2022-01-21,25.887
2022-01-22,25.887
2022-01-23,25.887
2022-01-24,26.143
2022-01-25,25.442
2022-01-26,25.113
2022-01-27,25.43
2022-01-28,25.881
2022-01-29,25.881
2022-01-30,25.881
2022-01-31,26.289
2022-02-01,26.319
2022-02-02,26.472
2022-02-03,26.368
2022-02-04,26.197
2022-02-05,26.197
2022-02-06,26.197
2022-02-07,26.082
2022-02-08,26.252
2022-02-09,26.362
2022-02-10,26.1
2022-02-11,26.015
2022-02-12,26.015
2022-02-13,26.015
2022-02-14,25.746
2022-02-15,26.106
2022-02-16,26.039
2022-02-17,25.801
2022-02-18,25.716
2022-02-19,25.716
2022-02-20,25.716
2022-02-21,25.716
2022-02-22,25.533
2022-02-23,25.21
2022-02-24,25.296
2022-02-25,25.984
2022-02-26,25.984
2022-02-27,25.984
2022-02-28,25.935
2022-03-01,26.72
2022-03-02,27.726
2022-03-03,26.636
2022-03-04,25.938
2022-03-05,25.938
2022-03-06,25.938
2022-03-07,25.252
2022-03-08,24.33
2022-03-09,25.445
2022-03-10,25.315
2022-03-11,25.121
2022-03-12,25.121
2022-03-13,25.121
2022-03-14,25.047
2022-03-15,26.854
2022-03-16,27.445
2022-03-17,27.67
2022-03-18,28.262
2022-03-19,28.262
2022-03-20,28.262
2022-03-21,27.875
2022-03-22,28.069
2022-03-23,27.875
2022-03-24,28.299
2022-03-25,28.816
2022-03-26,28.816
2022-03-27,28.816
2022-03-28,28.673
2022-03-29,28.879
2022-03-30,28.735
2022-03-31,28.43
2022-04-01,28.38
2022-04-02,28.38
2022-04-03,28.38
2022-04-04,28.386
2022-04-05,28.486
2022-04-06,28.717
2022-04-07,28.723
2022-04-08,28.492
2022-04-09,28.492
2022-04-10,28.492
2022-04-11,28.517
2022-04-12,28.561
2022-04-13,28.623
2022-04-14,28.636
2022-04-15,28.636
2022-04-16,28.636
2022-04-17,28.636
2022-04-18,28.299
2022-04-19,28.193
2022-04-20,28.05
2022-04-21,28.667
2022-04-22,28.629
2022-04-23,28.629
2022-04-24,28.629
2022-04-25,28.804
2022-04-26,27.52
2022-04-27,28.255
2022-04-28,29.271
2022-04-29,28.592
2022-04-30,28.592
2022-05-01,28.592
2022-05-02,28.66
2022-05-03,28.505
2022-05-04,28.523
2022-05-05,28.713
2022-05-06,27.754
2022-05-07,27.754
2022-05-08,27.754
2022-05-09,27.337
2022-05-10,27.015
2022-05-11,26.781
2022-05-12,26.787
2022-05-13,27.268
2022-05-14,27.268
2022-05-15,27.268
2022-05-16,27.021
2022-05-17,27.944
2022-05-18,26.42
2022-05-19,26.509
2022-05-20,26.281
2022-05-21,26.281
2022-05-22,26.281
2022-05-23,27.103
2022-05-24,26.724
2022-05-25,26.825
2022-05-26,26.936
2022-05-27,27.881
2022-05-28,27.881
2022-05-29,27.881
2022-05-30,27.881
2022-05-31,27.371
2022-06-01,27.063
2022-06-02,27.271
2022-06-03,27.145
2022-06-04,27.145
2022-06-05,27.145
2022-06-06,27.479
2022-06-07,27.896
2022-06-08,27.151
2022-06-09,26.69
2022-06-10,26.071
2022-06-11,26.071
2022-06-12,26.071
2022-06-13,25.212
2022-06-14,24.599
2022-06-15,24.896
2022-06-16,24.409
2022-06-17,24.308
2022-06-18,24.308
2022-06-19,24.308
2022-06-20,24.308
2022-06-21,24.845
2022-06-22,24.991
2022-06-23,25.799
2022-06-24,26.166
2022-06-25,26.166
2022-06-26,26.166
2022-06-27,26.462
2022-06-28,25.742
2022-06-29,25.843
2022-06-30,25.679
2022-07-01,25.843
2022-07-02,25.843
2022-07-03,25.843
2022-07-04,25.843
