,MSFT US Equity
,BEST_PE_RATIO
2021-04-09,22.532
2021-04-10,22.532
2021-04-11,22.532
2021-04-12,22.537
2021-04-13,22.765
2021-04-14,22.509
2021-04-15,22.853
2021-04-16,22.963
2021-04-17,22.963
2021-04-18,22.963
2021-04-19,22.787
2021-04-20,22.744
2021-04-21,22.949
2021-04-22,23.509
2021-04-23,23.873
2021-04-24,23.873
2021-04-25,23.873
2021-04-26,23.909
2021-04-27,23.948
2021-04-28,23.136
2021-04-29,22.298
2021-04-30,22.269
2021-05-01,22.269
2021-05-02,22.269
2021-05-03,22.241
2021-05-04,21.882
2021-05-05,21.765
2021-05-06,22.053
2021-05-07,22.294
2021-05-08,22.294
2021-05-09,22.294
2021-05-10,21.828
2021-05-11,21.744
2021-05-12,21.004
2021-05-13,21.359
2021-05-14,21.809
2021-05-15,21.809
2021-05-16,21.809
2021-05-17,21.548
2021-05-18,21.363
2021-05-19,21.416
2021-05-20,21.712
2021-05-21,21.596
2021-05-22,21.596
2021-05-23,21.596
2021-05-24,22.091
2021-05-25,22.173
2021-05-26,22.153
2021-05-27,21.961
2021-05-28,21.994
2021-05-29,21.994
2021-05-30,21.994
2021-05-31,21.994
2021-06-01,21.793
2021-06-02,21.784
2021-06-03,21.644
2021-06-04,22.091
2021-06-05,22.091
2021-06-06,22.091
2021-06-07,22.358
2021-06-08,22.248
2021-06-09,22.338
2021-06-10,22.66
2021-06-11,22.717
2021-06-12,22.717
2021-06-13,22.717
2021-06-14,22.893
2021-06-15,22.758
2021-06-16,22.672
2021-06-17,22.982
2021-06-18,22.853
2021-06-19,22.853
2021-06-20,22.853
2021-06-21,23.246
2021-06-22,23.5
2021-06-23,23.48
2021-06-24,23.605
2021-06-25,23.457
2021-06-26,23.457
2021-06-27,23.457
2021-06-28,23.785
2021-06-29,24.022
2021-06-30,23.978
2021-07-01,24.04
2021-07-02,24.575
2021-07-03,24.575
2021-07-04,24.575
2021-07-05,24.575
2021-07-06,24.576
2021-07-07,24.777
2021-07-08,24.555
2021-07-09,24.601
2021-07-10,24.601
2021-07-11,24.601
2021-07-12,24.546
2021-07-13,24.87
2021-07-14,25.005
2021-07-15,24.874
2021-07-16,24.849
2021-07-17,24.849
2021-07-18,24.849
2021-07-19,24.518
2021-07-20,24.723
2021-07-21,24.907
2021-07-22,25.532
2021-07-23,25.847
2021-07-24,25.847
2021-07-25,25.847
2021-07-26,25.792
2021-07-27,25.568
2021-07-28,24.066
2021-07-29,23.999
2021-07-30,23.866
2021-07-31,23.866
2021-08-01,23.866
2021-08-02,23.858
2021-08-03,24.131
2021-08-04,24.08
2021-08-05,24.333
2021-08-06,24.328
2021-08-07,24.328
2021-08-08,24.328
2021-08-09,24.233
2021-08-10,24.074
2021-08-11,24.117
2021-08-12,24.358
2021-08-13,24.613
2021-08-14,24.613
