,WHR US Equity
,BEST_PE_RATIO
2021-05-13,8.51
2021-05-14,8.528
2021-05-15,8.528
2021-05-16,8.528
2021-05-17,8.486
2021-05-18,8.313
2021-05-19,8.258
2021-05-20,8.24
2021-05-21,8.235
2021-05-22,8.235
2021-05-23,8.235
2021-05-24,8.17
2021-05-25,8.223
2021-05-26,8.256
2021-05-27,8.392
2021-05-28,8.243
2021-05-29,8.243
2021-05-30,8.243
2021-05-31,8.243
2021-06-01,8.269
2021-06-02,8.232
2021-06-03,8.134
2021-06-04,8.12
2021-06-05,8.12
2021-06-06,8.12
2021-06-07,8.198
2021-06-08,8.101
2021-06-09,7.993
2021-06-10,7.741
2021-06-11,7.855
2021-06-12,7.855
2021-06-13,7.855
2021-06-14,7.687
2021-06-15,7.688
2021-06-16,7.474
2021-06-17,7.345
2021-06-18,7.321
2021-06-19,7.321
2021-06-20,7.321
2021-06-21,7.458
2021-06-22,7.496
2021-06-23,7.458
2021-06-24,7.466
2021-06-25,7.512
2021-06-26,7.512
2021-06-27,7.512
2021-06-28,7.497
2021-06-29,7.571
2021-06-30,7.58
2021-07-01,7.633
2021-07-02,7.736
2021-07-03,7.736
2021-07-04,7.736
2021-07-05,7.736
2021-07-06,7.553
2021-07-07,7.728
2021-07-08,7.643
2021-07-09,7.823
2021-07-10,7.823
2021-07-11,7.823
2021-07-12,7.822
2021-07-13,7.605
2021-07-14,7.695
2021-07-15,7.752
2021-07-16,7.644
2021-07-17,7.644
2021-07-18,7.644
2021-07-19,7.386
2021-07-20,7.413
2021-07-21,7.555
2021-07-22,7.404
2021-07-23,7.571
2021-07-24,7.571
2021-07-25,7.571
2021-07-26,7.594
2021-07-27,7.568
2021-07-28,7.584
2021-07-29,7.743
2021-07-30,7.641
2021-07-31,7.641
2021-08-01,7.641
2021-08-02,7.641
2021-08-03,7.758
2021-08-04,7.613
2021-08-05,7.65
2021-08-06,7.607
2021-08-07,7.607
2021-08-08,7.607
2021-08-09,7.612
2021-08-10,7.693
2021-08-11,7.917
2021-08-12,7.96
2021-08-13,8.019
2021-08-14,8.019
2021-08-15,8.019
2021-08-16,8.031
2021-08-17,7.721
2021-08-18,7.597
2021-08-19,7.565
2021-08-20,7.629
2021-08-21,7.629
2021-08-22,7.629
2021-08-23,7.596
2021-08-24,7.626
2021-08-25,7.721
2021-08-26,7.674
2021-08-27,7.842
2021-08-28,7.842
2021-08-29,7.842
2021-08-30,7.771
2021-08-31,7.689
2021-09-01,7.765
2021-09-02,7.859
2021-09-03,7.839
2021-09-04,7.839
2021-09-05,7.839
2021-09-06,7.839
2021-09-07,7.547
2021-09-08,7.501
2021-09-09,7.54
2021-09-10,7.488
2021-09-11,7.488
2021-09-12,7.488
2021-09-13,7.589
2021-09-14,7.505
2021-09-15,7.541
2021-09-16,7.382
2021-09-17,7.31
2021-09-18,7.31
2021-09-19,7.31
2021-09-20,7.255
2021-09-21,7.137
2021-09-22,7.197
2021-09-23,7.254
2021-09-24,7.294
2021-09-25,7.294
2021-09-26,7.294
2021-09-27,7.362
2021-09-28,7.306
2021-09-29,7.345
2021-09-30,7.075
2021-10-01,7.122
2021-10-02,7.122
2021-10-03,7.122
2021-10-04,7.126
2021-10-05,7.078
2021-10-06,6.977
2021-10-07,7.113
2021-10-08,6.899
2021-10-09,6.899
2021-10-10,6.899
2021-10-11,6.887
2021-10-12,6.93
2021-10-13,6.881
2021-10-14,7.104
2021-10-15,7.175
2021-10-16,7.175
2021-10-17,7.175
2021-10-18,7.171
2021-10-19,7.131
2021-10-20,7.256
2021-10-21,7.21
2021-10-22,7.402
2021-10-23,7.402
2021-10-24,7.402
2021-10-25,7.307
2021-10-26,7.224
