,GWW US Equity
,BEST_PE_RATIO
2021-05-14,16.223
2021-05-15,16.223
2021-05-16,16.223
2021-05-17,16.223
2021-05-18,15.796
2021-05-19,15.846
2021-05-20,15.795
2021-05-21,15.854
2021-05-22,15.854
2021-05-23,15.854
2021-05-24,15.978
2021-05-25,16.006
2021-05-26,16.0
2021-05-27,15.947
2021-05-28,16.053
2021-05-29,16.053
2021-05-30,16.053
2021-05-31,16.053
2021-06-01,16.07
2021-06-02,16.035
2021-06-03,16.098
2021-06-04,16.139
2021-06-05,16.139
2021-06-06,16.139
2021-06-07,15.971
2021-06-08,16.064
2021-06-09,15.928
2021-06-10,15.962
2021-06-11,15.95
2021-06-12,15.95
2021-06-13,15.95
2021-06-14,15.797
2021-06-15,15.933
2021-06-16,15.594
2021-06-17,15.317
2021-06-18,15.163
2021-06-19,15.163
2021-06-20,15.163
2021-06-21,15.46
2021-06-22,15.372
2021-06-23,15.437
2021-06-24,15.339
2021-06-25,15.385
2021-06-26,15.385
2021-06-27,15.385
2021-06-28,15.414
2021-06-29,15.49
2021-06-30,15.133
2021-07-01,15.37
2021-07-02,15.434
2021-07-03,15.434
2021-07-04,15.434
2021-07-05,15.434
2021-07-06,15.457
2021-07-07,15.859
2021-07-08,15.538
2021-07-09,15.784
2021-07-10,15.784
2021-07-11,15.784
2021-07-12,15.713
2021-07-13,15.627
2021-07-14,15.696
2021-07-15,15.713
2021-07-16,15.558
2021-07-17,15.558
2021-07-18,15.558
2021-07-19,15.409
2021-07-20,15.752
2021-07-21,15.69
2021-07-22,15.577
2021-07-23,15.722
2021-07-24,15.722
2021-07-25,15.722
2021-07-26,15.676
2021-07-27,15.657
2021-07-28,15.585
2021-07-29,15.83
2021-07-30,15.487
2021-07-31,15.487
2021-08-01,15.487
2021-08-02,15.493
2021-08-03,15.697
2021-08-04,15.591
2021-08-05,15.588
2021-08-06,15.625
2021-08-07,15.625
2021-08-08,15.625
2021-08-09,15.591
2021-08-10,15.77
2021-08-11,15.864
2021-08-12,15.603
2021-08-13,15.625
2021-08-14,15.625
2021-08-15,15.625
2021-08-16,15.675
2021-08-17,15.527
2021-08-18,15.258
2021-08-19,15.304
2021-08-20,15.351
2021-08-21,15.351
2021-08-22,15.351
2021-08-23,15.4
2021-08-24,15.351
2021-08-25,15.523
2021-08-26,15.274
2021-08-27,15.392
2021-08-28,15.392
2021-08-29,15.392
2021-08-30,15.48
2021-08-31,15.448
2021-09-01,15.288
2021-09-02,15.508
2021-09-03,15.303
2021-09-04,15.303
2021-09-05,15.303
2021-09-06,15.303
2021-09-07,15.011
2021-09-08,14.894
2021-09-09,14.836
2021-09-10,14.79
2021-09-11,14.79
2021-09-12,14.79
2021-09-13,14.719
2021-09-14,14.599
2021-09-15,14.679
2021-09-16,14.57
2021-09-17,14.336
2021-09-18,14.336
2021-09-19,14.336
2021-09-20,14.396
2021-09-21,14.293
2021-09-22,14.325
2021-09-23,14.368
2021-09-24,14.438
2021-09-25,14.438
2021-09-26,14.438
2021-09-27,14.54
2021-09-28,14.345
2021-09-29,14.309
2021-09-30,14.0
2021-10-01,14.185
2021-10-02,14.185
2021-10-03,14.185
2021-10-04,14.14
2021-10-05,14.472
2021-10-06,14.727
2021-10-07,14.976
2021-10-08,15.012
2021-10-09,15.012
2021-10-10,15.012
2021-10-11,14.891
2021-10-12,15.152
2021-10-13,15.169
2021-10-14,15.377
2021-10-15,15.437
2021-10-16,15.437
2021-10-17,15.437
2021-10-18,15.503
2021-10-19,15.699
2021-10-20,15.728
2021-10-21,15.752
2021-10-22,15.725
2021-10-23,15.725
2021-10-24,15.725
2021-10-25,15.681
2021-10-26,15.494
2021-10-27,15.275
2021-10-28,15.499
2021-10-29,16.575
2021-10-30,16.575
2021-10-31,16.575
2021-11-01,16.73
2021-11-02,16.88
2021-11-03,17.006
2021-11-04,17.199
2021-11-05,17.009
2021-11-06,17.009
2021-11-07,17.009
2021-11-08,17.082
2021-11-09,17.34
2021-11-10,17.3
2021-11-11,17.429
2021-11-12,17.617
2021-11-13,17.617
2021-11-14,17.617
2021-11-15,17.423
2021-11-16,17.62
2021-11-17,17.29
2021-11-18,17.137
2021-11-19,17.149
2021-11-20,17.149
2021-11-21,17.149
2021-11-22,17.509
2021-11-23,17.696
2021-11-24,17.52
2021-11-25,17.52
2021-11-26,17.207
2021-11-27,17.207
2021-11-28,17.207
2021-11-29,17.419
2021-11-30,16.921
2021-12-01,16.775
2021-12-02,17.153
2021-12-03,17.274
2021-12-04,17.274
2021-12-05,17.274
2021-12-06,17.573
2021-12-07,17.846
2021-12-08,17.775
2021-12-09,17.699
2021-12-10,18.055
2021-12-11,18.055
2021-12-12,18.055
2021-12-13,17.859
2021-12-14,17.891
2021-12-15,18.109
2021-12-16,17.911
2021-12-17,17.367
2021-12-18,17.367
2021-12-19,17.367
2021-12-20,17.242
2021-12-21,17.505
2021-12-22,17.588
2021-12-23,17.724
2021-12-24,17.724
2021-12-25,17.724
2021-12-26,17.724
2021-12-27,18.187
2021-12-28,18.353
2021-12-29,18.512
2021-12-30,18.205
2021-12-31,18.26
2022-01-01,18.26
2022-01-02,18.26
2022-01-03,17.977
2022-01-04,18.339
2022-01-05,17.912
2022-01-06,17.975
2022-01-07,17.816
2022-01-08,17.816
2022-01-09,17.816
2022-01-10,17.621
2022-01-11,17.83
2022-01-12,17.952
2022-01-13,17.907
2022-01-14,17.78
2022-01-15,17.78
2022-01-16,17.78
2022-01-17,17.78
2022-01-18,17.821
2022-01-19,17.486
2022-01-20,17.263
2022-01-21,17.333
2022-01-22,17.333
2022-01-23,17.333
2022-01-24,17.372
2022-01-25,17.098
2022-01-26,16.913
2022-01-27,16.933
2022-01-28,17.405
2022-01-29,17.405
2022-01-30,17.405
2022-01-31,17.409
2022-02-01,17.404
2022-02-02,17.621
2022-02-03,17.261
2022-02-04,16.207
2022-02-05,16.207
2022-02-06,16.207
2022-02-07,15.739
2022-02-08,15.87
2022-02-09,16.098
2022-02-10,15.581
2022-02-11,15.442
2022-02-12,15.442
2022-02-13,15.442
2022-02-14,15.293
2022-02-15,15.399
2022-02-16,15.568
2022-02-17,15.456
2022-02-18,15.54
2022-02-19,15.54
2022-02-20,15.54
2022-02-21,15.54
2022-02-22,15.483
2022-02-23,15.161
2022-02-24,15.289
2022-02-25,15.631
2022-02-26,15.631
2022-02-27,15.631
2022-02-28,15.642
2022-03-01,15.292
2022-03-02,15.773
2022-03-03,15.788
2022-03-04,16.007
2022-03-05,16.007
2022-03-06,16.007
2022-03-07,16.105
2022-03-08,16.075
2022-03-09,15.988
2022-03-10,15.9
2022-03-11,15.491
2022-03-12,15.491
2022-03-13,15.491
2022-03-14,15.856
2022-03-15,16.327
2022-03-16,16.111
2022-03-17,16.338
2022-03-18,16.465
2022-03-19,16.465
2022-03-20,16.465
2022-03-21,16.606
2022-03-22,16.49
2022-03-23,16.559
2022-03-24,16.441
2022-03-25,16.609
2022-03-26,16.609
2022-03-27,16.609
2022-03-28,16.83
2022-03-29,17.02
2022-03-30,17.078
2022-03-31,16.919
2022-04-01,16.976
2022-04-02,16.976
2022-04-03,16.976
2022-04-04,17.035
2022-04-05,16.899
2022-04-06,17.136
2022-04-07,16.984
2022-04-08,16.89
2022-04-09,16.89
2022-04-10,16.89
2022-04-11,16.883
2022-04-12,17.04
2022-04-13,17.158
2022-04-14,16.071
2022-04-15,16.071
2022-04-16,16.071
2022-04-17,16.071
2022-04-18,16.043
2022-04-19,16.604
2022-04-20,16.72
2022-04-21,16.745
2022-04-22,16.331
2022-04-23,16.331
2022-04-24,16.331
2022-04-25,16.098
2022-04-26,16.096
2022-04-27,16.213
2022-04-28,16.379
2022-04-29,15.743
2022-04-30,15.743
2022-05-01,15.743
2022-05-02,15.453
2022-05-03,15.045
2022-05-04,15.7
2022-05-05,15.019
2022-05-06,14.91
2022-05-07,14.91
2022-05-08,14.91
2022-05-09,14.875
2022-05-10,14.642
2022-05-11,14.325
2022-05-12,14.638
2022-05-13,14.89
2022-05-14,14.89
2022-05-15,14.89
2022-05-16,14.636
2022-05-17,14.89
2022-05-18,14.384
2022-05-19,14.42
2022-05-20,14.345
2022-05-21,14.345
2022-05-22,14.345
2022-05-23,14.424
2022-05-24,14.576
2022-05-25,14.491
2022-05-26,14.743
2022-05-27,15.144
2022-05-28,15.144
2022-05-29,15.144
2022-05-30,15.144
2022-05-31,15.064
2022-06-01,15.29
2022-06-02,15.423
2022-06-03,15.349
2022-06-04,15.349
2022-06-05,15.349
2022-06-06,15.424
2022-06-07,15.686
2022-06-08,15.417
2022-06-09,15.291
2022-06-10,15.116
2022-06-11,15.116
2022-06-12,15.116
2022-06-13,14.789
2022-06-14,14.533
2022-06-15,14.631
2022-06-16,14.093
2022-06-17,13.673
2022-06-18,13.673
2022-06-19,13.673
2022-06-20,13.673
2022-06-21,13.912
2022-06-22,13.904
2022-06-23,13.796
2022-06-24,14.256
2022-06-25,14.256
2022-06-26,14.256
2022-06-27,14.355
2022-06-28,13.937
2022-06-29,14.04
2022-06-30,14.054
2022-07-01,14.267
2022-07-02,14.267
2022-07-03,14.267
2022-07-04,14.267
2022-07-05,14.264
2022-07-06,14.733
2022-07-07,14.849
2022-07-08,14.89
2022-07-09,14.89
2022-07-10,14.89
2022-07-11,15.189
2022-07-12,15.076
2022-07-13,14.401
2022-07-14,14.561
2022-07-15,14.595
2022-07-16,14.595
2022-07-17,14.595
2022-07-18,14.463
2022-07-19,14.867
2022-07-20,15.055
2022-07-21,15.114
2022-07-22,15.132
2022-07-23,15.132
2022-07-24,15.132
2022-07-25,15.395
2022-07-26,15.314
2022-07-27,15.571
2022-07-28,16.026
2022-07-29,17.138
2022-07-30,17.138
2022-07-31,17.138
2022-08-01,16.928
2022-08-02,16.64
2022-08-03,16.726
2022-08-04,16.736
2022-08-05,17.181
2022-08-06,17.181
2022-08-07,17.181
2022-08-08,17.374
2022-08-09,17.241
2022-08-10,17.457
2022-08-11,17.461
2022-08-12,17.878
2022-08-13,17.878
2022-08-14,17.878
2022-08-15,17.968
2022-08-16,18.011
2022-08-17,17.995
2022-08-18,18.053
2022-08-19,18.002
2022-08-20,18.002
2022-08-21,18.002
2022-08-22,17.649
2022-08-23,17.781
2022-08-24,17.852
2022-08-25,17.983
2022-08-26,17.457
2022-08-27,17.457
2022-08-28,17.457
2022-08-29,17.433
2022-08-30,17.174
2022-08-31,17.129
2022-09-01,17.195
2022-09-02,17.141
2022-09-03,17.141
2022-09-04,17.141
2022-09-05,17.141
2022-09-06,17.341
2022-09-07,17.724
2022-09-08,17.631
2022-09-09,17.493
2022-09-10,17.493
2022-09-11,17.493
2022-09-12,17.351
2022-09-13,17.017
2022-09-14,16.769
2022-09-15,16.297
2022-09-16,16.093
2022-09-17,16.093
2022-09-18,16.093
2022-09-19,16.367
2022-09-20,16.241
2022-09-21,15.56
2022-09-22,15.184
2022-09-23,14.901
2022-09-24,14.901
2022-09-25,14.901
2022-09-26,14.735
2022-09-27,14.723
2022-09-28,14.927
2022-09-29,14.717
2022-09-30,14.787
2022-10-01,14.787
2022-10-02,14.787
2022-10-03,15.32
2022-10-04,15.755
2022-10-05,15.68
2022-10-06,15.402
2022-10-07,15.14
2022-10-08,15.14
2022-10-09,15.14
2022-10-10,15.237
2022-10-11,15.538
2022-10-12,15.273
2022-10-13,15.661
2022-10-14,15.141
2022-10-15,15.141
2022-10-16,15.141
2022-10-17,15.635
2022-10-18,16.07
2022-10-19,15.753
2022-10-20,15.392
2022-10-21,15.709
2022-10-22,15.709
2022-10-23,15.709
2022-10-24,15.873
2022-10-25,16.077
2022-10-26,16.087
2022-10-27,16.286
2022-10-28,17.092
2022-10-29,17.092
2022-10-30,17.092
2022-10-31,17.19
2022-11-01,17.436
2022-11-02,17.162
2022-11-03,17.468
2022-11-04,17.446
2022-11-05,17.446
2022-11-06,17.446
2022-11-07,17.496
2022-11-08,17.652
2022-11-09,17.369
2022-11-10,17.881
2022-11-11,17.238
2022-11-12,17.238
2022-11-13,17.238
2022-11-14,17.265
2022-11-15,17.171
2022-11-16,17.38
2022-11-17,17.529
2022-11-18,17.62
2022-11-19,17.62
2022-11-20,17.62
2022-11-21,17.726
2022-11-22,17.869
2022-11-23,17.835
2022-11-24,17.835
2022-11-25,17.833
2022-11-26,17.833
2022-11-27,17.833
2022-11-28,17.547
2022-11-29,17.357
2022-11-30,17.711
2022-12-01,17.715
2022-12-02,17.682
2022-12-03,17.682
2022-12-04,17.682
2022-12-05,17.223
2022-12-06,17.044
2022-12-07,17.222
2022-12-08,17.423
2022-12-09,17.27
2022-12-10,17.27
2022-12-11,17.27
2022-12-12,17.429
2022-12-13,17.179
2022-12-14,16.917
2022-12-15,16.491
2022-12-16,16.407
2022-12-17,16.407
2022-12-18,16.407
2022-12-19,16.484
2022-12-20,16.527
2022-12-21,16.664
2022-12-22,16.487
2022-12-23,16.596
2022-12-24,16.596
2022-12-25,16.596
2022-12-26,16.596
2022-12-27,16.603
2022-12-28,16.36
2022-12-29,16.512
2022-12-30,16.336
2022-12-31,16.336
2023-01-01,16.336
2023-01-02,16.336
2023-01-03,16.327
2023-01-04,16.271
2023-01-05,15.786
2023-01-06,16.227
2023-01-07,16.227
2023-01-08,16.227
2023-01-09,16.37
2023-01-10,16.555
2023-01-11,17.094
2023-01-12,16.815
2023-01-13,16.854
2023-01-14,16.854
2023-01-15,16.854
2023-01-16,16.854
2023-01-17,16.765
