,TSLA US Equity
,BEST_PE_RATIO
2021-08-11,62.901
2021-08-12,64.183
2021-08-13,63.731
2021-08-14,63.731
2021-08-15,63.731
2021-08-16,60.977
2021-08-17,59.158
2021-08-18,61.227
2021-08-19,59.848
2021-08-20,57.83
2021-08-21,57.83
2021-08-22,57.83
2021-08-23,60.044
2021-08-24,60.23
2021-08-25,60.461
2021-08-26,59.607
2021-08-27,60.522
2021-08-28,60.522
2021-08-29,60.522
2021-08-30,62.136
2021-08-31,62.545
2021-09-01,62.407
2021-09-02,62.262
2021-09-03,62.362
2021-09-04,62.362
2021-09-05,62.362
2021-09-06,62.362
2021-09-07,64.007
2021-09-08,64.088
2021-09-09,64.172
2021-09-10,62.592
2021-09-11,62.592
2021-09-12,62.592
2021-09-13,63.164
2021-09-14,63.291
2021-09-15,64.255
2021-09-16,64.37
2021-09-17,64.582
2021-09-18,64.582
2021-09-19,64.582
2021-09-20,62.089
2021-09-21,62.872
2021-09-22,62.756
2021-09-23,62.898
2021-09-24,65.432
2021-09-25,65.432
2021-09-26,65.432
2021-09-27,66.866
2021-09-28,65.7
2021-09-29,66.017
2021-09-30,65.524
2021-10-01,65.502
2021-10-02,65.502
2021-10-03,65.502
2021-10-04,65.636
2021-10-05,65.789
2021-10-06,65.971
2021-10-07,66.887
2021-10-08,66.202
2021-10-09,66.202
2021-10-10,66.202
2021-10-11,66.746
2021-10-12,67.907
2021-10-13,68.152
2021-10-14,67.972
2021-10-15,69.851
2021-10-16,69.851
2021-10-17,69.851
2021-10-18,72.095
2021-10-19,71.611
2021-10-20,68.324
2021-10-21,67.451
2021-10-22,68.034
2021-10-23,68.034
2021-10-24,68.034
2021-10-25,76.34
2021-10-26,75.339
2021-10-27,76.302
2021-10-28,79.182
2021-10-29,81.9
2021-10-30,81.9
2021-10-31,81.9
2021-11-01,88.854
2021-11-02,86.164
2021-11-03,89.241
2021-11-04,90.421
2021-11-05,89.846
2021-11-06,89.846
2021-11-07,89.846
2021-11-08,84.106
2021-11-09,73.607
2021-11-10,76.803
2021-11-11,76.484
2021-11-12,74.32
2021-11-13,74.32
2021-11-14,74.32
2021-11-15,72.88
2021-11-16,74.172
2021-11-17,76.583
2021-11-18,77.101
2021-11-19,79.962
2021-11-20,79.962
2021-11-21,79.962
2021-11-22,81.355
2021-11-23,77.991
2021-11-24,78.481
2021-11-25,78.481
2021-11-26,76.084
2021-11-27,76.084
2021-11-28,76.084
2021-11-29,79.957
2021-11-30,80.504
2021-12-01,77.004
2021-12-02,76.273
2021-12-03,71.376
2021-12-04,71.376
2021-12-05,71.376
2021-12-06,70.644
2021-12-07,73.636
2021-12-08,73.696
2021-12-09,69.204
2021-12-10,70.116
2021-12-11,70.116
2021-12-12,70.116
2021-12-13,66.626
2021-12-14,66.081
2021-12-15,67.286
2021-12-16,63.903
2021-12-17,64.293
2021-12-18,64.293
2021-12-19,64.293
2021-12-20,60.59
2021-12-21,63.188
2021-12-22,67.924
2021-12-23,71.837
2021-12-24,71.837
2021-12-25,71.837
2021-12-26,71.837
2021-12-27,73.651
2021-12-28,73.283
2021-12-29,73.129
2021-12-30,72.062
2021-12-31,70.977
2022-01-01,70.977
2022-01-02,70.977
2022-01-03,78.386
2022-01-04,75.137
2022-01-05,71.119
2022-01-06,69.588
2022-01-07,67.122
2022-01-08,67.122
2022-01-09,67.122
2022-01-10,69.158
2022-01-11,69.569
2022-01-12,72.132
2022-01-13,67.264
2022-01-14,67.686
2022-01-15,67.686
2022-01-16,67.686
2022-01-17,67.686
2022-01-18,68.034
2022-01-19,65.732
2022-01-20,65.773
2022-01-21,62.316
2022-01-22,62.316
2022-01-23,62.316
2022-01-24,61.325
2022-01-25,60.561
2022-01-26,60.958
2022-01-27,51.677
2022-01-28,52.099
2022-01-29,52.099
2022-01-30,52.099
2022-01-31,57.662
2022-02-01,57.325
2022-02-02,55.75
2022-02-03,54.856
2022-02-04,56.837
2022-02-05,56.837
2022-02-06,56.837
2022-02-07,55.771
2022-02-08,56.226
2022-02-09,56.836
2022-02-10,55.162
2022-02-11,52.445
2022-02-12,52.445
2022-02-13,52.445
2022-02-14,51.75
2022-02-15,54.507
2022-02-16,54.564
2022-02-17,51.785
2022-02-18,50.64
2022-02-19,50.64
2022-02-20,50.64
2022-02-21,50.64
2022-02-22,48.545
2022-02-23,45.148
2022-02-24,47.318
2022-02-25,47.856
2022-02-26,47.856
2022-02-27,47.856
2022-02-28,51.435
2022-03-01,51.077
2022-03-02,51.994
2022-03-03,49.595
2022-03-04,49.536
2022-03-05,49.536
2022-03-06,49.536
2022-03-07,47.544
2022-03-08,48.715
2022-03-09,50.758
2022-03-10,49.536
2022-03-11,46.998
2022-03-12,46.998
2022-03-13,46.998
2022-03-14,45.286
2022-03-15,47.385
2022-03-16,49.659
2022-03-17,51.513
2022-03-18,53.51
2022-03-19,53.51
2022-03-20,53.51
2022-03-21,54.733
2022-03-22,58.829
2022-03-23,59.133
2022-03-24,59.597
2022-03-25,59.404
2022-03-26,59.404
2022-03-27,59.404
2022-03-28,64.086
2022-03-29,64.848
2022-03-30,64.519
2022-03-31,63.084
2022-04-01,63.493
2022-04-02,63.493
2022-04-03,63.493
2022-04-04,66.265
2022-04-05,63.13
2022-04-06,60.498
2022-04-07,61.163
2022-04-08,59.325
2022-04-09,59.325
2022-04-10,59.325
2022-04-11,56.458
2022-04-12,57.095
2022-04-13,59.144
2022-04-14,56.933
2022-04-15,56.933
2022-04-16,56.933
