,AEO US Equity
,BEST_PE_RATIO
2021-03-25,12.145
2021-03-26,12.603
2021-03-27,12.603
2021-03-28,12.603
2021-03-29,11.964
2021-03-30,12.59
2021-03-31,12.624
2021-04-01,12.551
2021-04-02,12.551
2021-04-03,12.551
2021-04-04,12.551
2021-04-05,12.905
2021-04-06,13.017
2021-04-07,13.44
2021-04-08,13.596
2021-04-09,14.067
2021-04-10,14.067
2021-04-11,14.067
2021-04-12,14.326
2021-04-13,14.049
2021-04-14,14.239
2021-04-15,13.974
2021-04-16,14.908
2021-04-17,14.908
2021-04-18,14.908
2021-04-19,15.202
2021-04-20,15.05
2021-04-21,15.695
2021-04-22,15.915
2021-04-23,16.373
2021-04-24,16.373
2021-04-25,16.373
2021-04-26,15.362
2021-04-27,15.664
2021-04-28,15.379
2021-04-29,15.284
2021-04-30,14.947
2021-05-01,14.947
2021-05-02,14.947
2021-05-03,15.695
2021-05-04,15.569
2021-05-05,15.5
2021-05-06,15.643
2021-05-07,15.911
2021-05-08,15.911
2021-05-09,15.911
2021-05-10,15.872
2021-05-11,15.414
2021-05-12,14.666
2021-05-13,14.942
2021-05-14,15.807
2021-05-15,15.807
2021-05-16,15.807
2021-05-17,16.092
2021-05-18,15.461
2021-05-19,15.016
2021-05-20,14.173
2021-05-21,14.16
2021-05-22,14.16
2021-05-23,14.16
2021-05-24,14.138
2021-05-25,14.38
2021-05-26,15.206
2021-05-27,14.726
2021-05-28,14.505
2021-05-29,14.505
2021-05-30,14.505
2021-05-31,14.505
2021-06-01,10.445
2021-06-02,10.214
2021-06-03,10.132
2021-06-04,10.187
2021-06-05,10.187
2021-06-06,10.187
2021-06-07,10.056
2021-06-08,10.348
2021-06-09,10.217
2021-06-10,10.102
2021-06-11,10.411
2021-06-12,10.411
2021-06-13,10.411
2021-06-14,10.545
2021-06-15,10.378
2021-06-16,10.539
2021-06-17,10.345
2021-06-18,10.044
2021-06-19,10.044
2021-06-20,10.044
2021-06-21,10.448
2021-06-22,10.894
2021-06-23,11.17
2021-06-24,11.449
2021-06-25,11.403
2021-06-26,11.403
2021-06-27,11.403
2021-06-28,11.124
2021-06-29,11.267
2021-06-30,11.385
2021-07-01,11.409
2021-07-02,11.358
2021-07-03,11.358
2021-07-04,11.358
2021-07-05,11.358
2021-07-06,11.243
2021-07-07,10.693
2021-07-08,10.654
2021-07-09,11.12
2021-07-10,11.12
2021-07-11,11.12
2021-07-12,11.322
2021-07-13,11.099
2021-07-14,11.096
2021-07-15,10.486
2021-07-16,10.233
2021-07-17,10.233
2021-07-18,10.233
2021-07-19,10.199
2021-07-20,10.998
2021-07-21,11.201
2021-07-22,11.023
2021-07-23,10.991
2021-07-24,10.991
2021-07-25,10.991
2021-07-26,11.201
2021-07-27,11.074
2021-07-28,10.918
2021-07-29,10.937
2021-07-30,10.96
2021-07-31,10.96
2021-08-01,10.96
2021-08-02,11.039
2021-08-03,10.928
2021-08-04,10.384
2021-08-05,10.052
2021-08-06,10.336
2021-08-07,10.336
2021-08-08,10.336
2021-08-09,10.097
2021-08-10,10.543
2021-08-11,10.636
2021-08-12,10.127
2021-08-13,9.959
2021-08-14,9.959
2021-08-15,9.959
2021-08-16,9.629
2021-08-17,9.255
2021-08-18,9.369
2021-08-19,9.528
2021-08-20,9.695
2021-08-21,9.695
2021-08-22,9.695
2021-08-23,9.809
2021-08-24,10.13
2021-08-25,9.51
2021-08-26,9.315
2021-08-27,9.749
2021-08-28,9.749
2021-08-29,9.749
2021-08-30,9.477
2021-08-31,9.141
2021-09-01,9.0
2021-09-02,8.26
2021-09-03,8.229
2021-09-04,8.229
2021-09-05,8.229
2021-09-06,8.229
2021-09-07,7.508
2021-09-08,7.505
2021-09-09,7.627
2021-09-10,7.664
2021-09-11,7.664
2021-09-12,7.664
2021-09-13,7.658
2021-09-14,7.412
2021-09-15,7.451
2021-09-16,7.596
2021-09-17,7.57
2021-09-18,7.57
2021-09-19,7.57
2021-09-20,7.434
2021-09-21,7.482
2021-09-22,7.573
2021-09-23,7.828
2021-09-24,7.939
2021-09-25,7.939
2021-09-26,7.939
2021-09-27,7.885
2021-09-28,7.879
2021-09-29,7.78
2021-09-30,7.315
2021-10-01,7.412
2021-10-02,7.412
2021-10-03,7.412
2021-10-04,7.298
2021-10-05,7.003
2021-10-06,6.847
2021-10-07,7.176
2021-10-08,7.11
2021-10-09,7.11
2021-10-10,7.11
2021-10-11,6.847
2021-10-12,6.973
2021-10-13,6.896
2021-10-14,6.944
2021-10-15,6.993
2021-10-16,6.993
2021-10-17,6.993
2021-10-18,7.282
2021-10-19,7.23
2021-10-20,7.144
2021-10-21,7.064
2021-10-22,6.967
2021-10-23,6.967
2021-10-24,6.967
2021-10-25,7.036
2021-10-26,7.033
2021-10-27,6.87
2021-10-28,6.913
2021-10-29,6.782
2021-10-30,6.782
2021-10-31,6.782
2021-11-01,7.233
2021-11-02,7.159
2021-11-03,7.576
2021-11-04,7.567
2021-11-05,7.593
2021-11-06,7.593
2021-11-07,7.593
2021-11-08,7.504
2021-11-09,7.67
2021-11-10,7.419
2021-11-11,7.55
2021-11-12,7.682
2021-11-13,7.682
2021-11-14,7.682
2021-11-15,7.761
2021-11-16,7.916
2021-11-17,7.633
2021-11-18,8.059
2021-11-19,7.693
2021-11-20,7.693
2021-11-21,7.693
2021-11-22,7.844
2021-11-23,11.147
2021-11-24,10.847
2021-11-25,10.847
2021-11-26,10.316
2021-11-27,10.316
2021-11-28,10.316
2021-11-29,10.363
2021-11-30,9.962
2021-12-01,9.939
2021-12-02,10.105
2021-12-03,10.128
2021-12-04,10.128
2021-12-05,10.128
2021-12-06,10.497
2021-12-07,10.717
2021-12-08,10.659
2021-12-09,10.446
2021-12-10,10.105
2021-12-11,10.105
2021-12-12,10.105
2021-12-13,9.125
2021-12-14,9.226
2021-12-15,9.245
2021-12-16,8.8
2021-12-17,8.928
2021-12-18,8.928
2021-12-19,8.928
2021-12-20,8.567
2021-12-21,8.931
2021-12-22,8.924
2021-12-23,9.005
2021-12-24,9.005
2021-12-25,9.005
2021-12-26,9.005
2021-12-27,9.319
2021-12-28,9.431
2021-12-29,9.997
2021-12-30,9.981
2021-12-31,9.807
2022-01-01,9.807
2022-01-02,9.807
2022-01-03,9.787
2022-01-04,9.869
2022-01-05,9.497
2022-01-06,9.439
2022-01-07,9.276
2022-01-08,9.276
2022-01-09,9.276
2022-01-10,9.106
2022-01-11,9.342
2022-01-12,9.052
2022-01-13,9.612
2022-01-14,9.531
2022-01-15,9.531
2022-01-16,9.531
2022-01-17,9.531
2022-01-18,9.299
2022-01-19,9.198
2022-01-20,8.564
2022-01-21,8.52
2022-01-22,8.52
2022-01-23,8.52
2022-01-24,9.303
2022-01-25,9.491
2022-01-26,9.082
2022-01-27,9.154
2022-01-28,8.99
2022-01-29,8.99
2022-01-30,8.99
2022-01-31,9.162
2022-02-01,9.331
2022-02-02,9.21
2022-02-03,8.978
2022-02-04,9.014
2022-02-05,9.014
2022-02-06,9.014
2022-02-07,7.889
2022-02-08,8.182
2022-02-09,8.241
2022-02-10,8.255
2022-02-11,7.886
2022-02-12,7.886
2022-02-13,7.886
2022-02-14,7.889
2022-02-15,7.949
2022-02-16,7.91
2022-02-17,7.503
2022-02-18,7.309
2022-02-19,7.309
2022-02-20,7.309
2022-02-21,7.309
2022-02-22,7.134
2022-02-23,6.873
2022-02-24,7.182
2022-02-25,7.333
2022-02-26,7.333
2022-02-27,7.333
2022-02-28,7.237
2022-03-01,7.035
2022-03-02,7.151
2022-03-03,7.546
2022-03-04,6.189
2022-03-05,6.189
2022-03-06,6.189
2022-03-07,5.652
2022-03-08,6.015
2022-03-09,6.234
2022-03-10,6.265
2022-03-11,6.037
2022-03-12,6.037
2022-03-13,6.037
2022-03-14,6.158
2022-03-15,6.244
2022-03-16,6.483
2022-03-17,6.597
2022-03-18,6.718
2022-03-19,6.718
2022-03-20,6.718
2022-03-21,6.275
2022-03-22,6.344
2022-03-23,6.054
2022-03-24,6.071
2022-03-25,6.033
2022-03-26,6.033
2022-03-27,6.033
