,PEP US Equity
,BEST_PE_RATIO
2021-04-19,17.499
2021-04-20,17.615
2021-04-21,17.768
2021-04-22,17.658
2021-04-23,17.634
2021-04-24,17.634
2021-04-25,17.634
2021-04-26,17.335
2021-04-27,17.278
2021-04-28,17.15
2021-04-29,17.405
2021-04-30,17.432
2021-05-01,17.432
2021-05-02,17.432
2021-05-03,17.629
2021-05-04,17.408
2021-05-05,17.399
2021-05-06,17.601
2021-05-07,17.601
2021-05-08,17.601
2021-05-09,17.601
2021-05-10,17.742
2021-05-11,17.612
2021-05-12,17.44
2021-05-13,17.699
2021-05-14,17.726
2021-05-15,17.726
2021-05-16,17.726
2021-05-17,17.675
2021-05-18,17.595
2021-05-19,17.586
2021-05-20,17.803
2021-05-21,17.788
2021-05-22,17.788
2021-05-23,17.788
2021-05-24,17.878
2021-05-25,17.933
2021-05-26,17.933
2021-05-27,17.716
2021-05-28,17.889
2021-05-29,17.889
2021-05-30,17.889
2021-05-31,17.889
2021-06-01,17.852
2021-06-02,17.923
2021-06-03,17.987
2021-06-04,18.008
2021-06-05,18.008
2021-06-06,18.008
2021-06-07,17.997
2021-06-08,17.829
2021-06-09,17.796
2021-06-10,17.978
2021-06-11,17.989
2021-06-12,17.989
2021-06-13,17.989
2021-06-14,18.097
2021-06-15,18.098
2021-06-16,17.917
2021-06-17,18.09
2021-06-18,17.713
2021-06-19,17.713
2021-06-20,17.713
2021-06-21,17.852
2021-06-22,17.878
2021-06-23,17.57
2021-06-24,17.669
2021-06-25,17.759
2021-06-26,17.759
2021-06-27,17.759
2021-06-28,17.835
2021-06-29,17.823
2021-06-30,17.972
2021-07-01,17.976
2021-07-02,18.062
2021-07-03,18.062
2021-07-04,18.062
2021-07-05,18.062
2021-07-06,18.089
2021-07-07,18.169
2021-07-08,18.177
2021-07-09,18.131
2021-07-10,18.131
2021-07-11,18.131
2021-07-12,18.147
2021-07-13,18.466
2021-07-14,18.443
2021-07-15,18.528
2021-07-16,18.536
2021-07-17,18.536
2021-07-18,18.536
2021-07-19,18.534
2021-07-20,18.536
2021-07-21,18.467
2021-07-22,18.461
2021-07-23,18.698
2021-07-24,18.698
2021-07-25,18.698
2021-07-26,18.685
2021-07-27,18.788
2021-07-28,18.616
2021-07-29,18.654
2021-07-30,18.671
2021-07-31,18.671
2021-08-01,18.671
2021-08-02,18.596
2021-08-03,18.647
2021-08-04,18.335
2021-08-05,18.366
2021-08-06,18.368
2021-08-07,18.368
2021-08-08,18.368
2021-08-09,18.371
2021-08-10,18.38
2021-08-11,18.453
2021-08-12,18.457
2021-08-13,18.629
2021-08-14,18.629
2021-08-15,18.629
2021-08-16,18.811
2021-08-17,18.793
2021-08-18,18.601
2021-08-19,18.914
2021-08-20,18.847
2021-08-21,18.847
2021-08-22,18.847
2021-08-23,18.787
2021-08-24,18.554
2021-08-25,18.472
2021-08-26,18.404
2021-08-27,18.441
2021-08-28,18.441
2021-08-29,18.441
2021-08-30,18.567
2021-08-31,18.614
2021-09-01,18.795
2021-09-02,18.808
2021-09-03,18.825
2021-09-04,18.825
2021-09-05,18.825
2021-09-06,18.825
2021-09-07,18.518
2021-09-08,18.781
2021-09-09,18.662
2021-09-10,18.63
2021-09-11,18.63
2021-09-12,18.63
2021-09-13,18.666
2021-09-14,18.593
2021-09-15,18.697
2021-09-16,18.642
2021-09-17,18.47
2021-09-18,18.47
2021-09-19,18.47
2021-09-20,18.408
2021-09-21,18.4
2021-09-22,18.456
2021-09-23,18.47
2021-09-24,18.479
2021-09-25,18.479
2021-09-26,18.479
2021-09-27,18.297
2021-09-28,18.097
2021-09-29,18.246
2021-09-30,18.02
2021-10-01,18.085
2021-10-02,18.085
2021-10-03,18.085
