,SEIC US Equity
,BEST_PE_RATIO
2021-10-15,12.703
2021-10-16,12.703
2021-10-17,12.703
2021-10-18,12.689
2021-10-19,12.883
2021-10-20,12.972
2021-10-21,13.14
2021-10-22,13.291
2021-10-23,13.291
2021-10-24,13.291
2021-10-25,13.233
2021-10-26,13.212
2021-10-27,12.867
2021-10-28,12.937
2021-10-29,13.036
2021-10-30,13.036
2021-10-31,13.036
2021-11-01,13.314
2021-11-02,12.927
2021-11-03,13.063
2021-11-04,13.098
2021-11-05,13.303
2021-11-06,13.303
2021-11-07,13.303
2021-11-08,13.342
2021-11-09,13.295
2021-11-10,13.316
2021-11-11,13.295
2021-11-12,13.376
2021-11-13,13.376
2021-11-14,13.376
2021-11-15,13.262
2021-11-16,13.419
2021-11-17,13.39
2021-11-18,13.307
2021-11-19,13.113
2021-11-20,13.113
2021-11-21,13.113
2021-11-22,13.103
2021-11-23,13.231
2021-11-24,13.148
2021-11-25,13.148
2021-11-26,12.598
2021-11-27,12.598
2021-11-28,12.598
2021-11-29,12.722
2021-11-30,12.331
2021-12-01,12.1
2021-12-02,12.569
2021-12-03,12.387
2021-12-04,12.387
2021-12-05,12.387
2021-12-06,12.646
2021-12-07,12.706
2021-12-08,12.782
2021-12-09,12.604
2021-12-10,12.503
2021-12-11,12.503
2021-12-12,12.503
2021-12-13,12.619
2021-12-14,12.784
2021-12-15,12.894
2021-12-16,12.896
2021-12-17,12.474
2021-12-18,12.474
2021-12-19,12.474
2021-12-20,12.139
2021-12-21,12.57
2021-12-22,12.582
2021-12-23,12.653
2021-12-24,12.653
2021-12-25,12.653
2021-12-26,12.653
2021-12-27,12.907
2021-12-28,13.148
2021-12-29,12.842
2021-12-30,12.767
2021-12-31,12.686
2022-01-01,12.686
2022-01-02,12.686
2022-01-03,12.73
2022-01-04,13.006
2022-01-05,12.891
2022-01-06,13.079
2022-01-07,13.091
2022-01-08,13.091
2022-01-09,13.091
2022-01-10,13.042
2022-01-11,13.145
2022-01-12,13.112
2022-01-13,13.046
2022-01-14,12.951
2022-01-15,12.951
2022-01-16,12.951
2022-01-17,12.951
2022-01-18,12.67
2022-01-19,12.342
2022-01-20,12.216
2022-01-21,11.891
2022-01-22,11.891
2022-01-23,11.891
2022-01-24,12.045
2022-01-25,11.915
2022-01-26,12.551
2022-01-27,12.135
2022-01-28,12.533
2022-01-29,12.533
2022-01-30,12.533
2022-01-31,12.753
2022-02-01,12.853
2022-02-02,12.951
2022-02-03,12.838
2022-02-04,12.96
2022-02-05,12.96
2022-02-06,12.96
2022-02-07,13.01
2022-02-08,13.219
2022-02-09,13.193
2022-02-10,13.019
2022-02-11,12.916
2022-02-12,12.916
2022-02-13,12.916
2022-02-14,12.925
2022-02-15,13.045
2022-02-16,13.175
2022-02-17,12.825
2022-02-18,12.853
2022-02-19,12.853
2022-02-20,12.853
2022-02-21,12.853
2022-02-22,12.705
2022-02-23,12.368
2022-02-24,12.451
2022-02-25,12.792
2022-02-26,12.792
2022-02-27,12.792
2022-02-28,12.747
2022-03-01,12.478
2022-03-02,12.621
2022-03-03,12.866
2022-03-04,12.693
2022-03-05,12.693
2022-03-06,12.693
2022-03-07,12.227
2022-03-08,12.126
2022-03-09,12.507
2022-03-10,12.345
2022-03-11,12.211
2022-03-12,12.211
2022-03-13,12.211
2022-03-14,12.47
2022-03-15,12.673
2022-03-16,12.973
2022-03-17,12.916
2022-03-18,13.155
2022-03-19,13.155
2022-03-20,13.155
2022-03-21,13.168
2022-03-22,13.312
2022-03-23,12.971
2022-03-24,13.196
2022-03-25,13.242
2022-03-26,13.242
2022-03-27,13.242
2022-03-28,13.638
2022-03-29,13.86
2022-03-30,13.765
2022-03-31,13.522
2022-04-01,13.74
2022-04-02,13.74
2022-04-03,13.74
2022-04-04,13.664
2022-04-05,13.399
2022-04-06,13.107
2022-04-07,13.069
2022-04-08,13.147
2022-04-09,13.147
2022-04-10,13.147
2022-04-11,13.096
2022-04-12,13.01
2022-04-13,12.995
2022-04-14,12.938
2022-04-15,12.938
2022-04-16,12.938
2022-04-17,12.938
2022-04-18,12.92
2022-04-19,13.278
2022-04-20,13.45
2022-04-21,13.003
2022-04-22,12.962
2022-04-23,12.962
2022-04-24,12.962
2022-04-25,12.971
2022-04-26,12.969
2022-04-27,12.982
2022-04-28,13.176
2022-04-29,12.702
2022-04-30,12.702
2022-05-01,12.702
2022-05-02,12.888
2022-05-03,13.005
2022-05-04,13.254
2022-05-05,12.869
2022-05-06,12.709
2022-05-07,12.709
2022-05-08,12.709
2022-05-09,12.565
2022-05-10,12.521
2022-05-11,12.235
2022-05-12,12.343
2022-05-13,12.56
2022-05-14,12.56
2022-05-15,12.56
2022-05-16,12.51
2022-05-17,12.881
2022-05-18,12.622
2022-05-19,12.633
2022-05-20,12.613
2022-05-21,12.613
2022-05-22,12.613
2022-05-23,12.698
2022-05-24,12.853
2022-05-25,12.814
2022-05-26,13.133
2022-05-27,13.387
2022-05-28,13.387
2022-05-29,13.387
