,REGI US Equity
,BEST_PE_RATIO
2021-09-03,12.282
2021-09-04,12.282
2021-09-05,12.282
2021-09-06,12.282
2021-09-07,12.33
2021-09-08,12.022
2021-09-09,12.209
2021-09-10,12.02
2021-09-11,12.02
2021-09-12,12.02
2021-09-13,13.01
2021-09-14,12.738
2021-09-15,13.071
2021-09-16,12.922
2021-09-17,12.834
2021-09-18,12.834
2021-09-19,12.834
2021-09-20,12.677
2021-09-21,12.999
2021-09-22,12.493
2021-09-23,13.031
2021-09-24,12.568
2021-09-25,12.568
2021-09-26,12.568
2021-09-27,13.246
2021-09-28,13.203
2021-09-29,12.988
2021-09-30,13.309
2021-10-01,13.518
2021-10-02,13.518
2021-10-03,13.518
2021-10-04,13.666
2021-10-05,14.077
2021-10-06,13.6
2021-10-07,14.189
2021-10-08,14.223
2021-10-09,14.223
2021-10-10,14.223
2021-10-11,14.438
2021-10-12,14.13
2021-10-13,14.258
2021-10-14,14.975
2021-10-15,14.625
2021-10-16,14.625
2021-10-17,14.625
2021-10-18,14.716
2021-10-19,15.116
2021-10-20,15.221
2021-10-21,15.047
2021-10-22,15.891
2021-10-23,15.891
2021-10-24,15.891
2021-10-25,17.164
2021-10-26,17.007
2021-10-27,16.331
2021-10-28,17.845
2021-10-29,18.561
2021-10-30,18.561
2021-10-31,18.561
2021-11-01,19.359
2021-11-02,18.194
2021-11-03,18.608
2021-11-04,17.201
2021-11-05,16.872
2021-11-06,16.872
2021-11-07,16.872
2021-11-08,16.991
2021-11-09,16.543
2021-11-10,15.995
2021-11-11,16.125
2021-11-12,15.137
2021-11-13,15.137
2021-11-14,15.137
2021-11-15,15.007
2021-11-16,15.007
2021-11-17,14.372
2021-11-18,14.28
2021-11-19,14.054
2021-11-20,14.054
2021-11-21,14.054
2021-11-22,14.583
2021-11-23,14.496
2021-11-24,14.207
2021-11-25,14.207
2021-11-26,13.823
2021-11-27,13.823
2021-11-28,13.823
2021-11-29,13.873
2021-11-30,13.628
2021-12-01,13.183
2021-12-02,13.63
2021-12-03,13.28
2021-12-04,13.28
2021-12-05,13.28
2021-12-06,13.292
2021-12-07,13.309
2021-12-08,13.419
2021-12-09,12.922
2021-12-10,13.061
2021-12-11,13.061
2021-12-12,13.061
2021-12-13,12.807
2021-12-14,12.564
2021-12-15,12.694
2021-12-16,12.327
2021-12-17,12.781
2021-12-18,12.781
2021-12-19,12.781
2021-12-20,12.042
2021-12-21,12.515
2021-12-22,12.252
2021-12-23,12.056
2021-12-24,12.056
2021-12-25,12.056
2021-12-26,12.056
2021-12-27,12.249
2021-12-28,12.226
2021-12-29,12.189
2021-12-30,12.353
2021-12-31,12.255
2022-01-01,12.255
2022-01-02,12.255
2022-01-03,12.951
2022-01-04,12.914
2022-01-05,12.945
2022-01-06,13.333
2022-01-07,13.184
2022-01-08,13.184
2022-01-09,13.184
2022-01-10,12.832
2022-01-11,13.331
2022-01-12,12.9
2022-01-13,12.531
2022-01-14,12.659
2022-01-15,12.659
2022-01-16,12.659
2022-01-17,12.659
2022-01-18,12.671
2022-01-19,12.341
2022-01-20,11.734
2022-01-21,11.104
2022-01-22,11.104
2022-01-23,11.104
2022-01-24,11.552
2022-01-25,11.268
2022-01-26,10.897
2022-01-27,10.842
2022-01-28,10.973
2022-01-29,10.973
2022-01-30,10.973
2022-01-31,11.221
2022-02-01,11.41
2022-02-02,10.691
2022-02-03,10.502
2022-02-04,10.613
2022-02-05,10.613
2022-02-06,10.613
2022-02-07,10.293
2022-02-08,10.094
2022-02-09,10.389
2022-02-10,10.342
2022-02-11,10.348
2022-02-12,10.348
2022-02-13,10.348
2022-02-14,9.81
2022-02-15,10.03
2022-02-16,9.815
2022-02-17,9.489
2022-02-18,9.181
2022-02-19,9.181
2022-02-20,9.181
2022-02-21,9.181
2022-02-22,8.966
2022-02-23,11.3
2022-02-24,11.836
2022-02-25,12.042
2022-02-26,12.042
2022-02-27,12.042
2022-02-28,16.933
2022-03-01,17.132
2022-03-02,17.163
2022-03-03,17.276
2022-03-04,17.626
2022-03-05,17.626
2022-03-06,17.626
2022-03-07,17.566
2022-03-08,17.936
2022-03-09,17.975
2022-03-10,17.91
2022-03-11,17.951
2022-03-12,17.951
2022-03-13,17.951
2022-03-14,18.031
2022-03-15,17.907
2022-03-16,18.019
2022-03-17,17.945
2022-03-18,17.883
2022-03-19,17.883
2022-03-20,17.883
2022-03-21,18.274
2022-03-22,18.265
2022-03-23,18.271
2022-03-24,18.283
2022-03-25,18.268
