,NFG US Equity
,BEST_PE_RATIO
2020-12-20,6.277
2020-12-21,6.081
2020-12-22,6.151
2020-12-23,6.17
2020-12-24,6.172
2020-12-25,6.172
2020-12-26,6.172
2020-12-27,6.172
2020-12-28,6.107
2020-12-29,6.059
2020-12-30,6.063
2020-12-31,6.089
2021-01-01,6.089
2021-01-02,6.089
2021-01-03,6.089
2021-01-04,6.107
2021-01-05,6.246
2021-01-06,6.526
2021-01-07,6.526
2021-01-08,6.433
2021-01-09,6.433
2021-01-10,6.433
2021-01-11,6.458
2021-01-12,6.55
2021-01-13,6.505
2021-01-14,6.514
2021-01-15,6.556
2021-01-16,6.556
2021-01-17,6.556
2021-01-18,6.556
2021-01-19,6.341
2021-01-20,6.317
2021-01-21,6.146
2021-01-22,6.174
2021-01-23,6.174
2021-01-24,6.174
2021-01-25,6.227
2021-01-26,6.06
2021-01-27,6.008
2021-01-28,5.992
2021-01-29,5.96
2021-01-30,5.96
2021-01-31,5.96
2021-02-01,6.042
2021-02-02,6.051
2021-02-03,6.003
2021-02-04,6.117
2021-02-05,6.249
2021-02-06,6.249
2021-02-07,6.249
2021-02-08,6.396
2021-02-09,6.354
2021-02-10,6.479
2021-02-11,6.51
2021-02-12,6.513
2021-02-13,6.513
2021-02-14,6.513
2021-02-15,6.513
2021-02-16,6.714
2021-02-17,6.905
2021-02-18,6.693
2021-02-19,6.73
2021-02-20,6.73
2021-02-21,6.73
2021-02-22,6.661
2021-02-23,6.785
2021-02-24,6.815
2021-02-25,6.898
2021-02-26,6.727
2021-02-27,6.727
2021-02-28,6.727
2021-03-01,6.793
2021-03-02,6.834
2021-03-03,6.981
2021-03-04,7.007
2021-03-05,7.262
2021-03-06,7.262
2021-03-07,7.262
2021-03-08,7.358
2021-03-09,7.152
2021-03-10,7.331
2021-03-11,7.254
2021-03-12,7.36
2021-03-13,7.36
2021-03-14,7.36
2021-03-15,7.388
2021-03-16,7.337
2021-03-17,7.234
2021-03-18,7.263
2021-03-19,7.293
2021-03-20,7.293
2021-03-21,7.293
2021-03-22,7.203
2021-03-23,7.112
2021-03-24,7.225
2021-03-25,7.417
2021-03-26,7.479
2021-03-27,7.479
2021-03-28,7.479
2021-03-29,7.521
2021-03-30,7.501
2021-03-31,7.466
2021-04-01,7.474
2021-04-02,7.474
2021-04-03,7.474
2021-04-04,7.474
2021-04-05,7.505
2021-04-06,7.492
2021-04-07,7.553
2021-04-08,7.49
