,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-12-26,180.9676,181.699,180.0211,180.1836,292114.0
2021-12-27,180.4035,181.5891,179.9064,181.5413,282274.0
2021-12-28,181.57,182.8894,181.57,182.5834,401411.0
2021-12-29,182.6217,184.2371,182.1295,183.3961,413429.0
2021-12-30,184.1323,184.1323,182.6503,182.8702,313794.0
2021-12-31,182.5643,185.4899,182.5643,184.9736,537991.0
2022-01-01,182.5643,185.4899,182.5643,184.9736,537991.0
2022-01-02,182.5643,185.4899,182.5643,184.9736,537991.0
2022-01-03,184.4095,184.9735,182.5452,184.725,798617.0
2022-01-04,184.8876,187.5646,184.6103,186.3026,721591.0
2022-01-05,187.1057,189.4672,187.0961,188.3486,963412.0
2022-01-06,188.9031,189.9118,187.5264,187.9375,710558.0
2022-01-07,187.8228,188.5398,186.7424,187.2491,998251.0
2022-01-08,187.8228,188.5398,186.7424,187.2491,998251.0
2022-01-09,187.8228,188.5398,186.7424,187.2491,998251.0
2022-01-10,187.5933,189.0083,184.9449,186.0922,846180.0
2022-01-11,185.6429,185.858,183.4439,185.509,725854.0
2022-01-12,185.4804,187.6315,184.6008,187.2395,784739.0
2022-01-13,187.2395,188.6354,186.6755,188.1,708483.0
2022-01-14,188.0618,191.1343,186.8458,190.7675,765886.0
2022-01-15,188.0618,191.1343,186.8458,190.7675,765886.0
2022-01-16,188.0618,191.1343,186.8458,190.7675,765886.0
2022-01-17,188.0618,191.1343,186.8458,190.7675,765886.0
2022-01-18,189.429,190.3181,186.7806,189.6106,1424264.0
2022-01-19,190.4042,192.5936,190.1269,190.8727,1389439.0
2022-01-20,190.8727,191.6853,189.6393,190.4137,884586.0
2022-01-21,192.2016,193.9799,191.1691,191.5515,1011430.0
2022-01-22,192.2016,193.9799,191.1691,191.5515,1011430.0
2022-01-23,192.2016,193.9799,191.1691,191.5515,1011430.0
2022-01-24,191.3316,193.129,187.3065,191.1404,1879104.0
2022-01-25,189.7254,190.2225,185.7481,186.2165,1552561.0
2022-01-26,185.9393,187.2969,184.4478,185.6046,1251632.0
2022-01-27,187.077,189.037,183.8072,185.8341,1182016.0
2022-01-28,185.0214,188.3534,182.6121,188.1861,889342.0
2022-01-29,185.0214,188.3534,182.6121,188.1861,889342.0
2022-01-30,185.0214,188.3534,182.6121,188.1861,889342.0
2022-01-31,187.1439,188.9509,186.4364,188.4155,824962.0
2022-02-01,188.6354,189.2186,185.8771,187.1344,878976.0
2022-02-02,187.6889,190.5878,187.3734,189.821,1406254.0
2022-02-03,190.2608,197.1063,190.2608,194.9647,1635143.0
2022-02-04,194.7161,196.3223,192.4502,193.8748,1251482.0
2022-02-05,194.7161,196.3223,192.4502,193.8748,1251482.0
2022-02-06,194.7161,196.3223,192.4502,193.8748,1251482.0
2022-02-07,196.0738,196.7908,192.5219,195.72,1291347.0
2022-02-08,196.4371,198.1102,195.1177,197.9094,1166510.0
2022-02-09,197.919,198.6934,194.2381,194.697,1422873.0
