,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-05,61.2532,64.5609,61.2532,62.7846,3907023.0
2021-01-06,63.8871,64.2459,61.5507,62.3208,5097922.0
2021-01-07,62.5658,64.1505,61.9393,62.8808,2568254.0
2021-01-08,63.4496,63.5283,61.5507,61.8745,2683622.0
2021-01-09,63.4496,63.5283,61.5507,61.8745,2683622.0
2021-01-10,63.4496,63.5283,61.5507,61.8745,2683622.0
2021-01-11,60.3782,63.7034,60.0983,63.2396,4944577.0
2021-01-12,63.6334,64.8147,62.6883,64.5259,2649654.0
2021-01-13,64.3159,64.4909,62.5921,62.8021,2520582.0
2021-01-14,63.0296,65.5847,63.0033,64.8759,3028678.0
2021-01-15,64.0096,64.2765,62.067,62.7758,3413699.0
2021-01-16,64.0096,64.2765,62.067,62.7758,3413699.0
2021-01-17,64.0096,64.2765,62.067,62.7758,3413699.0
2021-01-18,64.0096,64.2765,62.067,62.7758,3413699.0
2021-01-19,63.6334,65.7772,63.0733,65.436,2976262.0
2021-01-20,65.9785,66.4685,64.7009,65.9697,2566771.0
2021-01-21,65.2434,65.9872,63.5546,64.0184,2698745.0
2021-01-22,62.7408,63.9571,62.257,63.4846,2563594.0
2021-01-23,62.7408,63.9571,62.257,63.4846,2563594.0
2021-01-24,62.7408,63.9571,62.257,63.4846,2563594.0
2021-01-25,63.0033,64.0534,62.1545,63.0733,3003634.0
2021-01-26,63.7471,64.8234,62.3558,62.3995,2056790.0
2021-01-27,61.4457,64.0359,60.9907,62.3033,3080395.0
2021-01-28,62.7408,63.5459,61.7433,62.522,2654497.0
2021-01-29,60.6407,62.4783,58.9694,59.3281,5732821.0
2021-01-30,60.6407,62.4783,58.9694,59.3281,5732821.0
2021-01-31,60.6407,62.4783,58.9694,59.3281,5732821.0
2021-02-01,59.8007,59.8969,57.2105,58.9606,2968958.0
2021-02-02,60.5182,61.3845,59.1644,60.0807,2324929.0
2021-02-03,60.0807,62.4695,60.0807,62.382,2599046.0
2021-02-04,62.6183,63.5283,61.8971,62.9421,1997224.0
2021-02-05,64.0096,64.3246,62.4345,63.0383,2466668.0
2021-02-06,64.0096,64.3246,62.4345,63.0383,2466668.0
2021-02-07,64.0096,64.3246,62.4345,63.0383,2466668.0
2021-02-08,63.7034,66.626,63.4846,66.3197,2678792.0
2021-02-09,66.0222,66.1185,64.6134,65.2172,2644898.0
2021-02-10,65.4535,67.186,65.1472,67.1335,2231573.0
2021-02-11,66.8535,67.6061,65.4972,67.5886,2307966.0
2021-02-12,67.4311,68.0698,66.7135,67.5798,1954789.0
2021-02-13,67.4311,68.0698,66.7135,67.5798,1954789.0
2021-02-14,67.4311,68.0698,66.7135,67.5798,1954789.0
2021-02-15,67.4311,68.0698,66.7135,67.5798,1954789.0
2021-02-16,69.0324,70.5287,68.3411,69.4699,2763706.0
2021-02-17,70.0037,70.8036,68.4549,70.5637,2135756.0
2021-02-18,70.1524,70.52,69.0499,70.0474,2074993.0
2021-02-19,70.5961,73.437,70.366,72.844,3401823.0
2021-02-20,70.5961,73.437,70.366,72.844,3401823.0
2021-02-21,70.5961,73.437,70.366,72.844,3401823.0
2021-02-22,72.1006,75.5521,71.8263,74.3043,3213866.0
2021-02-23,75.4459,76.1008,72.9126,75.6937,2557175.0
2021-02-24,75.9769,77.8266,75.6937,77.2159,3540784.0
2021-02-25,77.8797,77.9239,74.5255,74.9061,2766973.0
2021-02-26,74.2689,74.7291,70.9413,73.4989,4790763.0
2021-02-27,74.2689,74.7291,70.9413,73.4989,4790763.0
2021-02-28,74.2689,74.7291,70.9413,73.4989,4790763.0
2021-03-01,75.2689,75.8884,74.4282,74.9592,2231004.0
2021-03-02,74.5698,75.5256,72.7378,72.8086,2354128.0
2021-03-03,73.5609,75.7734,73.2865,74.1981,2352430.0
2021-03-04,74.7379,76.2513,73.2688,74.7025,2829315.0
2021-03-05,76.6495,77.3752,74.437,77.3044,3367091.0
2021-03-06,76.6495,77.3752,74.437,77.3044,3367091.0
2021-03-07,76.6495,77.3752,74.437,77.3044,3367091.0
2021-03-08,78.6585,79.7382,77.2194,78.2956,2892272.0
2021-03-09,77.6053,80.1718,75.5167,75.5787,3497455.0
2021-03-10,75.7114,78.8266,75.1362,78.2691,2554660.0
2021-03-11,78.4107,79.2072,77.4814,77.6407,2667686.0
2021-03-12,78.747,78.8797,77.4283,78.4638,1864139.0
2021-03-13,78.747,78.8797,77.4283,78.4638,1864139.0
2021-03-14,78.747,78.8797,77.4283,78.4638,1864139.0
2021-03-15,78.2868,78.8709,76.8708,77.7381,2201089.0
2021-03-16,76.6849,76.8,74.853,75.1627,3063951.0
2021-03-17,75.1804,75.8619,74.0299,75.6318,2490304.0
2021-03-18,74.9326,75.3928,71.9502,72.0121,3517519.0
2021-03-19,72.2511,73.9326,71.3395,72.7998,5098201.0
2021-03-20,72.2511,73.9326,71.3395,72.7998,5098201.0
2021-03-21,72.2511,73.9326,71.3395,72.7998,5098201.0
2021-03-22,72.0475,72.5157,71.1183,71.313,2946131.0
2021-03-23,70.0209,71.5608,68.7819,69.897,3348646.0
2021-03-24,71.2156,72.7998,71.0917,72.5962,3417604.0
2021-03-25,71.49,73.2157,70.0297,72.9591,2613343.0
2021-03-26,74.2954,74.7291,73.0741,74.614,2369981.0
2021-03-27,74.2954,74.7291,73.0741,74.614,2369981.0
2021-03-28,74.2954,74.7291,73.0741,74.614,2369981.0
2021-03-29,73.5963,73.791,71.9679,73.0387,1880583.0
2021-03-30,72.3573,73.729,72.2157,72.844,1960584.0
2021-03-31,72.5608,73.1184,71.9236,72.1626,2665242.0
2021-04-01,72.2068,73.7202,71.2599,73.5963,2732912.0
2021-04-02,72.2068,73.7202,71.2599,73.5963,2732912.0
2021-04-03,72.2068,73.7202,71.2599,73.5963,2732912.0
2021-04-04,72.2068,73.7202,71.2599,73.5963,2732912.0
2021-04-05,73.4901,73.7821,71.844,72.6228,3060213.0
2021-04-06,72.7378,73.3795,71.2599,71.5519,2905408.0
2021-04-07,71.5696,71.6316,70.0165,70.7997,2707163.0
2021-04-08,69.8793,70.0651,68.7292,69.4014,2908528.0
2021-04-09,69.4899,71.3572,69.1182,69.9412,3592067.0
2021-04-10,69.4899,71.3572,69.1182,69.9412,3592067.0
2021-04-11,69.4899,71.3572,69.1182,69.9412,3592067.0
2021-04-12,70.4988,71.1271,68.5518,68.6934,1846620.0
2021-04-13,68.3748,68.8881,67.8438,68.6934,2000604.0
2021-04-14,69.3394,71.2687,69.2155,70.2598,2237334.0
2021-04-15,69.9412,70.1536,69.2509,69.9324,2143816.0
2021-04-16,70.4103,71.197,69.1624,69.6403,2422272.0
2021-04-17,70.4103,71.197,69.1624,69.6403,2422272.0
2021-04-18,70.4103,71.197,69.1624,69.6403,2422272.0
2021-04-19,69.7819,70.4915,68.5518,68.9766,2352661.0
2021-04-20,68.3837,68.5784,66.0207,66.7464,2283883.0
