,QCOM US Equity,QCOM US Equity,QCOM US Equity,QCOM US Equity,QCOM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-06-22,126.2447,127.2699,125.37,127.0536,5976376.0
2021-06-23,126.8749,128.1353,126.7996,127.4675,6613763.0
2021-06-24,128.5012,130.2798,128.2481,129.7248,7941660.0
2021-06-25,130.2234,131.1827,128.8313,129.4709,7949190.0
2021-06-26,130.2234,131.1827,128.8313,129.4709,7949190.0
2021-06-27,130.2234,131.1827,128.8313,129.4709,7949190.0
2021-06-28,130.0164,131.8411,129.7813,131.4179,6645474.0
2021-06-29,131.3351,134.456,130.9758,134.1456,6885355.0
2021-06-30,133.8916,135.0937,133.4119,134.4372,6449659.0
2021-07-01,134.4183,134.5218,132.0105,132.4337,6094085.0
2021-07-02,133.553,134.202,132.857,134.1079,5399721.0
2021-07-03,133.553,134.202,132.857,134.1079,5399721.0
2021-07-04,133.553,134.202,132.857,134.1079,5399721.0
2021-07-05,133.553,134.202,132.857,134.1079,5399721.0
2021-07-06,134.503,134.6723,131.3803,132.8005,7095210.0
2021-07-07,133.7882,133.901,130.7982,131.653,5034862.0
2021-07-08,129.5367,130.6184,127.5427,130.0729,7501092.0
2021-07-09,129.6966,133.3085,129.6214,133.0263,7356808.0
2021-07-10,129.6966,133.3085,129.6214,133.0263,7356808.0
2021-07-11,129.6966,133.3085,129.6214,133.0263,7356808.0
2021-07-12,132.9981,134.5218,132.8099,134.0045,6786522.0
2021-07-13,133.9763,134.1832,132.0763,132.7911,5657645.0
2021-07-14,134.9733,137.6445,134.0327,135.2084,11305730.0
2021-07-15,135.5564,135.5753,132.3585,133.0545,6667440.0
2021-07-16,133.4401,134.0421,131.2392,131.4085,5914325.0
2021-07-17,133.4401,134.0421,131.2392,131.4085,5914325.0
2021-07-18,133.4401,134.0421,131.2392,131.4085,5914325.0
2021-07-19,130.1053,130.6419,128.6808,130.5431,9371342.0
2021-07-20,130.7596,132.0763,129.0476,131.258,6020445.0
2021-07-21,131.352,133.7693,131.352,133.7223,6162215.0
2021-07-22,133.5624,134.3619,133.0921,133.9763,3862571.0
2021-07-23,134.9263,136.3747,133.5906,136.2713,6310362.0
2021-07-24,134.9263,136.3747,133.5906,136.2713,6310362.0
2021-07-25,134.9263,136.3747,133.5906,136.2713,6310362.0
2021-07-26,135.3965,135.7992,133.7882,134.9733,6253904.0
2021-07-27,134.0233,134.503,129.9976,132.556,7575761.0
2021-07-28,132.8758,134.4183,131.8129,133.9763,9303418.0
2021-07-29,137.795,142.5167,137.7104,142.0182,19446916.0
2021-07-30,140.3346,141.4727,139.5445,140.8989,8404794.0
2021-07-31,140.3346,141.4727,139.5445,140.8989,8404794.0
2021-08-01,140.3346,141.4727,139.5445,140.8989,8404794.0
2021-08-02,141.0871,143.2316,139.4034,140.0148,10823826.0
2021-08-03,140.0618,140.692,137.8515,139.1589,6223384.0
2021-08-04,139.2247,140.3346,138.5757,139.4128,5556400.0
2021-08-05,138.4911,138.7074,135.9772,138.1054,7169204.0
2021-08-06,137.447,139.4222,137.2495,137.5881,5733256.0
2021-08-07,137.447,139.4222,137.2495,137.5881,5733256.0
2021-08-08,137.447,139.4222,137.2495,137.5881,5733256.0
2021-08-09,138.0678,138.9405,137.0896,138.1901,4966607.0
2021-08-10,138.5663,138.7356,133.9386,137.2025,4197116.0
2021-08-11,137.3812,138.0678,135.8198,137.9643,6215983.0
2021-08-12,138.9802,139.2059,137.6916,138.4064,5778056.0
2021-08-13,138.2653,140.4381,138.1995,139.8079,5764041.0
2021-08-14,138.2653,140.4381,138.1995,139.8079,5764041.0
2021-08-15,138.2653,140.4381,138.1995,139.8079,5764041.0
2021-08-16,139.5821,140.2217,138.002,139.3282,4410945.0
2021-08-17,138.2183,138.2653,135.0392,135.8292,7256805.0
2021-08-18,135.2931,136.0597,133.5436,133.7317,6546524.0
2021-08-19,132.2926,133.0451,130.703,132.255,8660978.0
2021-08-20,132.255,133.807,131.9634,133.6471,6140962.0
2021-08-21,132.255,133.807,131.9634,133.6471,6140962.0
2021-08-22,132.255,133.807,131.9634,133.6471,6140962.0
2021-08-23,134.1761,136.0173,133.8916,135.5753,6936893.0
2021-08-24,135.9985,136.9414,135.2962,135.8762,7066814.0
2021-08-25,135.8762,136.7886,134.9404,135.3213,5721635.0
2021-08-26,134.6817,135.2178,133.205,133.9198,6825131.0
2021-08-27,133.7505,136.3371,133.4872,136.2431,6274499.0
2021-08-28,133.7505,136.3371,133.4872,136.2431,6274499.0
2021-08-29,133.7505,136.3371,133.4872,136.2431,6274499.0
2021-08-30,136.9391,139.0742,136.9062,137.2683,5263612.0
2021-08-31,138.0772,138.7638,135.9703,137.9737,7820509.0
2021-09-01,138.7581,139.9488,138.1722,138.3896,6451408.0
