,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-25,42.5659,42.8661,41.1777,41.703,104552.0
2021-01-26,42.247,42.4252,41.2105,41.7264,123874.0
2021-01-27,40.9713,41.8062,40.3804,41.0558,167923.0
2021-01-28,41.6561,41.7592,40.962,41.1777,80450.0
2021-01-29,41.4403,41.7311,39.902,40.0052,173055.0
2021-01-30,41.4403,41.7311,39.902,40.0052,173055.0
2021-01-31,41.4403,41.7311,39.902,40.0052,173055.0
2021-02-01,40.6243,40.8682,39.6675,40.5493,60841.0
2021-02-02,41.0464,41.0464,39.5737,40.493,90008.0
2021-02-03,40.3054,41.1027,39.8927,41.0464,100385.0
2021-02-04,41.0745,42.4065,41.0745,41.9281,111235.0
2021-02-05,42.6128,42.9693,41.6748,42.2845,71469.0
2021-02-06,42.6128,42.9693,41.6748,42.2845,71469.0
2021-02-07,42.6128,42.9693,41.6748,42.2845,71469.0
2021-02-08,42.6785,44.47,42.6316,44.2355,138059.0
2021-02-09,42.0407,44.4888,41.0304,44.1699,206080.0
2021-02-10,44.47,44.7186,43.4007,44.5826,82330.0
2021-02-11,44.8828,45.1454,44.2309,44.4982,98520.0
2021-02-12,44.4138,44.6952,43.4945,43.7384,74709.0
2021-02-13,44.4138,44.6952,43.4945,43.7384,74709.0
2021-02-14,44.4138,44.6952,43.4945,43.7384,74709.0
2021-02-15,44.4138,44.6952,43.4945,43.7384,74709.0
2021-02-16,43.9542,44.2027,42.913,43.6165,120957.0
2021-02-17,43.3257,45.2204,42.9974,44.7421,121714.0
2021-02-18,43.9682,45.1079,42.8159,44.6389,108748.0
2021-02-19,44.6295,46.8994,44.4325,45.9755,125413.0
2021-02-20,44.6295,46.8994,44.4325,45.9755,125413.0
2021-02-21,44.6295,46.8994,44.4325,45.9755,125413.0
2021-02-22,45.6144,47.6123,45.5675,46.8807,138706.0
2021-02-23,46.5711,47.7342,45.6742,47.2653,206385.0
2021-02-24,47.3028,48.8317,47.0401,48.4284,112253.0
2021-02-25,48.3252,49.6337,48.3064,48.6722,130157.0
2021-02-26,48.6722,48.8411,47.4153,48.1657,190485.0
2021-02-27,48.6722,48.8411,47.4153,48.1657,190485.0
2021-02-28,48.6722,48.8411,47.4153,48.1657,190485.0
2021-03-01,49.2163,49.7203,48.8129,49.3101,152902.0
2021-03-02,49.2444,49.4789,48.6019,48.6253,150702.0
2021-03-03,48.8036,51.5894,48.8036,50.1074,220155.0
2021-03-04,50.1449,50.5576,48.4753,48.8036,124332.0
