,LBRT US Equity,LBRT US Equity,LBRT US Equity,LBRT US Equity,LBRT US Equity
2021-03-10,13.2744,14.4509,13.245,14.2548,1205783.0
2021-03-11,14.3038,14.4117,12.6372,12.647,2558532.0
2021-03-12,12.7646,13.0391,12.3235,12.7548,1407364.0
2021-03-13,12.7646,13.0391,12.3235,12.7548,1407364.0
2021-03-14,12.7646,13.0391,12.3235,12.7548,1407364.0
2021-03-15,12.7842,12.8823,12.4019,12.5097,1157814.0
2021-03-16,12.1666,12.3725,11.7744,12.1176,1141290.0
2021-03-17,11.9803,12.5538,11.9019,12.4411,982272.0
2021-03-18,12.4411,12.5685,11.5489,11.6568,980774.0
2021-03-19,11.7352,11.9803,11.1568,11.3333,6665155.0
2021-03-20,11.7352,11.9803,11.1568,11.3333,6665155.0
2021-03-21,11.7352,11.9803,11.1568,11.3333,6665155.0
2021-03-22,11.2156,11.3186,10.6176,10.8137,1033291.0
2021-03-23,10.4117,10.647,9.9607,10.1274,951527.0
2021-03-24,10.3921,10.8431,10.0293,10.098,2925903.0
2021-03-25,9.9607,10.8333,9.7548,10.8235,1154567.0
2021-03-26,11.1666,11.3921,10.7303,11.0784,985235.0
2021-03-27,11.1666,11.3921,10.7303,11.0784,985235.0
2021-03-28,11.1666,11.3921,10.7303,11.0784,985235.0
2021-03-29,10.9509,11.1568,10.5784,10.8627,820899.0
2021-03-30,10.7156,11.0735,10.6666,10.9019,719907.0
2021-03-31,10.8921,11.3039,10.6372,11.0686,1329430.0
2021-04-01,11.1568,11.5195,10.9509,11.4705,695443.0
2021-04-02,11.1568,11.5195,10.9509,11.4705,695443.0
2021-04-03,11.1568,11.5195,10.9509,11.4705,695443.0
2021-04-04,11.1568,11.5195,10.9509,11.4705,695443.0
2021-04-05,11.4705,11.4705,10.8529,11.2254,878452.0
2021-04-06,11.2744,11.5686,11.098,11.1568,1544062.0
2021-04-07,11.2352,11.4607,11.0244,11.049,657710.0
2021-04-08,11.049,11.049,10.6666,10.9411,596952.0
2021-04-09,10.7548,10.8431,10.4019,10.6274,570898.0
2021-04-10,10.7548,10.8431,10.4019,10.6274,570898.0
2021-04-11,10.7548,10.8431,10.4019,10.6274,570898.0
2021-04-12,10.6666,10.7646,10.5686,10.7254,515066.0
2021-04-13,10.5784,10.6078,10.3039,10.5293,1143845.0
2021-04-14,10.6274,11.6764,10.6274,11.3529,907283.0
2021-04-15,11.4215,11.4215,11.0391,11.2548,473158.0
2021-04-16,11.3725,11.4705,10.4509,10.4901,776110.0
2021-04-17,11.3725,11.4705,10.4509,10.4901,776110.0
2021-04-18,11.3725,11.4705,10.4509,10.4901,776110.0
2021-04-19,10.4803,10.6274,10.1568,10.4313,597707.0
2021-04-20,10.3333,10.3333,9.5588,9.8627,730568.0
2021-04-21,9.5882,10.0097,9.5392,9.9705,1217605.0
2021-04-22,10.0882,10.1372,9.6176,9.9705,585072.0
2021-04-23,9.9705,10.2646,9.7941,9.9411,549690.0
2021-04-24,9.9705,10.2646,9.7941,9.9411,549690.0
2021-04-25,9.9705,10.2646,9.7941,9.9411,549690.0
2021-04-26,10.0195,10.7744,9.9411,10.6568,1095735.0
2021-04-27,10.7254,10.8333,10.0441,10.5686,1009676.0
2021-04-28,10.5391,12.0784,10.5195,11.9607,1560102.0
2021-04-29,12.1274,12.5293,11.745,11.9411,1042855.0
2021-04-30,11.7744,12.0784,11.4509,11.4705,816261.0
2021-05-01,11.7744,12.0784,11.4509,11.4705,816261.0
2021-05-02,11.7744,12.0784,11.4509,11.4705,816261.0
2021-05-03,11.7352,11.9509,11.6372,11.794,737428.0
2021-05-04,11.9509,12.4313,11.6666,12.3038,1551854.0
2021-05-05,12.4705,13.1764,12.2156,12.9411,2115914.0
2021-05-06,12.9117,12.9999,12.2744,12.8431,1659483.0
2021-05-07,12.4411,13.8725,12.4411,13.7744,1762714.0
2021-05-08,12.4411,13.8725,12.4411,13.7744,1762714.0
2021-05-09,12.4411,13.8725,12.4411,13.7744,1762714.0
2021-05-10,13.9999,14.3234,13.1862,13.2058,961786.0
2021-05-11,12.647,13.7156,12.6372,13.4215,822576.0
2021-05-12,13.4999,14.1666,13.3726,13.4509,1076874.0
2021-05-13,13.5097,13.8234,12.8136,13.3038,825477.0
2021-05-14,13.4901,14.2548,13.4901,14.0489,912887.0
2021-05-15,13.4901,14.2548,13.4901,14.0489,912887.0
2021-05-16,13.4901,14.2548,13.4901,14.0489,912887.0
2021-05-17,13.8529,14.4019,13.6764,14.3823,562200.0
2021-05-18,14.3136,14.4901,13.7842,13.794,1341404.0
2021-05-19,13.196,13.9411,13.196,13.7058,623462.0
2021-05-20,13.647,14.0097,13.2646,13.794,852054.0
2021-05-21,14.0391,14.2156,13.7352,14.098,797296.0
2021-05-22,14.0391,14.2156,13.7352,14.098,797296.0
2021-05-23,14.0391,14.2156,13.7352,14.098,797296.0
2021-05-24,14.2744,14.3381,13.8725,14.1568,750564.0
2021-05-25,14.1372,14.3136,13.8136,14.0097,679012.0
2021-05-26,14.0195,14.4166,13.8823,14.2156,477919.0
2021-05-27,14.3627,14.7254,14.3627,14.6764,795142.0
2021-05-28,14.7058,14.7058,14.3823,14.6666,435059.0
2021-05-29,14.7058,14.7058,14.3823,14.6666,435059.0
2021-05-30,14.7058,14.7058,14.3823,14.6666,435059.0
2021-05-31,14.7058,14.7058,14.3823,14.6666,435059.0
2021-06-01,14.9019,15.4313,14.8332,15.196,1362820.0
2021-06-02,15.5391,17.2303,15.2058,16.9509,2488543.0
2021-06-03,16.6666,17.294,16.294,17.0391,2124469.0
2021-06-04,17.1077,17.4313,16.5097,17.147,1079080.0
2021-06-05,17.1077,17.4313,16.5097,17.147,1079080.0
2021-06-06,17.1077,17.4313,16.5097,17.147,1079080.0
2021-06-07,17.1862,17.2499,16.1764,16.4215,2041726.0
2021-06-08,15.196,15.5293,14.7744,14.9411,6602652.0
2021-06-09,14.8725,15.1813,14.7058,14.8332,2285241.0
2021-06-10,15.0097,15.147,14.647,15.0195,3180753.0
2021-06-11,15.0979,15.3528,14.9607,14.9999,1289260.0
2021-06-12,15.0979,15.3528,14.9607,14.9999,1289260.0
2021-06-13,15.0979,15.3528,14.9607,14.9999,1289260.0
2021-06-14,14.8725,14.995,14.1372,14.4215,3502116.0
2021-06-15,14.4803,14.8725,14.2107,14.8038,1961232.0
2021-06-16,14.7254,15.3234,14.4999,14.9705,4160056.0
2021-06-17,14.9313,14.9803,13.1764,14.098,2634876.0
2021-06-18,14.1078,14.4754,13.7058,13.8627,5184406.0
2021-06-19,14.1078,14.4754,13.7058,13.8627,5184406.0
2021-06-20,14.1078,14.4754,13.7058,13.8627,5184406.0
2021-06-21,14.2352,15.5881,14.2352,15.3528,1891718.0
2021-06-22,15.1666,15.5391,14.9313,15.5097,830056.0
2021-06-23,15.7548,15.9901,15.1519,15.1666,1281531.0
2021-06-24,15.245,15.5391,14.9166,15.4705,710854.0
2021-06-25,15.4705,15.4705,15.1666,15.2744,2564435.0
2021-06-26,15.4705,15.4705,15.1666,15.2744,2564435.0
2021-06-27,15.4705,15.4705,15.1666,15.2744,2564435.0
2021-06-28,15.1274,15.1274,13.7744,14.0587,1198876.0
2021-06-29,14.2058,14.3813,13.794,13.8332,625896.0
2021-06-30,13.9215,14.1666,13.794,13.8823,927680.0
2021-07-01,14.3921,14.9117,14.1274,14.745,1013251.0
2021-07-02,14.7254,14.7352,14.196,14.5881,570307.0
2021-07-03,14.7254,14.7352,14.196,14.5881,570307.0
2021-07-04,14.7254,14.7352,14.196,14.5881,570307.0
2021-07-05,14.7254,14.7352,14.196,14.5881,570307.0
2021-07-06,14.4607,14.4607,13.0391,13.3332,1567510.0
2021-07-07,13.245,13.5489,12.6176,12.8234,1369227.0
2021-07-08,12.4215,13.1274,12.3553,13.0882,1259891.0
2021-07-09,13.5097,13.7646,13.147,13.6176,1492648.0
2021-07-10,13.5097,13.7646,13.147,13.6176,1492648.0
2021-07-11,13.5097,13.7646,13.147,13.6176,1492648.0
2021-07-12,13.2842,13.598,13.1694,13.4215,1188264.0
2021-07-13,13.2254,13.3578,12.7842,13.0391,721771.0
2021-07-14,13.0685,13.4607,12.3038,12.3921,696726.0
2021-07-15,12.2254,12.5097,11.696,11.8235,1613237.0
2021-07-16,12.0686,12.2156,11.3137,11.4117,1216563.0
2021-07-17,12.0686,12.2156,11.3137,11.4117,1216563.0
2021-07-18,12.0686,12.2156,11.3137,11.4117,1216563.0
2021-07-19,10.8039,11.2744,10.598,11.1764,1369782.0
2021-07-20,11.1764,11.4558,11.0017,11.147,1195357.0
2021-07-21,11.5195,11.9509,11.5097,11.745,1113078.0
2021-07-22,11.6862,11.9117,11.2156,11.6078,848396.0
2021-07-23,11.6568,11.8038,10.7352,11.0097,1130622.0
2021-07-24,11.6568,11.8038,10.7352,11.0097,1130622.0
2021-07-25,11.6568,11.8038,10.7352,11.0097,1130622.0
2021-07-26,11.1666,11.7744,11.0293,11.4999,842617.0
2021-07-27,11.3725,11.4607,11.1372,11.2548,977264.0
2021-07-28,11.0784,11.0784,10.0882,10.6862,2832896.0
2021-07-29,10.7352,10.8823,10.2597,10.4411,1988497.0
2021-07-30,10.1764,10.2941,9.7892,9.9901,1893300.0
2021-07-31,10.1764,10.2941,9.7892,9.9901,1893300.0
2021-08-01,10.1764,10.2941,9.7892,9.9901,1893300.0
2021-08-02,9.7352,10.3235,9.6225,9.7352,2456157.0
2021-08-03,9.6568,10.0588,9.2843,10.0392,1863205.0
2021-08-04,9.647,9.8627,9.1372,9.147,1316045.0
2021-08-05,9.245,9.7548,9.1666,9.4117,1039649.0
2021-08-06,9.5882,9.7401,9.4313,9.5784,694216.0
2021-08-07,9.5882,9.7401,9.4313,9.5784,694216.0
2021-08-08,9.5882,9.7401,9.4313,9.5784,694216.0
2021-08-09,9.3235,9.5245,9.147,9.3333,817234.0
2021-08-10,9.4607,9.8725,9.4019,9.6274,1198196.0
2021-08-11,9.4313,10.1274,9.2843,10.098,1459304.0
2021-08-12,10.1078,10.2254,9.8137,10.1176,1166575.0
2021-08-13,10.0686,10.1372,9.6568,9.7058,840769.0
2021-08-14,10.0686,10.1372,9.6568,9.7058,840769.0
2021-08-15,10.0686,10.1372,9.6568,9.7058,840769.0
2021-08-16,9.4999,9.7156,9.2745,9.598,997641.0
2021-08-17,9.4509,9.6078,9.1911,9.4901,1211261.0
2021-08-18,9.549,9.9019,9.4509,9.7548,1286676.0
2021-08-19,9.5294,9.7352,9.0882,9.3529,1244597.0
2021-08-20,9.1666,9.4607,9.049,9.3529,923827.0
2021-08-21,9.1666,9.4607,9.049,9.3529,923827.0
2021-08-22,9.1666,9.4607,9.049,9.3529,923827.0
2021-08-23,9.745,9.8529,9.5195,9.7941,1025293.0
2021-08-24,10.0195,10.2744,9.8333,10.0686,1450814.0
2021-08-25,10.0392,10.4117,9.7646,10.1372,1070449.0
2021-08-26,9.9901,10.147,9.8039,9.9117,823043.0
2021-08-27,10.0686,10.5833,10.0686,10.3823,648591.0
2021-08-28,10.0686,10.5833,10.0686,10.3823,648591.0
2021-08-29,10.0686,10.5833,10.0686,10.3823,648591.0
2021-08-30,10.4803,10.4999,9.9215,9.9411,772650.0
2021-08-31,9.8627,10.1764,9.8137,10.0195,1254019.0
2021-09-01,10.0195,10.0195,9.7744,9.9607,603865.0
2021-09-02,10.098,10.4411,10.0588,10.3431,739190.0
2021-09-03,10.3725,10.4509,10.0392,10.1764,468273.0
2021-09-04,10.3725,10.4509,10.0392,10.1764,468273.0
2021-09-05,10.3725,10.4509,10.0392,10.1764,468273.0
2021-09-06,10.3725,10.4509,10.0392,10.1764,468273.0
2021-09-07,10.0195,10.3431,10.0195,10.2744,535775.0
2021-09-08,10.3627,10.3627,9.7843,9.8137,590930.0
2021-09-09,9.6862,10.0784,9.5784,9.7744,689933.0
2021-09-10,9.9999,10.0686,9.5882,9.6372,1274756.0
2021-09-11,9.9999,10.0686,9.5882,9.6372,1274756.0
2021-09-12,9.9999,10.0686,9.5882,9.6372,1274756.0
2021-09-13,9.9509,10.7352,9.8578,10.5686,1853957.0
2021-09-14,10.8039,11.0195,10.4509,10.4999,1272204.0
2021-09-15,10.7058,11.147,10.7058,11.0195,1276313.0
2021-09-16,10.9117,10.9362,10.549,10.8137,688071.0
2021-09-17,10.7646,10.8627,10.4117,10.4411,3549953.0
2021-09-18,10.7646,10.8627,10.4117,10.4411,3549953.0
2021-09-19,10.7646,10.8627,10.4117,10.4411,3549953.0
2021-09-20,9.8921,10.1911,9.6568,10.0686,765310.0
2021-09-21,10.2646,10.397,9.9901,10.3431,1347731.0
2021-09-22,10.6274,10.9215,10.4117,10.4313,2006755.0
2021-09-23,10.5097,11.1715,10.3137,11.1372,1244837.0
2021-09-24,11.0293,11.3627,11.0097,11.2744,843922.0
2021-09-25,11.0293,11.3627,11.0097,11.2744,843922.0
2021-09-26,11.0293,11.3627,11.0097,11.2744,843922.0
2021-09-27,11.745,12.647,11.6078,12.4607,1880234.0
2021-09-28,12.7254,12.8431,12.245,12.6274,1777304.0
2021-09-29,12.6078,12.8234,12.3431,12.5685,1494948.0
2021-09-30,12.4705,12.647,11.7744,11.8921,1671605.0
2021-10-01,11.9019,12.6078,11.5686,12.4509,1675160.0
2021-10-02,11.9019,12.6078,11.5686,12.4509,1675160.0
2021-10-03,11.9019,12.6078,11.5686,12.4509,1675160.0
2021-10-04,12.7646,13.1274,12.6176,12.8136,1964415.0
2021-10-05,13.1274,13.3921,12.598,12.9411,2127627.0
2021-10-06,12.6078,12.7548,11.9999,12.6176,2386390.0
2021-10-07,12.5293,13.196,12.3725,13.1274,1298570.0
2021-10-08,13.2009,13.8136,13.2009,13.4803,1235269.0
2021-10-09,13.2009,13.8136,13.2009,13.4803,1235269.0
2021-10-10,13.2009,13.8136,13.2009,13.4803,1235269.0
2021-10-11,13.7548,13.9411,13.5293,13.5391,1815416.0
2021-10-12,13.4313,14.0685,13.2842,14.0587,1540111.0
2021-10-13,13.8823,14.4313,13.7058,14.343,2661550.0
2021-10-14,14.5685,14.6274,14.147,14.5293,1615130.0
2021-10-15,14.8234,15.1176,14.6568,14.9215,1624116.0
2021-10-16,14.8234,15.1176,14.6568,14.9215,1624116.0
2021-10-17,14.8234,15.1176,14.6568,14.9215,1624116.0
2021-10-18,15.2058,15.4999,14.9608,15.1176,1637553.0
2021-10-19,15.1176,15.1274,14.6862,14.9803,980756.0
2021-10-20,14.794,15.1666,14.6666,15.1568,811196.0
2021-10-21,15.0979,15.3725,14.9901,15.294,2870228.0
2021-10-22,15.294,15.5685,14.5783,14.7156,1834133.0
2021-10-23,15.294,15.5685,14.5783,14.7156,1834133.0
2021-10-24,15.294,15.5685,14.5783,14.7156,1834133.0
2021-10-25,14.9705,15.5097,14.9117,15.1764,1348943.0
2021-10-26,15.3136,15.647,15.2058,15.2744,1513590.0
2021-10-27,14.147,14.2744,12.9215,13.3627,3485855.0
2021-10-28,13.1862,13.5882,13.1666,13.4901,2464094.0
2021-10-29,13.3529,13.4509,12.4558,12.6666,2826419.0
2021-10-30,13.3529,13.4509,12.4558,12.6666,2826419.0
2021-10-31,13.3529,13.4509,12.4558,12.6666,2826419.0
2021-11-01,12.8725,12.9999,12.6764,12.8234,1789665.0
2021-11-02,12.6568,12.7303,12.1715,12.4411,1294717.0
2021-11-03,12.1568,12.7646,12.1372,12.3235,1756203.0
2021-11-04,12.6862,12.8431,12.147,12.2548,2894435.0
2021-11-05,11.7646,12.1568,11.5588,11.6372,5160372.0
2021-11-06,11.7646,12.1568,11.5588,11.6372,5160372.0
2021-11-07,11.7646,12.1568,11.5588,11.6372,5160372.0
2021-11-08,11.8137,12.2156,11.5686,11.7548,1733081.0
2021-11-09,11.6568,11.6911,11.2058,11.6372,2627145.0
2021-11-10,11.4901,11.6176,10.9999,11.0195,1513843.0
2021-11-11,11.049,11.1568,10.8137,10.9019,1522010.0
2021-11-12,10.794,10.8823,10.5784,10.6862,1232407.0
2021-11-13,10.794,10.8823,10.5784,10.6862,1232407.0
2021-11-14,10.794,10.8823,10.5784,10.6862,1232407.0
2021-11-15,10.6764,10.7352,10.3244,10.4019,1381157.0
2021-11-16,10.6862,10.8431,10.4019,10.7548,1670856.0
2021-11-17,10.5391,10.6362,10.1666,10.2352,1290234.0
2021-11-18,10.2646,10.3725,9.6666,9.745,1943878.0
2021-11-19,9.3627,9.4607,8.9411,9.147,3146082.0
2021-11-20,9.3627,9.4607,8.9411,9.147,3146082.0
2021-11-21,9.3627,9.4607,8.9411,9.147,3146082.0
2021-11-22,9.1813,9.5097,9.0097,9.1078,2542645.0
2021-11-23,9.3921,9.7352,9.3333,9.6764,2178406.0
2021-11-24,9.5097,9.7941,9.4901,9.7843,1436286.0
2021-11-25,9.5097,9.7941,9.4901,9.7843,1436286.0
2021-11-26,9.0097,9.1617,8.7941,9.1176,943512.0
2021-11-27,9.0097,9.1617,8.7941,9.1176,943512.0
2021-11-28,9.0097,9.1617,8.7941,9.1176,943512.0
2021-11-29,9.4999,9.6176,9.2352,9.4313,1604016.0
2021-11-30,9.0588,9.2646,8.9509,9.0196,2594659.0
2021-12-01,9.5097,9.5097,8.5784,8.5784,1151922.0
2021-12-02,8.4901,8.8578,8.3333,8.7745,1685636.0
2021-12-03,9.0097,9.0392,8.4607,8.7647,1314852.0
2021-12-04,9.0097,9.0392,8.4607,8.7647,1314852.0
2021-12-05,9.0097,9.0392,8.4607,8.7647,1314852.0
2021-12-06,8.946,9.397,8.7107,9.3431,1846080.0
2021-12-07,9.598,9.8235,9.549,9.7744,1821229.0
2021-12-08,9.8431,10.1372,9.745,9.9215,1094614.0
2021-12-09,9.696,9.9803,9.6176,9.8921,887141.0
2021-12-10,10.0686,10.2842,9.7865,10.245,1050684.0
2021-12-11,10.0686,10.2842,9.7865,10.245,1050684.0
2021-12-12,10.0686,10.2842,9.7865,10.245,1050684.0
2021-12-13,10.0882,10.147,9.5882,9.7646,1380387.0
2021-12-14,9.6372,9.9607,9.3774,9.4215,1580812.0
2021-12-15,9.3039,9.5294,8.8823,9.4607,1965343.0
2021-12-16,9.6862,9.8431,9.4509,9.549,1663817.0
2021-12-17,9.4607,9.5784,9.0392,9.245,3314856.0
2021-12-18,9.4607,9.5784,9.0392,9.245,3314856.0
2021-12-19,9.4607,9.5784,9.0392,9.245,3314856.0
2021-12-20,8.9411,9.1274,8.5686,9.0294,1108665.0
2021-12-21,9.2548,9.7254,9.2254,9.7156,1539617.0
2021-12-22,9.696,9.8627,9.5882,9.7941,854870.0
2021-12-23,9.8235,10.0097,9.7548,9.9607,1121204.0
2021-12-24,9.8235,10.0097,9.7548,9.9607,1121204.0
2021-12-25,9.8235,10.0097,9.7548,9.9607,1121204.0
2021-12-26,9.8235,10.0097,9.7548,9.9607,1121204.0
2021-12-27,9.9999,10.2548,9.696,10.245,1277204.0
2021-12-28,10.245,10.2842,9.9362,10.049,1037521.0
2021-12-29,9.9901,10.0686,9.6225,9.7156,673413.0
2021-12-30,9.745,9.8725,9.5686,9.5686,866983.0
2021-12-31,9.549,9.6862,9.4313,9.5097,711578.0
2022-01-01,9.549,9.6862,9.4313,9.5097,711578.0
2022-01-02,9.549,9.6862,9.4313,9.5097,711578.0
2022-01-03,9.549,10.4509,9.549,10.4411,1289382.0
2022-01-04,10.7842,11.7156,10.7244,11.598,2593192.0
2022-01-05,11.9705,12.0784,11.3872,11.4019,3059221.0
2022-01-06,11.8529,12.1274,11.5097,11.9313,1807410.0
2022-01-07,11.9705,12.1813,11.8921,11.8921,998348.0
2022-01-08,11.9705,12.1813,11.8921,11.8921,998348.0
2022-01-09,11.9705,12.1813,11.8921,11.8921,998348.0
2022-01-10,11.9607,12.0195,11.4607,11.7744,1418065.0
2022-01-11,11.8921,12.098,11.696,11.8725,1858387.0
2022-01-12,12.0391,12.2107,11.6421,12.0587,1853215.0
2022-01-13,12.2254,12.5391,11.7744,11.8529,1389905.0
2022-01-14,11.745,12.294,11.745,12.2058,1400070.0
2022-01-15,11.745,12.294,11.745,12.2058,1400070.0
2022-01-16,11.745,12.294,11.745,12.2058,1400070.0
2022-01-17,11.745,12.294,11.745,12.2058,1400070.0
2022-01-18,12.4019,12.8038,12.0784,12.1372,1606179.0
2022-01-19,12.3235,12.5097,11.5686,11.794,1419740.0
2022-01-20,11.5588,12.196,11.5391,11.5588,1067485.0
2022-01-21,11.3823,11.647,11.0784,11.147,1094115.0
2022-01-22,11.3823,11.647,11.0784,11.147,1094115.0
2022-01-23,11.3823,11.647,11.0784,11.147,1094115.0
2022-01-24,10.7744,11.7254,10.6274,11.6666,1362318.0
2022-01-25,11.5784,12.4999,11.2539,12.3823,1452087.0
2022-01-26,12.598,12.8529,12.0195,12.3136,1652984.0
2022-01-27,12.598,12.9411,11.8735,12.1372,1396132.0
2022-01-28,11.9803,12.4411,11.598,11.9411,1650066.0
2022-01-29,11.9803,12.4411,11.598,11.9411,1650066.0
2022-01-30,11.9803,12.4411,11.598,11.9411,1650066.0
2022-01-31,11.8235,12.0195,11.5391,11.8627,826176.0
2022-02-01,11.7646,12.5587,11.7352,12.4803,1065362.0
2022-02-02,12.4117,12.4656,11.9509,12.0293,814849.0
2022-02-03,11.8333,11.9803,11.4705,11.6274,1072249.0
2022-02-04,11.7646,12.1568,11.6078,12.0293,1753440.0
2022-02-05,11.7646,12.1568,11.6078,12.0293,1753440.0
2022-02-06,11.7646,12.1568,11.6078,12.0293,1753440.0
2022-02-07,11.8137,12.3627,11.696,12.0784,1186038.0
2022-02-08,11.8431,12.147,11.4313,11.5391,1799739.0
2022-02-09,10.3725,11.1372,10.245,11.0882,3227556.0
2022-02-10,10.9215,11.6176,10.7401,10.9705,2071093.0
2022-02-11,10.9803,11.8529,10.9215,11.8137,3061091.0
2022-02-12,10.9803,11.8529,10.9215,11.8137,3061091.0
2022-02-13,10.9803,11.8529,10.9215,11.8137,3061091.0
2022-02-14,11.6764,11.8529,11.0882,11.3823,1722283.0
2022-02-15,10.9411,11.7254,10.8529,11.6372,1369933.0
2022-02-16,11.8431,12.4215,11.4803,11.6862,2446250.0
2022-02-17,11.5489,11.9215,11.3921,11.5588,1543626.0
2022-02-18,11.3137,11.5195,11.0293,11.2842,776467.0
2022-02-19,11.3137,11.5195,11.0293,11.2842,776467.0
2022-02-20,11.3137,11.5195,11.0293,11.2842,776467.0
2022-02-21,11.3137,11.5195,11.0293,11.2842,776467.0
2022-02-22,11.7254,11.7254,10.946,11.1568,1026067.0
2022-02-23,11.2744,11.4011,10.8823,10.9607,829025.0
2022-02-24,11.2058,11.5195,10.8137,11.3235,1230862.0
2022-02-25,11.3529,11.6568,11.0882,11.647,1074589.0
2022-02-26,11.3529,11.6568,11.0882,11.647,1074589.0
2022-02-27,11.3529,11.6568,11.0882,11.647,1074589.0
2022-02-28,11.5784,12.3038,11.4999,12.2352,1649027.0
2022-03-01,11.6862,12.0293,11.3921,11.5686,7263178.0
2022-03-02,11.7646,12.7989,11.6078,12.6372,3692883.0
2022-03-03,12.3529,13.2156,12.3333,12.9999,3438494.0
2022-03-04,12.9509,13.9215,12.7744,13.8823,3003091.0
2022-03-05,12.9509,13.9215,12.7744,13.8823,3003091.0
2022-03-06,12.9509,13.9215,12.7744,13.8823,3003091.0
2022-03-07,14.196,15.8038,14.098,14.7058,3935617.0
2022-03-08,15.2842,15.5783,13.8136,14.5293,4160552.0
2022-03-09,13.7156,14.3725,13.3431,13.8136,2373432.0
2022-03-10,14.0097,14.9117,13.8823,14.6568,2470262.0
2022-03-11,14.6764,15.2842,14.4705,15.0489,2996684.0
2022-03-12,14.6764,15.2842,14.4705,15.0489,2996684.0
2022-03-13,14.6764,15.2842,14.4705,15.0489,2996684.0
2022-03-14,14.6568,14.6862,13.745,13.7744,2654161.0
2022-03-15,13.0391,13.745,12.9901,13.2254,1529269.0
2022-03-16,13.3136,13.4705,12.6666,13.0391,1846338.0
2022-03-17,13.4411,13.8234,13.1568,13.5587,1305812.0
2022-03-18,13.5587,13.7548,13.2058,13.5293,1963205.0
2022-03-19,13.5587,13.7548,13.2058,13.5293,1963205.0
2022-03-20,13.5587,13.7548,13.2058,13.5293,1963205.0
2022-03-21,13.9117,14.2548,13.6274,13.9803,1758891.0
2022-03-22,13.9313,14.3725,13.7058,14.0685,1389960.0
2022-03-23,14.3725,14.7597,14.0244,14.294,1948384.0
2022-03-24,14.2646,14.8823,14.1666,14.4411,1099042.0
2022-03-25,14.2744,15.4607,14.196,15.4019,1798555.0
2022-03-26,14.2744,15.4607,14.196,15.4019,1798555.0
2022-03-27,14.2744,15.4607,14.196,15.4019,1798555.0
2022-03-28,14.7842,14.8013,14.1568,14.3921,1663390.0
2022-03-29,13.9313,14.7254,13.647,14.5391,1573513.0
2022-03-30,14.8038,15.294,14.4215,14.5195,1706218.0
2022-03-31,14.0097,15.2156,14.0097,14.5293,2002890.0
2022-04-01,14.5489,15.4656,14.3921,15.1372,1460133.0
2022-04-02,14.5489,15.4656,14.3921,15.1372,1460133.0
2022-04-03,14.5489,15.4656,14.3921,15.1372,1460133.0
2022-04-04,15.2842,15.8528,14.7156,15.2646,1699370.0
2022-04-05,15.245,15.6862,14.5489,14.7156,2023822.0
2022-04-06,14.9509,15.2254,14.4999,14.6274,916766.0
2022-04-07,14.6862,15.0783,14.1862,14.8528,1031055.0
2022-04-08,15.196,15.794,14.9411,15.5195,1338637.0
2022-04-09,15.196,15.794,14.9411,15.5195,1338637.0
2022-04-10,15.196,15.794,14.9411,15.5195,1338637.0
2022-04-11,15.5881,15.647,15.1372,15.3136,1035222.0
2022-04-12,15.6862,16.4019,15.5624,16.0391,1408890.0
2022-04-13,16.4215,16.6666,16.0293,16.4803,1163132.0
2022-04-14,16.4803,16.8332,16.2646,16.6862,1015204.0
2022-04-15,16.4803,16.8332,16.2646,16.6862,1015204.0
2022-04-16,16.4803,16.8332,16.2646,16.6862,1015204.0
2022-04-17,16.4803,16.8332,16.2646,16.6862,1015204.0
2022-04-18,17.1371,17.6371,16.647,17.2058,1741254.0
2022-04-19,17.0881,17.5277,16.647,17.0195,1417782.0
2022-04-20,17.147,17.3136,16.5097,17.1077,2242658.0
2022-04-21,19.6567,19.6567,17.0293,17.2352,5003199.0
2022-04-22,17.294,18.1666,16.4411,16.5195,2913411.0
2022-04-23,17.294,18.1666,16.4411,16.5195,2913411.0
2022-04-24,17.294,18.1666,16.4411,16.5195,2913411.0
2022-04-25,15.9999,15.9999,14.8676,15.9901,3102333.0
2022-04-26,15.7254,16.794,15.7254,16.0195,2172824.0
2022-04-27,16.1372,16.6126,15.6862,16.196,1894669.0
2022-04-28,16.4019,17.5097,15.5293,17.3136,1891179.0
2022-04-29,15.9313,16.647,15.6568,15.8234,12299312.0
2022-04-30,15.9313,16.647,15.6568,15.8234,12299312.0
2022-05-01,15.9313,16.647,15.6568,15.8234,12299312.0
2022-05-02,15.7646,16.1568,15.4215,15.8823,3051249.0
2022-05-03,15.9509,16.4803,15.8283,16.343,4200027.0
2022-05-04,16.6666,16.9411,15.9705,16.8822,2020080.0
2022-05-05,16.9999,17.0293,15.1077,16.2646,3473345.0
2022-05-06,16.4999,16.6421,15.8332,16.0195,2602752.0
2022-05-07,16.4999,16.6421,15.8332,16.0195,2602752.0
2022-05-08,16.4999,16.6421,15.8332,16.0195,2602752.0
2022-05-09,15.5685,15.6028,13.598,13.6176,4600526.0
2022-05-10,13.794,14.5195,13.2548,13.7744,3179140.0
2022-05-11,14.1372,14.8185,13.7499,13.8234,1922119.0
2022-05-12,13.6274,14.1176,13.3332,13.7646,2610947.0
2022-05-13,14.1568,14.7548,14.1127,14.4705,2028478.0
2022-05-14,14.1568,14.7548,14.1127,14.4705,2028478.0
