,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-10-29,94.3759,96.7597,93.3556,95.6602,46544.0
2019-10-30,96.3948,98.2355,94.129,96.5718,61674.0
2019-10-31,95.6602,96.4757,93.1643,96.0142,60766.0
2019-11-01,97.1472,98.5102,95.8372,97.2357,71089.0
2019-11-02,97.1472,98.5102,95.8372,97.2357,71089.0
2019-11-03,97.1472,98.5102,95.8372,97.2357,71089.0
2019-11-04,98.6695,100.5193,97.3596,100.1033,67953.0
2019-11-05,100.7672,103.8119,100.7672,102.0417,51051.0
2019-11-06,101.7231,102.6258,100.5547,101.3336,62526.0
2019-11-07,102.3249,102.3249,100.3689,101.7231,53684.0
2019-11-08,101.2274,102.3426,98.4217,101.6168,69982.0
2019-11-09,101.2274,102.3426,98.4217,101.6168,69982.0
2019-11-10,101.2274,102.3426,98.4217,101.6168,69982.0
2019-11-11,100.7937,102.9622,100.7672,102.555,33185.0
2019-11-12,102.5816,103.6525,100.838,103.3605,35031.0
2019-11-13,102.5816,103.387,100.9619,103.1126,59117.0
2019-11-14,102.9445,104.2257,102.0461,103.0418,44845.0
2019-11-15,103.9623,104.2633,102.2453,103.6968,43130.0
2019-11-16,103.9623,104.2633,102.2453,103.6968,43130.0
2019-11-17,103.9623,104.2633,102.2453,103.6968,43130.0
2019-11-18,103.0684,103.5021,102.4488,102.9179,51807.0
2019-11-19,103.5375,104.7589,103.1769,103.5906,28769.0
2019-11-20,102.8206,104.1659,101.0769,102.3161,42162.0
2019-11-21,102.7409,103.4667,101.4133,102.3249,35760.0
2019-11-22,102.9799,103.9004,101.9709,103.0595,25577.0
2019-11-23,102.9799,103.9004,101.9709,103.0595,25577.0
2019-11-24,102.9799,103.9004,101.9709,103.0595,25577.0
2019-11-25,103.3959,106.7105,102.6435,104.3518,68772.0
2019-11-26,104.7589,104.7943,103.2808,103.6614,46983.0
2019-11-27,104.0508,109.0958,101.3779,104.8032,25834.0
2019-11-28,104.0508,109.0958,101.3779,104.8032,25834.0
2019-11-29,104.2633,105.7414,102.617,104.2633,18203.0
2019-11-30,104.2633,105.7414,102.617,104.2633,18203.0
2019-12-01,104.2633,105.7414,102.617,104.2633,18203.0
2019-12-02,104.8474,108.2284,102.9179,103.3516,30359.0
2019-12-03,101.7319,103.3295,100.9884,102.6435,45850.0
2019-12-04,103.6083,104.6969,102.7144,103.449,43743.0
2019-12-05,104.3341,104.8386,103.0374,103.2543,39543.0
2019-12-06,104.2898,106.2104,104.0066,105.6882,65105.0
2019-12-07,104.2898,106.2104,104.0066,105.6882,65105.0
2019-12-08,104.2898,106.2104,104.0066,105.6882,65105.0
2019-12-09,105.3519,106.5379,104.7678,105.883,72758.0
2019-12-10,105.8122,105.8122,102.0151,103.7499,63719.0
2019-12-11,104.2102,105.1926,102.8737,104.2721,57406.0
2019-12-12,104.7678,107.3434,103.1126,106.6176,58180.0
2019-12-13,106.0423,106.1839,104.3872,105.9361,36541.0
2019-12-14,106.0423,106.1839,104.3872,105.9361,36541.0
2019-12-15,106.0423,106.1839,104.3872,105.9361,36541.0
2019-12-16,106.5645,108.1975,105.1306,105.6528,79273.0
2019-12-17,106.2104,107.9983,105.3254,107.9983,49264.0
2019-12-18,108.5559,108.5559,106.2104,107.007,76659.0
2019-12-19,107.6885,109.6446,105.4847,109.2728,89921.0
2019-12-20,109.3879,109.6711,105.498,108.7683,206025.0
2019-12-21,109.3879,109.6711,105.498,108.7683,206025.0
2019-12-22,109.3879,109.6711,105.498,108.7683,206025.0
2019-12-23,109.5118,109.5118,107.6443,108.91,34892.0
2019-12-24,108.8657,109.4941,108.1709,109.4322,12017.0
2019-12-25,108.8657,109.4941,108.1709,109.4322,12017.0
2019-12-26,109.7508,109.7508,107.1221,107.2637,30335.0
2019-12-27,107.8921,108.7683,105.8564,108.3789,40266.0
2019-12-28,107.8921,108.7683,105.8564,108.3789,40266.0
2019-12-29,107.8921,108.7683,105.8564,108.3789,40266.0
2019-12-30,108.9188,109.1312,108.0072,108.7064,30071.0
2019-12-31,108.6887,109.7419,107.5204,107.7328,46830.0
2020-01-01,108.6887,109.7419,107.5204,107.7328,46830.0
2020-01-02,108.7949,111.6183,107.0955,109.0073,55737.0
2020-01-03,107.3699,109.8305,106.4893,109.5826,73013.0
2020-01-04,107.3699,109.8305,106.4893,109.5826,73013.0
2020-01-05,107.3699,109.8305,106.4893,109.5826,73013.0
2020-01-06,108.6533,109.503,107.4009,109.1843,55866.0
2020-01-07,109.1047,110.4146,108.0514,109.2463,40688.0
2020-01-08,109.326,110.6182,108.9542,109.8393,70141.0
2020-01-09,110.7863,111.1138,108.7595,110.3704,64392.0
2020-01-10,110.7332,112.6273,110.0606,112.1494,73532.0
2020-01-11,110.7332,112.6273,110.0606,112.1494,73532.0
2020-01-12,110.7332,112.6273,110.0606,112.1494,73532.0
2020-01-13,112.0078,115.3622,112.0078,113.5124,115985.0
2020-01-14,113.0256,113.955,111.9901,112.3972,63468.0
2020-01-15,111.7068,112.6981,111.3174,111.636,61421.0
2020-01-16,112.3175,113.0964,112.0874,112.4503,77312.0
2020-01-17,113.3,114.3577,112.5654,113.5832,58073.0
2020-01-18,113.3,114.3577,112.5654,113.5832,58073.0
2020-01-19,113.3,114.3577,112.5654,113.5832,58073.0
2020-01-20,113.3,114.3577,112.5654,113.5832,58073.0
2020-01-21,113.5036,114.309,112.5831,113.5832,91882.0
