,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-21,4287.73,4464.61,4280.0,4451.5,37026.0
2021-01-22,4437.0,4498.99,4365.51,4485.91,28053.0
2021-01-23,4437.0,4498.99,4365.51,4485.91,28053.0
2021-01-24,4437.0,4498.99,4365.51,4485.91,28053.0
2021-01-25,4499.0,4545.0,4468.0,4540.0,30996.0
2021-01-26,4547.47,4610.0,4479.63,4545.72,43372.0
2021-01-27,4496.11,4570.42,4455.0,4535.0,40997.0
2021-01-28,4562.66,4562.66,4361.69,4518.21,43176.0
2021-01-29,4495.0,4516.6,4404.55,4446.48,37746.0
2021-01-30,4495.0,4516.6,4404.55,4446.48,37746.0
2021-01-31,4495.0,4516.6,4404.55,4446.48,37746.0
2021-02-01,4489.96,4549.98,4437.257,4530.0,39525.0
2021-02-02,4511.73,4556.11,4470.55,4509.98,42238.0
2021-02-03,4491.96,4523.2,4448.0,4499.57,35964.0
2021-02-04,4492.0,4585.64,4438.13,4552.11,17317.0
2021-02-05,4573.39,4693.59,4573.39,4668.41,19167.0
2021-02-06,4573.39,4693.59,4573.39,4668.41,19167.0
2021-02-07,4573.39,4693.59,4573.39,4668.41,19167.0
2021-02-08,4695.47,4806.544,4675.0,4740.93,22256.0
2021-02-09,4724.0,4740.0,4655.34,4699.74,15776.0
2021-02-10,4699.0,4769.182,4661.24,4701.83,19894.0
2021-02-11,4723.8,4790.0,4700.0,4708.33,18663.0
2021-02-12,4700.0,4725.9,4671.501,4700.02,19792.0
2021-02-13,4700.0,4725.9,4671.501,4700.02,19792.0
2021-02-14,4700.0,4725.9,4671.501,4700.02,19792.0
2021-02-15,4700.0,4725.9,4671.501,4700.02,19792.0
2021-02-16,4675.0,4694.255,4600.0,4650.0,27505.0
2021-02-17,4626.14,4727.575,4600.0,4704.4,22175.0
2021-02-18,4662.19,4733.21,4651.0,4705.98,19012.0
2021-02-19,4718.0,4782.99,4690.75,4705.45,18648.0
2021-02-20,4718.0,4782.99,4690.75,4705.45,18648.0
2021-02-21,4718.0,4782.99,4690.75,4705.45,18648.0
2021-02-22,4680.0,4724.2,4652.17,4656.03,17778.0
2021-02-23,4645.55,4728.6,4586.3,4699.58,18516.0
2021-02-24,4668.0,4714.0,4525.01,4699.97,19737.0
2021-02-25,4682.08,4682.08,4469.99,4491.42,21328.0
2021-02-26,4508.53,4562.848,4462.95,4500.84,26122.0
2021-02-27,4508.53,4562.848,4462.95,4500.84,26122.0
2021-02-28,4508.53,4562.848,4462.95,4500.84,26122.0
2021-03-01,4528.0,4650.0,4503.12,4572.96,18575.0
2021-03-02,4583.0,4687.55,4538.85,4657.96,22202.0
2021-03-03,4630.54,4647.92,4474.91,4483.85,24743.0
2021-03-04,4460.96,4580.41,4330.0,4441.3,24375.0
2021-03-05,4466.65,4644.0,4378.485,4624.62,18659.0
2021-03-06,4466.65,4644.0,4378.485,4624.62,18659.0
