,ALXN US Equity,ALXN US Equity,ALXN US Equity,ALXN US Equity,ALXN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-03-30,181.04,182.67,180.13,182.5,3.0
2023-03-31,181.04,182.67,180.13,182.5,3.0
2023-04-01,181.04,182.67,180.13,182.5,3.0
2023-04-02,181.04,182.67,180.13,182.5,3.0
2023-04-03,181.04,182.67,180.13,182.5,3.0
2023-04-04,181.04,182.67,180.13,182.5,3.0
2023-04-05,181.04,182.67,180.13,182.5,3.0
2023-04-06,181.04,182.67,180.13,182.5,3.0
2023-04-07,181.04,182.67,180.13,182.5,3.0
2023-04-08,181.04,182.67,180.13,182.5,3.0
2023-04-09,181.04,182.67,180.13,182.5,3.0
2023-04-10,181.04,182.67,180.13,182.5,3.0
2023-04-11,181.04,182.67,180.13,182.5,3.0
2023-04-12,181.04,182.67,180.13,182.5,3.0
2023-04-13,181.04,182.67,180.13,182.5,3.0
2023-04-14,181.04,182.67,180.13,182.5,3.0
2023-04-15,181.04,182.67,180.13,182.5,3.0
2023-04-16,181.04,182.67,180.13,182.5,3.0
2023-04-17,181.04,182.67,180.13,182.5,3.0
2023-04-18,181.04,182.67,180.13,182.5,3.0
2023-04-19,181.04,182.67,180.13,182.5,3.0
2023-04-20,181.04,182.67,180.13,182.5,3.0
2023-04-21,181.04,182.67,180.13,182.5,3.0
2023-04-22,181.04,182.67,180.13,182.5,3.0
2023-04-23,181.04,182.67,180.13,182.5,3.0
2023-04-24,181.04,182.67,180.13,182.5,3.0
2023-04-25,181.04,182.67,180.13,182.5,3.0
2023-04-26,181.04,182.67,180.13,182.5,3.0
2023-04-27,181.04,182.67,180.13,182.5,3.0
2023-04-28,181.04,182.67,180.13,182.5,3.0
2023-04-29,181.04,182.67,180.13,182.5,3.0
2023-04-30,181.04,182.67,180.13,182.5,3.0
2023-05-01,181.04,182.67,180.13,182.5,3.0
2023-05-02,181.04,182.67,180.13,182.5,3.0
2023-05-03,181.04,182.67,180.13,182.5,3.0
