,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-11-11,58.7112,58.9961,56.498,57.1059,8292764.0
2020-11-12,56.5645,57.2009,55.7903,56.422,5177956.0
2020-11-13,56.7734,56.9777,55.3106,56.6405,9561493.0
2020-11-14,56.7734,56.9777,55.3106,56.6405,9561493.0
2020-11-15,56.7734,56.9777,55.3106,56.6405,9561493.0
2020-11-16,58.2552,58.5307,56.4505,58.0273,7357020.0
2020-11-17,57.0204,58.4345,56.156,58.0748,10970560.0
2020-11-18,59.4901,61.8742,58.3312,59.1576,16395941.0
2020-11-19,57.6758,59.4236,57.3719,58.4737,11004410.0
2020-11-20,58.4642,58.9486,57.4858,57.6378,11047990.0
2020-11-21,58.4642,58.9486,57.4858,57.6378,11047990.0
2020-11-22,58.4642,58.9486,57.4858,57.6378,11047990.0
2020-11-23,58.0653,58.7492,57.5713,58.7017,8274362.0
2020-11-24,59.2621,61.4848,59.1291,61.1048,11804459.0
2020-11-25,60.2215,60.2784,59.0911,59.6515,6905852.0
2020-11-26,60.2215,60.2784,59.0911,59.6515,6905852.0
2020-11-27,60.079,60.079,59.2906,60.0505,5435208.0
2020-11-28,60.079,60.079,59.2906,60.0505,5435208.0
2020-11-29,60.079,60.079,59.2906,60.0505,5435208.0
2020-11-30,59.4901,60.4969,58.7017,60.3259,25960368.0
2020-12-01,60.7914,61.8885,60.117,61.6273,10488273.0
2020-12-02,61.2853,61.7792,60.9813,61.7412,6283846.0
2020-12-03,61.9597,62.6911,61.7032,62.6056,7399842.0
2020-12-04,62.7196,63.413,62.6151,63.2895,6593843.0
2020-12-05,62.7196,63.413,62.6151,63.2895,6593843.0
2020-12-06,62.7196,63.413,62.6151,63.2895,6593843.0
2020-12-07,62.6436,63.0805,62.0832,62.5771,4979915.0
2020-12-08,61.9122,62.4821,61.7412,62.1402,4290763.0
2020-12-09,62.8146,63.5365,62.3776,63.375,6691954.0
2020-12-10,62.6531,63.5412,62.2827,63.185,5661963.0
2020-12-11,62.7386,62.9998,62.2067,62.7481,7478046.0
2020-12-12,62.7386,62.9998,62.2067,62.7481,7478046.0
2020-12-13,62.7386,62.9998,62.2067,62.7481,7478046.0
2020-12-14,63.565,63.5935,62.0357,62.0642,8653172.0
2020-12-15,63.09,63.413,62.3207,63.394,5923449.0
2020-12-16,63.7644,63.8214,62.9998,63.28,6656081.0
2020-12-17,63.7644,64.2869,63.451,64.1254,7665072.0
2020-12-18,64.2584,64.6858,63.432,64.3059,17358732.0
2020-12-19,64.2584,64.6858,63.432,64.3059,17358732.0
2020-12-20,64.2584,64.6858,63.432,64.3059,17358732.0
2020-12-21,63.09,64.1729,62.8241,63.8689,9790760.0
2020-12-22,63.7644,64.3344,63.3275,63.6125,4909014.0
2020-12-23,64.0399,64.6668,63.9354,63.9639,2829940.0
2020-12-24,63.4985,63.7644,63.2515,63.622,1656846.0
2020-12-25,63.4985,63.7644,63.2515,63.622,1656846.0
2020-12-26,63.4985,63.7644,63.2515,63.622,1656846.0
2020-12-27,63.4985,63.7644,63.2515,63.622,1656846.0
2020-12-28,64.1444,65.2225,63.679,64.9708,3696080.0
2020-12-29,65.2082,65.4362,64.5337,64.5813,3563853.0
2020-12-30,64.5813,65.3222,64.5813,64.8758,4476123.0
2020-12-31,65.0468,65.1513,64.6573,64.8663,4563859.0
2021-01-01,65.0468,65.1513,64.6573,64.8663,4563859.0
2021-01-02,65.0468,65.1513,64.6573,64.8663,4563859.0
2021-01-03,65.0468,65.1513,64.6573,64.8663,4563859.0
2021-01-04,64.8758,64.9708,63.1634,63.4605,6330457.0
2021-01-05,63.147,63.527,62.8526,63.375,4878659.0
2021-01-06,63.7929,66.8135,63.7929,66.1581,6499099.0
2021-01-07,66.6235,66.918,66.1011,66.3956,4631251.0
2021-01-08,66.595,67.3977,66.0156,66.6995,6307087.0
2021-01-09,66.595,67.3977,66.0156,66.6995,6307087.0
2021-01-10,66.595,67.3977,66.0156,66.6995,6307087.0
2021-01-11,66.0916,66.3766,64.7428,64.9423,5863375.0
2021-01-12,64.5528,65.5882,64.1634,64.9708,5918911.0
2021-01-13,64.8473,65.1513,63.9924,64.7143,5724856.0
2021-01-14,64.9898,65.4457,64.5053,64.6098,4167488.0
2021-01-15,64.1254,65.1418,63.679,65.0278,6382913.0
2021-01-16,64.1254,65.1418,63.679,65.0278,6382913.0
2021-01-17,64.1254,65.1418,63.679,65.0278,6382913.0
2021-01-18,64.1254,65.1418,63.679,65.0278,6382913.0
2021-01-19,65.0658,65.4172,63.717,63.8119,4990630.0
2021-01-20,64.1444,65.2747,63.9829,64.8663,4558486.0
2021-01-21,64.9233,65.3222,64.5623,64.6478,4314254.0
2021-01-22,64.4768,64.7808,63.4985,63.5555,5598546.0
2021-01-23,64.4768,64.7808,63.4985,63.5555,5598546.0
2021-01-24,64.4768,64.7808,63.4985,63.5555,5598546.0
2021-01-25,63.4985,63.4985,61.1998,62.3871,6892536.0
2021-01-26,62.5676,62.5676,61.1903,61.2378,7106240.0
2021-01-27,60.2499,61.5703,59.1196,60.7249,10471387.0
2021-01-28,61.5133,63.0093,60.9813,62.2067,8267366.0
2021-01-29,61.8837,62.7291,60.5729,60.8294,5763433.0
2021-01-30,61.8837,62.7291,60.5729,60.8294,5763433.0
2021-01-31,61.8837,62.7291,60.5729,60.8294,5763433.0
2021-02-01,61.2093,61.2901,60.2215,60.8579,6122810.0
2021-02-02,61.4373,63.1043,61.2188,62.5296,5547999.0
2021-02-03,62.6531,63.7739,62.2352,63.3845,5477549.0
2021-02-04,63.584,66.3196,63.128,65.1418,9747480.0
2021-02-05,65.8542,66.1961,64.7428,64.9043,3762337.0
2021-02-06,65.8542,66.1961,64.7428,64.9043,3762337.0
2021-02-07,65.8542,66.1961,64.7428,64.9043,3762337.0
2021-02-08,65.1038,66.5001,64.6098,66.4621,4532823.0
2021-02-09,66.3386,66.5381,65.5027,65.5407,5492599.0
2021-02-10,65.5407,65.9507,65.1212,65.4072,4632944.0
2021-02-11,65.4358,66.9804,65.1498,65.8077,5796319.0
2021-02-12,65.1402,65.6265,64.5586,64.8351,5801499.0
2021-02-13,65.1402,65.6265,64.5586,64.8351,5801499.0
2021-02-14,65.1402,65.6265,64.5586,64.8351,5801499.0
2021-02-15,65.1402,65.6265,64.5586,64.8351,5801499.0
2021-02-16,64.7016,64.9209,64.1296,64.3584,6293716.0
2021-02-17,63.9866,64.0342,63.0236,63.7196,7949567.0
2021-02-18,63.8721,65.5598,63.4212,65.1212,7694272.0
2021-02-19,65.2165,65.5216,64.2535,64.5396,4383628.0
2021-02-20,65.2165,65.5216,64.2535,64.5396,4383628.0
2021-02-21,65.2165,65.5216,64.2535,64.5396,4383628.0
2021-02-22,64.1582,66.7993,64.1582,66.313,10511914.0
2021-02-23,67.0758,67.7494,65.9602,66.9613,10455929.0
