,KRO US Equity,KRO US Equity,KRO US Equity,KRO US Equity,KRO US Equity
2021-03-13,12.4469,12.5042,12.1763,12.3731,162695.0
2021-03-14,12.4469,12.5042,12.1763,12.3731,162695.0
2021-03-15,12.3485,12.3485,11.7499,11.9549,161892.0
2021-03-16,11.9631,12.0533,11.7663,11.9713,162517.0
2021-03-17,11.9057,12.5534,11.9057,12.3403,223328.0
2021-03-18,12.3567,12.9224,12.2747,12.6518,243499.0
2021-03-19,12.824,12.9552,12.4141,12.7338,342213.0
2021-03-20,12.824,12.9552,12.4141,12.7338,342213.0
2021-03-21,12.824,12.9552,12.4141,12.7338,342213.0
2021-03-22,12.7338,12.783,12.2583,12.5698,126193.0
2021-03-23,12.5124,12.5288,11.8893,11.9467,168859.0
2021-03-24,12.0533,12.2706,11.8319,11.8565,250328.0
2021-03-25,11.7499,12.2993,11.7253,12.2091,126684.0
2021-03-26,12.3485,12.7092,12.2911,12.701,233086.0
2021-03-27,12.3485,12.7092,12.2911,12.701,233086.0
2021-03-28,12.3485,12.7092,12.2911,12.701,233086.0
2021-03-29,12.66,12.906,12.537,12.537,145927.0
2021-03-30,12.5698,12.6682,12.3813,12.5288,203934.0
2021-03-31,12.5452,12.6395,12.2829,12.5452,245203.0
2021-04-01,12.5862,12.6928,12.4469,12.66,115883.0
2021-04-02,12.5862,12.6928,12.4469,12.66,115883.0
2021-04-03,12.5862,12.6928,12.4469,12.66,115883.0
2021-04-04,12.5862,12.6928,12.4469,12.66,115883.0
2021-04-05,12.865,13.0782,12.7256,12.988,136650.0
2021-04-06,12.9798,13.1684,12.9224,13.0454,222420.0
2021-04-07,13.0782,13.1684,12.8814,12.9142,104749.0
2021-04-08,12.9716,13.0085,12.8404,12.9552,408195.0
2021-04-09,12.9962,13.0782,12.7912,12.906,141046.0
2021-04-10,12.9962,13.0782,12.7912,12.906,141046.0
2021-04-11,12.9962,13.0782,12.7912,12.906,141046.0
2021-04-12,12.9224,13.2545,12.8322,13.193,216457.0
2021-04-13,13.2094,13.2094,13.0126,13.0782,107123.0
2021-04-14,13.0946,13.3652,13.0454,13.2996,150958.0
2021-04-15,13.3652,13.521,13.316,13.5046,172961.0
2021-04-16,13.6276,13.9228,13.5702,13.7916,149688.0
2021-04-17,13.6276,13.9228,13.5702,13.7916,149688.0
2021-04-18,13.6276,13.9228,13.5702,13.7916,149688.0
2021-04-19,14.054,14.1851,13.9884,14.1196,168954.0
2021-04-20,14.2179,14.3081,13.6522,13.8326,125329.0
2021-04-21,13.8818,14.2671,13.7752,14.1524,103041.0
2021-04-22,14.1687,14.1687,13.7998,13.8162,81404.0
2021-04-23,13.9146,14.1687,13.7834,14.1114,118254.0
2021-04-24,13.9146,14.1687,13.7834,14.1114,118254.0
2021-04-25,13.9146,14.1687,13.7834,14.1114,118254.0
2021-04-26,14.1933,14.4721,14.1933,14.2835,114745.0
2021-04-27,14.4393,14.4393,14.1851,14.3573,117727.0
2021-04-28,14.3655,14.4311,14.2425,14.3163,79093.0
2021-04-29,14.4639,14.4639,14.1769,14.3245,106992.0
2021-04-30,14.2671,14.4311,13.89,13.9392,128514.0
2021-05-01,14.2671,14.4311,13.89,13.9392,128514.0
2021-05-02,14.2671,14.4311,13.89,13.9392,128514.0
2021-05-03,14.0786,14.3819,13.9966,14.3081,129825.0
2021-05-04,14.2671,14.4557,14.1769,14.3983,139987.0
2021-05-05,14.5541,14.9969,14.3967,14.9805,159336.0
2021-05-06,14.7591,15.0953,14.013,14.3819,284372.0
2021-05-07,14.2671,14.4229,14.1196,14.3901,143159.0
2021-05-08,14.2671,14.4229,14.1196,14.3901,143159.0
2021-05-09,14.2671,14.4229,14.1196,14.3901,143159.0
2021-05-10,14.5049,14.5623,14.1196,14.1769,317527.0
2021-05-11,13.9966,14.2671,13.9064,14.2097,108479.0
2021-05-12,14.1524,14.2425,13.5703,13.603,127731.0
2021-05-13,13.6686,14.095,13.6276,14.0294,95772.0
2021-05-14,14.1933,14.1933,13.931,14.1114,86462.0
2021-05-15,14.1933,14.1933,13.931,14.1114,86462.0
2021-05-16,14.1933,14.1933,13.931,14.1114,86462.0
2021-05-17,14.1032,14.2835,13.89,14.2261,114129.0
2021-05-18,14.2179,14.2507,13.9228,13.931,110002.0
2021-05-19,13.6932,13.767,13.48,13.6604,73717.0
2021-05-20,13.7178,13.9761,13.4595,13.5784,114614.0
2021-05-21,13.7096,13.8736,13.562,13.7834,204215.0
2021-05-22,13.7096,13.8736,13.562,13.7834,204215.0
2021-05-23,13.7096,13.8736,13.562,13.7834,204215.0
2021-05-24,13.8162,14.0048,13.7137,13.931,209375.0
2021-05-25,13.9556,14.0129,13.3242,13.3242,164604.0
2021-05-26,13.2914,13.4144,13.0618,13.3734,164441.0
2021-05-27,13.521,13.6153,13.3406,13.3898,86164.0
2021-05-28,13.4472,13.4472,13.1766,13.316,177956.0
2021-05-29,13.4472,13.4472,13.1766,13.316,177956.0
2021-05-30,13.4472,13.4472,13.1766,13.316,177956.0
2021-05-31,13.4472,13.4472,13.1766,13.316,177956.0
2021-06-01,13.5128,13.7588,13.3242,13.7424,183519.0
2021-06-02,13.7752,13.7752,13.4226,13.48,181881.0
2021-06-03,13.3816,13.603,13.2422,13.5292,209790.0
2021-06-04,13.438,13.637,13.3136,13.5292,162893.0
2021-06-05,13.438,13.637,13.3136,13.5292,162893.0
2021-06-06,13.438,13.637,13.3136,13.5292,162893.0
2021-06-07,13.5043,13.5623,13.0069,13.0152,186386.0
2021-06-08,12.9074,13.0815,12.7251,12.9406,154476.0
2021-06-09,12.9572,12.9821,12.7665,12.8743,148947.0
2021-06-10,12.9738,13.0815,12.7002,12.7168,101247.0
2021-06-11,12.7582,12.9074,12.6836,12.8163,76549.0
2021-06-12,12.7582,12.9074,12.6836,12.8163,76549.0
2021-06-13,12.7582,12.9074,12.6836,12.8163,76549.0
2021-06-14,12.808,12.8189,12.4929,12.5676,72035.0
2021-06-15,12.5676,12.7334,12.4515,12.5676,178859.0
2021-06-16,12.5427,13.0318,12.4764,12.808,261229.0
2021-06-17,12.7914,12.7914,11.8878,12.1116,195590.0
2021-06-18,12.0204,12.1282,11.8878,11.9707,247149.0
2021-06-19,12.0204,12.1282,11.8878,11.9707,247149.0
2021-06-20,12.0204,12.1282,11.8878,11.9707,247149.0
2021-06-21,12.037,12.3852,12.037,12.2111,134151.0
2021-06-22,12.2194,12.2525,12.0287,12.1531,101959.0
2021-06-23,12.2111,12.2194,12.037,12.0536,153333.0
2021-06-24,12.1365,12.1613,11.979,12.1282,113556.0
2021-06-25,12.1282,12.3935,12.1116,12.1116,408790.0
2021-06-26,12.1282,12.3935,12.1116,12.1116,408790.0
2021-06-27,12.1282,12.3935,12.1116,12.1116,408790.0
2021-06-28,12.1199,12.1199,11.8297,11.8712,167867.0
2021-06-29,11.8712,11.9624,11.7386,11.7551,123236.0
2021-06-30,11.7303,11.9044,11.7303,11.8712,148860.0
2021-07-01,11.9955,12.0204,11.8049,11.8297,131702.0
2021-07-02,11.8463,11.9375,11.6308,11.7468,105169.0
2021-07-03,11.8463,11.9375,11.6308,11.7468,105169.0
2021-07-04,11.8463,11.9375,11.6308,11.7468,105169.0
2021-07-05,11.8463,11.9375,11.6308,11.7468,105169.0
2021-07-06,11.7883,11.7966,11.3572,11.465,143729.0
2021-07-07,11.4899,11.7634,11.3738,11.581,148838.0
2021-07-08,11.3821,11.4816,11.2329,11.2909,153471.0
2021-07-09,11.5064,11.7386,11.4857,11.6888,156300.0
2021-07-10,11.5064,11.7386,11.4857,11.6888,156300.0
2021-07-11,11.5064,11.7386,11.4857,11.6888,156300.0
2021-07-12,11.6888,11.9458,11.4733,11.838,149243.0
2021-07-13,11.8795,11.8961,11.6557,11.7386,124269.0
2021-07-14,11.7717,11.9126,11.6142,11.6391,60088.0
2021-07-15,11.5893,11.8339,11.5893,11.7634,114789.0
2021-07-16,11.8629,11.9458,11.4816,11.5147,141074.0
2021-07-17,11.8629,11.9458,11.4816,11.5147,141074.0
2021-07-18,11.8629,11.9458,11.4816,11.5147,141074.0
2021-07-19,11.3572,11.3821,11.0173,11.1334,121382.0
2021-07-20,11.0671,11.3821,11.0671,11.2163,102132.0
2021-07-21,11.3655,11.5396,11.3199,11.3572,88636.0
2021-07-22,11.3241,11.4567,11.2577,11.3738,100939.0
2021-07-23,11.4816,11.4982,11.2412,11.3572,109164.0
2021-07-24,11.4816,11.4982,11.2412,11.3572,109164.0
2021-07-25,11.4816,11.4982,11.2412,11.3572,109164.0
2021-07-26,11.3987,11.5562,11.3987,11.5396,60334.0
2021-07-27,11.5147,11.6888,11.3655,11.5645,128732.0
2021-07-28,11.5976,11.7634,11.4401,11.6971,66016.0
2021-07-29,11.78,11.9126,11.5479,11.5893,183735.0
2021-07-30,11.5728,11.7551,11.4484,11.5313,98519.0
2021-07-31,11.5728,11.7551,11.4484,11.5313,98519.0
2021-08-01,11.5728,11.7551,11.4484,11.5313,98519.0
2021-08-02,11.6474,11.8546,11.3738,11.4235,131258.0
2021-08-03,11.4567,11.4733,11.1251,11.4235,139324.0
2021-08-04,11.2992,11.3489,10.9552,10.9759,83382.0
2021-08-05,10.9427,11.0919,10.578,10.7023,188247.0
2021-08-06,10.7769,10.9179,10.7355,10.8515,104188.0
2021-08-07,10.7769,10.9179,10.7355,10.8515,104188.0
2021-08-08,10.7769,10.9179,10.7355,10.8515,104188.0
2021-08-09,10.8515,10.8681,10.636,10.8184,148956.0
2021-08-10,10.8598,11.0173,10.7148,10.8681,86829.0
2021-08-11,10.9179,10.9676,10.777,10.8847,184614.0
2021-08-12,10.8681,10.8837,10.6194,10.694,126069.0
2021-08-13,10.7686,10.8764,10.6783,10.8598,109953.0
2021-08-14,10.7686,10.8764,10.6783,10.8598,109953.0
2021-08-15,10.7686,10.8764,10.6783,10.8598,109953.0
2021-08-16,10.6609,10.7686,10.437,10.4619,152486.0
2021-08-17,10.379,10.5531,10.2215,10.5282,144257.0
2021-08-18,10.5282,10.7247,10.4412,10.4536,131097.0
2021-08-19,10.3624,10.4619,10.2215,10.3707,126609.0
2021-08-20,10.3541,10.5863,10.3541,10.5116,97011.0
2021-08-21,10.3541,10.5863,10.3541,10.5116,97011.0
2021-08-22,10.3541,10.5863,10.3541,10.5116,97011.0
2021-08-23,10.6277,10.8018,10.5697,10.7521,160754.0
2021-08-24,10.7521,10.9179,10.7023,10.8432,104733.0
2021-08-25,10.893,11.1168,10.7943,11.0671,133914.0
2021-08-26,11.0505,11.1168,10.8764,10.9261,97314.0
2021-08-27,10.9261,11.2743,10.9261,11.2412,125112.0
2021-08-28,10.9261,11.2743,10.9261,11.2412,125112.0
2021-08-29,10.9261,11.2743,10.9261,11.2412,125112.0
2021-08-30,11.3075,11.3075,11.0837,11.15,128265.0
2021-08-31,11.15,11.1748,10.6526,10.9759,292329.0
2021-09-01,10.9255,10.9843,10.6607,10.8414,121351.0
2021-09-02,10.8414,10.9507,10.7154,10.8582,141571.0
2021-09-03,10.8834,10.9129,10.6817,10.8078,85938.0
2021-09-04,10.8834,10.9129,10.6817,10.8078,85938.0
2021-09-05,10.8834,10.9129,10.6817,10.8078,85938.0
2021-09-06,10.8834,10.9129,10.6817,10.8078,85938.0
2021-09-07,10.7658,10.8834,10.7322,10.8162,84430.0
2021-09-08,10.7406,10.7577,10.5515,10.5641,357324.0
2021-09-09,10.5221,10.6901,10.5052,10.5893,89698.0
2021-09-10,10.5977,10.6565,10.48,10.4968,103648.0
2021-09-11,10.5977,10.6565,10.48,10.4968,103648.0
2021-09-12,10.5977,10.6565,10.48,10.4968,103648.0
2021-09-13,10.5809,11.1103,10.5641,10.9002,352266.0
2021-09-14,11.1272,11.1272,10.6901,10.7406,164686.0
2021-09-15,10.7154,11.2448,10.7154,11.1944,288267.0
2021-09-16,11.186,11.186,10.8246,10.8498,133271.0
2021-09-17,10.8246,10.8246,10.5052,10.7994,892564.0
2021-09-18,10.8246,10.8246,10.5052,10.7994,892564.0
2021-09-19,10.8246,10.8246,10.5052,10.7994,892564.0
2021-09-20,10.5557,10.5893,10.1355,10.312,255058.0
2021-09-21,10.4044,10.4632,10.1439,10.2447,119477.0
2021-09-22,10.4044,10.5221,10.312,10.312,86810.0
2021-09-23,10.4464,10.6565,10.4044,10.5473,165469.0
2021-09-24,10.4968,10.6061,10.4128,10.4464,130194.0
2021-09-25,10.4968,10.6061,10.4128,10.4464,130194.0
2021-09-26,10.4968,10.6061,10.4128,10.4464,130194.0
2021-09-27,10.438,10.9245,10.438,10.7826,187277.0
2021-09-28,10.8162,10.875,10.7238,10.7658,114654.0
2021-09-29,10.7154,10.7154,10.5893,10.6397,70761.0
2021-09-30,10.6985,10.7742,10.4212,10.4296,72138.0
2021-10-01,10.5221,10.7322,10.4884,10.6817,79155.0
2021-10-02,10.5221,10.7322,10.4884,10.6817,79155.0
2021-10-03,10.5221,10.7322,10.4884,10.6817,79155.0
2021-10-04,10.7154,10.8162,10.6565,10.7322,88718.0
2021-10-05,10.7826,10.7941,10.6733,10.7574,69623.0
2021-10-06,10.6733,10.7658,10.3876,10.6565,117558.0
2021-10-07,10.749,10.9086,10.7406,10.7994,94791.0
2021-10-08,10.8078,10.833,10.6985,10.7826,94181.0
2021-10-09,10.8078,10.833,10.6985,10.7826,94181.0
2021-10-10,10.8078,10.833,10.6985,10.7826,94181.0
2021-10-11,10.9002,11.0851,10.8918,10.9255,74687.0
2021-10-12,10.9086,10.9591,10.8162,10.8582,41867.0
2021-10-13,10.875,10.9843,10.749,10.8666,65511.0
2021-10-14,11.0011,11.2448,10.9423,11.2364,95194.0
2021-10-15,11.3457,11.3457,11.0851,11.1103,146528.0
2021-10-16,11.3457,11.3457,11.0851,11.1103,146528.0
2021-10-17,11.3457,11.3457,11.0851,11.1103,146528.0
2021-10-18,11.0515,11.0767,10.8498,11.0095,170050.0
2021-10-19,11.0767,11.1356,10.9255,10.9591,48412.0
2021-10-20,10.9759,11.0851,10.8498,11.0767,48764.0
2021-10-21,11.0599,11.0683,10.8751,11.0515,74106.0
2021-10-22,11.0935,11.1524,11.0182,11.0683,54581.0
2021-10-23,11.0935,11.1524,11.0182,11.0683,54581.0
2021-10-24,11.0935,11.1524,11.0182,11.0683,54581.0
2021-10-25,11.1188,11.291,11.0432,11.27,74916.0
2021-10-26,11.2448,11.3625,11.1776,11.2448,73400.0
2021-10-27,11.1608,11.1692,10.8498,10.875,78492.0
2021-10-28,10.9086,11.2028,10.9086,11.0431,56400.0
2021-10-29,11.0599,11.1608,10.8876,10.9507,65225.0
2021-10-30,11.0599,11.1608,10.8876,10.9507,65225.0
2021-10-31,11.0599,11.1608,10.8876,10.9507,65225.0
2021-11-01,11.0095,11.2952,11.0095,11.186,62352.0
2021-11-02,11.1608,11.3036,11.1146,11.228,64149.0
2021-11-03,11.1356,11.6356,11.1356,11.5978,125620.0
2021-11-04,11.7155,11.7575,11.3793,11.6482,120449.0
2021-11-05,11.7659,12.2113,11.7659,12.102,131999.0
2021-11-06,11.7659,12.2113,11.7659,12.102,131999.0
2021-11-07,11.7659,12.2113,11.7659,12.102,131999.0
2021-11-08,12.2533,12.2911,11.7827,11.8583,86191.0
2021-11-09,11.7911,11.9592,11.7132,11.9172,110913.0
2021-11-10,11.8919,12.0024,11.8499,11.9172,62103.0
2021-11-11,11.9508,12.2365,11.9508,12.2197,56960.0
2021-11-12,12.2785,12.5139,12.102,12.4298,155813.0
2021-11-13,12.2785,12.5139,12.102,12.4298,155813.0
2021-11-14,12.2785,12.5139,12.102,12.4298,155813.0
2021-11-15,12.4382,12.4382,12.2113,12.3121,99432.0
2021-11-16,12.3374,12.3374,11.8331,12.0012,96613.0
2021-11-17,11.8919,11.9592,11.7155,11.8667,84698.0
2021-11-18,11.8163,11.8667,11.6902,11.7911,81355.0
2021-11-19,11.707,11.7995,11.6398,11.6986,62350.0
2021-11-20,11.707,11.7995,11.6398,11.6986,62350.0
2021-11-21,11.707,11.7995,11.6398,11.6986,62350.0
2021-11-22,11.9676,12.5391,11.8331,12.413,245312.0
2021-11-23,12.497,12.6105,12.4382,12.5391,129294.0
2021-11-24,12.5391,12.7996,12.3962,12.5223,129412.0
2021-11-25,12.5391,12.7996,12.3962,12.5223,129412.0
2021-11-26,12.1945,12.3542,11.8331,12.1441,101767.0
2021-11-27,12.1945,12.3542,11.8331,12.1441,101767.0
2021-11-28,12.1945,12.3542,11.8331,12.1441,101767.0
2021-11-29,12.4298,12.4298,11.9003,12.1693,145106.0
2021-11-30,11.9844,12.2005,11.6902,11.7659,173260.0
2021-12-01,12.0468,12.166,11.834,11.8425,152253.0
2021-12-02,11.9617,12.2426,11.8595,12.1234,136716.0
2021-12-03,12.183,12.2597,11.9957,12.1234,149349.0
2021-12-04,12.183,12.2597,11.9957,12.1234,149349.0
2021-12-05,12.183,12.2597,11.9957,12.1234,149349.0
2021-12-06,12.1745,12.6683,12.1745,12.2852,157813.0
2021-12-07,12.3703,12.4299,12.2597,12.3363,146690.0
2021-12-08,12.3193,12.5321,12.2682,12.4555,118710.0
2021-12-09,12.4129,12.5491,12.3107,12.4129,132041.0
2021-12-10,12.5066,12.5917,12.3874,12.4044,104463.0
2021-12-11,12.5066,12.5917,12.3874,12.4044,104463.0
2021-12-12,12.5066,12.5917,12.3874,12.4044,104463.0
2021-12-13,12.3448,12.447,12.1405,12.2086,185092.0
2021-12-14,12.2086,12.4214,12.149,12.2512,355241.0
2021-12-15,12.2171,12.6087,12.1745,12.5236,270783.0
2021-12-16,12.6087,12.8045,12.5066,12.6343,165889.0
2021-12-17,12.5662,12.7449,12.4895,12.5576,215151.0
2021-12-18,12.5662,12.7449,12.4895,12.5576,215151.0
2021-12-19,12.5662,12.7449,12.4895,12.5576,215151.0
2021-12-20,12.3533,12.4299,12.0256,12.2256,173335.0
2021-12-21,12.3022,12.4725,12.2852,12.3533,106164.0
2021-12-22,12.3022,12.4299,12.2682,12.3618,102922.0
2021-12-23,12.4129,12.6002,12.4129,12.498,81422.0
2021-12-24,12.4129,12.6002,12.4129,12.498,81422.0
2021-12-25,12.4129,12.6002,12.4129,12.498,81422.0
2021-12-26,12.4129,12.6002,12.4129,12.498,81422.0
2021-12-27,12.5832,12.7358,12.498,12.6854,136940.0
2021-12-28,12.7109,12.8386,12.6598,12.6768,109951.0
2021-12-29,12.7194,12.8088,12.6343,12.779,268924.0
2021-12-30,12.7705,12.9493,12.5832,12.6087,149460.0
2021-12-31,12.6343,12.8386,12.5576,12.779,134777.0
2022-01-01,12.6343,12.8386,12.5576,12.779,134777.0
2022-01-02,12.6343,12.8386,12.5576,12.779,134777.0
2022-01-03,12.9408,13.1025,12.779,12.8216,188878.0
2022-01-04,12.9322,13.2685,12.9322,13.1962,224973.0
2022-01-05,13.2387,13.4005,13.0685,13.094,200615.0
2022-01-06,13.0685,13.166,12.8641,12.9237,147742.0
2022-01-07,12.9408,13.06,12.8131,13.0429,210940.0
2022-01-08,12.9408,13.06,12.8131,13.0429,210940.0
2022-01-09,12.9408,13.06,12.8131,13.0429,210940.0
2022-01-10,13.0855,13.1527,12.6513,12.7279,181975.0
2022-01-11,12.8216,12.8216,12.5832,12.7705,149381.0
2022-01-12,12.8216,12.9493,12.7449,12.8812,142135.0
2022-01-13,12.8386,13.077,12.7705,13.0004,184371.0
2022-01-14,12.8812,13.3154,12.8471,13.2387,144326.0
2022-01-15,12.8812,13.3154,12.8471,13.2387,144326.0
2022-01-16,12.8812,13.3154,12.8471,13.2387,144326.0
2022-01-17,12.8812,13.3154,12.8471,13.2387,144326.0
2022-01-18,13.2983,13.2983,13.0685,13.1281,222109.0
2022-01-19,13.1791,13.1791,12.9748,13.06,133029.0
2022-01-20,13.0514,13.0572,12.6258,12.6854,189987.0
2022-01-21,12.6002,12.8131,12.447,12.481,147232.0
2022-01-22,12.6002,12.8131,12.447,12.481,147232.0
2022-01-23,12.6002,12.8131,12.447,12.481,147232.0
2022-01-24,12.2852,12.5491,12.166,12.498,244691.0
2022-01-25,12.3278,12.5321,12.0809,12.4129,136766.0
2022-01-26,12.5576,12.6683,12.1234,12.2852,253622.0
2022-01-27,12.3959,12.6172,12.2256,12.2937,113122.0
2022-01-28,12.2341,12.3278,11.8595,12.0809,162604.0
2022-01-29,12.2341,12.3278,11.8595,12.0809,162604.0
2022-01-30,12.2341,12.3278,11.8595,12.0809,162604.0
2022-01-31,11.9702,12.2256,11.7574,12.2171,186474.0
2022-02-01,12.2001,12.3959,12.2001,12.3703,118104.0
2022-02-02,12.3278,12.464,12.2512,12.3618,112672.0
2022-02-03,12.2682,12.3959,12.0724,12.0979,151861.0
2022-02-04,11.9957,12.149,11.8851,12.0298,136316.0
2022-02-05,11.9957,12.149,11.8851,12.0298,136316.0
2022-02-06,11.9957,12.149,11.8851,12.0298,136316.0
2022-02-07,11.9787,12.1149,11.8978,12.0553,90705.0
2022-02-08,12.0213,12.3107,12.0213,12.3022,121825.0
2022-02-09,12.3363,12.4725,12.2937,12.3107,107991.0
2022-02-10,12.183,12.3789,12.0298,12.1149,106263.0
2022-02-11,12.0213,12.166,11.7999,11.868,135193.0
2022-02-12,12.0213,12.166,11.7999,11.868,135193.0
2022-02-13,12.0213,12.166,11.7999,11.868,135193.0
2022-02-14,11.9191,12.1405,11.9021,12.1149,208534.0
2022-02-15,12.1234,12.3959,12.1234,12.2597,119528.0
2022-02-16,12.2512,12.464,12.2094,12.4299,215793.0
2022-02-17,12.3107,12.3278,12.0213,12.0894,126613.0
2022-02-18,12.0724,12.2086,12.0012,12.1575,104365.0
2022-02-19,12.0724,12.2086,12.0012,12.1575,104365.0
2022-02-20,12.0724,12.2086,12.0012,12.1575,104365.0
2022-02-21,12.0724,12.2086,12.0012,12.1575,104365.0
2022-02-22,12.2001,12.2682,11.9957,12.1234,127379.0
2022-02-23,12.2001,12.2512,11.8936,11.9361,165757.0
2022-02-24,11.8936,12.183,11.8259,12.149,259167.0
2022-02-25,12.2001,12.5832,12.2001,12.5491,118037.0
2022-02-26,12.2001,12.5832,12.2001,12.5491,118037.0
2022-02-27,12.2001,12.5832,12.2001,12.5491,118037.0
2022-02-28,12.5066,12.6939,12.4129,12.5406,238080.0
2022-03-01,12.5151,12.5321,12.0128,12.2171,162002.0
2022-03-02,12.3107,12.5491,12.3107,12.464,111806.0
2022-03-03,12.5151,12.8471,12.4299,12.8471,177430.0
2022-03-04,12.7024,12.8465,12.3533,12.498,142298.0
2022-03-05,12.7024,12.8465,12.3533,12.498,142298.0
2022-03-06,12.7024,12.8465,12.3533,12.498,142298.0
2022-03-07,12.4636,12.5067,11.7908,11.7908,257538.0
2022-03-08,11.7908,12.1013,11.6269,11.8339,173065.0
2022-03-09,12.084,12.4549,12.0754,12.4377,148026.0
2022-03-10,12.084,12.8689,12.084,12.8517,169338.0
2022-03-11,12.8862,13.0932,12.5843,12.6016,200348.0
2022-03-12,12.8862,13.0932,12.5843,12.6016,200348.0
2022-03-13,12.8862,13.0932,12.5843,12.6016,200348.0
2022-03-14,12.6964,13.1622,12.6964,13.1536,240730.0
2022-03-15,13.1536,13.3606,12.7309,12.8862,145951.0
2022-03-16,12.9983,13.1441,12.8603,13.0932,123151.0
2022-03-17,13.0673,13.4296,13.0544,13.421,119644.0
2022-03-18,13.421,13.8867,13.2485,13.8522,368115.0
2022-03-19,13.421,13.8867,13.2485,13.8522,368115.0
2022-03-20,13.421,13.8867,13.2485,13.8522,368115.0
2022-03-21,13.8867,14.0679,13.559,13.6452,134641.0
2022-03-22,13.697,13.835,13.5676,13.5848,116752.0
2022-03-23,13.5245,13.6883,13.4123,13.6711,101971.0
2022-03-24,14.0506,14.111,13.7962,14.042,135427.0
2022-03-25,14.0247,14.0506,13.6625,13.8522,92145.0
2022-03-26,14.0247,14.0506,13.6625,13.8522,92145.0
2022-03-27,14.0247,14.0506,13.6625,13.8522,92145.0
2022-03-28,13.9299,13.9299,13.5547,13.6711,84809.0
2022-03-29,13.7573,13.8177,13.5417,13.6883,124008.0
2022-03-30,13.7487,13.766,13.4641,13.5331,92480.0
2022-03-31,13.5331,13.6366,13.3347,13.3865,262921.0
2022-04-01,13.5762,13.6711,13.4123,13.6021,116613.0
2022-04-02,13.5762,13.6711,13.4123,13.6021,116613.0
2022-04-03,13.5762,13.6711,13.4123,13.6021,116613.0
2022-04-04,13.5762,13.6064,13.2485,13.5503,115184.0
2022-04-05,13.5503,13.5892,13.3002,13.3433,165353.0
2022-04-06,13.3175,13.352,13.0156,13.3002,124634.0
2022-04-07,13.3692,13.5158,13.1795,13.3951,345549.0
2022-04-08,13.4813,13.5072,13.1795,13.2053,138839.0
2022-04-09,13.4813,13.5072,13.1795,13.2053,138839.0
2022-04-10,13.4813,13.5072,13.1795,13.2053,138839.0
2022-04-11,13.1881,13.4641,13.1536,13.2226,84999.0
2022-04-12,13.352,13.5503,13.214,13.3261,109792.0
2022-04-13,13.4037,13.7013,13.3433,13.6797,165431.0
2022-04-14,13.7573,13.8608,13.6452,13.8005,163530.0
2022-04-15,13.7573,13.8608,13.6452,13.8005,163530.0
2022-04-16,13.7573,13.8608,13.6452,13.8005,163530.0
2022-04-17,13.7573,13.8608,13.6452,13.8005,163530.0
2022-04-18,13.8608,13.9126,13.6366,13.7228,118553.0
2022-04-19,13.766,14.3094,13.7142,14.1886,215839.0
2022-04-20,14.2835,14.5291,14.2576,14.2662,100488.0
2022-04-21,14.4474,14.5164,13.9557,14.1024,129085.0
2022-04-22,14.1024,14.1024,13.6797,13.7142,111392.0
2022-04-23,14.1024,14.1024,13.6797,13.7142,111392.0
2022-04-24,14.1024,14.1024,13.6797,13.7142,111392.0
2022-04-25,13.5245,13.6625,13.1449,13.6452,138792.0
2022-04-26,13.6883,13.7573,13.3347,13.3865,106319.0
2022-04-27,13.421,13.6021,13.2916,13.3261,82119.0
2022-04-28,13.3951,13.3951,13.0406,13.2916,81837.0
2022-04-29,13.3088,13.4813,13.0587,13.1277,90606.0
2022-04-30,13.3088,13.4813,13.0587,13.1277,90606.0
2022-05-01,13.3088,13.4813,13.0587,13.1277,90606.0
2022-05-02,13.1191,13.3433,12.9466,13.2053,137318.0
2022-05-03,13.3692,13.5762,13.1795,13.4727,105161.0
2022-05-04,13.5417,13.8781,13.4037,13.8263,121751.0
2022-05-05,13.9644,13.9644,13.2053,13.628,156776.0
2022-05-06,13.4468,13.628,13.0242,13.1708,152297.0
2022-05-07,13.4468,13.628,13.0242,13.1708,152297.0
2022-05-08,13.4468,13.628,13.0242,13.1708,152297.0
2022-05-09,13.0587,13.5158,13.0587,13.3606,201994.0
2022-05-10,13.5848,13.5848,12.9811,13.1708,125966.0
2022-05-11,13.1708,13.5935,13.1708,13.2312,133330.0
2022-05-12,13.1191,13.3692,13.0587,13.352,117991.0
2022-05-13,13.4986,13.6452,13.3606,13.4296,153923.0
2022-05-14,13.4986,13.6452,13.3606,13.4296,153923.0
2022-05-15,13.4986,13.6452,13.3606,13.4296,153923.0
2022-05-16,13.4813,13.8398,13.3261,13.7228,111644.0
2022-05-17,13.9557,14.3525,13.9126,14.1714,157964.0
2022-05-18,14.1024,14.3352,14.0296,14.2145,153676.0
2022-05-19,14.3525,15.7929,14.3266,15.5428,416744.0
2022-05-20,15.6635,15.9395,14.801,15.0943,232659.0
2022-05-21,15.6635,15.9395,14.801,15.0943,232659.0
2022-05-22,15.6635,15.9395,14.801,15.0943,232659.0
2022-05-23,15.3013,15.6247,15.1633,15.4048,408185.0
2022-05-24,15.4997,15.9223,15.3099,15.8964,246701.0
2022-05-25,15.905,16.0811,15.593,15.8964,247562.0
2022-05-26,16.0862,16.3536,16.0517,16.2242,140242.0
2022-05-27,16.3622,16.3881,15.7584,16.0948,224376.0
