,EA US Equity,EA US Equity,EA US Equity,EA US Equity,EA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-11-27,128.9164,129.0051,123.6631,124.1559,2264114.0
2021-11-28,128.9164,129.0051,123.6631,124.1559,2264114.0
2021-11-29,124.0869,124.2939,121.2977,123.0816,2279178.0
2021-11-30,124.0672,126.7382,121.5047,122.4311,5192786.0
2021-12-01,123.2984,124.1461,118.3507,118.4986,3654289.0
2021-12-02,118.9145,121.9777,118.9145,120.8246,3107393.0
2021-12-03,121.8595,123.7912,121.3174,123.466,3371301.0
2021-12-04,121.8595,123.7912,121.3174,123.466,3371301.0
2021-12-05,121.8595,123.7912,121.3174,123.466,3371301.0
2021-12-06,125.6048,125.9694,123.0767,124.491,2863915.0
2021-12-07,125.5865,126.3267,124.2838,124.5009,2650223.0
2021-12-08,124.7279,125.6605,123.4942,124.718,2553671.0
2021-12-09,124.8365,125.2164,123.06,123.3659,2485292.0
2021-12-10,124.5009,125.705,123.0304,123.9976,2186565.0
2021-12-11,124.5009,125.705,123.0304,123.9976,2186565.0
2021-12-12,124.5009,125.705,123.0304,123.9976,2186565.0
2021-12-13,123.9976,126.6228,123.9976,125.1128,2292854.0
2021-12-14,124.3331,126.6623,124.3331,125.1918,2107833.0
2021-12-15,126.0306,127.5456,124.1752,127.215,2471034.0
2021-12-16,126.9287,128.0835,126.3465,127.6986,1694823.0
2021-12-17,127.6492,129.0901,125.6161,125.853,3514937.0
2021-12-18,127.6492,129.0901,125.6161,125.853,3514937.0
2021-12-19,127.6492,129.0901,125.6161,125.853,3514937.0
2021-12-20,124.8069,128.4289,124.8069,128.2216,2592145.0
2021-12-21,129.2579,130.5902,127.5012,130.4422,2251400.0
2021-12-22,130.3534,131.5032,128.8434,129.7514,2153728.0
2021-12-23,129.5638,131.2712,129.1493,130.8074,1594118.0
2021-12-24,129.5638,131.2712,129.1493,130.8074,1594118.0
2021-12-25,129.5638,131.2712,129.1493,130.8074,1594118.0
2021-12-26,129.5638,131.2712,129.1493,130.8074,1594118.0
2021-12-27,131.5278,132.0016,130.5705,131.3008,1377314.0
2021-12-28,131.4982,133.2056,131.3008,131.7252,1230735.0
2021-12-29,132.1496,132.4161,130.1609,131.3995,912350.0
2021-12-30,131.9522,133.8274,131.9522,132.7023,1177048.0
2021-12-31,132.7023,133.2253,129.929,130.1757,1610904.0
2022-01-01,132.7023,133.2253,129.929,130.1757,1610904.0
2022-01-02,132.7023,133.2253,129.929,130.1757,1610904.0
2022-01-03,130.2053,134.2024,130.0277,133.1859,2033926.0
2022-01-04,132.5641,134.5182,132.0312,133.9853,2110753.0
2022-01-05,134.5182,135.6779,131.8831,132.0509,2531646.0
2022-01-06,131.5377,132.2187,127.7282,127.9946,2270757.0
2022-01-07,127.4025,130.7383,125.6161,130.0573,2436038.0
2022-01-08,127.4025,130.7383,125.6161,130.0573,2436038.0
2022-01-09,127.4025,130.7383,125.6161,130.0573,2436038.0
2022-01-10,129.6921,130.4422,126.4748,127.215,3053203.0
2022-01-11,125.9023,129.248,125.8826,129.0901,1797209.0
2022-01-12,129.5228,131.1725,128.271,130.7679,1677661.0
2022-01-13,131.291,131.291,128.8039,129.1296,1343587.0
2022-01-14,128.3401,129.0408,127.0373,128.7348,1633377.0
2022-01-15,128.3401,129.0408,127.0373,128.7348,1633377.0
2022-01-16,128.3401,129.0408,127.0373,128.7348,1633377.0
2022-01-17,128.3401,129.0408,127.0373,128.7348,1633377.0
2022-01-18,136.6253,140.6865,131.7055,132.1595,8759476.0
2022-01-19,133.7484,136.4131,132.9391,135.1202,3820256.0
2022-01-20,136.048,140.1338,136.048,137.0645,3116937.0
2022-01-21,136.4723,138.8508,136.2848,137.1928,3120019.0
2022-01-22,136.4723,138.8508,136.2848,137.1928,3120019.0
2022-01-23,136.4723,138.8508,136.2848,137.1928,3120019.0
2022-01-24,135.2979,137.5777,130.1757,133.4326,4262190.0
2022-01-25,131.8239,132.268,127.8466,129.2974,2386389.0
2022-01-26,129.3566,130.6001,127.1459,128.2808,2334031.0
2022-01-27,129.0605,132.2878,128.9421,129.3467,1782104.0
2022-01-28,129.4454,130.5014,127.8861,130.1955,2155020.0
2022-01-29,129.4454,130.5014,127.8861,130.1955,2155020.0
2022-01-30,129.4454,130.5014,127.8861,130.1955,2155020.0
2022-01-31,129.4355,133.9635,127.5505,130.9258,4471167.0
2022-02-01,131.3403,131.7153,127.3828,128.2414,3827957.0
2022-02-02,124.0765,135.7914,123.968,135.3768,5723709.0
2022-02-03,133.5116,137.785,132.5345,135.4953,3409361.0
2022-02-04,133.5806,136.571,132.9293,135.9098,2397235.0
2022-02-05,133.5806,136.571,132.9293,135.9098,2397235.0
2022-02-06,133.5806,136.571,132.9293,135.9098,2397235.0
2022-02-07,136.196,136.275,133.8274,134.6169,1726078.0
2022-02-08,134.538,135.4558,132.495,132.6135,2264932.0
2022-02-09,133.9853,134.222,130.8469,134.0149,1955847.0
2022-02-10,131.4489,135.1104,131.4489,133.2155,1718625.0
2022-02-11,133.2155,134.6367,132.0509,132.347,1647896.0
2022-02-12,133.2155,134.6367,132.0509,132.347,1647896.0
2022-02-13,133.2155,134.6367,132.0509,132.347,1647896.0
2022-02-14,132.1304,132.7023,130.7087,131.6561,1680483.0
2022-02-15,132.6431,133.6892,131.6167,132.7418,1739105.0
2022-02-16,132.0016,132.8404,129.7366,131.5476,2369315.0
2022-02-17,131.3304,131.3304,128.2266,128.6953,1735704.0
2022-02-18,128.3104,129.4553,127.2347,127.6393,2002007.0
2022-02-19,128.3104,129.4553,127.2347,127.6393,2002007.0
2022-02-20,128.3104,129.4553,127.2347,127.6393,2002007.0
2022-02-21,128.3104,129.4553,127.2347,127.6393,2002007.0
2022-02-22,126.3761,127.9403,124.945,125.4286,2182632.0
