,L US Equity,L US Equity,L US Equity,L US Equity,L US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-01-30,60.516,61.163,60.088,60.128,470199.0
2023-01-31,60.198,61.193,59.75,61.183,729413.0
2023-02-01,60.536,60.85,59.77,60.247,776687.0
2023-02-02,60.108,60.302,59.043,59.889,1044248.0
2023-02-03,59.81,59.999,59.431,59.81,1033383.0
2023-02-04,59.81,59.999,59.431,59.81,1033383.0
2023-02-05,59.81,59.999,59.431,59.81,1033383.0
2023-02-06,59.82,61.48,59.621,61.143,1142689.0
2023-02-07,60.755,62.706,60.755,62.447,946204.0
2023-02-08,62.108,62.421,61.76,61.76,898989.0
2023-02-09,62.009,62.934,61.422,61.452,917420.0
2023-02-10,61.422,61.929,61.163,61.87,891656.0
2023-02-11,61.422,61.929,61.163,61.87,891656.0
2023-02-12,61.422,61.929,61.163,61.87,891656.0
2023-02-13,61.69,62.382,61.631,62.268,745348.0
2023-02-14,62.099,62.387,61.417,61.482,892215.0
2023-02-15,61.163,61.959,60.855,61.85,3252836.0
2023-02-16,61.581,61.977,61.054,61.362,517593.0
2023-02-17,61.332,61.332,60.825,61.213,639799.0
2023-02-18,61.332,61.332,60.825,61.213,639799.0
2023-02-19,61.332,61.332,60.825,61.213,639799.0
2023-02-20,61.332,61.332,60.825,61.213,639799.0
2023-02-21,61.405,61.405,60.299,60.548,563568.0
2023-02-22,60.309,60.857,60.194,60.408,383305.0
2023-02-23,60.568,60.892,60.119,60.468,647670.0
2023-02-24,60.07,60.906,59.613,60.847,702694.0
2023-02-25,60.07,60.906,59.613,60.847,702694.0
2023-02-26,60.07,60.906,59.613,60.847,702694.0
2023-02-27,61.165,61.424,60.578,60.667,449317.0
2023-02-28,60.747,61.126,60.697,60.857,1396528.0
2023-03-01,60.518,61.165,60.508,61.016,521259.0
2023-03-02,60.807,61.205,60.498,61.205,704569.0
2023-03-03,61.285,61.564,60.777,61.524,500646.0
2023-03-04,61.285,61.564,60.777,61.524,500646.0
2023-03-05,61.285,61.564,60.777,61.524,500646.0
2023-03-06,61.624,61.873,61.046,61.096,911181.0
2023-03-07,60.986,61.136,59.482,59.502,916975.0
2023-03-08,59.596,59.97,58.565,58.625,772514.0
2023-03-09,58.695,59.004,57.749,57.948,829307.0
2023-03-10,57.519,57.838,56.782,57.131,1044973.0
2023-03-11,57.519,57.838,56.782,57.131,1044973.0
2023-03-12,57.519,57.838,56.782,57.131,1044973.0
2023-03-13,55.945,56.135,54.904,55.328,1079114.0
2023-03-14,56.623,56.852,55.527,56.065,1094447.0
2023-03-15,54.421,54.909,53.316,54.103,1262714.0
2023-03-16,53.714,55.965,53.365,55.657,1455380.0
2023-03-17,55.378,55.378,53.316,53.385,2776292.0
2023-03-18,55.378,55.378,53.316,53.385,2776292.0
2023-03-19,55.378,55.378,53.316,53.385,2776292.0
2023-03-20,53.844,55.323,53.804,55.049,1157546.0
2023-03-21,56.165,56.324,55.716,55.806,1176548.0
2023-03-22,55.786,55.985,54.212,54.232,1064816.0
2023-03-23,54.073,54.471,53.286,53.575,990644.0
2023-03-24,52.937,54.431,52.648,54.352,1061103.0
2023-03-25,52.937,54.431,52.648,54.352,1061103.0
2023-03-26,52.937,54.431,52.648,54.352,1061103.0
2023-03-27,55.149,55.677,54.83,55.408,1240111.0
2023-03-28,55.218,55.686,55.079,55.667,936921.0
2023-03-29,56.394,56.703,56.274,56.683,1065454.0
2023-03-30,56.812,57.101,56.573,57.081,850929.0
2023-03-31,57.46,57.918,57.37,57.798,1295918.0
2023-04-01,57.46,57.918,57.37,57.798,1295918.0
2023-04-02,57.46,57.918,57.37,57.798,1295918.0
2023-04-03,57.828,58.376,57.33,57.37,1008178.0
2023-04-04,57.549,57.569,55.637,55.995,839831.0
2023-04-05,55.547,56.155,55.388,56.005,690632.0
2023-04-06,56.155,56.364,55.667,56.165,591466.0
2023-04-07,56.155,56.364,55.667,56.165,591466.0
2023-04-08,56.155,56.364,55.667,56.165,591466.0
2023-04-09,56.155,56.364,55.667,56.165,591466.0
2023-04-10,56.095,56.454,56.025,56.234,668421.0
2023-04-11,56.354,56.932,56.214,56.663,689220.0
2023-04-12,56.832,57.101,56.205,56.374,572681.0
2023-04-13,55.975,56.523,55.856,56.493,595614.0
2023-04-14,56.772,56.922,55.667,56.025,503429.0
2023-04-15,56.772,56.922,55.667,56.025,503429.0
2023-04-16,56.772,56.922,55.667,56.025,503429.0
2023-04-17,55.916,57.021,55.677,56.982,673450.0
2023-04-18,57.021,57.345,56.643,57.29,754421.0
2023-04-19,57.25,57.539,57.161,57.27,431485.0
2023-04-20,57.25,57.28,56.583,56.902,480581.0
2023-04-21,56.732,56.742,55.677,56.224,475211.0
2023-04-22,56.732,56.742,55.677,56.224,475211.0
2023-04-23,56.732,56.742,55.677,56.224,475211.0
2023-04-24,56.334,56.633,56.155,56.414,425898.0
2023-04-25,55.955,56.115,55.607,55.896,722905.0
2023-04-26,55.487,56.075,55.099,55.487,1101512.0
2023-04-27,55.537,56.663,55.427,56.643,612933.0
2023-04-28,56.573,57.699,56.573,57.35,961202.0
2023-04-29,56.573,57.699,56.573,57.35,961202.0
2023-04-30,56.573,57.699,56.573,57.35,961202.0
2023-05-01,59.133,60.061,57.778,59.9,1183464.0
2023-05-02,59.572,59.661,57.918,58.795,744162.0
2023-05-03,59.113,59.253,58.157,58.197,701213.0
2023-05-04,57.978,58.277,57.33,57.858,668629.0
2023-05-05,58.555,59.193,58.321,58.396,498618.0
2023-05-06,58.555,59.193,58.321,58.396,498618.0
2023-05-07,58.555,59.193,58.321,58.396,498618.0
2023-05-08,58.546,58.805,58.376,58.585,792997.0
2023-05-09,58.446,58.785,58.267,58.396,730214.0
2023-05-10,58.635,58.775,57.49,58.267,662380.0
2023-05-11,57.958,58.187,57.599,58.177,817250.0
2023-05-12,58.705,58.894,57.803,58.287,427134.0
2023-05-13,58.705,58.894,57.803,58.287,427134.0
2023-05-14,58.705,58.894,57.803,58.287,427134.0
2023-05-15,58.625,58.625,58.018,58.157,499631.0
2023-05-16,58.047,58.177,57.539,57.609,516224.0
2023-05-17,57.848,58.326,57.639,58.018,690039.0
2023-05-18,57.918,58.675,57.649,58.645,517363.0
2023-05-19,59.074,59.367,58.366,58.575,558373.0
2023-05-20,59.074,59.367,58.366,58.575,558373.0
2023-05-21,59.074,59.367,58.366,58.575,558373.0
2023-05-22,58.595,58.765,57.878,58.456,515379.0
2023-05-23,58.159,58.538,57.681,57.75,689076.0
2023-05-24,57.441,57.661,56.943,57.012,798667.0
2023-05-25,56.793,57.072,56.364,56.823,647568.0
2023-05-26,56.823,57.227,56.524,56.953,800842.0
2023-05-27,56.823,57.227,56.524,56.953,800842.0
2023-05-28,56.823,57.227,56.524,56.953,800842.0
2023-05-29,56.823,57.227,56.524,56.953,800842.0
2023-05-30,56.703,57.331,56.574,57.242,575966.0
2023-05-31,56.923,57.132,55.786,55.846,3131919.0
2023-06-01,56.125,56.613,55.925,56.235,1184861.0
2023-06-02,56.693,57.98,56.434,57.86,736572.0
2023-06-03,56.693,57.98,56.434,57.86,736572.0
2023-06-04,56.693,57.98,56.434,57.86,736572.0
2023-06-05,58.379,58.668,57.89,58.309,1192740.0
