,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-06-12,10.2701,10.5246,9.6813,10.2302,9037877.0
2020-06-13,10.2701,10.5246,9.6813,10.2302,9037877.0
2020-06-14,10.2701,10.5246,9.6813,10.2302,9037877.0
2020-06-15,9.6413,10.4098,9.4118,10.3001,9215358.0
2020-06-16,10.9787,11.1484,10.33,10.6943,7417571.0
2020-06-17,10.5596,10.5596,10.0905,10.1004,6930162.0
2020-06-18,10.0106,10.4198,9.841,10.2102,6338976.0
2020-06-19,10.5995,10.7193,9.9408,9.9807,17886990.0
2020-06-20,10.5995,10.7193,9.9408,9.9807,17886990.0
2020-06-21,10.5995,10.7193,9.9408,9.9807,17886990.0
2020-06-22,10.0605,10.1404,9.6314,9.9807,7576858.0
2020-06-23,10.1404,10.2601,9.806,9.841,7549996.0
2020-06-24,9.6813,9.7924,9.0425,9.2421,10717666.0
2020-06-25,9.1722,9.8609,8.9327,9.821,9783323.0
2020-06-26,9.6413,9.7411,8.9577,9.0924,12437377.0
2020-06-27,9.6413,9.7411,8.9577,9.0924,12437377.0
2020-06-28,9.6413,9.7411,8.9577,9.0924,12437377.0
2020-06-29,9.0625,9.1822,8.4486,8.6333,20016105.0
2020-06-30,8.4536,9.0325,8.244,8.9427,18429845.0
2020-07-01,8.9627,9.2721,8.7231,8.8429,13479702.0
2020-07-02,9.0824,9.6314,9.0824,9.5315,11390815.0
2020-07-03,9.0824,9.6314,9.0824,9.5315,11390815.0
2020-07-04,9.0824,9.6314,9.0824,9.5315,11390815.0
2020-07-05,9.0824,9.6314,9.0824,9.5315,11390815.0
2020-07-06,9.821,9.8909,9.2421,9.4317,10531829.0
2020-07-07,9.2621,9.312,8.9028,8.9227,7009380.0
2020-07-08,8.8928,9.0674,8.574,8.808,8584177.0
2020-07-09,8.8828,9.3619,8.5934,8.6233,12981620.0
2020-07-10,8.5335,9.0126,8.4237,8.9876,7298209.0
2020-07-11,8.5335,9.0126,8.4237,8.9876,7298209.0
2020-07-12,8.5335,9.0126,8.4237,8.9876,7298209.0
2020-07-13,9.1124,9.1722,8.5934,8.6532,7995735.0
2020-07-14,8.6233,9.5815,8.5035,9.5815,11092924.0
2020-07-15,9.831,9.9907,9.4317,9.7861,10481728.0
2020-07-16,9.5415,10.1404,9.5016,9.9258,8211537.0
2020-07-17,9.9008,10.2003,9.5565,9.6363,7663010.0
2020-07-18,9.9008,10.2003,9.5565,9.6363,7663010.0
2020-07-19,9.9008,10.2003,9.5565,9.6363,7663010.0
2020-07-20,10.6394,10.6394,10.0705,10.1603,92277412.0
2020-07-21,10.2801,11.0087,10.1903,10.9488,38737538.0
2020-07-22,10.7193,10.8789,10.5895,10.839,26266418.0
2020-07-23,10.839,10.9588,10.7342,10.9288,12101853.0
2020-07-24,10.9688,11.1684,10.834,10.869,11154796.0
2020-07-25,10.9688,11.1684,10.834,10.869,11154796.0
2020-07-26,10.9688,11.1684,10.834,10.869,11154796.0
2020-07-27,10.7791,10.9039,10.6294,10.8789,17894954.0
2020-07-28,10.829,10.9488,10.5695,10.5795,13536333.0
2020-07-29,10.6294,10.6693,10.4797,10.6394,21685415.0
2020-07-30,10.3909,10.4498,10.0805,10.2003,22700206.0
2020-07-31,9.9008,9.9907,9.6314,9.9707,18462251.0
2020-08-01,9.9008,9.9907,9.6314,9.9707,18462251.0
2020-08-02,9.9008,9.9907,9.6314,9.9707,18462251.0
2020-08-03,9.9308,10.0206,9.841,9.9507,19519878.0
2020-08-04,9.9108,10.2102,9.8609,10.1603,15410968.0
2020-08-05,10.4498,10.4598,10.1803,10.3999,17838634.0
2020-08-06,10.2302,10.4548,10.1903,10.33,7861292.0
2020-08-07,10.22,10.32,10.1,10.27,7141081.0
2020-08-08,10.22,10.32,10.1,10.27,7141081.0
2020-08-09,10.22,10.32,10.1,10.27,7141081.0
2020-08-10,10.34,10.7,10.34,10.69,8070592.0
2020-08-11,10.99,11.07,10.59,10.65,7988623.0
2020-08-12,10.88,10.89,10.565,10.72,7080316.0
2020-08-13,10.56,10.7856,10.52,10.57,5408173.0
2020-08-14,10.47,10.62,10.44,10.615,11296166.0
2020-08-15,10.47,10.62,10.44,10.615,11296166.0
2020-08-16,10.47,10.62,10.44,10.615,11296166.0
2020-08-17,10.61,10.71,10.49,10.58,15408801.0
2020-08-18,10.54,10.58,10.29,10.31,9433915.0
2020-08-19,10.27,10.38,10.17,10.2,6986199.0
2020-08-20,10.02,10.15,9.985,10.01,5614978.0
2020-08-21,9.98,10.06,9.885,10.04,6857838.0
2020-08-22,9.98,10.06,9.885,10.04,6857838.0
2020-08-23,9.98,10.06,9.885,10.04,6857838.0
2020-08-24,10.13,10.39,10.07,10.37,10167996.0
2020-08-25,10.43,10.46,10.185,10.23,5104888.0
2020-08-26,10.2,10.205,10.04,10.06,4767577.0
2020-08-27,10.08,10.18,9.96,10.04,9738877.0
2020-08-28,10.14,10.19,10.0,10.18,4375726.0
2020-08-29,10.14,10.19,10.0,10.18,4375726.0
2020-08-30,10.14,10.19,10.0,10.18,4375726.0
2020-08-31,10.14,10.18,9.95,9.95,7403284.0
2020-09-01,9.88,9.91,9.78,9.85,12083501.0
2020-09-02,9.9,9.97,9.8,9.85,20200637.0
2020-09-03,9.89,10.0,9.66,9.72,41936506.0
2020-09-04,9.89,9.905,9.58,9.7,26126691.0
2020-09-05,9.89,9.905,9.58,9.7,26126691.0
2020-09-06,9.89,9.905,9.58,9.7,26126691.0
2020-09-07,9.89,9.905,9.58,9.7,26126691.0
2020-09-08,9.5,9.59,9.225,9.4,50306350.0
2020-09-09,9.49,9.73,9.47,9.52,34346362.0
2020-09-10,9.59,9.62,9.21,9.24,31725601.0
2020-09-11,9.24,9.32,9.11,9.17,25659235.0
2020-09-12,9.24,9.32,9.11,9.17,25659235.0
2020-09-13,9.24,9.32,9.11,9.17,25659235.0
2020-09-14,9.21,9.26,9.1,9.13,11708481.0
2020-09-15,9.25,9.31,8.98,9.02,12001188.0
2020-09-16,9.05,9.46,9.0,9.32,11651003.0
2020-09-17,9.17,9.36,9.055,9.34,7426777.0
2020-09-18,9.24,9.39,9.175,9.28,16019596.0
2020-09-19,9.24,9.39,9.175,9.28,16019596.0
2020-09-20,9.24,9.39,9.175,9.28,16019596.0
2020-09-21,8.95,9.07,8.83,8.99,13074374.0
2020-09-22,8.99,9.185,8.91,8.93,10170700.0
2020-09-23,8.95,9.05,8.5,8.5,8563909.0
2020-09-24,8.43,8.665,8.345,8.5,10152801.0
2020-09-25,8.39,8.58,8.37,8.49,14721304.0
2020-09-26,8.39,8.58,8.37,8.49,14721304.0
2020-09-27,8.39,8.58,8.37,8.49,14721304.0
2020-09-28,8.68,8.85,8.655,8.75,14089804.0
2020-09-29,8.71,8.77,8.415,8.52,13301378.0
2020-09-30,8.58,8.63,8.48,8.55,10665527.0
2020-10-01,8.45,8.51,8.28,8.34,18660346.0
2020-10-02,8.16,8.51,8.12,8.46,12416488.0
2020-10-03,8.16,8.51,8.12,8.46,12416488.0
2020-10-04,8.16,8.51,8.12,8.46,12416488.0
2020-10-05,8.16,8.51,8.12,8.46,12416488.0
2020-10-06,8.16,8.51,8.12,8.46,12416488.0
2020-10-07,8.16,8.51,8.12,8.46,12416488.0
2020-10-08,8.16,8.51,8.12,8.46,12416488.0
2020-10-09,8.16,8.51,8.12,8.46,12416488.0
2020-10-10,8.16,8.51,8.12,8.46,12416488.0
2020-10-11,8.16,8.51,8.12,8.46,12416488.0
2020-10-12,8.16,8.51,8.12,8.46,12416488.0
2020-10-13,8.16,8.51,8.12,8.46,12416488.0
2020-10-14,8.16,8.51,8.12,8.46,12416488.0
2020-10-15,8.16,8.51,8.12,8.46,12416488.0
2020-10-16,8.16,8.51,8.12,8.46,12416488.0
2020-10-17,8.16,8.51,8.12,8.46,12416488.0
2020-10-18,8.16,8.51,8.12,8.46,12416488.0
2020-10-19,8.16,8.51,8.12,8.46,12416488.0
2020-10-20,8.16,8.51,8.12,8.46,12416488.0
2020-10-21,8.16,8.51,8.12,8.46,12416488.0
2020-10-22,8.16,8.51,8.12,8.46,12416488.0
2020-10-23,8.16,8.51,8.12,8.46,12416488.0
2020-10-24,8.16,8.51,8.12,8.46,12416488.0
2020-10-25,8.16,8.51,8.12,8.46,12416488.0
2020-10-26,8.16,8.51,8.12,8.46,12416488.0
2020-10-27,8.16,8.51,8.12,8.46,12416488.0
2020-10-28,8.16,8.51,8.12,8.46,12416488.0
2020-10-29,8.16,8.51,8.12,8.46,12416488.0
2020-10-30,8.16,8.51,8.12,8.46,12416488.0
2020-10-31,8.16,8.51,8.12,8.46,12416488.0
2020-11-01,8.16,8.51,8.12,8.46,12416488.0
2020-11-02,8.16,8.51,8.12,8.46,12416488.0
2020-11-03,8.16,8.51,8.12,8.46,12416488.0
2020-11-04,8.16,8.51,8.12,8.46,12416488.0
2020-11-05,8.16,8.51,8.12,8.46,12416488.0
2020-11-06,8.16,8.51,8.12,8.46,12416488.0
2020-11-07,8.16,8.51,8.12,8.46,12416488.0
2020-11-08,8.16,8.51,8.12,8.46,12416488.0
2020-11-09,8.16,8.51,8.12,8.46,12416488.0
2020-11-10,8.16,8.51,8.12,8.46,12416488.0
2020-11-11,8.16,8.51,8.12,8.46,12416488.0
2020-11-12,8.16,8.51,8.12,8.46,12416488.0
2020-11-13,8.16,8.51,8.12,8.46,12416488.0
2020-11-14,8.16,8.51,8.12,8.46,12416488.0
2020-11-15,8.16,8.51,8.12,8.46,12416488.0
2020-11-16,8.16,8.51,8.12,8.46,12416488.0
2020-11-17,8.16,8.51,8.12,8.46,12416488.0
2020-11-18,8.16,8.51,8.12,8.46,12416488.0
2020-11-19,8.16,8.51,8.12,8.46,12416488.0
2020-11-20,8.16,8.51,8.12,8.46,12416488.0
2020-11-21,8.16,8.51,8.12,8.46,12416488.0
2020-11-22,8.16,8.51,8.12,8.46,12416488.0
2020-11-23,8.16,8.51,8.12,8.46,12416488.0
2020-11-24,8.16,8.51,8.12,8.46,12416488.0
2020-11-25,8.16,8.51,8.12,8.46,12416488.0
2020-11-26,8.16,8.51,8.12,8.46,12416488.0
2020-11-27,8.16,8.51,8.12,8.46,12416488.0
2020-11-28,8.16,8.51,8.12,8.46,12416488.0
2020-11-29,8.16,8.51,8.12,8.46,12416488.0
2020-11-30,8.16,8.51,8.12,8.46,12416488.0
2020-12-01,8.16,8.51,8.12,8.46,12416488.0
2020-12-02,8.16,8.51,8.12,8.46,12416488.0
2020-12-03,8.16,8.51,8.12,8.46,12416488.0
2020-12-04,8.16,8.51,8.12,8.46,12416488.0
2020-12-05,8.16,8.51,8.12,8.46,12416488.0
2020-12-06,8.16,8.51,8.12,8.46,12416488.0
2020-12-07,8.16,8.51,8.12,8.46,12416488.0
2020-12-08,8.16,8.51,8.12,8.46,12416488.0
2020-12-09,8.16,8.51,8.12,8.46,12416488.0
2020-12-10,8.16,8.51,8.12,8.46,12416488.0
2020-12-11,8.16,8.51,8.12,8.46,12416488.0
2020-12-12,8.16,8.51,8.12,8.46,12416488.0
2020-12-13,8.16,8.51,8.12,8.46,12416488.0
2020-12-14,8.16,8.51,8.12,8.46,12416488.0
2020-12-15,8.16,8.51,8.12,8.46,12416488.0
2020-12-16,8.16,8.51,8.12,8.46,12416488.0
2020-12-17,8.16,8.51,8.12,8.46,12416488.0
2020-12-18,8.16,8.51,8.12,8.46,12416488.0
2020-12-19,8.16,8.51,8.12,8.46,12416488.0
2020-12-20,8.16,8.51,8.12,8.46,12416488.0
2020-12-21,8.16,8.51,8.12,8.46,12416488.0
2020-12-22,8.16,8.51,8.12,8.46,12416488.0
2020-12-23,8.16,8.51,8.12,8.46,12416488.0
2020-12-24,8.16,8.51,8.12,8.46,12416488.0
2020-12-25,8.16,8.51,8.12,8.46,12416488.0
2020-12-26,8.16,8.51,8.12,8.46,12416488.0
2020-12-27,8.16,8.51,8.12,8.46,12416488.0
2020-12-28,8.16,8.51,8.12,8.46,12416488.0
2020-12-29,8.16,8.51,8.12,8.46,12416488.0
2020-12-30,8.16,8.51,8.12,8.46,12416488.0
2020-12-31,8.16,8.51,8.12,8.46,12416488.0
2021-01-01,8.16,8.51,8.12,8.46,12416488.0
2021-01-02,8.16,8.51,8.12,8.46,12416488.0
2021-01-03,8.16,8.51,8.12,8.46,12416488.0
2021-01-04,8.16,8.51,8.12,8.46,12416488.0
2021-01-05,8.16,8.51,8.12,8.46,12416488.0
2021-01-06,8.16,8.51,8.12,8.46,12416488.0
2021-01-07,8.16,8.51,8.12,8.46,12416488.0
2021-01-08,8.16,8.51,8.12,8.46,12416488.0
2021-01-09,8.16,8.51,8.12,8.46,12416488.0
2021-01-10,8.16,8.51,8.12,8.46,12416488.0
2021-01-11,8.16,8.51,8.12,8.46,12416488.0
2021-01-12,8.16,8.51,8.12,8.46,12416488.0
2021-01-13,8.16,8.51,8.12,8.46,12416488.0
2021-01-14,8.16,8.51,8.12,8.46,12416488.0
2021-01-15,8.16,8.51,8.12,8.46,12416488.0
2021-01-16,8.16,8.51,8.12,8.46,12416488.0
2021-01-17,8.16,8.51,8.12,8.46,12416488.0
2021-01-18,8.16,8.51,8.12,8.46,12416488.0
2021-01-19,8.16,8.51,8.12,8.46,12416488.0
2021-01-20,8.16,8.51,8.12,8.46,12416488.0
2021-01-21,8.16,8.51,8.12,8.46,12416488.0
2021-01-22,8.16,8.51,8.12,8.46,12416488.0
2021-01-23,8.16,8.51,8.12,8.46,12416488.0
2021-01-24,8.16,8.51,8.12,8.46,12416488.0
2021-01-25,8.16,8.51,8.12,8.46,12416488.0
2021-01-26,8.16,8.51,8.12,8.46,12416488.0
2021-01-27,8.16,8.51,8.12,8.46,12416488.0
