,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-09-25,20.9353,21.145,20.3608,20.8259,635698.0
2022-09-26,20.8259,21.4778,20.1602,20.1785,609036.0
2022-09-27,20.607,21.0538,20.2788,20.5158,657746.0
2022-09-28,20.7073,21.6009,20.6982,21.3912,626986.0
2022-09-29,20.8532,20.8532,19.9232,20.3608,670267.0
2022-09-30,17.516,18.0539,15.9568,15.9659,4229868.0
2022-10-01,17.516,18.0539,15.9568,15.9659,4229868.0
2022-10-02,17.516,18.0539,15.9568,15.9659,4229868.0
2022-10-03,16.2262,17.5002,15.6404,16.8121,1995582.0
2022-10-04,17.0631,18.6067,17.0631,18.5602,1501767.0
2022-10-05,18.1325,18.9275,18.086,18.6811,1119312.0
2022-10-06,18.4951,19.4622,18.4951,18.802,736846.0
2022-10-07,18.4114,18.6718,17.5746,17.7419,869612.0
2022-10-08,18.4114,18.6718,17.5746,17.7419,869612.0
2022-10-09,18.4114,18.6718,17.5746,17.7419,869612.0
2022-10-10,17.7419,18.0581,17.4909,17.6861,1010507.0
2022-10-11,17.5002,18.1325,17.1561,17.6303,1557945.0
2022-10-12,17.714,18.5137,17.556,18.1976,1083078.0
2022-10-13,17.6954,18.8578,17.3886,18.4579,1126551.0
2022-10-14,18.6439,18.9136,17.4909,17.5188,730274.0
2022-10-15,18.6439,18.9136,17.4909,17.5188,730274.0
2022-10-16,18.6439,18.9136,17.4909,17.5188,730274.0
2022-10-17,17.6954,18.3578,17.3793,17.5467,768137.0
2022-10-18,18.0023,18.4114,16.5145,16.8864,936227.0
2022-10-19,16.6075,16.7191,15.8543,16.1704,1022926.0
2022-10-20,16.2913,16.7098,15.8543,16.0682,616263.0
2022-10-21,16.0682,16.6158,15.7706,16.5145,556251.0
2022-10-22,16.0682,16.6158,15.7706,16.5145,556251.0
2022-10-23,16.0682,16.6158,15.7706,16.5145,556251.0
2022-10-24,16.5982,17.1003,16.1426,16.9422,734158.0
2022-10-25,17.1468,18.6439,17.1468,18.5044,779330.0
2022-10-26,18.2348,19.0995,18.2348,18.4672,524118.0
2022-10-27,18.5602,19.1972,18.5416,18.7648,618244.0
2022-10-28,18.9973,19.2855,18.8159,19.1832,622481.0
2022-10-29,18.9973,19.2855,18.8159,19.1832,622481.0
2022-10-30,18.9973,19.2855,18.8159,19.1832,622481.0
2022-10-31,19.0902,19.5877,18.8996,19.3878,636063.0
2022-11-01,19.5831,19.7737,19.0623,19.4343,644069.0
2022-11-02,19.3134,19.5087,18.2255,18.3184,687886.0
2022-11-03,18.6625,20.0015,17.9202,19.769,961245.0
2022-11-04,19.8062,19.9457,19.1367,19.7319,890734.0
2022-11-05,19.8062,19.9457,19.1367,19.7319,890734.0
2022-11-06,19.8062,19.9457,19.1367,19.7319,890734.0
2022-11-07,19.955,20.2433,19.4808,19.7319,695844.0
2022-11-08,20.0201,20.1595,19.4436,19.8062,541561.0
2022-11-09,19.5087,19.8992,18.895,19.0066,544450.0
2022-11-10,19.9085,21.7311,19.9085,21.2661,710940.0
2022-11-11,21.5544,21.8148,20.8849,21.294,626318.0
2022-11-12,21.5544,21.8148,20.8849,21.294,626318.0
2022-11-13,21.5544,21.8148,20.8849,21.294,626318.0
2022-11-14,21.1453,21.1453,20.3084,20.5873,712660.0
2022-11-15,21.0337,21.5265,20.6245,20.6896,651194.0
2022-11-16,20.2712,20.2712,19.4808,20.2154,510948.0
2022-11-17,19.8713,20.1968,19.5273,20.1875,415743.0
2022-11-18,20.6152,21.0104,20.0108,20.3549,442301.0
2022-11-19,20.6152,21.0104,20.0108,20.3549,442301.0
