,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-07-10,483.99,490.03,483.93,489.48,51330.0
2019-07-11,490.25,493.285,488.88,489.41,61349.0
2019-07-12,490.28,497.77,485.15,494.89,67802.0
2019-07-13,490.28,497.77,485.15,494.89,67802.0
2019-07-14,490.28,497.77,485.15,494.89,67802.0
2019-07-15,495.37,497.4604,482.5,487.35,53476.0
2019-07-16,488.6,490.17,482.97,485.0,50050.0
2019-07-17,483.99,487.95,481.39,483.13,30822.0
2019-07-18,483.04,492.37,482.94,486.71,57026.0
2019-07-19,488.0,492.74,481.0,481.83,47854.0
2019-07-20,488.0,492.74,481.0,481.83,47854.0
2019-07-21,488.0,492.74,481.0,481.83,47854.0
2019-07-22,482.21,482.95,475.1,478.43,41118.0
2019-07-23,474.34,486.4,474.34,485.0,50174.0
2019-07-24,484.5,495.47,483.05,492.77,65742.0
2019-07-25,492.69,493.23,480.15,480.9,75909.0
2019-07-26,481.0,495.94,481.0,492.5,82086.0
2019-07-27,481.0,495.94,481.0,492.5,82086.0
2019-07-28,481.0,495.94,481.0,492.5,82086.0
2019-07-29,493.42,497.015,486.62,488.35,185441.0
2019-07-30,485.1,487.95,478.21,486.95,99207.0
2019-07-31,476.0,484.98,465.99,478.03,294704.0
2019-08-01,481.56,489.96,475.01,480.14,141347.0
2019-08-02,481.26,481.26,461.31,466.17,135273.0
2019-08-03,481.26,481.26,461.31,466.17,135273.0
2019-08-04,481.26,481.26,461.31,466.17,135273.0
2019-08-05,457.88,460.07,448.55,451.01,133601.0
2019-08-06,454.38,459.12,452.29,458.07,82321.0
2019-08-07,452.86,463.5,449.2,460.94,68338.0
2019-08-08,463.5,475.0,461.0,472.81,111882.0
2019-08-09,470.96,474.045,459.98,472.81,94760.0
2019-08-10,470.96,474.045,459.98,472.81,94760.0
2019-08-11,470.96,474.045,459.98,472.81,94760.0
2019-08-12,470.03,470.57,455.485,458.03,89108.0
2019-08-13,460.87,472.21,460.8006,470.37,64444.0
2019-08-14,463.3,465.4,455.3,458.91,92461.0
2019-08-15,460.39,462.94,452.84,453.88,84578.0
2019-08-16,455.16,464.0,455.16,461.05,60753.0
2019-08-17,455.16,464.0,455.16,461.05,60753.0
2019-08-18,455.16,464.0,455.16,461.05,60753.0
2019-08-19,466.75,470.33,459.99,468.66,53573.0
2019-08-20,468.64,469.01,460.12,460.86,45768.0
2019-08-21,465.65,467.55,460.04,463.78,70690.0
2019-08-22,463.45,470.1,460.03,466.61,75122.0
2019-08-23,464.82,467.43,452.11,452.98,70068.0
2019-08-24,464.82,467.43,452.11,452.98,70068.0
2019-08-25,464.82,467.43,452.11,452.98,70068.0
2019-08-26,457.01,459.19,450.49,453.69,88641.0
2019-08-27,457.46,459.3,446.425,446.85,77410.0
2019-08-28,445.28,454.67,445.28,454.29,97243.0
2019-08-29,459.34,460.9,454.75,459.32,57690.0
2019-08-30,461.23,462.2378,447.1,452.65,78023.0
2019-08-31,461.23,462.2378,447.1,452.65,78023.0
2019-09-01,461.23,462.2378,447.1,452.65,78023.0
2019-09-02,461.23,462.2378,447.1,452.65,78023.0
2019-09-03,451.09,452.3,440.57,444.89,111325.0
2019-09-04,449.88,451.4595,440.02,441.5,95099.0
2019-09-05,446.51,454.95,445.066,451.98,100217.0
2019-09-06,452.71,456.225,446.39,447.04,95284.0
2019-09-07,452.71,456.225,446.39,447.04,95284.0
2019-09-08,452.71,456.225,446.39,447.04,95284.0
2019-09-09,449.53,463.72,447.515,463.12,116429.0
2019-09-10,461.0,466.87,457.05,463.41,61847.0
2019-09-11,464.48,475.12,462.095,474.77,85751.0
2019-09-12,476.95,485.0,472.92,475.22,106617.0
2019-09-13,476.78,488.725,472.897,481.05,80997.0
2019-09-14,476.78,488.725,472.897,481.05,80997.0
2019-09-15,476.78,488.725,472.897,481.05,80997.0
2019-09-16,477.36,484.33,476.0,483.99,94335.0
2019-09-17,485.0,494.56,482.51,494.49,108811.0
2019-09-18,493.25,493.57,487.83,491.25,55334.0
2019-09-19,491.05,498.06,490.15,490.44,51154.0
2019-09-20,491.65,493.69,474.31,474.56,185707.0
2019-09-21,491.65,493.69,474.31,474.56,185707.0
2019-09-22,491.65,493.69,474.31,474.56,185707.0
2019-09-23,474.99,483.0,471.005,481.63,96129.0
2019-09-24,484.0,488.23,473.01,474.57,67933.0
2019-09-25,474.1,477.0783,469.28,473.68,72785.0
2019-09-26,473.99,474.955,462.76,467.37,95096.0
2019-09-27,468.0,469.67,460.5401,464.03,56046.0
2019-09-28,468.0,469.67,460.5401,464.03,56046.0
2019-09-29,468.0,469.67,460.5401,464.03,56046.0
2019-09-30,464.86,464.95,456.91,461.31,82997.0
2019-10-01,464.01,470.125,451.13,455.3,72340.0
2019-10-02,452.45,453.7,435.06,443.38,106681.0
2019-10-03,443.57,446.37,431.88,441.88,87609.0
2019-10-04,446.97,451.63,442.085,450.43,64573.0
2019-10-05,446.97,451.63,442.085,450.43,64573.0
2019-10-06,446.97,451.63,442.085,450.43,64573.0
2019-10-07,448.92,448.92,444.2505,446.98,50668.0
2019-10-08,444.37,444.37,436.0,437.58,79375.0
2019-10-09,438.65,444.2,438.65,442.71,34701.0
2019-10-10,443.92,451.43,443.91,450.7,61773.0
2019-10-11,454.2,466.955,453.045,465.1,110969.0
2019-10-12,454.2,466.955,453.045,465.1,110969.0
2019-10-13,454.2,466.955,453.045,465.1,110969.0
2019-10-14,461.58,467.71,461.33,464.3,57090.0
2019-10-15,464.22,468.72,454.61,468.24,72046.0
2019-10-16,469.13,469.13,458.39,461.97,74176.0
2019-10-17,464.79,467.91,460.55,463.98,77365.0
2019-10-18,463.48,467.05,461.76,464.4,75146.0
2019-10-19,463.48,467.05,461.76,464.4,75146.0
2019-10-20,463.48,467.05,461.76,464.4,75146.0
2019-10-21,466.93,467.5462,462.785,464.92,62973.0
2019-10-22,464.51,466.14,454.8025,455.5,74725.0
2019-10-23,455.31,458.25,444.3,446.7,100290.0
2019-10-24,448.69,448.69,439.68,439.98,81464.0
2019-10-25,439.98,444.07,437.52,437.89,130869.0
2019-10-26,439.98,444.07,437.52,437.89,130869.0
2019-10-27,439.98,444.07,437.52,437.89,130869.0
2019-10-28,441.84,448.015,437.74,439.46,84404.0
2019-10-29,439.41,444.84,437.69,441.25,59684.0
2019-10-30,440.71,441.88,436.11,439.2,61982.0
2019-10-31,438.48,438.48,431.72,437.81,75964.0
2019-11-01,438.62,447.61,438.62,443.04,69003.0
2019-11-02,438.62,447.61,438.62,443.04,69003.0
2019-11-03,438.62,447.61,438.62,443.04,69003.0
2019-11-04,423.0,425.0,385.355,411.6,524685.0
2019-11-05,409.39,434.48,405.2,430.37,200544.0
2019-11-06,431.0,431.0,419.288,423.62,153461.0
