,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-05-08,455.072,458.468,451.485,455.15,635405.0
2021-05-09,455.072,458.468,451.485,455.15,635405.0
2021-05-10,455.933,465.289,455.933,459.936,636347.0
2021-05-11,459.349,461.159,444.796,446.029,827817.0
2021-05-12,444.728,448.75,443.622,444.062,748537.0
2021-05-13,443.925,449.464,441.831,446.215,472211.0
2021-05-14,447.85,448.104,441.537,443.084,571888.0
2021-05-15,447.85,448.104,441.537,443.084,571888.0
2021-05-16,447.85,448.104,441.537,443.084,571888.0
2021-05-17,444.61,445.285,439.952,440.842,529428.0
2021-05-18,440.177,441.86,434.922,439.864,1214664.0
2021-05-19,438.053,439.541,430.645,435.108,580644.0
2021-05-20,434.843,437.3,428.668,430.361,1108917.0
2021-05-21,432.857,443.152,432.465,436.478,935569.0
2021-05-22,432.857,443.152,432.465,436.478,935569.0
2021-05-23,432.857,443.152,432.465,436.478,935569.0
2021-05-24,436.615,437.745,431.898,433.336,773038.0
2021-05-25,434.403,435.538,427.924,432.446,803614.0
2021-05-26,428.12,433.307,428.12,429.47,1004481.0
2021-05-27,431.477,431.584,427.415,429.979,1639004.0
2021-05-28,431.095,432.788,427.621,428.355,486627.0
2021-05-29,431.095,432.788,427.621,428.355,486627.0
2021-05-30,431.095,432.788,427.621,428.355,486627.0
2021-05-31,431.095,432.788,427.621,428.355,486627.0
2021-06-01,428.502,430.009,421.235,422.043,723191.0
2021-06-02,423.922,424.137,418.353,419.743,857087.0
2021-06-03,418.97,424.019,418.97,421.455,784122.0
2021-06-04,422.023,422.571,415.593,417.228,571957.0
2021-06-05,422.023,422.571,415.593,417.228,571957.0
2021-06-06,422.023,422.571,415.593,417.228,571957.0
2021-06-07,419.175,419.175,405.993,407.118,1368767.0
2021-06-08,406.727,416.601,402.577,413.313,1206635.0
2021-06-09,414.82,418.363,413.303,413.724,580924.0
2021-06-10,413.871,415.632,409.115,411.972,539722.0
2021-06-11,413.088,413.088,407.426,410.23,719353.0
2021-06-12,413.088,413.088,407.426,410.23,719353.0
2021-06-13,413.088,413.088,407.426,410.23,719353.0
2021-06-14,411.131,411.131,404.114,406.257,930716.0
2021-06-15,407.01,417.061,405.753,415.593,1072147.0
2021-06-16,417.179,426.309,417.179,418.979,1295839.0
2021-06-17,418.314,422.248,415.182,419.782,782664.0
2021-06-18,417.922,418.793,414.419,414.458,1433574.0
2021-06-19,417.922,418.793,414.419,414.458,1433574.0
2021-06-20,417.922,418.793,414.419,414.458,1433574.0
2021-06-21,415.916,426.823,414.145,426.251,797342.0
2021-06-22,427.758,427.875,423.217,426.427,671183.0
2021-06-23,427.65,430.42,424.528,429.099,697652.0
2021-06-24,431.242,435.019,429.735,431.32,671668.0
2021-06-25,431.966,435.323,429.842,432.279,1649397.0
2021-06-26,431.966,435.323,429.842,432.279,1649397.0
2021-06-27,431.966,435.323,429.842,432.279,1649397.0
2021-06-28,433.307,436.155,429.637,435.382,822426.0
2021-06-29,436.185,436.773,432.382,433.529,675374.0
2021-06-30,433.784,435.783,432.107,433.95,438678.0
2021-07-01,434.038,438.998,433.372,438.763,590102.0
2021-07-02,438.734,443.458,436.391,442.821,504473.0
2021-07-03,438.734,443.458,436.391,442.821,504473.0
2021-07-04,438.734,443.458,436.391,442.821,504473.0
2021-07-05,438.734,443.458,436.391,442.821,504473.0
2021-07-06,442.066,445.213,439.675,444.605,557173.0
2021-07-07,444.527,449.555,443.551,448.418,496103.0
2021-07-08,444.654,447.266,441.282,445.497,466230.0
2021-07-09,448.585,449.041,446.34,446.624,416897.0
2021-07-10,448.585,449.041,446.34,446.624,416897.0
2021-07-11,448.585,449.041,446.34,446.624,416897.0
2021-07-12,445.958,450.231,445.139,449.231,454402.0
2021-07-13,450.202,453.603,449.222,451.192,794532.0
2021-07-14,452.113,452.211,448.398,450.996,586919.0
2021-07-15,448.859,459.416,445.752,457.681,824367.0
2021-07-16,459.337,463.072,456.475,461.572,771623.0
2021-07-17,459.337,463.072,456.475,461.572,771623.0
2021-07-18,459.337,463.072,456.475,461.572,771623.0
2021-07-19,458.641,458.955,447.114,451.8,866141.0
2021-07-20,453.75,458.426,450.712,451.378,720779.0
2021-07-21,454.426,454.475,448.09,454.299,592310.0
2021-07-22,455.015,456.642,452.495,454.515,467148.0
2021-07-23,456.181,463.317,455.718,461.886,542106.0
2021-07-24,456.181,463.317,455.718,461.886,542106.0
2021-07-25,456.181,463.317,455.718,461.886,542106.0
2021-07-26,460.19,463.15,455.367,458.053,652665.0
2021-07-27,456.181,459.406,453.534,458.239,621216.0
2021-07-28,435.195,438.459,423.795,432.078,2405623.0
2021-07-29,433.245,434.313,421.267,422.217,1381946.0
2021-07-30,420.6,423.443,416.928,417.424,1193844.0
2021-07-31,420.6,423.443,416.928,417.424,1193844.0
2021-08-01,420.6,423.443,416.928,417.424,1193844.0
2021-08-02,417.561,422.139,414.366,421.071,957457.0
2021-08-03,421.237,421.237,415.023,417.062,945363.0
2021-08-04,414.631,419.688,411.69,417.767,951095.0
2021-08-05,413.641,416.042,401.388,407.662,1871957.0
2021-08-06,409.102,412.553,406.034,410.906,832134.0
2021-08-07,409.102,412.553,406.034,410.906,832134.0
2021-08-08,409.102,412.553,406.034,410.906,832134.0
2021-08-09,409.994,414.871,406.828,408.397,667659.0
2021-08-10,408.75,411.21,406.24,406.583,1015701.0
2021-08-11,406.495,406.572,400.163,400.702,1074960.0
2021-08-12,400.261,402.486,397.046,397.703,652833.0
2021-08-13,399.418,402.957,397.958,402.633,486015.0
2021-08-14,399.418,402.957,397.958,402.633,486015.0
2021-08-15,399.418,402.957,397.958,402.633,486015.0
