,INDB US Equity,INDB US Equity,INDB US Equity,INDB US Equity,INDB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-11-15,81.9783,82.1482,80.3168,81.1853,181517.0
2022-11-16,81.1381,81.6101,80.5151,80.8266,141931.0
2022-11-17,80.3923,80.6,79.8637,80.4679,126701.0
2022-11-18,81.5818,81.8178,80.803,81.544,153487.0
2022-11-19,81.5818,81.8178,80.803,81.544,153487.0
2022-11-20,81.5818,81.8178,80.803,81.544,153487.0
2022-11-21,81.8272,83.1583,81.8272,82.9506,156439.0
2022-11-22,83.4981,83.9041,82.9034,83.4415,152468.0
2022-11-23,83.3282,83.7153,82.9601,83.0167,74537.0
2022-11-24,83.3282,83.7153,82.9601,83.0167,74537.0
2022-11-25,83.4226,84.14,82.6627,83.9324,62751.0
2022-11-26,83.4226,84.14,82.6627,83.9324,62751.0
2022-11-27,83.4226,84.14,82.6627,83.9324,62751.0
2022-11-28,83.5076,83.838,82.6485,83.2244,184063.0
2022-11-29,83.0356,83.6209,82.9412,83.4887,175846.0
2022-11-30,83.5359,85.7732,82.2662,85.4523,258291.0
2022-12-01,85.0463,85.9384,82.54,85.7732,166110.0
2022-12-02,85.0652,86.519,85.0652,86.3868,147630.0
2022-12-03,85.0652,86.519,85.0652,86.3868,147630.0
2022-12-04,85.0652,86.519,85.0652,86.3868,147630.0
2022-12-05,85.7827,85.9903,82.3653,83.5454,198336.0
2022-12-06,83.3754,84.2062,82.5258,83.0261,232243.0
2022-12-07,83.1111,83.989,81.7612,82.2426,138523.0
2022-12-08,82.337,82.8751,81.6856,82.658,142884.0
2022-12-09,82.7524,84.1212,82.7146,83.4604,179113.0
2022-12-10,82.7524,84.1212,82.7146,83.4604,179113.0
2022-12-11,82.7524,84.1212,82.7146,83.4604,179113.0
2022-12-12,83.045,84.5578,82.573,84.0362,177355.0
2022-12-13,83.4037,85.254,79.9675,80.1847,284572.0
2022-12-14,80.8455,81.0343,78.9905,79.0613,328980.0
2022-12-15,78.2683,78.712,76.7768,77.5037,230153.0
2022-12-16,76.9089,77.6358,76.5012,77.4659,628003.0
2022-12-17,76.9089,77.6358,76.5012,77.4659,628003.0
2022-12-18,76.9089,77.6358,76.5012,77.4659,628003.0
2022-12-19,77.768,78.5987,77.768,78.4288,163633.0
2022-12-20,78.6459,79.4483,78.5232,78.9102,217935.0
2022-12-21,79.6843,80.8832,78.9008,79.9581,174175.0
2022-12-22,79.4955,79.6985,78.3627,79.6843,124932.0
2022-12-23,79.5703,80.9481,79.4848,80.5775,58612.0
2022-12-24,79.5703,80.9481,79.4848,80.5775,58612.0
2022-12-25,79.5703,80.9481,79.4848,80.5775,58612.0
