,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-04-28,136.1255,137.7851,135.8139,136.5033,1570109.0
2021-04-29,137.8067,137.8445,135.6203,136.9661,1602675.0
2021-04-30,135.9178,136.3994,134.7372,134.9922,1489756.0
2021-05-01,135.9178,136.3994,134.7372,134.9922,1489756.0
2021-05-02,135.9178,136.3994,134.7372,134.9922,1489756.0
2021-05-03,136.8811,137.2967,135.1339,136.3428,1548664.0
2021-05-04,135.2377,137.0322,133.3886,136.6356,3727652.0
2021-05-05,137.24,138.3639,135.2653,137.4006,2731294.0
2021-05-06,137.6556,138.3639,136.56,138.3073,1901050.0
2021-05-07,137.5611,140.1017,136.4372,139.3273,1593294.0
2021-05-08,137.5611,140.1017,136.4372,139.3273,1593294.0
2021-05-09,137.5611,140.1017,136.4372,139.3273,1593294.0
2021-05-10,139.8184,141.0793,139.2045,139.2328,1452669.0
2021-05-11,138.3828,138.7606,136.3617,137.665,1636255.0
2021-05-12,136.9661,137.9782,135.3416,135.71,3123338.0
2021-05-13,135.4061,139.3744,135.4061,138.435,2040071.0
2021-05-14,139.299,141.1219,138.9176,140.6758,1512774.0
2021-05-15,139.299,141.1219,138.9176,140.6758,1512774.0
2021-05-16,139.299,141.1219,138.9176,140.6758,1512774.0
2021-05-17,140.2105,141.141,139.3845,139.9826,1466798.0
2021-05-18,139.8592,139.9731,136.9823,137.0392,1267421.0
2021-05-19,134.9978,135.9283,133.4217,135.5485,1950554.0
2021-05-20,136.1467,136.5455,134.713,136.3746,2279161.0
2021-05-21,137.3241,138.2071,135.5616,136.1847,1790863.0
2021-05-22,137.3241,138.2071,135.5616,136.1847,1790863.0
2021-05-23,137.3241,138.2071,135.5616,136.1847,1790863.0
2021-05-24,137.3146,137.3146,135.4346,136.3841,1341074.0
2021-05-25,136.3841,137.3621,135.1023,135.596,1685335.0
2021-05-26,135.9663,136.4316,134.9361,135.7574,1170402.0
2021-05-27,137.1437,138.0647,136.7924,137.2861,3082455.0
2021-05-28,137.9318,138.1786,136.9918,137.9128,1539505.0
2021-05-29,137.9318,138.1786,136.9918,137.9128,1539505.0
2021-05-30,137.9318,138.1786,136.9918,137.9128,1539505.0
2021-05-31,137.9318,138.1786,136.9918,137.9128,1539505.0
2021-06-01,139.5554,139.8117,138.2403,138.9002,1321055.0
2021-06-02,138.8148,139.4699,138.0599,138.5964,1545876.0
2021-06-03,138.378,139.6313,137.2576,139.0237,1277346.0
2021-06-04,139.4889,141.3309,139.4889,141.0081,1616973.0
2021-06-05,139.4889,141.3309,139.4889,141.0081,1616973.0
2021-06-06,139.4889,141.3309,139.4889,141.0081,1616973.0
2021-06-07,141.3309,141.5208,138.4964,139.4319,1820472.0
2021-06-08,139.394,140.4859,137.9887,139.6883,1327491.0
2021-06-09,139.4604,139.8687,138.4635,139.0142,978325.0
2021-06-10,139.6978,140.2627,138.5916,139.4035,1648059.0
2021-06-11,139.5839,140.6378,138.2641,139.2231,997931.0
2021-06-12,139.5839,140.6378,138.2641,139.2231,997931.0
2021-06-13,139.5839,140.6378,138.2641,139.2231,997931.0
2021-06-14,139.0521,139.28,137.5615,138.6249,1318350.0
2021-06-15,138.9002,140.4004,138.0268,140.3814,1475941.0
2021-06-16,140.277,141.16,138.34,138.9762,1590450.0
2021-06-17,138.8338,139.0237,133.792,135.4156,2517795.0
2021-06-18,133.4692,134.2857,132.0924,132.2253,3066903.0
2021-06-19,133.4692,134.2857,132.0924,132.2253,3066903.0
2021-06-20,133.4692,134.2857,132.0924,132.2253,3066903.0
2021-06-21,133.3742,136.3461,133.3173,135.8144,1488934.0
2021-06-22,135.7194,136.6499,134.618,135.615,1487761.0
2021-06-23,135.9568,138.2356,135.7479,137.1152,1962420.0
2021-06-24,137.9412,138.6999,137.0013,138.2926,1291555.0
2021-06-25,138.7768,140.0491,138.7008,139.28,1469648.0
2021-06-26,138.7768,140.0491,138.7008,139.28,1469648.0
2021-06-27,138.7768,140.0491,138.7008,139.28,1469648.0
2021-06-28,139.5269,139.5269,137.4665,139.0996,1170641.0
2021-06-29,139.9067,140.5049,139.0332,139.0901,1433483.0
2021-06-30,138.7198,140.9891,138.4255,140.6948,1597431.0
2021-07-01,142.3089,143.097,141.8057,142.5842,2246292.0
2021-07-02,142.4323,143.7996,141.8436,143.7521,1187276.0
2021-07-03,142.4323,143.7996,141.8436,143.7521,1187276.0
2021-07-04,142.4323,143.7996,141.8436,143.7521,1187276.0
2021-07-05,142.4323,143.7996,141.8436,143.7521,1187276.0
2021-07-06,143.6097,143.6097,139.9257,142.138,1633065.0
2021-07-07,141.9386,144.5781,141.9196,144.4927,1409362.0
2021-07-08,142.4228,144.1319,141.9671,142.964,1856101.0
2021-07-09,144.6351,146.5056,144.5497,145.803,1479466.0
2021-07-10,144.6351,146.5056,144.5497,145.803,1479466.0
2021-07-11,144.6351,146.5056,144.5497,145.803,1479466.0
2021-07-12,145.2333,147.4076,144.6352,147.2367,1764631.0
2021-07-13,146.7904,147.4646,146.0024,146.2587,1644254.0
2021-07-14,146.9139,147.8064,140.8183,145.6511,3902550.0
2021-07-15,144.5307,146.7335,144.4927,146.0973,1278237.0
2021-07-16,146.9898,147.4076,144.901,145.0244,1636260.0
2021-07-17,146.9898,147.4076,144.901,145.0244,1636260.0
2021-07-18,146.9898,147.4076,144.901,145.0244,1636260.0
2021-07-19,142.926,142.926,139.5649,141.6537,1872834.0
2021-07-20,142.7361,146.6195,141.5778,146.3062,1744937.0
2021-07-21,147.1323,148.7274,146.9281,147.7684,1555654.0
2021-07-22,148.1862,148.3381,147.0753,148.1672,1313154.0
2021-07-23,148.9363,149.392,147.9773,148.8129,1105793.0
2021-07-24,148.9363,149.392,147.9773,148.8129,1105793.0
2021-07-25,148.9363,149.392,147.9773,148.8129,1105793.0
