,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-12-04,462.178,468.853,459.839,465.906,181952.0
2022-12-05,462.326,462.326,452.952,453.98,219427.0
2022-12-06,454.682,455.76,446.228,449.095,243460.0
2022-12-07,450.183,452.359,444.418,445.278,230878.0
2022-12-08,445.397,449.629,443.38,446.277,214673.0
2022-12-09,445.071,447.968,442.005,444.734,163858.0
2022-12-10,445.071,447.968,442.005,444.734,163858.0
2022-12-11,445.071,447.968,442.005,444.734,163858.0
2022-12-12,444.883,451.033,442.307,444.883,211617.0
2022-12-13,455.681,457.199,444.871,451.874,237603.0
2022-12-14,452.457,457.046,441.703,444.299,243238.0
2022-12-15,439.928,439.928,425.491,426.262,403891.0
2022-12-16,422.851,428.309,420.893,423.612,518788.0
2022-12-17,422.851,428.309,420.893,423.612,518788.0
2022-12-18,422.851,428.309,420.893,423.612,518788.0
2022-12-19,421.526,426.055,412.665,415.226,438711.0
2022-12-20,413.348,415.345,392.077,392.858,659936.0
2022-12-21,395.568,402.084,388.626,399.998,327535.0
2022-12-22,397.427,397.427,386.025,394.065,237009.0
2022-12-23,393.036,394.599,389.269,393.61,161716.0
2022-12-24,393.036,394.599,389.269,393.61,161716.0
2022-12-25,393.036,394.599,389.269,393.61,161716.0
2022-12-26,393.036,394.599,389.269,393.61,161716.0
2022-12-27,393.046,393.333,388.458,391.147,180579.0
2022-12-28,392.136,394.668,388.26,390.129,166636.0
2022-12-29,392.967,402.144,390.693,401.976,213639.0
2022-12-30,398.841,399.098,393.689,396.744,163527.0
2022-12-31,398.841,399.098,393.689,396.744,163527.0
2023-01-01,398.841,399.098,393.689,396.744,163527.0
2023-01-02,398.841,399.098,393.689,396.744,163527.0
2023-01-03,397.842,402.569,396.299,401.442,249879.0
2023-01-04,404.982,408.255,399.454,403.251,334662.0
2023-01-05,400.126,400.126,388.913,389.17,304773.0
2023-01-06,392.878,400.087,389.15,399.958,221037.0
2023-01-07,392.878,400.087,389.15,399.958,221037.0
2023-01-08,392.878,400.087,389.15,399.958,221037.0
2023-01-09,402.885,408.275,398.337,400.117,174740.0
2023-01-10,398.752,405.051,395.79,404.725,206404.0
2023-01-11,404.774,409.718,402.925,408.225,185860.0
