,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-12-14,29.7613,29.931,29.532,29.587,41971.0
2020-12-15,29.853,30.4125,29.6774,30.229,54777.0
2020-12-16,30.3758,30.4033,30.1648,30.3116,37659.0
2020-12-17,29.4632,30.5959,29.4632,30.3208,59325.0
2020-12-18,30.4675,30.5409,29.3669,29.3669,215394.0
2020-12-19,30.4675,30.5409,29.3669,29.3669,215394.0
2020-12-20,30.4675,30.5409,29.3669,29.3669,215394.0
2020-12-21,29.4036,29.7888,28.4865,29.0276,57221.0
2020-12-22,28.7983,29.0092,28.4956,28.7249,38203.0
2020-12-23,28.835,29.4862,28.6057,29.4495,37308.0
2020-12-24,29.5779,29.743,29.344,29.743,18385.0
2020-12-25,29.5779,29.743,29.344,29.743,18385.0
2020-12-26,29.5779,29.743,29.344,29.743,18385.0
2020-12-27,29.5779,29.743,29.344,29.743,18385.0
2020-12-28,29.8989,30.4858,29.7521,30.3116,58902.0
2020-12-29,30.5134,30.5134,29.7338,29.9447,77357.0
2020-12-30,30.0181,30.3758,30.0181,30.2199,36426.0
2020-12-31,30.2749,30.4492,29.8805,30.3483,40487.0
2021-01-01,30.2749,30.4492,29.8805,30.3483,40487.0
2021-01-02,30.2749,30.4492,29.8805,30.3483,40487.0
2021-01-03,30.2749,30.4492,29.8805,30.3483,40487.0
2021-01-04,30.385,30.7335,29.5412,30.1006,74186.0
2021-01-05,30.1648,30.6509,30.0273,30.2474,51140.0
2021-01-06,31.0086,32.9713,30.816,32.5586,102252.0
2021-01-07,33.0172,33.0172,32.0542,32.4944,46939.0
2021-01-08,32.6962,32.6962,31.1737,31.7515,32457.0
2021-01-09,32.6962,32.6962,31.1737,31.7515,32457.0
2021-01-10,32.6962,32.6962,31.1737,31.7515,32457.0
2021-01-11,31.5772,31.9166,31.2746,31.8891,25492.0
2021-01-12,32.1,32.7423,32.0358,32.2559,36941.0
2021-01-13,32.1367,32.1367,31.4672,31.6873,27321.0
2021-01-14,32.0633,32.366,31.779,32.155,45724.0
2021-01-15,31.7423,32.4715,31.3021,31.8524,28065.0
2021-01-16,31.7423,32.4715,31.3021,31.8524,28065.0
2021-01-17,31.7423,32.4715,31.3021,31.8524,28065.0
2021-01-18,31.7423,32.4715,31.3021,31.8524,28065.0
2021-01-19,32.0908,32.0908,31.2562,31.5222,31457.0
2021-01-20,31.4122,31.5772,31.0086,31.4488,29082.0
2021-01-21,31.6048,31.6048,30.7977,31.1187,49395.0
2021-01-22,30.9811,31.6323,30.8527,31.5497,68956.0
2021-01-23,30.9811,31.6323,30.8527,31.5497,68956.0
2021-01-24,30.9811,31.6323,30.8527,31.5497,68956.0
2021-01-25,31.1829,31.1829,29.9814,30.6509,31991.0
2021-01-26,31.1645,31.4947,30.871,31.2838,68086.0
2021-01-27,30.7885,31.5772,30.1557,31.4397,90460.0
2021-01-28,31.6414,31.7148,30.9628,31.3388,86010.0
2021-01-29,31.5406,31.6506,31.0178,31.027,86331.0
2021-01-30,31.5406,31.6506,31.0178,31.027,86331.0
2021-01-31,31.5406,31.6506,31.0178,31.027,86331.0
2021-02-01,31.1554,31.4947,30.4583,31.2838,55433.0
2021-02-02,31.5222,31.8065,31.027,31.6598,28702.0
2021-02-03,31.5314,31.7011,30.9536,31.4947,34794.0
2021-02-04,31.4855,32.3752,31.2654,32.311,51184.0
2021-02-05,32.421,32.421,31.7088,32.1826,34487.0
2021-02-06,32.421,32.421,31.7088,32.1826,34487.0
2021-02-07,32.421,32.421,31.7088,32.1826,34487.0
2021-02-08,31.5039,32.8337,31.5039,32.6962,38604.0
2021-02-09,32.7515,33.0375,32.5117,32.9545,26901.0
2021-02-10,33.0191,33.2405,32.6777,32.7146,35092.0
2021-02-11,32.7515,33.0375,32.3271,32.6685,27056.0
2021-02-12,32.5855,33.1113,32.5209,32.8715,60123.0
2021-02-13,32.5855,33.1113,32.5209,32.8715,60123.0
2021-02-14,32.5855,33.1113,32.5209,32.8715,60123.0
2021-02-15,32.5855,33.1113,32.5209,32.8715,60123.0
2021-02-16,33.2128,33.5634,32.853,33.4435,66632.0
2021-02-17,33.5542,33.9324,33.222,33.4342,37707.0
2021-02-18,33.3143,33.6556,33.0836,33.3604,45992.0
2021-02-19,33.425,33.9509,33.425,33.9232,48317.0
2021-02-20,33.425,33.9509,33.425,33.9232,48317.0
2021-02-21,33.425,33.9509,33.425,33.9232,48317.0
2021-02-22,33.8771,35.8099,33.8771,35.5193,65325.0
2021-02-23,35.3809,38.1671,35.3255,36.7832,81054.0
2021-02-24,36.4603,37.3552,36.3588,36.9216,56789.0
2021-02-25,37.2353,37.2629,36.6171,36.9769,41162.0
2021-02-26,36.6448,36.9308,35.7039,36.3496,73780.0
2021-02-27,36.6448,36.9308,35.7039,36.3496,73780.0
2021-02-28,36.6448,36.9308,35.7039,36.3496,73780.0
2021-03-01,36.9216,37.7611,36.6026,37.5858,55134.0
2021-03-02,37.3644,37.3644,36.6909,37.143,35658.0
2021-03-03,37.3552,38.7944,37.0507,38.287,56727.0
2021-03-04,38.3792,39.2096,37.4105,38.3054,74874.0
2021-03-05,38.8405,40.372,38.5269,40.1321,84425.0
2021-03-06,38.8405,40.372,38.5269,40.1321,84425.0
2021-03-07,38.8405,40.372,38.5269,40.1321,84425.0
2021-03-08,40.1321,42.0511,40.1321,41.8574,69568.0
2021-03-09,41.8574,42.3002,39.4956,41.4422,63699.0
2021-03-10,41.5714,42.8999,41.4422,42.7799,79627.0
2021-03-11,42.5493,43.0567,41.719,42.9737,70925.0
2021-03-12,43.1767,45.1141,43.1767,44.9941,84603.0
2021-03-13,43.1767,45.1141,43.1767,44.9941,84603.0
2021-03-14,43.1767,45.1141,43.1767,44.9941,84603.0
2021-03-15,45.1602,45.5523,43.6195,45.2617,99177.0
2021-03-16,44.8281,46.9684,44.4129,46.4241,116996.0
2021-03-17,46.5164,47.153,43.8501,44.7819,152261.0
2021-03-18,45.0495,46.4795,44.745,44.8926,70046.0
2021-03-19,44.7912,45.5228,43.6939,44.1823,253614.0
2021-03-20,44.7912,45.5228,43.6939,44.1823,253614.0
2021-03-21,44.7912,45.5228,43.6939,44.1823,253614.0
2021-03-22,44.1915,44.1915,42.8168,43.3704,51297.0
2021-03-23,42.9091,44.2561,42.0742,42.2356,44782.0
2021-03-24,42.6969,43.9977,42.1157,42.3002,64810.0
2021-03-25,42.3187,43.2781,41.6544,43.029,40189.0
2021-03-26,43.4811,43.8225,43.2505,43.8225,41125.0
2021-03-27,43.4811,43.8225,43.2505,43.8225,41125.0
2021-03-28,43.4811,43.8225,43.2505,43.8225,41125.0
2021-03-29,43.1767,43.6933,42.3832,42.4847,30962.0
2021-03-30,42.5678,43.2966,42.2172,42.7061,33092.0
2021-03-31,42.5216,43.3519,41.8251,42.6416,88221.0
2021-04-01,42.374,43.2043,41.9127,43.2043,53462.0
2021-04-02,42.374,43.2043,41.9127,43.2043,53462.0
2021-04-03,42.374,43.2043,41.9127,43.2043,53462.0
2021-04-04,42.374,43.2043,41.9127,43.2043,53462.0
2021-04-05,43.7302,43.7302,42.457,43.1028,30578.0
2021-04-06,43.0475,43.1767,42.4939,42.863,30845.0
2021-04-07,42.7892,42.9737,41.8758,42.0603,35383.0
2021-04-08,42.1895,42.4109,41.2854,42.3925,33101.0
2021-04-09,42.5401,42.8168,42.0696,42.5585,51395.0
2021-04-10,42.5401,42.8168,42.0696,42.5585,51395.0
