,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-11-23,36.6727,37.5602,36.4685,37.3294,259388.0
2020-11-24,37.8619,38.5897,37.8074,38.3057,389493.0
2020-11-25,38.3856,38.4166,37.6756,37.7821,249601.0
2020-11-26,38.3856,38.4166,37.6756,37.7821,249601.0
2020-11-27,37.7022,37.7554,37.1297,37.2762,116261.0
2020-11-28,37.7022,37.7554,37.1297,37.2762,116261.0
2020-11-29,37.7022,37.7554,37.1297,37.2762,116261.0
2020-11-30,37.1697,37.4359,36.5218,36.5395,490479.0
2020-12-01,36.8502,37.1075,35.7762,36.1934,407520.0
2020-12-02,36.2023,36.5129,36.067,36.2466,395424.0
2020-12-03,36.0603,36.4774,35.4922,36.4419,526822.0
2020-12-04,36.5218,37.1164,36.5218,36.9922,271856.0
2020-12-05,36.5218,37.1164,36.5218,36.9922,271856.0
2020-12-06,36.5218,37.1164,36.5218,36.9922,271856.0
2020-12-07,36.7703,37.1963,36.6194,36.8058,373037.0
2020-12-08,36.5395,37.5602,36.5395,37.3205,352953.0
2020-12-09,37.4714,37.8087,37.1697,37.7288,296612.0
2020-12-10,37.7199,38.359,37.7199,38.3323,321208.0
2020-12-11,38.1371,38.5542,38.1371,38.2613,319293.0
2020-12-12,38.1371,38.5542,38.1371,38.2613,319293.0
2020-12-13,38.1371,38.5542,38.1371,38.2613,319293.0
2020-12-14,38.5808,39.0956,37.7998,37.8087,376956.0
2020-12-15,37.8974,38.8204,37.8264,38.7228,482834.0
2020-12-16,38.8382,38.8382,38.2613,38.4477,374872.0
2020-12-17,38.359,38.9802,38.0661,38.288,444067.0
2020-12-18,38.4566,38.7708,37.9418,38.0394,1285867.0
2020-12-19,38.4566,38.7708,37.9418,38.0394,1285867.0
2020-12-20,38.4566,38.7708,37.9418,38.0394,1285867.0
2020-12-21,37.4803,37.7022,36.3886,36.8502,623750.0
2020-12-22,36.8857,37.3915,36.5839,37.2762,410964.0
2020-12-23,37.4004,38.1104,37.3205,37.3915,297744.0
2020-12-24,37.5069,37.5069,37.1209,37.4004,165369.0
2020-12-25,37.5069,37.5069,37.1209,37.4004,165369.0
2020-12-26,37.5069,37.5069,37.1209,37.4004,165369.0
2020-12-27,37.5069,37.5069,37.1209,37.4004,165369.0
2020-12-28,37.3294,37.4359,36.575,37.0099,364488.0
2020-12-29,37.0277,37.2229,36.3886,36.717,391032.0
2020-12-30,36.7395,37.363,36.2909,36.7395,462168.0
2020-12-31,36.7215,37.0176,36.4524,36.901,353506.0
2021-01-01,36.7215,37.0176,36.4524,36.901,353506.0
2021-01-02,36.7215,37.0176,36.4524,36.901,353506.0
