,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-12-10,200.0,202.206,199.009,201.745,553493.0
2021-12-11,200.0,202.206,199.009,201.745,553493.0
2021-12-12,200.0,202.206,199.009,201.745,553493.0
2021-12-13,202.333,203.0,197.829,200.14,584517.0
2021-12-14,199.798,204.675,198.688,203.491,901953.0
2021-12-15,203.07,209.07,202.219,208.613,778815.0
2021-12-16,209.174,211.91,208.823,208.981,811717.0
2021-12-17,209.621,210.744,201.421,202.035,1568827.0
2021-12-18,209.621,210.744,201.421,202.035,1568827.0
2021-12-19,209.621,210.744,201.421,202.035,1568827.0
2021-12-20,198.965,199.29,190.125,193.098,806698.0
2021-12-21,194.764,194.979,191.931,194.159,412392.0
2021-12-22,193.887,197.781,193.409,196.746,284630.0
2021-12-23,197.904,200.298,197.308,199.325,260954.0
2021-12-24,197.904,200.298,197.308,199.325,260954.0
2021-12-25,197.904,200.298,197.308,199.325,260954.0
2021-12-26,197.904,200.298,197.308,199.325,260954.0
2021-12-27,199.965,202.587,198.948,202.263,213704.0
2021-12-28,201.71,203.859,201.552,202.359,385467.0
2021-12-29,201.78,205.543,201.78,204.42,275352.0
2021-12-30,204.71,206.613,203.587,203.982,231326.0
2021-12-31,203.429,206.78,202.245,205.806,296467.0
2022-01-01,203.429,206.78,202.245,205.806,296467.0
2022-01-02,203.429,206.78,202.245,205.806,296467.0
2022-01-03,206.709,208.371,201.184,204.087,633315.0
2022-01-04,205.315,211.121,205.104,210.025,478695.0
2022-01-05,211.2,215.261,206.139,206.666,585005.0
2022-01-06,207.832,207.832,201.36,205.008,511730.0
2022-01-07,205.175,205.508,198.939,199.123,586568.0
2022-01-08,205.175,205.508,198.939,199.123,586568.0
2022-01-09,205.175,205.508,198.939,199.123,586568.0
2022-01-10,197.036,197.979,192.914,195.097,686137.0
2022-01-11,195.869,199.439,192.072,199.351,520645.0
2022-01-12,199.079,201.456,195.733,197.562,548385.0
2022-01-13,198.869,202.368,197.641,198.886,550120.0
2022-01-14,195.764,195.764,187.695,190.335,1010834.0
2022-01-15,195.764,195.764,187.695,190.335,1010834.0
2022-01-16,195.764,195.764,187.695,190.335,1010834.0
2022-01-17,195.764,195.764,187.695,190.335,1010834.0
2022-01-18,187.976,187.976,181.609,183.959,887111.0
2022-01-19,185.143,185.704,181.328,181.433,905414.0
2022-01-20,182.03,184.003,176.25,176.636,864389.0
2022-01-21,177.048,180.477,176.127,176.741,917965.0
2022-01-22,177.048,180.477,176.127,176.741,917965.0
2022-01-23,177.048,180.477,176.127,176.741,917965.0
2022-01-24,172.777,182.556,172.207,181.723,1105978.0
2022-01-25,176.759,185.361,176.531,182.521,1013646.0
2022-01-26,185.248,186.915,179.249,182.117,1682513.0
2022-01-27,185.511,187.774,173.145,175.259,1654401.0
2022-01-28,175.066,180.083,173.592,179.96,936255.0
2022-01-29,175.066,180.083,173.592,179.96,936255.0
2022-01-30,175.066,180.083,173.592,179.96,936255.0
2022-01-31,178.767,184.433,178.767,184.345,799184.0
