,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-08-06,414.33,421.08,408.961,413.21,302509.0
2022-08-07,414.33,421.08,408.961,413.21,302509.0
2022-08-08,414.46,425.7,412.14,412.71,352445.0
2022-08-09,410.73,420.18,408.8,419.77,500780.0
2022-08-10,432.0,465.0,429.515,452.24,1202660.0
2022-08-11,454.21,459.99,451.247,455.21,699544.0
2022-08-12,457.83,464.28,453.6,464.24,318026.0
2022-08-13,457.83,464.28,453.6,464.24,318026.0
2022-08-14,457.83,464.28,453.6,464.24,318026.0
2022-08-15,456.17,465.6,455.72,465.4,254761.0
2022-08-16,461.31,478.13,460.08,476.45,431933.0
2022-08-17,466.37,467.86,455.795,459.81,482324.0
2022-08-18,460.56,461.89,453.99,457.46,275816.0
2022-08-19,446.96,447.92,431.31,435.39,355248.0
2022-08-20,446.96,447.92,431.31,435.39,355248.0
2022-08-21,446.96,447.92,431.31,435.39,355248.0
2022-08-22,423.96,426.14,417.355,420.87,368905.0
2022-08-23,424.99,428.72,419.31,422.51,361380.0
2022-08-24,424.63,433.405,422.54,429.5,318161.0
2022-08-25,429.48,439.61,428.14,438.51,202500.0
2022-08-26,440.0,440.81,410.5,410.56,434230.0
2022-08-27,440.0,440.81,410.5,410.56,434230.0
2022-08-28,440.0,440.81,410.5,410.56,434230.0
2022-08-29,405.9,412.38,404.3,404.81,417079.0
2022-08-30,407.23,409.16,396.32,408.19,503896.0
2022-08-31,410.33,417.25,405.39,406.52,418210.0
2022-09-01,400.22,402.25,389.17,401.94,633660.0
2022-09-02,406.9,414.44,392.685,395.1,426472.0
2022-09-03,406.9,414.44,392.685,395.1,426472.0
2022-09-04,406.9,414.44,392.685,395.1,426472.0
2022-09-05,406.9,414.44,392.685,395.1,426472.0
2022-09-06,392.48,395.62,377.1,383.64,441960.0
2022-09-07,382.38,399.68,381.0,398.53,276112.0
2022-09-08,392.08,415.6,390.237,413.98,486375.0
2022-09-09,421.393,425.92,420.05,422.97,441432.0
2022-09-10,421.393,425.92,420.05,422.97,441432.0
2022-09-11,421.393,425.92,420.05,422.97,441432.0
2022-09-12,392.39,416.381,390.04,406.15,1037960.0
2022-09-13,395.87,398.88,383.62,384.69,795651.0
2022-09-14,383.39,386.705,370.08,377.59,784164.0
2022-09-15,378.85,392.46,377.16,379.03,521152.0
2022-09-16,371.66,371.66,354.739,362.42,1315185.0
2022-09-17,371.66,371.66,354.739,362.42,1315185.0
2022-09-18,371.66,371.66,354.739,362.42,1315185.0
2022-09-19,356.47,370.07,356.47,365.8,425696.0
2022-09-20,362.0,368.82,360.07,365.17,428357.0
2022-09-21,367.0,376.0,359.52,359.53,468129.0
2022-09-22,360.7,360.73,342.15,342.57,496042.0
2022-09-23,337.41,341.53,331.6,340.83,607143.0
2022-09-24,337.41,341.53,331.6,340.83,607143.0
2022-09-25,337.41,341.53,331.6,340.83,607143.0
2022-09-26,339.0,348.51,334.23,335.7,530442.0
2022-09-27,338.79,343.53,328.265,333.84,482567.0
2022-09-28,336.21,345.965,334.195,343.72,488936.0
2022-09-29,335.76,340.26,331.96,337.93,416296.0
2022-09-30,336.67,344.75,332.65,335.78,529279.0
2022-10-01,336.67,344.75,332.65,335.78,529279.0
2022-10-02,336.67,344.75,332.65,335.78,529279.0
2022-10-03,341.37,356.69,337.94,354.89,538508.0
2022-10-04,361.39,377.3,361.39,376.49,593248.0
2022-10-05,363.96,368.92,359.74,364.12,716129.0
2022-10-06,359.51,366.65,353.535,356.57,450091.0
2022-10-07,348.95,349.23,339.02,341.47,482775.0
2022-10-08,348.95,349.23,339.02,341.47,482775.0
2022-10-09,348.95,349.23,339.02,341.47,482775.0
2022-10-10,346.33,349.05,335.69,340.54,364102.0
2022-10-11,338.59,341.51,330.62,335.79,430241.0
2022-10-12,335.28,340.082,331.0,335.25,398222.0
2022-10-13,322.12,350.56,316.04,345.07,792284.0
2022-10-14,351.72,354.805,317.25,317.77,943107.0
2022-10-15,351.72,354.805,317.25,317.77,943107.0
2022-10-16,351.72,354.805,317.25,317.77,943107.0
2022-10-17,328.4,334.55,325.96,333.51,710159.0
2022-10-18,342.26,344.47,326.15,330.04,989674.0
2022-10-19,327.22,331.855,312.35,315.37,668377.0
2022-10-20,314.71,321.823,301.88,302.46,1400445.0
2022-10-21,255.0,261.51,228.52,230.03,5627532.0
2022-10-22,255.0,261.51,228.52,230.03,5627532.0
2022-10-23,255.0,261.51,228.52,230.03,5627532.0
2022-10-24,229.04,237.7,228.52,232.01,2449673.0
2022-10-25,230.7,240.95,230.7,239.5,2289904.0
2022-10-26,237.3,249.6,235.635,241.69,1069706.0
2022-10-27,244.15,244.15,227.79,229.38,1758923.0
2022-10-28,230.0,237.388,229.27,234.15,1481346.0
2022-10-29,230.0,237.388,229.27,234.15,1481346.0
2022-10-30,230.0,237.388,229.27,234.15,1481346.0
2022-10-31,232.86,235.21,227.36,230.96,1300963.0
2022-11-01,235.0,235.66,227.08,228.98,1253315.0
2022-11-02,228.12,228.546,212.64,213.05,1803147.0
2022-11-03,210.68,212.77,207.35,207.62,1151684.0
2022-11-04,211.67,217.4,206.35,213.2,991671.0
2022-11-05,211.67,217.4,206.35,213.2,991671.0
2022-11-06,211.67,217.4,206.35,213.2,991671.0
2022-11-07,216.02,217.155,206.19,212.91,786649.0
2022-11-08,212.03,221.825,205.37,218.42,976121.0
2022-11-09,214.76,214.76,204.37,208.3,1021821.0
2022-11-10,222.38,239.9,221.83,230.95,2030919.0
2022-11-11,233.62,239.54,230.34,235.62,1283001.0
2022-11-12,233.62,239.54,230.34,235.62,1283001.0
2022-11-13,233.62,239.54,230.34,235.62,1283001.0
