,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-06-16,348.5933,348.7421,339.296,339.6731,46551985.0
2023-06-17,348.5933,348.7421,339.296,339.6731,46551985.0
2023-06-18,348.5933,348.7421,339.296,339.6731,46551985.0
2023-06-19,348.5933,348.7421,339.296,339.6731,46551985.0
2023-06-20,336.6765,339.425,333.2533,335.4263,26375407.0
2023-06-21,333.7593,335.1088,329.4927,330.9711,25117799.0
2023-06-22,331.5268,337.4802,330.7528,337.0734,23556764.0
2023-06-23,331.7649,335.337,330.862,332.4198,23146901.0
2023-06-24,331.7649,335.337,330.862,332.4198,23146901.0
2023-06-25,331.7649,335.337,330.862,332.4198,23146901.0
2023-06-26,331.1299,333.5013,325.9405,326.0496,21520582.0
2023-06-27,329.2843,333.541,326.7442,331.9733,24354110.0
2023-06-28,332.0626,335.3568,331.2192,333.2434,20259523.0
2023-06-29,332.1122,333.5013,330.0384,332.4496,16997042.0
2023-06-30,335.1286,340.07,334.5829,337.897,26832756.0
2023-07-01,335.1286,340.07,334.5829,337.897,26832756.0
2023-07-02,335.1286,340.07,334.5829,337.897,26832756.0
2023-07-03,336.5574,338.2542,333.9588,335.3667,12508692.0
2023-07-04,336.5574,338.2542,333.9588,335.3667,12508692.0
2023-07-05,332.4893,338.9983,332.1297,335.5255,18172378.0
2023-07-06,334.6821,340.3279,332.8961,338.6213,28195534.0
2023-07-07,336.6864,339.1373,334.3844,334.6027,21214824.0
2023-07-08,336.6864,339.1373,334.3844,334.6027,21214824.0
2023-07-09,336.6864,339.1373,334.3844,334.6027,21214824.0
2023-07-10,332.0031,332.6282,325.0475,329.2546,32791449.0
2023-07-11,328.4905,330.2766,324.462,329.8896,26698218.0
2023-07-12,333.9875,339.0003,333.0648,334.5829,29995262.0
2023-07-13,336.9246,341.0721,336.3888,340.0005,20567159.0
2023-07-14,344.8922,348.7024,341.6377,342.5605,28352729.0
2023-07-15,344.8922,348.7024,341.6377,342.5605,28352729.0
2023-07-16,344.8922,348.7024,341.6377,342.5605,28352729.0
2023-07-17,342.9951,344.2969,339.5441,343.0467,20363927.0
2023-07-18,343.1459,363.9333,339.5143,356.6999,64872705.0
2023-07-19,358.9423,359.6468,349.6996,352.3241,39732901.0
2023-07-20,350.8258,355.1917,342.6895,344.1778,33778395.0
2023-07-21,346.4401,347.5812,337.1925,341.1019,69405382.0
2023-07-22,346.4401,347.5812,337.1925,341.1019,69405382.0
2023-07-23,346.4401,347.5812,337.1925,341.1019,69405382.0
