,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-02-18,48.4608,48.8246,47.7232,48.1854,3517121.0
2020-02-19,48.3919,49.4294,48.3821,48.9819,2415053.0
2020-02-20,49.1491,51.2929,49.0409,50.162,8413182.0
2020-02-21,49.9358,50.103,47.5462,47.7626,5805442.0
2020-02-22,49.9358,50.103,47.5462,47.7626,5805442.0
2020-02-23,49.9358,50.103,47.5462,47.7626,5805442.0
2020-02-24,46.1498,46.2285,44.9009,45.1566,3586268.0
2020-02-25,45.3533,45.4615,42.7375,42.8948,4161662.0
2020-02-26,43.2292,43.7996,42.4523,42.5998,5278084.0
2020-02-27,41.3214,44.2716,41.1346,43.0227,10247085.0
2020-02-28,41.469,42.5507,40.4266,41.528,8658192.0
2020-02-29,41.469,42.5507,40.4266,41.528,8658192.0
2020-03-01,41.469,42.5507,40.4266,41.528,8658192.0
2020-03-02,41.7443,43.0522,40.4462,42.944,8546886.0
2020-03-03,42.6883,42.7965,38.745,39.0695,7801303.0
2020-03-04,39.7284,39.7284,37.4863,37.8206,7511582.0
2020-03-05,36.5324,36.6701,34.9688,35.2835,8865276.0
2020-03-06,33.6511,35.5884,32.9431,34.5755,8835595.0
2020-03-07,33.6511,35.5884,32.9431,34.5755,8835595.0
2020-03-08,33.6511,35.5884,32.9431,34.5755,8835595.0
2020-03-09,31.0648,32.0482,29.8356,29.9045,7951419.0
2020-03-10,31.6254,33.4544,30.0126,33.4348,7050785.0
2020-03-11,32.3236,34.2559,31.4877,32.7661,9365702.0
2020-03-12,29.6783,30.4551,28.1147,28.2032,9636811.0
2020-03-13,30.2093,34.1723,30.1012,33.6216,8093876.0
2020-03-14,30.2093,34.1723,30.1012,33.6216,8093876.0
2020-03-15,30.2093,34.1723,30.1012,33.6216,8093876.0
2020-03-16,28.3311,32.2646,27.6722,29.5013,8043567.0
2020-03-17,30.2093,32.8054,27.2395,32.3236,6717996.0
2020-03-18,30.2585,33.0611,28.9801,30.6322,7271357.0
2020-03-19,29.7078,31.9794,28.9997,31.0255,5425706.0
2020-03-20,30.9173,32.8152,29.7078,30.5535,4791335.0
2020-03-21,30.9173,32.8152,29.7078,30.5535,4791335.0
2020-03-22,30.9173,32.8152,29.7078,30.5535,4791335.0
2020-03-23,30.996,30.996,27.7804,28.5769,6995014.0
2020-03-24,30.229,31.881,29.4423,30.8977,6130535.0
2020-03-25,31.5369,37.3289,30.5141,34.6345,6124619.0
2020-03-26,34.8803,36.7684,33.3758,34.4575,5345650.0
2020-03-27,33.1398,35.1852,32.2842,33.9363,5068400.0
2020-03-28,33.1398,35.1852,32.2842,33.9363,5068400.0
2020-03-29,33.1398,35.1852,32.2842,33.9363,5068400.0
2020-03-30,33.9953,35.077,33.0808,34.8508,3359108.0
2020-03-31,34.3886,35.3474,33.538,34.0838,2760929.0
2020-04-01,32.3531,34.0936,31.8515,33.4446,4180206.0
2020-04-02,32.9136,35.0672,32.9136,34.9885,3319358.0
2020-04-03,34.6935,35.6572,33.5429,34.2313,1893304.0
2020-04-04,34.6935,35.6572,33.5429,34.2313,1893304.0
2020-04-05,34.6935,35.6572,33.5429,34.2313,1893304.0
2020-04-06,35.4507,37.2011,35.2344,36.8078,2455129.0
2020-04-07,38.1451,38.568,34.7722,35.4605,4529304.0
2020-04-08,35.6277,37.3781,35.1458,36.9946,3547671.0
2020-04-09,37.6928,38.7155,36.8668,37.3289,5288465.0
2020-04-10,37.6928,38.7155,36.8668,37.3289,5288465.0
2020-04-11,37.6928,38.7155,36.8668,37.3289,5288465.0
2020-04-12,37.6928,38.7155,36.8668,37.3289,5288465.0
2020-04-13,37.9155,37.9155,35.2048,35.4654,3876044.0
2020-04-14,36.3849,37.0634,35.2639,36.7783,3225729.0
2020-04-15,35.6179,35.6179,34.2215,35.254,2983001.0
2020-04-16,35.4999,35.6277,34.2411,35.4409,7197925.0
2020-04-17,37.0831,37.7715,36.2079,36.6996,4892029.0
