,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-08-18,23.567,23.7618,23.2572,23.4165,656996.0
2020-08-19,23.4254,23.7327,23.0358,23.1067,652131.0
2020-08-20,23.0181,23.266,22.8278,22.8322,608185.0
2020-08-21,22.6374,22.9385,22.4161,22.903,681851.0
2020-08-22,22.6374,22.9385,22.4161,22.903,681851.0
2020-08-23,22.6374,22.9385,22.4161,22.903,681851.0
2020-08-24,23.089,24.169,23.089,23.7972,1524364.0
2020-08-25,23.7618,24.3727,23.3908,24.3195,917897.0
2020-08-26,24.4523,25.5767,24.4169,25.3996,1638943.0
2020-08-27,25.5678,26.0725,25.2049,25.7715,1184754.0
2020-08-28,25.798,26.1964,25.5944,26.068,817644.0
2020-08-29,25.798,26.1964,25.5944,26.068,817644.0
2020-08-30,25.798,26.1964,25.5944,26.068,817644.0
2020-08-31,26.1521,26.1521,25.0189,25.6829,1320062.0
2020-09-01,25.5944,25.7449,25.0455,25.6121,803617.0
2020-09-02,25.7626,26.8958,25.6298,25.6652,2378419.0
2020-09-03,25.5236,25.8954,22.8411,23.4165,2260781.0
2020-09-04,23.8238,23.8592,22.8543,23.1598,1582202.0
2020-09-05,23.8238,23.8592,22.8543,23.1598,1582202.0
2020-09-06,23.8238,23.8592,22.8543,23.1598,1582202.0
2020-09-07,23.8238,23.8592,22.8543,23.1598,1582202.0
2020-09-08,22.9296,23.1244,21.3759,21.398,1354411.0
2020-09-09,21.637,21.9646,21.2741,21.6813,736073.0
2020-09-10,21.699,21.9381,21.0704,21.1059,946944.0
2020-09-11,21.3183,21.6149,20.7871,21.1767,1387784.0
2020-09-12,21.3183,21.6149,20.7871,21.1767,1387784.0
2020-09-13,21.3183,21.6149,20.7871,21.1767,1387784.0
2020-09-14,21.3892,21.9646,21.0749,21.8318,700505.0
2020-09-15,22.0443,22.2833,21.3803,21.5175,1003620.0
2020-09-16,21.6813,21.8407,21.3715,21.4157,1370606.0
2020-09-17,20.9996,21.7256,20.5127,21.6016,1911610.0
2020-09-18,21.8053,21.8628,20.7591,21.0173,1893966.0
2020-09-19,21.8053,21.8628,20.7591,21.0173,1893966.0
2020-09-20,21.8053,21.8628,20.7591,21.0173,1893966.0
2020-09-21,20.4596,21.8584,20.3772,21.823,2243095.0
2020-09-22,21.6636,21.9912,21.0704,21.1767,1406885.0
2020-09-23,21.1501,21.1501,19.8576,19.9018,2063693.0
2020-09-24,19.8044,20.9111,19.6098,20.4684,2361299.0
2020-09-25,20.3445,20.8668,20.3179,20.7783,567383.0
2020-09-26,20.3445,20.8668,20.3179,20.7783,567383.0
2020-09-27,20.3445,20.8668,20.3179,20.7783,567383.0
2020-09-28,21.1413,21.6282,20.9731,21.4865,716965.0
2020-09-29,21.46,21.4865,20.8226,20.8668,553141.0
2020-09-30,20.8491,21.5662,20.8314,21.3405,965080.0
2020-10-01,21.4511,21.8053,21.0439,21.3626,1096068.0
2020-10-02,20.9819,21.7964,20.7783,21.6902,612696.0
2020-10-03,20.9819,21.7964,20.7783,21.6902,612696.0
2020-10-04,20.9819,21.7964,20.7783,21.6902,612696.0
2020-10-05,21.8318,22.4117,21.6902,22.2922,747771.0
2020-10-06,22.3719,22.6374,21.823,21.9735,934330.0
2020-10-07,21.9203,22.3984,21.8318,22.0266,825319.0
2020-10-08,22.3364,22.6906,22.0089,22.5578,600056.0
2020-10-09,22.7348,22.7791,22.3099,22.3719,585175.0
2020-10-10,22.7348,22.7791,22.3099,22.3719,585175.0
2020-10-11,22.7348,22.7791,22.3099,22.3719,585175.0
2020-10-12,22.3807,22.8322,22.2479,22.7437,543283.0
2020-10-13,22.425,22.8057,22.2922,22.7614,341865.0
2020-10-14,22.7702,23.8061,22.664,23.4608,914137.0
2020-10-15,22.9646,24.4622,22.9064,24.3102,831882.0
2020-10-16,24.0151,24.6499,23.7111,24.5605,596241.0
2020-10-17,24.0151,24.6499,23.7111,24.5605,596241.0
2020-10-18,24.0151,24.6499,23.7111,24.5605,596241.0
2020-10-19,24.48,24.9092,23.729,23.7827,749208.0
2020-10-20,24.0866,24.2476,23.4161,23.5681,770740.0
2020-10-21,23.4429,23.8274,23.2998,23.3088,511276.0
2020-10-22,23.4697,24.4175,23.4697,24.2208,717624.0
2020-10-23,24.3102,24.4264,23.8899,24.2476,417532.0
2020-10-24,24.3102,24.4264,23.8899,24.2476,417532.0
2020-10-25,24.3102,24.4264,23.8899,24.2476,417532.0
2020-10-26,24.2476,24.4134,23.3982,23.6485,697596.0
2020-10-27,23.7379,24.2029,23.4876,23.7022,670448.0
2020-10-28,23.2551,23.7026,21.9408,21.9766,1200508.0
2020-10-29,21.7978,22.5667,21.2166,22.3253,549092.0
2020-10-30,22.3789,22.7813,21.771,22.2404,985607.0
2020-10-31,22.3789,22.7813,21.771,22.2404,985607.0
2020-11-01,22.3789,22.7813,21.771,22.2404,985607.0
2020-11-02,22.6382,22.8439,21.7352,22.0213,779028.0
2020-11-03,22.4147,23.0674,22.1018,22.9064,651477.0
2020-11-04,22.9869,23.4429,22.6203,23.2641,624592.0
2020-11-05,23.5144,23.8899,22.8656,23.4697,783374.0
2020-11-06,23.3445,23.7469,23.0495,23.5234,334427.0
2020-11-07,23.3445,23.7469,23.0495,23.5234,334427.0
2020-11-08,23.3445,23.7469,23.0495,23.5234,334427.0
2020-11-09,24.641,26.3129,24.6231,26.1609,1761326.0
2020-11-10,25.6871,26.5007,24.8556,25.8033,1364602.0
2020-11-11,25.9106,25.9106,24.632,25.1417,732830.0
2020-11-12,24.8913,25.3652,24.1069,24.5024,583985.0
2020-11-13,24.7214,25.6602,24.6857,25.3652,576057.0
2020-11-14,24.7214,25.6602,24.6857,25.3652,576057.0
2020-11-15,24.7214,25.6602,24.6857,25.3652,576057.0
2020-11-16,25.6602,26.0894,24.7125,25.0523,709638.0
2020-11-17,24.6141,24.8645,23.7827,24.7483,533492.0
2020-11-18,24.9271,25.2847,24.1492,24.252,622985.0
2020-11-19,24.1403,24.7036,23.7111,24.6499,666419.0
2020-11-20,24.4353,24.945,24.4353,24.8377,551883.0
